English Word	Emotion	Emotion-Intensity-Score	Myanmar-Burmese Word
killing	anger	0.893	သတ်ဖြတ်ခြင်း
combative	anger	0.891	တိုက်ခိုက်ရေး
vengeance	anger	0.886	ဒဏ်ပေးတယ်။
gofuckyourself	anger	0.886	ကိုယ့်ကိုယ်ကို
torment	anger	0.885	ညှဉ်းပန်းနှိပ်စက်ခြင်း။
wrath	anger	0.885	အမျက်ဒေါသ
vicious	anger	0.884	ရက်စက်တယ်။
massacre	anger	0.882	လူသတ်ပွဲ
threatening	anger	0.882	ခြိမ်းခြောက်ခြင်း။
abhorrent	anger	0.875	ရွံရှာဖွယ်
bloodthirsty	anger	0.875	သွေးဆာတယ်။
pissoff	anger	0.875	pissoff
fighting	anger	0.868	တိုက်ပွဲ
attacking	anger	0.865	တိုက်ခိုက်ခြင်း။
annihilated	anger	0.865	ပျက်သုန်းသည်။
angriest	anger	0.864	စိတ်ဆိုးဆုံး
bloodshed	anger	0.864	သွေးထွက်သံယို
smite	anger	0.862	အပြုံး
brawl	anger	0.861	ရန်ဖြစ်
malicious	anger	0.859	အန္တရာယ်ရှိတဲ့
assassination	anger	0.859	လုပ်ကြံမှု
strangle	anger	0.859	လည်ပင်းညှစ်
hostility	anger	0.859	ရန်ငြိုးဖွဲ့ခြင်း။
assault	anger	0.859	ချေမှုန်းခြင်း။
explode	anger	0.859	ပေါက်ကွဲ
tirade	anger	0.859	tirade
loathsome	anger	0.857	ယိ
hell	anger	0.853	ငရဲ
murderous	anger	0.853	လူသတ်
attack	anger	0.853	တိုက်ခိုက်မှု
malice	anger	0.852	အငြိုး
terrorism	anger	0.851	အကြမ်းဖက်ဝါဒ
beating	anger	0.849	ရိုက်နှက်ခြင်း။
outrage	anger	0.848	ဒေါသ
desecration	anger	0.848	အရှက်ခွဲခြင်း။
pissingmeoff	anger	0.848	pissingmeoff
destroying	anger	0.844	ဖျက်ဆီးခြင်း။
slaughter	anger	0.844	သတ်ခြင်း
irate	anger	0.844	စိတ်ဆိုး
violent	anger	0.844	မရှုမလှ
stab	anger	0.844	ဓား
abomination	anger	0.844	စက်ဆုပ်ရွံရှာခြင်း။
tumultuous	anger	0.844	ရုန်းရင်းဆန်ခတ်
infuriate	anger	0.844	ဒေါသထွက်သည်။
obliterate	anger	0.843	ချေဖျက်သည်။
belligerent	anger	0.841	ဒေါသကြီးသူ၊
dumbbitch	anger	0.841	လူမိုက်
detest	anger	0.838	ရွံရှာသည်။
hostilities	anger	0.837	ရန်လိုမှုများ
prick	anger	0.835	ပေါက်
rampage	anger	0.833	သောင်းကျန်းသည်။
horrid	anger	0.833	ကြောက်မက်ဖွယ်ကောင်းသော
cruelty	anger	0.833	ရက်စက်မှု
torture	anger	0.833	ညှဉ်းပန်းနှိပ်စက်ခြင်း။
rabid	anger	0.833	ခွေးရူး
despicable	anger	0.828	စက်ဆုပ်ဖွယ်ကောင်းသော
tyrannical	anger	0.828	ရက်စက်ကြမ်းကြုတ်သော
demonic	anger	0.828	နတ်ဆိုး
satanic	anger	0.828	စာတန်
hate	anger	0.828	မုန်းတယ်။
ragemode	anger	0.828	ragemode
hating	anger	0.828	မုန်းတီးခြင်း။
ruinous	anger	0.825	ယုတ်ညံ့သော
condemn	anger	0.825	ရှုံ့ချသည်။
riots	anger	0.824	အဓိကရုဏ်း
demolish	anger	0.824	ဖြိုချ
angry	anger	0.824	စိတ်ဆိုး
extermination	anger	0.824	သုတ်သင်ရှင်းလင်းခြင်း။
dickhead	anger	0.824	ကွမ်းသီးခေါင်း
livid	anger	0.821	အသည်းအသန်
madman	anger	0.820	အရူး
vindictive	anger	0.819	စွဲလမ်းခြင်း။
terrorist	anger	0.818	အကြမ်းဖက်
threaten	anger	0.818	ခြိမ်းခြောက်
venomous	anger	0.818	အဆိပ်ရှိသော
hateyou	anger	0.818	မင်းကိုမုန်းတယ်
ferocity	anger	0.818	ရက်စက်ခြင်း
effyou	anger	0.818	effyou
abhor	anger	0.816	ရွံရှာသည်။
carnage	anger	0.814	သတ်ဖြတ်ခြင်း
savage	anger	0.814	ကြီးရဲ့
atrocity	anger	0.814	ရက်စက်ကြမ်းကြုတ်မှု
fucksake	anger	0.812	fucksake
abuse	anger	0.812	အလွဲသုံးစားလုပ်
fierce	anger	0.812	ပြင်းစွာ
destroyer	anger	0.812	ဖျက်သင်္ဘော
angrytweet	anger	0.812	စိတ်ဆိုးတယ်
barbaric	anger	0.812	ရိုင်းစိုင်းသော
vendetta	anger	0.812	ပေးဆပ်ခြင်း
pissesmeoff	anger	0.812	pissesmeoff
pissedoff	anger	0.812	စိတ်ဆိုးသည်
tyrant	anger	0.812	အဲသလို
berserk	anger	0.812	ကွက်ကျား
fuming	anger	0.812	မီးခိုးငွေ့
anger	anger	0.811	ဒေါသ
pieceofshit	anger	0.810	အမိုက်စား
punched	anger	0.803	ထိုးခံရတယ်။
punching	anger	0.803	ထိုးကြိတ်ခြင်း။
slam	anger	0.803	slam
homicide	anger	0.803	လူသတ်မှု
bitch	anger	0.803	ခွေးမ
fights	anger	0.803	တိုက်ပွဲများ
ruthless	anger	0.797	ရက်စက်သော
villainous	anger	0.797	လူဆိုး
destructive	anger	0.797	ဖျက်ဆီးတတ်သော
slap	anger	0.791	ပါးရိုက်
riot	anger	0.788	အဓိကရုဏ်း
growthefuckup	anger	0.788	ကြီးထွားမှု
punishing	anger	0.788	ဒဏ်ခတ်ခြင်း။
slaughterhouse	anger	0.788	သတ်ရုံ
yelling	anger	0.788	အော်ဟစ်
diabolical	anger	0.788	ဆိုးရွားသော
destroyed	anger	0.788	ဖျက်ဆီးပစ်
ragetweet	anger	0.788	ragetweet
retaliatory	anger	0.788	လက်တုံ့ပြန်ခြင်း။
manslaughter	anger	0.783	လူသတ်ခြင်း
clash	anger	0.783	တိုက်ပွဲ
quarrel	anger	0.781	စကားများရန်ဖြစ်
bloody	anger	0.781	သွေးထွက်သံယို
hellish	anger	0.781	ငရဲပြည်
sinister	anger	0.781	ယုတ်မာသော
loath	anger	0.781	ရွံရှာသည်။
detonation	anger	0.781	ဖောက်ခွဲမှု
accusing	anger	0.779	စွပ်စွဲသည်။
fumin	anger	0.779	fumin
hateeee	anger	0.779	မုန်းတယ်
treacherous	anger	0.779	သစ္စာမဲ့
madder	anger	0.773	madder
horrific	anger	0.773	ကြောက်မက်ဖွယ်ရာ
revulsion	anger	0.773	ကဲ့ရဲ့ခြင်း
retaliate	anger	0.773	လက်တုံ့ပြန်ပါ။
scorn	anger	0.769	ကဲ့ရဲ့ခြင်း။
bomb	anger	0.766	ဗုံး
deplorable	anger	0.766	စိတ်ပျက်ဖွယ်
devastation	anger	0.765	ပျက်စီးခြင်း
anarchist	anger	0.765	မင်းမဲ့ဝါဒီ
firestorm	anger	0.765	မီးမုန်တိုင်း
resent	anger	0.765	နာကြည်းတယ်။
contemptible	anger	0.764	မထီမဲ့မြင်ပြုသော
shittest	anger	0.760	အမိုက်ဆုံး
rant	anger	0.758	အော်ဟစ်
cruel	anger	0.758	ရက်စက်
deadly	anger	0.758	သေစေသော
smash	anger	0.758	ခုတ်ထစ်
soangry	anger	0.758	စိတ်တိုသည်။
outburst	anger	0.757	ပေါက်ကွဲ
snarl	anger	0.754	ညည်းသည်။
profane	anger	0.750	ရှုတ်ချသည်။
revolting	anger	0.750	ဖြစ်တည်ခြင်း
aggravating	anger	0.750	ပိုဆိုးသည်။
horror	anger	0.750	ထိတ်လန့်
despise	anger	0.750	မထီမဲ့မြင်ပြုခြင်း။
offend	anger	0.750	စော်ကား
stfu	anger	0.750	stfu
vulgarity	anger	0.750	အောက်တန်းကျသော
crazed	anger	0.750	အရူး
douchebags	anger	0.750	douchebags
growling	anger	0.750	အော်ဟစ်ခြင်း။
dontmesswithme	anger	0.750	မနေနဲ့
screaming	anger	0.742	အော်ဟစ်
threat	anger	0.742	ခြိမ်းခြောက်မှု
erupt	anger	0.742	ပေါက်ကွဲ
horrible	anger	0.742	ကြောက်စရာကောင်းသော
molestation	anger	0.742	နှိပ်စက်ညှဉ်းပန်းခြင်း။
fuckedoff	anger	0.742	fuckedoff
violence	anger	0.742	အကြမ်းဖက်မှု
bastards	anger	0.741	လူယုတ်မာများ
revenge	anger	0.738	လက်စားချေ
menacing	anger	0.735	လုပ်ပြတယ်။
crushing	anger	0.735	နှိပ်စက်ခြင်း။
damn	anger	0.735	သေတာပဲ
catastrophe	anger	0.735	ကပ်ဆိုး
demon	anger	0.735	နတ်ဆိုး
argue	anger	0.734	ငြင်းခုန်ပါ။
persecute	anger	0.734	ညှဉ်းဆဲခြင်း။
deplore	anger	0.734	မြတ်နိုးပါ။
flog	anger	0.734	လှိုင်းတံပိုး
fedup	anger	0.734	စိတ်ကုန်သော
riotous	anger	0.734	ရုန်းရင်းဆန်ခတ်
vehement	anger	0.734	ပြင်းထန်သော
revolt	anger	0.734	ပုန်ကန်ခြင်း။
warfare	anger	0.734	စစ်ပွဲ
thrash	anger	0.734	အမှိုက်
altercation	anger	0.729	အငြင်းအခုံ
warlike	anger	0.728	စစ်မက်
shitday	anger	0.727	စိတ်ညစ်စရာနေ့
mutiny	anger	0.727	ပုန်ကန်မှု
castrate	anger	0.727	သင်းကွပ်ခြင်း။
sabotage	anger	0.727	ဖျက်ဆီးမှု
malevolent	anger	0.721	စိတ်ဆိုးခြင်း
strike	anger	0.721	သပိတ်
disaster	anger	0.721	ဘေးအန္တရာယ်
disastrous	anger	0.720	ဘေးအန္တရာယ်
bastarding	anger	0.719	လူယုတ်မာ
treachery	anger	0.719	သစ္စာဖောက်
arseholes	anger	0.719	တူးမြောင်းများ
horseshit	anger	0.719	မြင်းချေး
slay	anger	0.719	သတ်ပါ။
disdain	anger	0.719	အထင်အမြင်သေး
aggravates	anger	0.719	ပိုမိုဆိုးရွားစေသည်။
brutal	anger	0.719	ရက်ရက်စက်စက်
scorching	anger	0.719	လောင်မြိုက်သည်။
devil	anger	0.719	မာရ်နတ်
madden	anger	0.719	စိတ်ဆိုးသည်။
spiteful	anger	0.719	သနားစရာ
scream	anger	0.719	ဟစ်အော်
choke	anger	0.719	လေခိုး
vermin	anger	0.719	သားကောင်
tumult	anger	0.719	အသံဗလံ
criminal	anger	0.714	ရာဇ၀တ်သား
mangle	anger	0.714	ရှုပ်ယှက်ခတ်
anarchism	anger	0.714	မင်းမဲ့ဝါဒ
mutilation	anger	0.714	ဖြတ်တောက်ခြင်း
denunciation	anger	0.713	ရှုတ်ချခြင်း။
punch	anger	0.713	လာကြတယ်။
virulence	anger	0.712	ဗိုင်းရပ်စ်
fatal	anger	0.712	အသက်အန္တရာယ်
hurting	anger	0.712	နာကျင်သည်။
crucifixion	anger	0.712	ကားစင်တင်ခြင်း
dontlikeyou	anger	0.712	မင်းကိုမကြိုက်ဘူး။
blasphemous	anger	0.712	ကဲ့ရဲ့စရာ
holocaust	anger	0.712	မီးလောင်တိုက်သွင်းခြင်း
dumbasses	anger	0.712	လူမိုက်များ
battled	anger	0.712	တိုက်ပွဲ
deranged	anger	0.706	စိတ်အနှောင့်အယှက်ဖြစ်
irritated	anger	0.706	စိတ်တိုသည်။
atrocious	anger	0.706	ယုတ်မာသော
evil	anger	0.706	မကောင်းမှု
aggravated	anger	0.703	ပိုဆိုးလာသည်။
intimidation	anger	0.703	ခြိမ်းခြောက်ခြင်း။
dicks	anger	0.703	ကွမ်းသီးများ
assassin	anger	0.703	လူသတ်သမား
scolding	anger	0.703	ကြိမ်းမောင်းခြင်း။
persecution	anger	0.703	နှိပ်စက်ညှဉ်းပန်းခြင်း။
slayer	anger	0.703	လူသတ်သမား
kidnap	anger	0.703	ပြန်ပေးဆွဲ
aggression	anger	0.702	ရန်လိုခြင်း။
armed	anger	0.700	လက်နက်ကိုင်
battle	anger	0.697	တိုက်ပွဲ
poison	anger	0.697	အဆိပ်
snarling	anger	0.697	snarling
venom	anger	0.697	အဆိပ်
disgruntled	anger	0.693	မကျေမနပ်
resentment	anger	0.691	နာကြည်းမှု
assailant	anger	0.691	တိုက်ခိုက်သူ
insidious	anger	0.691	ယုတ်မာသော
contemptuous	anger	0.690	မထီမဲ့မြင်ပြုသော
lynch	anger	0.690	lynch
temper	anger	0.688	ဒေါသ
terrible	anger	0.688	ကြောက်မက်ဖွယ်
disparage	anger	0.688	အပုပ်ချခြင်း။
lunatic	anger	0.688	အရူးအမူး
bully	anger	0.688	ကြီးနိုင်ငယ်ညှင်း
mad	anger	0.688	အရူး
makesmemad	anger	0.688	makememad
infanticide	anger	0.688	မွေးကင်းစကလေးများ
domination	anger	0.688	စိုးမိုး
peeved	anger	0.688	စိတ်တိုသည်။
imprisonment	anger	0.688	ထောင်ချခြင်း။
curse	anger	0.688	ကျိန်စာ
volatility	anger	0.687	မတည်ငြိမ်မှု
eradication	anger	0.685	ပပျောက်ရေး
eradicate	anger	0.682	အမြစ်ပြတ်
tantrum	anger	0.682	ဝုန်းဒိုင်းကြဲ
scoundrel	anger	0.682	ဟဲ့
devastate	anger	0.682	ပျက်စီးစေပါသည်။
aggressively	anger	0.680	ပြင်းပြင်းထန်ထန်
agitation	anger	0.680	စိတ်လှုပ်ရှားမှု
dictatorship	anger	0.676	အာဏာရှင်စနစ်
irritates	anger	0.676	စိတ်ဆိုးသည်။
profanity	anger	0.673	ဆဲဆိုခြင်း၊
shove	anger	0.672	တွန်းထိုး
nasty	anger	0.672	စိတ်ညစ်စရာ
shot	anger	0.672	ရိုက်ချက်
cruelly	anger	0.672	ရက်ရက်စက်စက်
shoot	anger	0.672	ပစ်
condemnation	anger	0.672	ရှုံ့ချခြင်း။
crushed	anger	0.672	ကြေမွ
aggravation	anger	0.672	ပိုဆိုးသည်။
poisonous	anger	0.672	အဆိပ်ရှိသော
egregious	anger	0.672	ကြီးကြီးကျယ်ကျယ်
crime	anger	0.672	ပြစ်မှု
corrupting	anger	0.672	ဖောက်ပြန်ခြင်း။
dastardly	anger	0.672	အရှက်မဲ့စွာ
contempt	anger	0.672	မထီမဲ့မြင်ပြုခြင်း။
harmful	anger	0.672	အန္တရာယ်ရှိသော
expletive	anger	0.672	သရုပ်ဖော်သည်။
wreak	anger	0.672	ပျက်
maniac	anger	0.670	ရူးသွပ်
cutthroat	anger	0.667	လည်ချောင်း
enemy	anger	0.667	ရန်သူ
hit	anger	0.667	ရိုက်တယ်။
hateeveryone	anger	0.667	လူတိုင်းကိုမုန်းသည်။
eruption	anger	0.667	ပေါက်ကွဲမှု
irritable	anger	0.667	စိတ်တိုစရာ
odious	anger	0.667	ညစ်ညမ်းသော
shooting	anger	0.667	ရိုက်ကူး
shout	anger	0.667	အော်
aggressive	anger	0.667	ပြင်းထန်သော
kick	anger	0.667	ကန်တယ်။
combat	anger	0.667	တိုက်ပွဲ
fight	anger	0.667	တိုက်ပွဲ
punished	anger	0.662	အပြစ်ပေးခံရ
yell	anger	0.661	အော်တယ်။
ambush	anger	0.661	ဒီနေ့မနက်
harass	anger	0.659	အနှောင့်အယှက်
malignant	anger	0.656	ဆိုးရွားသော
aggressor	anger	0.656	ရန်လိုသူ
gore	anger	0.656	ခွေ့
destruction	anger	0.656	ပျက်စီးခြင်း။
grudge	anger	0.656	အာဃာတ
antichrist	anger	0.656	အန္တိခရစ်
incense	anger	0.656	နံ့သာပေါင်း
expel	anger	0.656	ထုတ်ပယ်
cranky	anger	0.653	မိုက်မဲသော
slave	anger	0.652	ကျွန်
reprisal	anger	0.652	လက်စားချေခြင်း
growl	anger	0.652	ဟိန်းဟောက်
animosity	anger	0.652	ရန်ငြိုးဖွဲ့ခြင်း။
insurrection	anger	0.652	သောင်းကျန်းမှု
clashing	anger	0.652	တိုက်ပွဲ
denounce	anger	0.652	ရှုတ်ချသည်။
offended	anger	0.652	ဖေါက်ပြန်သည်
spank	anger	0.652	ပုတ်ခတ်
insulting	anger	0.652	စော်ကားတယ်။
growls	anger	0.649	အော်ဟစ်
executioner	anger	0.644	ကွပ်မျက်သူ
twat	anger	0.644	twat
doomsday	anger	0.643	ကံဆိုးခြင်းနေ့
obscenity	anger	0.641	ညစ်ညမ်းသော
accused	anger	0.641	စွပ်စွဲသည်။
feud	anger	0.641	ရန်ငြိုးထားခြင်း
daemon	anger	0.641	daemon
havoc	anger	0.641	အန္တရာယ်
shackle	anger	0.641	ခြေချင်းချိတ်
inexcusable	anger	0.641	ခွင့်မလွှတ်နိုင်သော
indignant	anger	0.641	ဒေါသ
grr	anger	0.641	grr
expulsion	anger	0.641	ထုတ်ပယ်ခြင်း
bombard	anger	0.641	ဒီခရီးစဉ်
spat	anger	0.641	တံတွေးထွေး
arson	anger	0.641	မီးရှို့မှု
reprimand	anger	0.641	ပြစ်တင်ရှုံ့ချခြင်း။
somad	anger	0.637	အရမ်းမိုက်မဲတယ်
frustrated	anger	0.636	စိတ်ပျက်
batter	anger	0.636	မုန့်ဖုတ်
kicking	anger	0.636	ကန်တယ်။
anarchy	anger	0.636	မင်းမဲ့စရိုက်
spanking	anger	0.636	ပုတ်ခတ်ခြင်း။
glaring	anger	0.636	မျက်ဝါးထင်ထင်
suicidal	anger	0.636	သတ်သေခြင်း
disgusting	anger	0.636	ရွံမုန်းစရာ
wound	anger	0.636	အနာ
hanging	anger	0.636	တွဲလောင်း
poisoned	anger	0.636	အဆိပ်သင့်
combatant	anger	0.636	တိုက်ခိုက်ရေးသမား
wrecked	anger	0.633	ပျက်သွားတယ်။
inflict	anger	0.633	နှိပ်စက်သည်။
grievous	anger	0.632	ပြင်းပြင်းထန်ထန်
prosecute	anger	0.630	တရားစွဲမယ်။
agitated	anger	0.630	တုန်လှုပ်သွားသည်။
cheat	anger	0.630	လိမ်သည်။
swastika	anger	0.627	swastika
injure	anger	0.625	ဒဏ်ရာ
indict	anger	0.625	စွဲချက်တင်သည်။
scourge	anger	0.625	ဒဏ်ရိုက်ခြင်း။
provocation	anger	0.625	ဒေါသ
suffocation	anger	0.625	အသက်ရှူကြပ်ခြင်း။
strife	anger	0.625	ရန်တွေ့ခြင်း
raid	anger	0.625	ဝင်ရောက်စီးနင်း
enslaved	anger	0.625	ကျွန်ခံ
cursing	anger	0.625	ကျိန်ဆဲခြင်း။
defamatory	anger	0.625	အသရေဖျက်သည်။
harassing	anger	0.625	မရမ်းကား
thundering	anger	0.625	မိုးခြိမ်းသံ
betray	anger	0.625	သစ္စာဖောက်
arsehole	anger	0.624	သိုလှောင်ရုံ
theft	anger	0.621	ခိုးမှု
insane	anger	0.621	ရူးသွပ်
retaliation	anger	0.621	လက်တုံ့ပြန်ခြင်း။
irritate	anger	0.621	စိတ်ဆိုး
deprivation	anger	0.621	တာဝန်တရပ်
fiend	anger	0.621	ဘီလူး
jerk	anger	0.621	လူရှုပ်
convict	anger	0.621	ပြစ်ဒဏ်ချမှတ်သည်။
cussed	anger	0.619	ဒဏ်ခတ်ခံရသည်။
turmoil	anger	0.618	ကမောက်ကမ
smack	anger	0.615	သတ်ပုတ်
retribution	anger	0.614	လက်စားချေခြင်း
rebellion	anger	0.609	ပုန်ကန်ခြင်း။
oppressor	anger	0.609	ဖိနှိပ်သူ
gang	anger	0.609	ဂိုဏ်း
slavery	anger	0.609	ကျွန်စနစ်
intolerable	anger	0.609	သည်းမခံနိုင်သော
adverse	anger	0.609	ဆိုးရွားသော
injurious	anger	0.609	ဒဏ်ရာ
twats	anger	0.609	twats
collision	anger	0.609	နေမြဲ
battery	anger	0.609	ဘက်ထရီ
bitterly	anger	0.609	ခါးခါးသီးသီး
antagonism	anger	0.609	ဆန့်ကျင်ဘက်ဝါဒ
irritability	anger	0.609	စိတ်တိုခြင်း။
disgraced	anger	0.608	အရှက်ကွဲတယ်။
diatribe	anger	0.606	ဆီးချိုရောဂါ
asshole	anger	0.606	သေနာကောင်
blast	anger	0.606	ပေါက်ကွဲမှု
bombardment	anger	0.606	ဗုံးကြဲခြင်း။
irks	anger	0.606	စိတ်ညစ်စရာ
ranting	anger	0.606	အော်ဟစ်
revolution	anger	0.606	တော်လှန်ရေး
thug	anger	0.606	လူမိုက်
antagonistic	anger	0.606	ဆန့်ကျင်ဘက်
irritating	anger	0.606	ယားယံခြင်း။
sickening	anger	0.606	ဖျားနာခြင်း။
discrimination	anger	0.606	ခွဲခြားဆက်ဆံခံရမှု
frustrate	anger	0.604	စိတ်ပျက်
insult	anger	0.603	စော်ကား
hurtful	anger	0.603	နာကျင်စရာ
oppression	anger	0.603	ဖိနှိပ်မှု
manipulation	anger	0.603	ခြယ်လှယ်ခြင်း။
tiredofit	anger	0.603	ပင်ပန်းသည်။
bigot	anger	0.603	တစ်ယူသန်
tension	anger	0.603	တင်းမာမှု
disgust	anger	0.602	စက်ဆုတ်
spite	anger	0.600	လျှာက်
intrusive	anger	0.598	ကျူးကျော်
harshness	anger	0.597	ကြမ်းတမ်းခြင်း။
slur	anger	0.596	slur
tempest	anger	0.594	မုန်တိုင်း
assail	anger	0.594	တိုက်ခိုက်
bitterness	anger	0.594	ခါးသီးမှု
morbidity	anger	0.594	ရောဂါဖြစ်ခြင်း။
casualty	anger	0.594	အသေအပျောက်
puncture	anger	0.594	ထိုးဖေါက်ခြင်း။
miserable	anger	0.594	စိတ်ဆင်းရဲ
inferno	anger	0.594	inferno
invasion	anger	0.594	ကျူးကျော်
storming	anger	0.594	မုန်တိုင်းဝင်
wretch	anger	0.594	လူဆိုး
consternation	anger	0.592	စိုးရိမ်စရာ
raving	anger	0.591	အရူးအမူး
forcibly	anger	0.591	အတင်းအကျပ်
guillotine	anger	0.591	guillotine
guilty	anger	0.591	အပြစ်ရှိသည်။
depraved	anger	0.591	ဒုဿီလ
immoral	anger	0.591	အကျင့်ပျက်
overpowering	anger	0.591	နိုင်နင်းသည်။
scare	anger	0.588	တွှေ
recalcitrant	anger	0.588	ထုံကျင်ခြင်း။
screwed	anger	0.588	လွဲသွားပြီ
accursed	anger	0.588	ကျိန်ဆဲ
soannoyed	anger	0.588	စိတ်ဆိုးသည်။
invader	anger	0.588	ကြီးမှ
jealousy	anger	0.587	မနာလိုမှု
indignation	anger	0.587	ဒေါသထွက်ခြင်း။
vexed	anger	0.586	စိတ်ဆိုး
confront	anger	0.582	ရင်ဆိုင်ပါ။
brute	anger	0.581	တိရစ္ဆာန်
throttle	anger	0.579	အခိုးအငွေ့
slut	anger	0.578	slut
coup	anger	0.578	အာဏာသိမ်း
blaze	anger	0.578	ညီး
pillage	anger	0.578	လုယက်မှု၊
provoking	anger	0.578	နှိုးဆော်သည်။
damage	anger	0.578	ပျက်စီးခြင်း။
criminality	anger	0.578	ရာဇ၀တ်မှု
shutup	anger	0.578	ပါးစပ်ပိတ်ထား
lash	anger	0.578	မျက်တောင်
conflict	anger	0.578	ပဋိပက္ခ
contentious	anger	0.578	အငြင်းအခုံ
shutit	anger	0.578	ပိတ်ထားသည်။
wreck	anger	0.578	ပျက်
defiant	anger	0.578	အံတုသည်။
butcher	anger	0.578	အသားရောင်းသူ
incarceration	anger	0.578	ထောင်ချခြင်း
revolver	anger	0.578	ခြောက်လုံးပြူး
bickering	anger	0.578	ရန်ဖြစ်ခြင်း။
yousuck	anger	0.578	အသုံးမကျဘူး
cancer	anger	0.577	ကင်ဆာ
discriminate	anger	0.576	ခွဲခြားဆက်ဆံပါ။
gun	anger	0.576	သေနတ်
frustration	anger	0.576	အလိုမကျခြင်း
gory	anger	0.576	ဂေါရီ
pernicious	anger	0.576	အန္တရာယ်ရှိသော
dontmess	anger	0.576	စိတ်မညစ်ပါ။
blasphemy	anger	0.576	စော်ကားခြင်း။
chaotic	anger	0.576	ဖရိုဖရဲ
grope	anger	0.576	စမ်းချောင်း
alienation	anger	0.576	ဖယ်ကြဉ်ခြင်း
disturbance	anger	0.576	အနှောက်အယှက်
condescension	anger	0.576	condescension
standoff	anger	0.576	မဆုတ်သာ
discord	anger	0.576	သဘောထားကွဲလွဲမှု
friggen	anger	0.575	ဖရီးဂျင်
sneer	anger	0.574	ကဲ့ရဲ့
death	anger	0.574	သေခြင်း။
lunacy	anger	0.574	ကံဆိုးခြင်း
scandalous	anger	0.574	အရှုပ်တော်ပုံ
oppressive	anger	0.574	ဖိနှိပ်သည်။
jab	anger	0.574	jab
cursed	anger	0.574	ကျိန်ဆဲ
monstrosity	anger	0.574	ရိုင်းစိုင်းမှု
shit	anger	0.573	ပြောရမှာပါ။
disparaging	anger	0.571	အပုပ်ချခြင်း။
slash	anger	0.571	မျဉ်းစောင်း
unfair	anger	0.571	မတရားဘူး။
gallows	anger	0.570	ကြိုးစင်
escalate	anger	0.569	အရှိန်မြှင့်
intolerant	anger	0.564	သည်းမခံနိုင်
lawlessness	anger	0.563	တရားမဲ့မှု
beast	anger	0.562	သားရဲ
torpedo	anger	0.562	တော်ပီဒို
malign	anger	0.562	မကောင်းသော
traitor	anger	0.562	သစ္စာဖောက်
frightful	anger	0.562	ကြောက်စရာ
wrangling	anger	0.562	ရန်ဖြစ်ခြင်း။
slander	anger	0.562	ဆဲဆိုခြင်း၊
bellows	anger	0.562	ဖားဖို
retards	anger	0.562	နောက်ကျသည်။
grouchy	anger	0.562	ဝမ်းလျှောခြင်း။
derogatory	anger	0.562	ညစ်ညမ်းသော
bearish	anger	0.562	bearish
invade	anger	0.562	ကျူးကျော်
perdition	anger	0.562	ပျက်စီးခြင်း
arghh	anger	0.562	အာဟ
dreadful	anger	0.562	ကြောက်စရာကောင်းသော
bluddy	anger	0.562	မှုန်ကုပ်ကုပ်
deceived	anger	0.562	လှည့်စားသည်။
glare	anger	0.562	တောက်ပ
taunt	anger	0.562	ကဲ့ရဲ့ခြင်း
dissension	anger	0.561	အကွဲအပြဲ
cross	anger	0.561	လက်ဝါးကပ်တိုင်
rave	anger	0.561	အရူး
grating	anger	0.561	ဆန်ခါ
