English Word	Emotion	Emotion-Intensity-Score	Lao Word
clash	anger	0.783	ການປະທະກັນ
quarrel	anger	0.781	ຜິດຖຽງກັນ
bloody	anger	0.781	ເລືອດ
hellish	anger	0.781	hellish
sinister	anger	0.781	ຮ້າຍກາດ
loath	anger	0.781	ຂີ້ຄ້ານ
detonation	anger	0.781	ການລະເບີດ
accusing	anger	0.779	ກ່າວຫາ
fumin	anger	0.779	ຟູມິນ
hateeee	anger	0.779	ຊັງ
treacherous	anger	0.779	ທໍລະຍົດ
madder	anger	0.773	madder
horrific	anger	0.773	ເປັນຕາຢ້ານ
revulsion	anger	0.773	reulsion
retaliate	anger	0.773	ແກ້ແຄ້ນ
scorn	anger	0.769	ດູຖູກ
bomb	anger	0.766	ລະເບີດ
deplorable	anger	0.766	ໜ້າເສົ້າໃຈ
devastation	anger	0.765	ຄວາມເສຍຫາຍ
anarchist	anger	0.765	ອະນາທິປະໄຕ
firestorm	anger	0.765	ພະຍຸໄຟ
resent	anger	0.765	ຕົກໃຈ
contemptible	anger	0.764	ດູຖູກ
shittest	anger	0.760	shittest
rant	anger	0.758	ວຸ້ນວາຍ
cruel	anger	0.758	ໂຫດຮ້າຍ
deadly	anger	0.758	ຕາຍ
smash	anger	0.758	ຕີ
soangry	anger	0.758	ໃຈ​ຮ້າຍ
outburst	anger	0.757	ລະເບີດ
snarl	anger	0.754	ສຽງດັງ
profane	anger	0.750	ດູຖູກ
revolting	anger	0.750	ການປະຕິວັດ
aggravating	anger	0.750	ຮ້າຍແຮງຂຶ້ນ
horror	anger	0.750	horror
despise	anger	0.750	ດູຖູກ
offend	anger	0.750	ກະທໍາຜິດ
stfu	anger	0.750	stfu
vulgarity	anger	0.750	ຄວາມຫຍາບຄາຍ
crazed	anger	0.750	ບ້າ
douchebags	anger	0.750	douchebags
growling	anger	0.750	ຮ້ອງໄຫ້
dontmesswithme	anger	0.750	dontmess ກັບຂ້ອຍ
screaming	anger	0.742	ຮ້ອງ
threat	anger	0.742	ໄພຂົ່ມຂູ່
erupt	anger	0.742	ລະເບີດ
horrible	anger	0.742	ເປັນຕາຢ້ານ
molestation	anger	0.742	ການຂົ່ມເຫັງ
fuckedoff	anger	0.742	fuckedoff
violence	anger	0.742	ຄວາມ​ຮຸນ​ແຮງ
bastards	anger	0.741	ຄົນຂີ້ຕົວະ
revenge	anger	0.738	ແກ້ແຄ້ນ
menacing	anger	0.735	ຂົ່ມຂູ່
crushing	anger	0.735	ຂັດ
damn	anger	0.735	ສາບແຊ່ງ
catastrophe	anger	0.735	ໄພພິບັດ
demon	anger	0.735	ຜີປີສາດ
argue	anger	0.734	ໂຕ້ຖຽງ
persecute	anger	0.734	ຂົ່ມເຫັງ
deplore	anger	0.734	ໂມໂຫ
flog	anger	0.734	ຟອກ
fedup	anger	0.734	ເບື່ອ
riotous	anger	0.734	ວຸ້ນວາຍ
vehement	anger	0.734	ຄວາມ​ຮຸນ​ແຮງ
revolt	anger	0.734	ການ​ປະ​ທ້ວງ
warfare	anger	0.734	ສົງຄາມ
thrash	anger	0.734	ທຸບ
altercation	anger	0.729	ການ​ຂັດ​ແຍ້ງ
warlike	anger	0.728	ຄ້າຍ​ສູ້​ຮົບ
shitday	anger	0.727	shitday
mutiny	anger	0.727	ການ​ປະ​ທະ​ກັນ
castrate	anger	0.727	castrate
sabotage	anger	0.727	ການ​ໂຈມ​ຕີ
malevolent	anger	0.721	ຮ້າຍກາດ
strike	anger	0.721	ການປະທ້ວງ
disaster	anger	0.721	ໄພພິບັດ
disastrous	anger	0.720	ໄພພິບັດ
bastarding	anger	0.719	ຂີ້ຄ້ານ
treachery	anger	0.719	ການທໍລະຍົດ
arseholes	anger	0.719	ຂຸມຂີ້ເຫຍື້ອ
horseshit	anger	0.719	ມ້າ
slay	anger	0.719	ຂ້າ
disdain	anger	0.719	ດູຖູກ
aggravates	anger	0.719	ຮ້າຍແຮງຂຶ້ນ
brutal	anger	0.719	ໂຫດຮ້າຍ
scorching	anger	0.719	ໄໝ້
devil	anger	0.719	ມານ
madden	anger	0.719	ໃຈຮ້າຍ
spiteful	anger	0.719	ຂີ້ຮ້າຍ
scream	anger	0.719	ຮ້ອງ
choke	anger	0.719	ຊັກ
vermin	anger	0.719	ສັດຕູພືດ
tumult	anger	0.719	ວຸ້ນວາຍ
criminal	anger	0.714	ຄະດີອາຍາ
mangle	anger	0.714	ຂີ້ແຮ້
anarchism	anger	0.714	ອະທິປະໄຕ
mutilation	anger	0.714	ການຂັດຂືນ
denunciation	anger	0.713	ການປະນາມ
punch	anger	0.713	ດີໃຈຫລາຍ
virulence	anger	0.712	ຄວາມຮຸນແຮງ
fatal	anger	0.712	ຕາຍ
hurting	anger	0.712	ເຈັບ
crucifixion	anger	0.712	ການຄຶງ
dontlikeyou	anger	0.712	ບໍ່ມັກເຈົ້າ
blasphemous	anger	0.712	ໝິ່ນປະໝາດ
holocaust	anger	0.712	ຄວາມ​ເສຍ​ຫາຍ
dumbasses	anger	0.712	dumbasses
battled	anger	0.712	ສູ້ຮົບ
deranged	anger	0.706	ເສື່ອມ
irritated	anger	0.706	ລະຄາຍເຄືອງ
atrocious	anger	0.706	ໂຫດຮ້າຍ
evil	anger	0.706	ຊົ່ວຮ້າຍ
aggravated	anger	0.703	ຮ້າຍແຮງຂຶ້ນ
intimidation	anger	0.703	ການຂົ່ມຂູ່
dicks	anger	0.703	ໝາກເຜັດ
assassin	anger	0.703	ນັກ​ຂ້າ
scolding	anger	0.703	scolding
persecution	anger	0.703	ການຂົ່ມເຫັງ
slayer	anger	0.703	ຜູ້ຂ້າ
kidnap	anger	0.703	ລັກພາຕົວ
aggression	anger	0.702	ການຮຸກຮານ
armed	anger	0.700	ປະກອບອາວຸດ
battle	anger	0.697	ຮົບ
poison	anger	0.697	ພິດ
snarling	anger	0.697	snarling
venom	anger	0.697	ພິດ
disgruntled	anger	0.693	ບໍ່ພໍໃຈ
resentment	anger	0.691	ຄວາມຄຽດແຄ້ນ
assailant	anger	0.691	ຜູ້​ໂຈມ​ຕີ
insidious	anger	0.691	insidious
contemptuous	anger	0.690	ດູຖູກ
lynch	anger	0.690	lynch
temper	anger	0.688	ອາລົມ
terrible	anger	0.688	ຂີ້ຮ້າຍ
disparage	anger	0.688	ດູຖູກ
lunatic	anger	0.688	ຂີ້ຕົວະ
bully	anger	0.688	ຂົ່ມເຫັງ
mad	anger	0.688	ບ້າ
makesmemad	anger	0.688	ເຄື່ອງແຕ່ງກາຍ
infanticide	anger	0.688	ຢາຂ້າເດັກນ້ອຍ
domination	anger	0.688	ການປົກຄອງ
peeved	anger	0.688	ຕົກໃຈ
imprisonment	anger	0.688	ຈໍາຄຸກ
curse	anger	0.688	ສາບແຊ່ງ
volatility	anger	0.687	ການເຫນັງຕີງ
eradication	anger	0.685	ການ​ລົບ​ລ້າງ
eradicate	anger	0.682	ລົບ​ລ້າງ
tantrum	anger	0.682	ວຸ້ນວາຍ
scoundrel	anger	0.682	ຄົນຂີ້ຄ້ານ
devastate	anger	0.682	ທຳລາຍ
aggressively	anger	0.680	ຮຸກຮານ
agitation	anger	0.680	ວຸ້ນວາຍ
dictatorship	anger	0.676	ລະບອບຜະເດັດການ
irritates	anger	0.676	ລະຄາຍເຄືອງ
profanity	anger	0.673	ພາສາຫຍາບຄາຍ
shove	anger	0.672	ຊ້ວນ
nasty	anger	0.672	ຂີ້ຮ້າຍ
shot	anger	0.672	ແຊງ
cruelly	anger	0.672	ໂຫດຮ້າຍ
shoot	anger	0.672	ຍິງ
condemnation	anger	0.672	ການກ່າວໂທດ
crushed	anger	0.672	ເມ່ືອຍ່ອງ
aggravation	anger	0.672	ຮ້າຍແຮງຂຶ້ນ
poisonous	anger	0.672	ເປັນພິດ
egregious	anger	0.672	ຂີ້ຮ້າຍ
crime	anger	0.672	ອາຊະຍາກໍາ
corrupting	anger	0.672	ສໍ້​ລາດ​ບັງ​ຫຼວງ​
dastardly	anger	0.672	ຕົກໃຈ
contempt	anger	0.672	ການດູຖູກ
harmful	anger	0.672	ເປັນອັນຕະລາຍ
expletive	anger	0.672	ອະທິບາຍ
wreak	anger	0.672	ເສຍຫາຍ
maniac	anger	0.670	maniac
cutthroat	anger	0.667	ຕັດຄໍ
enemy	anger	0.667	ສັດຕູ
hit	anger	0.667	ຕີ
hateeveryone	anger	0.667	ຊັງ​ທຸກ​ຄົນ
eruption	anger	0.667	ການລະເບີດ
irritable	anger	0.667	ລະຄາຍເຄືອງ
odious	anger	0.667	ຂີ້ຮ້າຍ
shooting	anger	0.667	ຍິງ
shout	anger	0.667	ຮ້ອງ
aggressive	anger	0.667	ຮຸກຮານ
kick	anger	0.667	ເຕະ
combat	anger	0.667	ການຕໍ່ສູ້
fight	anger	0.667	ຕໍ່​ສູ້
punished	anger	0.662	ຖືກລົງໂທດ
yell	anger	0.661	ຮ້ອງ
ambush	anger	0.661	ໂຈນ
harass	anger	0.659	ຂົ່ມເຫັງ
malignant	anger	0.656	ຮ້າຍກາດ
aggressor	anger	0.656	ຜູ້ຮຸກຮານ
gore	anger	0.656	gore
destruction	anger	0.656	ການທໍາລາຍ
grudge	anger	0.656	ໃຈຮ້າຍ
antichrist	anger	0.656	ຕ້ານພຣະຄຣິດ
incense	anger	0.656	ທູບ
expel	anger	0.656	ຂັບໄລ່
cranky	anger	0.653	ໃຈຮ້າຍ
slave	anger	0.652	ທາດ
reprisal	anger	0.652	ການແກ້ແຄ້ນ
growl	anger	0.652	ແກວ່ງ
animosity	anger	0.652	ສັດຮ້າຍ
insurrection	anger	0.652	ການ​ກະ​ບົດ
clashing	anger	0.652	ການປະທະກັນ
denounce	anger	0.652	ປະນາມ
offended	anger	0.652	ໃຈຮ້າຍ
spank	anger	0.652	ປາກ
insulting	anger	0.652	ດູຖູກ
growls	anger	0.649	ຈົ່ມ
executioner	anger	0.644	ປະຫານຊີວິດ
twat	anger	0.644	twat
doomsday	anger	0.643	ມື້ໂລກາພິວັດ
obscenity	anger	0.641	ອະນາຈານ
accused	anger	0.641	ຖືກກ່າວຫາ
feud	anger	0.641	feud
daemon	anger	0.641	ເດມອນ
havoc	anger	0.641	ອັນຕະລາຍ
shackle	anger	0.641	shackle
inexcusable	anger	0.641	ແກ້ຕົວບໍ່ໄດ້
indignant	anger	0.641	ໃຈຮ້າຍ
grr	anger	0.641	grr
expulsion	anger	0.641	ການຂັບໄລ່
bombard	anger	0.641	ລະເບີດ
spat	anger	0.641	ຖົ່ມນ້ຳລາຍ
arson	anger	0.641	ການຈູດເຜົາ
reprimand	anger	0.641	ຕໍານິ
somad	anger	0.637	somad
frustrated	anger	0.636	ອຸກໃຈ
batter	anger	0.636	batter
kicking	anger	0.636	ເຕະ
anarchy	anger	0.636	ອະທິປະໄຕ
spanking	anger	0.636	ການຕີ
glaring	anger	0.636	ແນມເບິ່ງ
suicidal	anger	0.636	ຂ້າ​ຕົວ​ຕາຍ
disgusting	anger	0.636	ໜ້າກຽດຊັງ
wound	anger	0.636	ບາດແຜ
hanging	anger	0.636	ຫ້ອຍ
poisoned	anger	0.636	ເບື່ອ
combatant	anger	0.636	ນັກຮົບ
wrecked	anger	0.633	ເສຍຫາຍ
inflict	anger	0.633	ຂົ່ມເຫັງ
grievous	anger	0.632	ໂສກ​ເສົ້າ
prosecute	anger	0.630	ດໍາເນີນຄະດີ
agitated	anger	0.630	ວຸ້ນວາຍ
cheat	anger	0.630	ໂກງ
swastika	anger	0.627	ສະວາສຕິກ
injure	anger	0.625	ບາດ​ເຈັບ
indict	anger	0.625	ຟ້ອງ
scourge	anger	0.625	ເຄາະຮ້າຍ
provocation	anger	0.625	ການກະຕຸ້ນ
suffocation	anger	0.625	ຫາຍໃຈຍາກ
strife	anger	0.625	ການປະທະກັນ
raid	anger	0.625	ການໂຈມຕີ
enslaved	anger	0.625	ເປັນທາດ
cursing	anger	0.625	ສາບແຊ່ງ
defamatory	anger	0.625	ໝິ່ນປະໝາດ
harassing	anger	0.625	ຂົ່ມເຫັງ
thundering	anger	0.625	ຟ້າຮ້ອງ
betray	anger	0.625	ທໍລະຍົດ
arsehole	anger	0.624	ຂຸມຂີ້ເຫຍື້ອ
theft	anger	0.621	ການລັກ
insane	anger	0.621	ບ້າ
retaliation	anger	0.621	ການຕອບໂຕ້
irritate	anger	0.621	ລະຄາຍເຄືອງ
deprivation	anger	0.621	ການ​ຂາດ​ແຄນ
fiend	anger	0.621	ສັດຕູ
jerk	anger	0.621	ກະຕຸກ
convict	anger	0.621	ນັກໂທດ
cussed	anger	0.619	cussed
turmoil	anger	0.618	ຄວາມວຸ່ນວາຍ
smack	anger	0.615	ຕີ
retribution	anger	0.614	ການແກ້ແຄ້ນ
rebellion	anger	0.609	ການກະບົດ
oppressor	anger	0.609	ຜູ້ບີບບັງຄັບ
gang	anger	0.609	ແກວ່ງ
slavery	anger	0.609	ການເປັນຂ້າທາດ
intolerable	anger	0.609	ທົນບໍ່ໄດ້
adverse	anger	0.609	ທາງລົບ
injurious	anger	0.609	ບາດເຈັບ
twats	anger	0.609	twats
collision	anger	0.609	ການປະທະກັນ
battery	anger	0.609	ຫມໍ້ໄຟ
bitterly	anger	0.609	ຂົມຂື່ນ
antagonism	anger	0.609	ການເປັນສັດຕູກັນ
irritability	anger	0.609	ອາການຄັນຄາຍ
disgraced	anger	0.608	ອັບອາຍຂາຍໜ້າ
diatribe	anger	0.606	ພະຍາດເບົາຫວານ
asshole	anger	0.606	ຮູກົ້ນ
blast	anger	0.606	ລະເບີດ
bombardment	anger	0.606	ການ​ວາງ​ລະ​ເບີດ
irks	anger	0.606	irks
ranting	anger	0.606	ການເວົ້າຫຍາບຄາຍ
revolution	anger	0.606	ການປະຕິວັດ
thug	anger	0.606	ໂຈນ
antagonistic	anger	0.606	ເປັນສັດຕູກັນ
irritating	anger	0.606	ລະຄາຍເຄືອງ
sickening	anger	0.606	ເຈັບ​ປ່ວຍ
discrimination	anger	0.606	ການຈໍາແນກ
frustrate	anger	0.604	ອຸກໃຈ
insult	anger	0.603	ດູຖູກ
hurtful	anger	0.603	ເຈັບປວດ
oppression	anger	0.603	ການກົດຂີ່
manipulation	anger	0.603	ການຫມູນໃຊ້
tiredofit	anger	0.603	ເມື່ອຍ
bigot	anger	0.603	ໃຫຍ່
tension	anger	0.603	ຄວາມກົດດັນ
disgust	anger	0.602	ກຽດຊັງ
spite	anger	0.600	ແມ້ແຕ່
intrusive	anger	0.598	ບຸກລຸກ
harshness	anger	0.597	ຄວາມໂຫດຮ້າຍ
slur	anger	0.596	ຂີ້ຄ້ານ
tempest	anger	0.594	ລົມພາຍຸ
assail	anger	0.594	ໂຈມຕີ
bitterness	anger	0.594	ຄວາມຂົມຂື່ນ
morbidity	anger	0.594	ພະຍາດ
casualty	anger	0.594	ບາດເຈັບ
puncture	anger	0.594	ເຈາະ
miserable	anger	0.594	ໂສກເສົ້າ
inferno	anger	0.594	inferno
invasion	anger	0.594	ການບຸກລຸກ
storming	anger	0.594	ພາຍຸ
wretch	anger	0.594	ຄົນຊົ່ວ
consternation	anger	0.592	ຄວາມ​ເປັນ​ຫ່ວງ
raving	anger	0.591	ລົມແຮງ
forcibly	anger	0.591	ບັງຄັບ
guillotine	anger	0.591	ກີໂລຕິນ
guilty	anger	0.591	ມີຄວາມຜິດ
depraved	anger	0.591	ຂີ້ຄ້ານ
immoral	anger	0.591	ຜິດສິນລະທຳ
overpowering	anger	0.591	overpowering
scare	anger	0.588	ຢ້ານ
recalcitrant	anger	0.588	recalcitrant
screwed	anger	0.588	screwed
accursed	anger	0.588	ຖືກສາບແຊ່ງ
soannoyed	anger	0.588	ຕົກໃຈ
invader	anger	0.588	ຜູ້ຮຸກຮານ
jealousy	anger	0.587	ອິດສາ
indignation	anger	0.587	ຄວາມຄຽດແຄ້ນ
vexed	anger	0.586	ວຸ້ນວາຍ
confront	anger	0.582	ປະເຊີນຫນ້າ
brute	anger	0.581	ສັດຮ້າຍ
throttle	anger	0.579	throttle
slut	anger	0.578	ງາ
coup	anger	0.578	ລັດຖະປະຫານ
blaze	anger	0.578	ໄໝ້
pillage	anger	0.578	ການລັກລອບ
provoking	anger	0.578	ກະຕຸ້ນ
damage	anger	0.578	ຄວາມເສຍຫາຍ
criminality	anger	0.578	ຄະດີອາຍາ
shutup	anger	0.578	ຫຸບ​ປາກ
lash	anger	0.578	ຂົນຕາ
conflict	anger	0.578	ຂໍ້ຂັດແຍ່ງ
contentious	anger	0.578	ຂັດແຍ້ງ
shutit	anger	0.578	ປິດ
wreck	anger	0.578	ຊາກ
defiant	anger	0.578	ຕ້ານ
butcher	anger	0.578	ຄົນຂາຍຊີ້ນ
incarceration	anger	0.578	ການ​ຕິດ​ຄຸກ
revolver	anger	0.578	ປືນຫມູນວຽນ
bickering	anger	0.578	ຜິດຖຽງກັນ
yousuck	anger	0.578	ເຈົ້າ​ຫ່ວຍ
cancer	anger	0.577	ມະເຮັງ
discriminate	anger	0.576	ຈໍາແນກ
gun	anger	0.576	ປືນ
frustration	anger	0.576	ຄວາມອຸກອັ່ງ
gory	anger	0.576	gory
pernicious	anger	0.576	ອັນຕະລາຍ
dontmess	anger	0.576	dontmes
blasphemy	anger	0.576	ການໝິ່ນປະໝາດ
chaotic	anger	0.576	ວຸ່ນວາຍ
grope	anger	0.576	grope
alienation	anger	0.576	ຄວາມແປກປະຫຼາດ
disturbance	anger	0.576	ລົບກວນ
condescension	anger	0.576	condescension
standoff	anger	0.576	ການ​ປະ​ທະ​ກັນ
discord	anger	0.576	ຄວາມຂັດແຍ້ງ
friggen	anger	0.575	ຕູ້ເຢັນ
sneer	anger	0.574	ເຍາະເຍີ້ຍ
death	anger	0.574	ການເສຍຊີວິດ
lunacy	anger	0.574	ຂີ້ຕົວະ
scandalous	anger	0.574	ຂີ້ຄ້ານ
oppressive	anger	0.574	ຂົ່ມເຫັງ
jab	anger	0.574	ກະດ້າງ
cursed	anger	0.574	ຖືກສາບແຊ່ງ
monstrosity	anger	0.574	ຮ້າຍກາດ
shit	anger	0.573	shit
disparaging	anger	0.571	ດູຖູກ
slash	anger	0.571	ທັບ
unfair	anger	0.571	ບໍ່ຍຸດຕິທຳ
gallows	anger	0.570	ຕ່ອມ
escalate	anger	0.569	ເພີ້ມຂຶ້ນ
intolerant	anger	0.564	ໃຈ​ຮ້າຍ
lawlessness	anger	0.563	ຄວາມ​ບໍ່​ມີ​ກົດ​ໝາຍ
beast	anger	0.562	ສັດເດຍລະສານ
torpedo	anger	0.562	torpedo
malign	anger	0.562	ພະຍາດ
traitor	anger	0.562	ຄົນທໍລະຍົດ
frightful	anger	0.562	ຢ້ານ
wrangling	anger	0.562	ຜິດຖຽງກັນ
slander	anger	0.562	ໃສ່ຮ້າຍປ້າຍສີ
bellows	anger	0.562	ເປົ່າລົມ
retards	anger	0.562	ຊັກຊ້າ
grouchy	anger	0.562	grouchy
derogatory	anger	0.562	ເສຍຫາຍ
bearish	anger	0.562	ອ່ອນເພຍ
invade	anger	0.562	ບຸກລຸກ
perdition	anger	0.562	perdition
arghh	anger	0.562	ອ້າວ
dreadful	anger	0.562	ເປັນຕາຢ້ານ
bluddy	anger	0.562	ຕາບອດ
deceived	anger	0.562	ຫຼອກລວງ
glare	anger	0.562	ແສງສະທ້ອນ
taunt	anger	0.562	ເຍາະເຍີ້ຍ
dissension	anger	0.561	ຄວາມແຕກແຍກ
cross	anger	0.561	ຂ້າມ
rave	anger	0.561	rave
grating	anger	0.561	grating
devastating	anger	0.561	ຮ້າຍກາດ
fits	anger	0.561	ເຫມາະ
jeopardize	anger	0.561	ອັນຕະລາຍ
shatter	anger	0.561	ແຕກຫັກ
idiots	anger	0.561	ຄົນໂງ່
hurt	anger	0.561	ເຈັບ
thief	anger	0.561	ໂຈນ
uncontrollable	anger	0.561	ບໍ່ສາມາດຄວບຄຸມໄດ້
conflagration	anger	0.561	conflagration
betrayal	anger	0.561	ການທໍລະຍົດ
banshee	anger	0.561	banshee
subjugation	anger	0.559	subjugation
disturbed	anger	0.559	ຖືກລົບກວນ
stomped	anger	0.557	ຍ່າງ
grab	anger	0.557	ຈັບ
grievance	anger	0.556	ຄຳຮ້ອງທຸກ
ticked	anger	0.556	ຫມາຍຕິກ
masochism	anger	0.556	masochism
