English Word	Emotion	Emotion-Intensity-Score	Gujarati Word
assassination	anger	0.859	હત્યા
strangle	anger	0.859	ગળું દબાવવું
hostility	anger	0.859	દુશ્મનાવટ
assault	anger	0.859	હુમલો
explode	anger	0.859	વિસ્ફોટ
tirade	anger	0.859	તિરાડ
loathsome	anger	0.857	ઘૃણાસ્પદ
hell	anger	0.853	નરક
murderous	anger	0.853	ખૂની
attack	anger	0.853	હુમલો
malice	anger	0.852	દ્વેષ
terrorism	anger	0.851	આતંકવાદ
beating	anger	0.849	મારવું
outrage	anger	0.848	આક્રોશ
desecration	anger	0.848	અપવિત્રતા
pissingmeoff	anger	0.848	pissingmeoff
destroying	anger	0.844	નાશ કરે છે
slaughter	anger	0.844	કતલ
irate	anger	0.844	ક્રોધિત
violent	anger	0.844	હિંસક
stab	anger	0.844	છરા
abomination	anger	0.844	ઘૃણા
tumultuous	anger	0.844	તોફાની
infuriate	anger	0.844	ગુસ્સે થવું
obliterate	anger	0.843	નાબૂદ કરવું
belligerent	anger	0.841	લડાયક
dumbbitch	anger	0.841	ડમ્બબિચ
detest	anger	0.838	ધિક્કાર
hostilities	anger	0.837	દુશ્મનાવટ
prick	anger	0.835	પ્રિક
rampage	anger	0.833	ક્રોધાવેશ
horrid	anger	0.833	ભયાનક
cruelty	anger	0.833	ક્રૂરતા
torture	anger	0.833	ત્રાસ
rabid	anger	0.833	હડકાયું
despicable	anger	0.828	ધિક્કારપાત્ર
tyrannical	anger	0.828	જુલમી
demonic	anger	0.828	શૈતાની
satanic	anger	0.828	શેતાની
hate	anger	0.828	નફરત
ragemode	anger	0.828	રેજમોડ
hating	anger	0.828	નફરત
ruinous	anger	0.825	વિનાશકારી
condemn	anger	0.825	નિંદા
riots	anger	0.824	રમખાણો
demolish	anger	0.824	તોડી પાડવું
angry	anger	0.824	ગુસ્સો
extermination	anger	0.824	સંહાર
dickhead	anger	0.824	ડિકહેડ
livid	anger	0.821	આજીવન
madman	anger	0.820	પાગલ
vindictive	anger	0.819	પ્રતિશોધક
terrorist	anger	0.818	આતંકવાદી
threaten	anger	0.818	ધમકી
venomous	anger	0.818	ઝેરી
hateyou	anger	0.818	તને ધિક્કાર છે
ferocity	anger	0.818	વિકરાળતા
effyou	anger	0.818	effyou
abhor	anger	0.816	તિરસ્કાર
carnage	anger	0.814	હત્યાકાંડ
savage	anger	0.814	ક્રૂર
atrocity	anger	0.814	અત્યાચાર
fucksake	anger	0.812	વાહિયાત
abuse	anger	0.812	ગા ળ
fierce	anger	0.812	ઉગ્ર
destroyer	anger	0.812	વિનાશક
angrytweet	anger	0.812	ગુસ્સે ટ્વિટ
barbaric	anger	0.812	અસંસ્કારી
vendetta	anger	0.812	બદલો
pissesmeoff	anger	0.812	pissesmeoff
pissedoff	anger	0.812	નારાજ
tyrant	anger	0.812	જુલમી
berserk	anger	0.812	નિડર
fuming	anger	0.812	ધુમાડો
anger	anger	0.811	ગુસ્સો
pieceofshit	anger	0.810	ટુકડો
punched	anger	0.803	મુક્કો માર્યો
punching	anger	0.803	મુક્કો
slam	anger	0.803	સ્લેમ
homicide	anger	0.803	હત્યા
bitch	anger	0.803	કૂતરી
fights	anger	0.803	ઝઘડા
ruthless	anger	0.797	નિર્દય
villainous	anger	0.797	ખલનાયક
destructive	anger	0.797	વિનાશક
slap	anger	0.791	થપ્પડ
riot	anger	0.788	હુલ્લડ
growthefuckup	anger	0.788	વૃદ્ધિ
punishing	anger	0.788	સજા
slaughterhouse	anger	0.788	કતલખાનું
yelling	anger	0.788	ચીસો પાડવી
diabolical	anger	0.788	શેતાની
destroyed	anger	0.788	નાશ
ragetweet	anger	0.788	રાગેટ્વીટ
retaliatory	anger	0.788	પ્રતિશોધ
manslaughter	anger	0.783	હત્યા
clash	anger	0.783	અથડામણ
quarrel	anger	0.781	ઝઘડો
bloody	anger	0.781	લોહિયાળ
hellish	anger	0.781	નરક
sinister	anger	0.781	એકદમ વિચિત્ર
loath	anger	0.781	તિરસ્કાર
detonation	anger	0.781	વિસ્ફોટ
accusing	anger	0.779	આરોપ મૂકે છે
fumin	anger	0.779	ફ્યુમિન
hateeee	anger	0.779	hateeee
treacherous	anger	0.779	વિશ્વાસઘાત
madder	anger	0.773	ગાંડપણ
horrific	anger	0.773	ભયાનક
revulsion	anger	0.773	બળવો
retaliate	anger	0.773	બદલો લેવો
scorn	anger	0.769	તિરસ્કાર
bomb	anger	0.766	બૉમ્બ
deplorable	anger	0.766	દુ:ખદાયક
devastation	anger	0.765	વિનાશ
anarchist	anger	0.765	અરાજકતાવાદી
firestorm	anger	0.765	આગનું તોફાન
resent	anger	0.765	રોષ
contemptible	anger	0.764	ધિક્કારપાત્ર
shittest	anger	0.760	સૌથી ખરાબ
rant	anger	0.758	બડબડાટ
cruel	anger	0.758	ક્રૂર
deadly	anger	0.758	જીવલેણ
smash	anger	0.758	તોડવું
soangry	anger	0.758	સોન્ગરી
outburst	anger	0.757	વિસ્ફોટ
snarl	anger	0.754	ઘોંઘાટ
profane	anger	0.750	અપવિત્ર
revolting	anger	0.750	બળવો
aggravating	anger	0.750	ઉત્તેજક
horror	anger	0.750	ભયાનક
despise	anger	0.750	તિરસ્કાર
offend	anger	0.750	અપરાધ
stfu	anger	0.750	stfu
vulgarity	anger	0.750	અશ્લીલતા
crazed	anger	0.750	ઉન્મત્ત
douchebags	anger	0.750	ડૂચબેગ્સ
growling	anger	0.750	ગર્જના
dontmesswithme	anger	0.750	મારી સાથે ન કરો
screaming	anger	0.742	ચીસો
threat	anger	0.742	ધમકી
erupt	anger	0.742	ફૂટવું
horrible	anger	0.742	ભયાનક
molestation	anger	0.742	છેડતી
fuckedoff	anger	0.742	વાહિયાત
violence	anger	0.742	હિંસા
bastards	anger	0.741	બાસ્ટર્ડ્સ
revenge	anger	0.738	બદલો
menacing	anger	0.735	જોખમકારક
crushing	anger	0.735	પિલાણ
damn	anger	0.735	શાબ્દિક
catastrophe	anger	0.735	આપત્તિ
demon	anger	0.735	રાક્ષસ
argue	anger	0.734	દલીલ કરવી
persecute	anger	0.734	સતાવણી
deplore	anger	0.734	નિંદા કરવી
flog	anger	0.734	કોરડા
fedup	anger	0.734	ત્રાસી જવું
riotous	anger	0.734	તોફાની
vehement	anger	0.734	ઉગ્ર
revolt	anger	0.734	બળવો
warfare	anger	0.734	યુદ્ધ
thrash	anger	0.734	થ્રેશ
altercation	anger	0.729	બોલાચાલી
warlike	anger	0.728	લડાયક
shitday	anger	0.727	શિટડે
mutiny	anger	0.727	બળવો
castrate	anger	0.727	કાસ્ટ્રેટ
sabotage	anger	0.727	તોડફોડ
malevolent	anger	0.721	દુષ્ટ
strike	anger	0.721	હડતાલ
disaster	anger	0.721	આપત્તિ
disastrous	anger	0.720	વિનાશક
bastarding	anger	0.719	બદનામ
treachery	anger	0.719	વિશ્વાસઘાત
arseholes	anger	0.719	અર્શહોલ્સ
horseshit	anger	0.719	હોર્સશીટ
slay	anger	0.719	હત્યા
disdain	anger	0.719	તિરસ્કાર
aggravates	anger	0.719	ઉત્તેજિત કરે છે
brutal	anger	0.719	ઘાતકી
scorching	anger	0.719	સળગતું
devil	anger	0.719	શેતાન
madden	anger	0.719	પાગલ
spiteful	anger	0.719	દ્વેષપૂર્ણ
scream	anger	0.719	ચીસો
choke	anger	0.719	ગૂંગળામણ
vermin	anger	0.719	જીવાત
tumult	anger	0.719	કોલાહલ
criminal	anger	0.714	ગુનેગાર
mangle	anger	0.714	મંગલ
anarchism	anger	0.714	અરાજકતા
mutilation	anger	0.714	અંગછેદન
denunciation	anger	0.713	નિંદા
punch	anger	0.713	મુક્કો
virulence	anger	0.712	વિષમતા
fatal	anger	0.712	જીવલેણ
hurting	anger	0.712	નુકસાન પહોંચાડે છે
crucifixion	anger	0.712	વધસ્તંભ
dontlikeyou	anger	0.712	તમને પસંદ નથી
blasphemous	anger	0.712	નિંદાત્મક
holocaust	anger	0.712	હોલોકોસ્ટ
dumbasses	anger	0.712	dumbasses
battled	anger	0.712	લડાઈ
deranged	anger	0.706	વિકૃત
irritated	anger	0.706	ચિડાઈ ગયેલું
atrocious	anger	0.706	અત્યાચારી
evil	anger	0.706	દુષ્ટ
aggravated	anger	0.703	ઉત્તેજિત
intimidation	anger	0.703	ધાકધમકી
dicks	anger	0.703	ડિક્સ
assassin	anger	0.703	હત્યારો
scolding	anger	0.703	નિંદા
persecution	anger	0.703	સતાવણી
slayer	anger	0.703	ખૂની
kidnap	anger	0.703	અપહરણ
aggression	anger	0.702	આક્રમકતા
armed	anger	0.700	સશસ્ત્ર
battle	anger	0.697	યુદ્ધ
poison	anger	0.697	ઝેર
snarling	anger	0.697	snarling
venom	anger	0.697	ઝેર
disgruntled	anger	0.693	અસંતુષ્ટ
resentment	anger	0.691	રોષ
assailant	anger	0.691	હુમલો કરનાર
insidious	anger	0.691	કપટી
contemptuous	anger	0.690	અપમાનજનક
lynch	anger	0.690	લિંચ
temper	anger	0.688	ગુસ્સો
terrible	anger	0.688	ભયંકર
disparage	anger	0.688	અપમાન
lunatic	anger	0.688	પાગલ
bully	anger	0.688	દાદાગીરી
mad	anger	0.688	પાગલ
makesmemad	anger	0.688	બનાવે છે
infanticide	anger	0.688	બાળહત્યા
domination	anger	0.688	વર્ચસ્વ
peeved	anger	0.688	ચીડવું
imprisonment	anger	0.688	કેદ
curse	anger	0.688	શાપ
volatility	anger	0.687	અસ્થિરતા
eradication	anger	0.685	નાબૂદી
eradicate	anger	0.682	નાબૂદ
tantrum	anger	0.682	ક્રોધાવેશ
scoundrel	anger	0.682	બદમાશ
devastate	anger	0.682	વિનાશ
aggressively	anger	0.680	આક્રમક રીતે
agitation	anger	0.680	આંદોલન
dictatorship	anger	0.676	સરમુખત્યારશાહી
irritates	anger	0.676	બળતરા કરે છે
profanity	anger	0.673	અપવિત્રતા
shove	anger	0.672	ધક્કો મારવો
nasty	anger	0.672	બીભત્સ
shot	anger	0.672	ગોળી
cruelly	anger	0.672	ક્રૂરતાથી
shoot	anger	0.672	શૂટ
condemnation	anger	0.672	નિંદા
crushed	anger	0.672	કચડી
aggravation	anger	0.672	ઉત્તેજના
poisonous	anger	0.672	ઝેરી
egregious	anger	0.672	પ્રચંડ
crime	anger	0.672	ગુનો
corrupting	anger	0.672	ભ્રષ્ટ
dastardly	anger	0.672	ભયંકર રીતે
contempt	anger	0.672	તિરસ્કાર
harmful	anger	0.672	હાનિકારક
expletive	anger	0.672	નિરાશાજનક
wreak	anger	0.672	બરબાદી
maniac	anger	0.670	પાગલ
cutthroat	anger	0.667	ગળું
enemy	anger	0.667	દુશ્મન
hit	anger	0.667	ફટકો
hateeveryone	anger	0.667	દરેકને નફરત
eruption	anger	0.667	વિસ્ફોટ
irritable	anger	0.667	ચીડિયા
odious	anger	0.667	ઘૃણાસ્પદ
shooting	anger	0.667	શૂટિંગ
shout	anger	0.667	પોકાર
aggressive	anger	0.667	આક્રમક
kick	anger	0.667	લાત
combat	anger	0.667	લડાઈ
fight	anger	0.667	લડાઈ
punished	anger	0.662	સજા
yell	anger	0.661	ચીસો
ambush	anger	0.661	ઓચિંતો હુમલો
harass	anger	0.659	પ રે શા ન
malignant	anger	0.656	જીવલેણ
aggressor	anger	0.656	આક્રમક
gore	anger	0.656	ગોર
destruction	anger	0.656	વિનાશ
grudge	anger	0.656	દ્વેષ
antichrist	anger	0.656	ખ્રિસ્તવિરોધી
incense	anger	0.656	ધૂપ
expel	anger	0.656	હાંકી કાઢવું
cranky	anger	0.653	વાહિયાત
slave	anger	0.652	ગુલામ
reprisal	anger	0.652	બદલો
growl	anger	0.652	ગર્જના
animosity	anger	0.652	દુશ્મનાવટ
insurrection	anger	0.652	બળવો
clashing	anger	0.652	અથડામણ
denounce	anger	0.652	નિંદા
offended	anger	0.652	નારાજ
spank	anger	0.652	ત્રાટકવું
insulting	anger	0.652	અપમાનજનક
growls	anger	0.649	ગર્જના
executioner	anger	0.644	જલ્લાદ
twat	anger	0.644	twat
doomsday	anger	0.643	કયામતનો દિવસ
obscenity	anger	0.641	અશ્લીલતા
accused	anger	0.641	આરોપી
feud	anger	0.641	ઝઘડો
daemon	anger	0.641	ડિમન
havoc	anger	0.641	પાયમાલી
shackle	anger	0.641	બેડી
inexcusable	anger	0.641	અક્ષમ્ય
indignant	anger	0.641	ગુસ્સે
grr	anger	0.641	grr
expulsion	anger	0.641	હકાલપટ્ટી
bombard	anger	0.641	બોમ્બમારો
spat	anger	0.641	થૂંકવું
arson	anger	0.641	આગ
reprimand	anger	0.641	ઠપકો
somad	anger	0.637	સોમડ
frustrated	anger	0.636	હતાશ
batter	anger	0.636	સખત મારપીટ
kicking	anger	0.636	લાત મારવી
anarchy	anger	0.636	અરાજકતા
spanking	anger	0.636	ત્રાટકવું
glaring	anger	0.636	ચમકદાર
suicidal	anger	0.636	આત્મઘાતી
disgusting	anger	0.636	ઘૃણાસ્પદ
wound	anger	0.636	ઘા
hanging	anger	0.636	અટકી
poisoned	anger	0.636	ઝેર
combatant	anger	0.636	લડાયક
wrecked	anger	0.633	બરબાદ
inflict	anger	0.633	લાદવું
grievous	anger	0.632	ગંભીર
prosecute	anger	0.630	કાર્યવાહી
agitated	anger	0.630	ઉશ્કેરાયેલ
cheat	anger	0.630	ઠગ
swastika	anger	0.627	સ્વસ્તિક
injure	anger	0.625	ઇજા પહોંચાડવી
indict	anger	0.625	આરોપ મૂકવો
scourge	anger	0.625	શાપ
provocation	anger	0.625	ઉશ્કેરણી
suffocation	anger	0.625	ગૂંગળામણ
strife	anger	0.625	ઝઘડો
raid	anger	0.625	દરોડો
enslaved	anger	0.625	ગુલામ
cursing	anger	0.625	શાપ
defamatory	anger	0.625	અપમાનજનક
harassing	anger	0.625	પજવણી
thundering	anger	0.625	ગર્જના
betray	anger	0.625	દગો
arsehole	anger	0.624	અર્શહોલ
theft	anger	0.621	ચોરી
insane	anger	0.621	પાગલ
retaliation	anger	0.621	બદલો
irritate	anger	0.621	બળતરા
deprivation	anger	0.621	વંચિતતા
fiend	anger	0.621	શોખીન
jerk	anger	0.621	આંચકો
convict	anger	0.621	દોષિત
cussed	anger	0.619	cussed
turmoil	anger	0.618	ગરબડ
smack	anger	0.615	સ્મેક
retribution	anger	0.614	બદલો
rebellion	anger	0.609	બળવો
oppressor	anger	0.609	જુલમ કરનાર
gang	anger	0.609	ટોળી
slavery	anger	0.609	ગુલામી
intolerable	anger	0.609	અસહ્ય
adverse	anger	0.609	પ્રતિકૂળ
injurious	anger	0.609	નુકસાનકારક
twats	anger	0.609	twats
collision	anger	0.609	અથડામણ
battery	anger	0.609	બેટરી
bitterly	anger	0.609	કડવાશથી
antagonism	anger	0.609	દુશ્મનાવટ
irritability	anger	0.609	ચીડિયાપણું
disgraced	anger	0.608	બદનામ
diatribe	anger	0.606	ડાયટ્રિબ
asshole	anger	0.606	ગધેડો
blast	anger	0.606	વિસ્ફોટ
bombardment	anger	0.606	તોપમારો
irks	anger	0.606	irks
ranting	anger	0.606	બડબડાટ
revolution	anger	0.606	ક્રાંતિ
thug	anger	0.606	ઠગ
antagonistic	anger	0.606	વિરોધી
irritating	anger	0.606	ચિડવવું
sickening	anger	0.606	બીમાર
discrimination	anger	0.606	ભેદભાવ
frustrate	anger	0.604	હતાશ
insult	anger	0.603	અપમાન
hurtful	anger	0.603	નુકસાનકારક
oppression	anger	0.603	જુલમ
manipulation	anger	0.603	ચાલાકી
tiredofit	anger	0.603	થાકેલા
bigot	anger	0.603	ધર્માંધ
tension	anger	0.603	તણાવ
disgust	anger	0.602	અણગમો
spite	anger	0.600	હોવા છતાં
intrusive	anger	0.598	કર્કશ
harshness	anger	0.597	કઠોરતા
slur	anger	0.596	સ્લર
tempest	anger	0.594	વાવાઝોડું
assail	anger	0.594	હુમલો
bitterness	anger	0.594	કડવાશ
morbidity	anger	0.594	રોગિષ્ઠતા
casualty	anger	0.594	જાનહાનિ
puncture	anger	0.594	પંચર
miserable	anger	0.594	કંગાળ
inferno	anger	0.594	નર્ક
invasion	anger	0.594	આક્રમણ
storming	anger	0.594	તોફાન
wretch	anger	0.594	ખરાબ
consternation	anger	0.592	ખળભળાટ
raving	anger	0.591	બડબડાટ
forcibly	anger	0.591	બળજબરીથી
guillotine	anger	0.591	ગિલોટીન
guilty	anger	0.591	દોષિત
depraved	anger	0.591	વંચિત
immoral	anger	0.591	અનૈતિક
overpowering	anger	0.591	અતિશય
scare	anger	0.588	બીક
recalcitrant	anger	0.588	અવિચારી
screwed	anger	0.588	ખરાબ
accursed	anger	0.588	શાપિત
soannoyed	anger	0.588	નારાજ
invader	anger	0.588	આક્રમણ કરનાર
jealousy	anger	0.587	ઈર્ષ્યા
indignation	anger	0.587	આક્રોશ
vexed	anger	0.586	વ્યગ્ર
confront	anger	0.582	મુકાબલો
brute	anger	0.581	જડ
throttle	anger	0.579	થ્રોટલ
slut	anger	0.578	સ્લટ
coup	anger	0.578	બળવો
blaze	anger	0.578	આગ
pillage	anger	0.578	લૂંટ
provoking	anger	0.578	ઉત્તેજક
damage	anger	0.578	નુકસાન
criminality	anger	0.578	ગુનાહિતતા
shutup	anger	0.578	ચુપ
lash	anger	0.578	ફટકો
conflict	anger	0.578	સંઘર્ષ
contentious	anger	0.578	વિવાદાસ્પદ
shutit	anger	0.578	બંધ
wreck	anger	0.578	બરબાદી
defiant	anger	0.578	ઉદ્ધત
butcher	anger	0.578	કસાઈ
incarceration	anger	0.578	કેદ
revolver	anger	0.578	રિવોલ્વર
bickering	anger	0.578	ઝઘડો
yousuck	anger	0.578	તમે ચૂસવું
cancer	anger	0.577	કેન્સર
discriminate	anger	0.576	ભેદભાવ
gun	anger	0.576	બંદૂક
frustration	anger	0.576	હતાશા
gory	anger	0.576	ગોરી
pernicious	anger	0.576	હાનિકારક
dontmess	anger	0.576	અવ્યવસ્થિત
blasphemy	anger	0.576	નિંદા
chaotic	anger	0.576	અસ્તવ્યસ્ત
grope	anger	0.576	હાથ મારવું
alienation	anger	0.576	પરાકાષ્ઠા
disturbance	anger	0.576	ખલેલ
condescension	anger	0.576	નિષ્ઠા
standoff	anger	0.576	ગતિરોધ
discord	anger	0.576	મતભેદ
friggen	anger	0.575	friggen
sneer	anger	0.574	ઉપહાસ
death	anger	0.574	મૃત્યુ
lunacy	anger	0.574	ગાંડપણ
scandalous	anger	0.574	નિંદાત્મક
oppressive	anger	0.574	દમનકારી
jab	anger	0.574	જબ
cursed	anger	0.574	શાપિત
monstrosity	anger	0.574	ભયંકરતા
shit	anger	0.573	છી
disparaging	anger	0.571	અપમાનજનક
slash	anger	0.571	સ્લેશ
unfair	anger	0.571	અયોગ્ય
gallows	anger	0.570	ફાંસી
escalate	anger	0.569	વધારો
intolerant	anger	0.564	અસહિષ્ણુ
lawlessness	anger	0.563	અધર્મ
beast	anger	0.562	જાનવર
torpedo	anger	0.562	ટોર્પિડો
malign	anger	0.562	ખરાબ
traitor	anger	0.562	દેશદ્રોહી
frightful	anger	0.562	ભયાનક
wrangling	anger	0.562	ઝઘડો
slander	anger	0.562	નિંદા
bellows	anger	0.562	બેલો
retards	anger	0.562	મંદી
grouchy	anger	0.562	ઘૃણાસ્પદ
derogatory	anger	0.562	અપમાનજનક
bearish	anger	0.562	મંદી
invade	anger	0.562	આક્રમણ કરવું
perdition	anger	0.562	વિનાશ
arghh	anger	0.562	અર્ઘહ
dreadful	anger	0.562	ભયાનક
bluddy	anger	0.562	મૂર્ખ
deceived	anger	0.562	છેતરતી
glare	anger	0.562	ઝગઝગાટ
taunt	anger	0.562	ટોણો
dissension	anger	0.561	મતભેદ
cross	anger	0.561	ક્રોસ
rave	anger	0.561	રેવ
grating	anger	0.561	જાળી
devastating	anger	0.561	વિનાશક
fits	anger	0.561	બંધબેસતુ
jeopardize	anger	0.561	જોખમમાં મૂકવું
shatter	anger	0.561	વિખેરવું
idiots	anger	0.561	મૂર્ખ
hurt	anger	0.561	નુકસાન
thief	anger	0.561	ચોર
uncontrollable	anger	0.561	બેકાબૂ
conflagration	anger	0.561	આગ
betrayal	anger	0.561	વિશ્વાસઘાત
banshee	anger	0.561	બંશી
subjugation	anger	0.559	વશીકરણ
disturbed	anger	0.559	વ્યગ્ર
stomped	anger	0.557	stomped
grab	anger	0.557	પડાવી લેવું
grievance	anger	0.556	ફરિયાદ
ticked	anger	0.556	નિશાની
masochism	anger	0.556	સ્વપીડન
defiance	anger	0.552	અવજ્ઞા
blackmail	anger	0.550	બ્લેકમેલ
offensive	anger	0.549	અપમાનજનક
decry	anger	0.548	ડિક્રી
frustrates	anger	0.547	હતાશ
violation	anger	0.547	ઉલ્લંઘન
confine	anger	0.547	સીમિત
misery	anger	0.547	દુઃખ
arghhhh	anger	0.547	અર્ઘહહહ
disparity	anger	0.547	અસમાનતા
punishment	anger	0.547	સજા
rebel	anger	0.547	બળવાખોર
preposterous	anger	0.547	અસ્પષ્ટ
disgraceful	anger	0.547	શરમજનક
ire	anger	0.547	ગુસ્સો
deceive	anger	0.547	છેતરવું
fustrated	anger	0.547	હતાશ
sin	anger	0.547	પાપ
shrill	anger	0.547	તીક્ષ્ણ
darkside	anger	0.547	કાળી બાજુ
overbearing	anger	0.547	ઘમંડી
firearms	anger	0.547	હથિયારો
stolen	anger	0.546	ચોરી
hadenough	anger	0.546	પૂરતું
prejudice	anger	0.545	પૂર્વગ્રહ
tackle	anger	0.545	નિકાલ
resentful	anger	0.545	નારાજ
heated	anger	0.545	ગરમ
callous	anger	0.545	કઠોર
conspirator	anger	0.545	કાવતરું કરનાર
ruined	anger	0.545	બરબાદ
antagonist	anger	0.545	વિરોધી
skirmish	anger	0.545	અથડામણ
menace	anger	0.545	જોખમ
annoyin	anger	0.545	હેરાન કરે છે
foul	anger	0.545	ખરાબ
argument	anger	0.545	દલીલ
humiliate	anger	0.545	અપમાનિત કરવું
wanker	anger	0.545	ડંખ મારનાર
adversary	anger	0.545	વિરોધી
sting	anger	0.544	ડંખ
entangled	anger	0.544	ફસાયેલ
grumble	anger	0.544	બડબડાટ
robbery	anger	0.544	લૂંટ
outcry	anger	0.544	આક્રોશ
resistance	anger	0.543	પ્રતિકાર
irreconcilable	anger	0.543	અસંગત
obstructive	anger	0.542	અવરોધક
dismay	anger	0.540	નિરાશા
mob	anger	0.538	ટોળું
juststop	anger	0.537	માત્ર થોભો
badness	anger	0.536	દુષ્ટતા
ridicule	anger	0.534	ઉપહાસ
incendiary	anger	0.533	આગ લગાડનાર
flares	anger	0.532	જ્વાળાઓ
twofaced	anger	0.531	બે ચહેરાવાળું
reckless	anger	0.531	અવિચારી
communism	anger	0.531	સામ્યવાદ
allegation	anger	0.531	આરોપ
prejudicial	anger	0.531	પૂર્વગ્રહયુક્ત
whip	anger	0.531	ચાબુક
unbridled	anger	0.531	બેલગામ
degeneracy	anger	0.531	અધોગતિ
intruder	anger	0.531	ઘુસણખોર
belittle	anger	0.531	તુચ્છ
confinement	anger	0.531	કેદ
dispute	anger	0.531	વિવાદ
exacerbation	anger	0.531	ઉત્તેજના
uprising	anger	0.531	બળવો
unjust	anger	0.530	અન્યાયી
unjustifiable	anger	0.530	ગેરવાજબી
perversion	anger	0.530	વિકૃતિ
bigoted	anger	0.530	ધર્માંધ
fiesty	anger	0.530	ઉત્સુક
offender	anger	0.530	ગુનેગાર
dictatorial	anger	0.530	સરમુખત્યારશાહી
hassle	anger	0.530	મુશ્કેલી
dissonance	anger	0.530	વિસંવાદિતા
tackled	anger	0.530	સામનો કર્યો
renegade	anger	0.529	ત્યાગ
cantstandit	anger	0.529	નથી
trespass	anger	0.529	અતિક્રમણ
hot	anger	0.529	ગરમ
prison	anger	0.529	જેલ
suicide	anger	0.521	આત્મહત્યા
annoy	anger	0.520	હેરાન
leavemealone	anger	0.517	મને એકાન્ત મા રહેવા દો
cretins	anger	0.516	ક્રેટિન
depravity	anger	0.516	બગાડ
idiotic	anger	0.516	મૂર્ખ
dishonest	anger	0.516	અપ્રમાણિક
distrust	anger	0.516	અવિશ્વાસ
broil	anger	0.516	ઝઘડો
grrr	anger	0.516	grrr
criticize	anger	0.516	ટીકા
inimical	anger	0.516	પ્રતિકૂળ
tortious	anger	0.516	ત્રાસદાયક
prisoner	anger	0.516	કેદી
treason	anger	0.516	રાજદ્રોહ
divorce	anger	0.516	છૂટાછેડા
venting	anger	0.516	વેન્ટિંગ
duress	anger	0.516	દબાણ
disrespectful	anger	0.516	અપમાનજનક
poaching	anger	0.515	શિકાર
scold	anger	0.515	ઠપકો
poachers	anger	0.515	શિકારીઓ
pow	anger	0.515	pow
hangry	anger	0.515	હેંગરી
argumentation	anger	0.515	દલીલ
frustrating	anger	0.515	નિરાશાજનક
unkind	anger	0.515	નિર્દય
roar	anger	0.515	ગર્જના
coercion	anger	0.515	બળજબરી
unforgiving	anger	0.515	અક્ષમ્ય
grump	anger	0.515	ગડબડ
bile	anger	0.515	પિત્ત
unleash	anger	0.515	છોડવું
chaos	anger	0.515	અરાજકતા
victimized	anger	0.515	ભોગ બનેલ
jerks	anger	0.515	આંચકો
tussle	anger	0.514	ઝઘડો
bane	anger	0.511	ખરાબ
accusation	anger	0.510	આરોપ
enmity	anger	0.510	દુશ્મનાવટ
repudiation	anger	0.510	અસ્વીકાર
banish	anger	0.509	દેશનિકાલ
disfigured	anger	0.508	વિકૃત
