English Word	Emotion	Emotion-Intensity-Score	Albanian Word
ruinous	anger	0.825	shkaterrues
condemn	anger	0.825	dënoj
riots	anger	0.824	trazirat
demolish	anger	0.824	shemb
angry	anger	0.824	i zemëruar
extermination	anger	0.824	shfarosje
dickhead	anger	0.824	kokë diku
livid	anger	0.821	i egër
madman	anger	0.820	i çmendur
vindictive	anger	0.819	hakmarrëse
terrorist	anger	0.818	terroriste
threaten	anger	0.818	kërcënojnë
venomous	anger	0.818	helmuese
hateyou	anger	0.818	te urrej
ferocity	anger	0.818	egërsi
effyou	anger	0.818	effyou
abhor	anger	0.816	urrej
carnage	anger	0.814	kërdi
savage	anger	0.814	i egër
atrocity	anger	0.814	mizori
fucksake	anger	0.812	dreqin
abuse	anger	0.812	abuzimi
fierce	anger	0.812	i egër
destroyer	anger	0.812	shkatërrues
angrytweet	anger	0.812	i zemëruar
barbaric	anger	0.812	barbare
vendetta	anger	0.812	hakmarrje
pissesmeoff	anger	0.812	pissesmeoff
pissedoff	anger	0.812	i mërzitur
tyrant	anger	0.812	tiran
berserk	anger	0.812	i çmendur
fuming	anger	0.812	tymi
anger	anger	0.811	zemërimi
pieceofshit	anger	0.810	copëfshit
punched	anger	0.803	i goditur me grusht
punching	anger	0.803	goditje me grusht
slam	anger	0.803	përplasje
homicide	anger	0.803	vrasje
bitch	anger	0.803	kurvë
fights	anger	0.803	lufton
ruthless	anger	0.797	i pamëshirshëm
villainous	anger	0.797	zuzar
destructive	anger	0.797	shkatërrues
slap	anger	0.791	shuplakë
riot	anger	0.788	trazirë
growthefuckup	anger	0.788	rritjeshumë
punishing	anger	0.788	duke ndëshkuar
slaughterhouse	anger	0.788	thertore
yelling	anger	0.788	duke bërtitur
diabolical	anger	0.788	djallëzore
destroyed	anger	0.788	të shkatërruara
ragetweet	anger	0.788	ragetweet
retaliatory	anger	0.788	hakmarrëse
manslaughter	anger	0.783	vrasje nga pakujdesia
clash	anger	0.783	përplasje
quarrel	anger	0.781	grindje
bloody	anger	0.781	të përgjakshme
hellish	anger	0.781	ferrore
sinister	anger	0.781	ogurzi
loath	anger	0.781	urrejtje
detonation	anger	0.781	shpërthimi
accusing	anger	0.779	duke akuzuar
fumin	anger	0.779	fumin
hateeee	anger	0.779	urrejtjeeee
treacherous	anger	0.779	i pabesë
madder	anger	0.773	më të çmendur
horrific	anger	0.773	e tmerrshme
revulsion	anger	0.773	neveri
retaliate	anger	0.773	hakmerrej
scorn	anger	0.769	përbuzje
bomb	anger	0.766	bombë
deplorable	anger	0.766	e mjerueshme
devastation	anger	0.765	shkatërrim
anarchist	anger	0.765	anarkist
firestorm	anger	0.765	stuhi zjarri
resent	anger	0.765	kundërshtoj
contemptible	anger	0.764	të përbuzur
shittest	anger	0.760	më i ndyrë
rant	anger	0.758	përçart
cruel	anger	0.758	mizore
deadly	anger	0.758	vdekjeprurëse
smash	anger	0.758	thyej
soangry	anger	0.758	i hidhëruar
outburst	anger	0.757	shpërthim
snarl	anger	0.754	rënkoj
profane	anger	0.750	profane
revolting	anger	0.750	revoltuar
aggravating	anger	0.750	rënduese
horror	anger	0.750	tmerri
despise	anger	0.750	përbuz
offend	anger	0.750	ofendoj
stfu	anger	0.750	stfu
vulgarity	anger	0.750	vulgaritet
crazed	anger	0.750	i çmendur
douchebags	anger	0.750	çanta dush
growling	anger	0.750	rrënqethje
dontmesswithme	anger	0.750	mos mesojme
screaming	anger	0.742	duke bërtitur
threat	anger	0.742	kërcënim
erupt	anger	0.742	shpërthejnë
horrible	anger	0.742	e tmerrshme
molestation	anger	0.742	ngacmimi
fuckedoff	anger	0.742	i ndyrë
violence	anger	0.742	dhunës
bastards	anger	0.741	bastardë
revenge	anger	0.738	hakmarrje
menacing	anger	0.735	kërcënuese
crushing	anger	0.735	dërrmuese
damn	anger	0.735	dreqin
catastrophe	anger	0.735	katastrofë
demon	anger	0.735	demoni
argue	anger	0.734	argumentojnë
persecute	anger	0.734	persekutoj
deplore	anger	0.734	dëshpëroj
flog	anger	0.734	fshikulloj
fedup	anger	0.734	i ngopur
riotous	anger	0.734	i trazuar
vehement	anger	0.734	i vrullshëm
revolt	anger	0.734	revoltë
warfare	anger	0.734	luftë
thrash	anger	0.734	thrash
altercation	anger	0.729	grindje
warlike	anger	0.728	luftarake
shitday	anger	0.727	ditë mut
mutiny	anger	0.727	kryengritje
castrate	anger	0.727	tredh
sabotage	anger	0.727	sabotim
malevolent	anger	0.721	keqdashës
strike	anger	0.721	grevë
disaster	anger	0.721	fatkeqësi
disastrous	anger	0.720	katastrofike
bastarding	anger	0.719	bastardë
treachery	anger	0.719	tradhëti
arseholes	anger	0.719	vrima arse
horseshit	anger	0.719	qeli
slay	anger	0.719	vrasin
disdain	anger	0.719	përbuzje
aggravates	anger	0.719	rëndon
brutal	anger	0.719	brutale
scorching	anger	0.719	përvëluese
devil	anger	0.719	djall
madden	anger	0.719	i çmendur
spiteful	anger	0.719	keqbërës
scream	anger	0.719	bërtas
choke	anger	0.719	mbyten
vermin	anger	0.719	parazitë
tumult	anger	0.719	rrëmujë
criminal	anger	0.714	kriminale
mangle	anger	0.714	lëmsh
anarchism	anger	0.714	anarkizëm
mutilation	anger	0.714	gjymtim
denunciation	anger	0.713	denoncimi
punch	anger	0.713	grusht
virulence	anger	0.712	virulencës
fatal	anger	0.712	fatale
hurting	anger	0.712	duke lënduar
crucifixion	anger	0.712	kryqëzimi
dontlikeyou	anger	0.712	nuk te pelqej
blasphemous	anger	0.712	blasfemues
holocaust	anger	0.712	holokausti
dumbasses	anger	0.712	dumbasses
battled	anger	0.712	luftuan
deranged	anger	0.706	i çmendur
irritated	anger	0.706	i irrituar
atrocious	anger	0.706	mizor
evil	anger	0.706	e keqe
aggravated	anger	0.703	e rënduar
intimidation	anger	0.703	frikësimi
dicks	anger	0.703	karat
assassin	anger	0.703	vrasës
scolding	anger	0.703	sharje
persecution	anger	0.703	persekutimi
slayer	anger	0.703	vrasës
kidnap	anger	0.703	rrëmbim
aggression	anger	0.702	sulm
armed	anger	0.700	të armatosur
battle	anger	0.697	betejë
poison	anger	0.697	helm
snarling	anger	0.697	gërvishje
venom	anger	0.697	helm
disgruntled	anger	0.693	i pakënaqur
resentment	anger	0.691	fyerje
assailant	anger	0.691	sulmues
insidious	anger	0.691	tinëzare
contemptuous	anger	0.690	përbuzës
lynch	anger	0.690	linç
temper	anger	0.688	temperamentin
terrible	anger	0.688	e tmerrshme
disparage	anger	0.688	përçmimi
lunatic	anger	0.688	i çmendur
bully	anger	0.688	ngacmues
mad	anger	0.688	i çmendur
makesmemad	anger	0.688	makememad
infanticide	anger	0.688	foshnjavrasje
domination	anger	0.688	dominimi
peeved	anger	0.688	i mërzitur
imprisonment	anger	0.688	burgim
curse	anger	0.688	mallkim
volatility	anger	0.687	paqëndrueshmëria
eradication	anger	0.685	çrrënjosjen
eradicate	anger	0.682	zhdukin
tantrum	anger	0.682	zemërim i zemëruar
scoundrel	anger	0.682	i poshtër
devastate	anger	0.682	shkretojne
aggressively	anger	0.680	në mënyrë agresive
agitation	anger	0.680	agjitacion
dictatorship	anger	0.676	diktaturës
irritates	anger	0.676	irriton
profanity	anger	0.673	sharje
shove	anger	0.672	shtyj
nasty	anger	0.672	e keqe
shot	anger	0.672	e qëlluar
cruelly	anger	0.672	mizorisht
shoot	anger	0.672	gjuaj
condemnation	anger	0.672	dënim
crushed	anger	0.672	i grimcuar
aggravation	anger	0.672	rëndim
poisonous	anger	0.672	helmuese
egregious	anger	0.672	skandaloze
crime	anger	0.672	krimi
corrupting	anger	0.672	korruptuese
dastardly	anger	0.672	i poshtër
contempt	anger	0.672	përbuzje
harmful	anger	0.672	të dëmshme
expletive	anger	0.672	shpërthyese
wreak	anger	0.672	prish
maniac	anger	0.670	maniak
cutthroat	anger	0.667	fyti i prerë
enemy	anger	0.667	armik
hit	anger	0.667	goditi
hateeveryone	anger	0.667	urrej të gjithë
eruption	anger	0.667	shpërthim
irritable	anger	0.667	nervoz
odious	anger	0.667	i urryer
shooting	anger	0.667	të shtënat
shout	anger	0.667	bërtas
aggressive	anger	0.667	agresive
kick	anger	0.667	goditje me shkelm
combat	anger	0.667	betejë
fight	anger	0.667	përleshje
punished	anger	0.662	ndëshkuar
yell	anger	0.661	bërtas
ambush	anger	0.661	pritë
harass	anger	0.659	ngacmojnë
malignant	anger	0.656	malinje
aggressor	anger	0.656	agresor
gore	anger	0.656	grykë
destruction	anger	0.656	shkatërrimi
grudge	anger	0.656	mëri
antichrist	anger	0.656	antikrishti
incense	anger	0.656	temjan
expel	anger	0.656	dëbojnë
cranky	anger	0.653	i çuditshëm
slave	anger	0.652	skllav
reprisal	anger	0.652	raprezalje
growl	anger	0.652	rënkim
animosity	anger	0.652	armiqësi
insurrection	anger	0.652	kryengritje
clashing	anger	0.652	duke u përplasur
denounce	anger	0.652	denoncoj
offended	anger	0.652	ofenduar
spank	anger	0.652	rrah
insulting	anger	0.652	fyese
growls	anger	0.649	rrënqethet
executioner	anger	0.644	xhelati
twat	anger	0.644	twat
doomsday	anger	0.643	kijameti
obscenity	anger	0.641	paturpësi
accused	anger	0.641	i akuzuar
feud	anger	0.641	grindje
daemon	anger	0.641	demon
havoc	anger	0.641	kërdi
shackle	anger	0.641	pranga
inexcusable	anger	0.641	e pafalshme
indignant	anger	0.641	i indinjuar
grr	anger	0.641	grr
expulsion	anger	0.641	dëbimi
bombard	anger	0.641	bombardoj
spat	anger	0.641	pështyj
arson	anger	0.641	zjarrvënie
reprimand	anger	0.641	qortim
somad	anger	0.637	aq i çmendur
frustrated	anger	0.636	i frustruar
batter	anger	0.636	qëlloj
kicking	anger	0.636	duke shkelmuar
anarchy	anger	0.636	anarkia
spanking	anger	0.636	rrahje
glaring	anger	0.636	verbues
suicidal	anger	0.636	vetëvrasëse
disgusting	anger	0.636	të neveritshme
wound	anger	0.636	plagë
hanging	anger	0.636	i varur
poisoned	anger	0.636	i helmuar
combatant	anger	0.636	luftëtar
wrecked	anger	0.633	të rrënuar
inflict	anger	0.633	shkaktoj
grievous	anger	0.632	i hidhur
prosecute	anger	0.630	ndjekin penalisht
agitated	anger	0.630	i trazuar
cheat	anger	0.630	mashtrojnë
swastika	anger	0.627	svastika
injure	anger	0.625	plagos
indict	anger	0.625	aktakuzë
scourge	anger	0.625	kamxhik
provocation	anger	0.625	provokim
suffocation	anger	0.625	mbytje
strife	anger	0.625	grindje
raid	anger	0.625	bastisje
enslaved	anger	0.625	i robëruar
cursing	anger	0.625	duke sharë
defamatory	anger	0.625	shpifëse
harassing	anger	0.625	ngacmues
thundering	anger	0.625	bubullimë
betray	anger	0.625	tradhtojnë
arsehole	anger	0.624	arsehole
theft	anger	0.621	vjedhje
insane	anger	0.621	i çmendur
retaliation	anger	0.621	hakmarrje
irritate	anger	0.621	irritoj
deprivation	anger	0.621	privimi
fiend	anger	0.621	djallit
jerk	anger	0.621	hov
convict	anger	0.621	i dënuar
cussed	anger	0.619	i mallkuar
turmoil	anger	0.618	trazire
smack	anger	0.615	shkumë
retribution	anger	0.614	shpagim
rebellion	anger	0.609	rebelim
oppressor	anger	0.609	shtypës
gang	anger	0.609	bandë
slavery	anger	0.609	skllavëria
intolerable	anger	0.609	e patolerueshme
adverse	anger	0.609	i pafavorshëm
injurious	anger	0.609	të dëmshme
twats	anger	0.609	twats
collision	anger	0.609	përplasje
battery	anger	0.609	bateri
bitterly	anger	0.609	me hidhërim
antagonism	anger	0.609	antagonizëm
irritability	anger	0.609	nervozizëm
disgraced	anger	0.608	i turpëruar
diatribe	anger	0.606	diatribe
asshole	anger	0.606	budallaqe
blast	anger	0.606	shpërthim
bombardment	anger	0.606	bombardimi
irks	anger	0.606	nervozohet
ranting	anger	0.606	rënkim
revolution	anger	0.606	revolucion
thug	anger	0.606	bandit
antagonistic	anger	0.606	antagoniste
irritating	anger	0.606	irrituese
sickening	anger	0.606	të sëmurë
discrimination	anger	0.606	diskriminim
frustrate	anger	0.604	frustroj
insult	anger	0.603	fyerje
hurtful	anger	0.603	lënduese
oppression	anger	0.603	shtypjen
manipulation	anger	0.603	manipulimi
tiredofit	anger	0.603	i lodhur
bigot	anger	0.603	fanatik
tension	anger	0.603	tensioni
disgust	anger	0.602	neveri
spite	anger	0.600	keq
intrusive	anger	0.598	ndërhyrës
harshness	anger	0.597	ashpërsi
slur	anger	0.596	shpifje
tempest	anger	0.594	furtunë
assail	anger	0.594	sulmojnë
bitterness	anger	0.594	hidhërim
morbidity	anger	0.594	sëmundshmërisë
casualty	anger	0.594	fatkeqësi
puncture	anger	0.594	shpimi
miserable	anger	0.594	i mjerë
inferno	anger	0.594	ferr
invasion	anger	0.594	pushtimin
storming	anger	0.594	stuhishëm
wretch	anger	0.594	i mjerë
consternation	anger	0.592	tronditje
raving	anger	0.591	përçart
forcibly	anger	0.591	me forcë
guillotine	anger	0.591	gijotinë
guilty	anger	0.591	fajtor
depraved	anger	0.591	i shthurur
immoral	anger	0.591	imorale
overpowering	anger	0.591	mbizotërues
scare	anger	0.588	tremb
recalcitrant	anger	0.588	i pabindur
screwed	anger	0.588	vidhos
accursed	anger	0.588	i mallkuar
soannoyed	anger	0.588	i mërzitur
invader	anger	0.588	pushtues
jealousy	anger	0.587	xhelozia
indignation	anger	0.587	indinjatë
vexed	anger	0.586	i mërzitur
confront	anger	0.582	përballen
brute	anger	0.581	brutale
throttle	anger	0.579	mbyt
slut	anger	0.578	zuskë
coup	anger	0.578	grusht shteti
blaze	anger	0.578	flakë
pillage	anger	0.578	plaçkitje
provoking	anger	0.578	provokuese
damage	anger	0.578	dëmtimi
criminality	anger	0.578	kriminaliteti
shutup	anger	0.578	heshtin
lash	anger	0.578	kamxhik
conflict	anger	0.578	konflikti
contentious	anger	0.578	kontestuese
shutit	anger	0.578	Mbylle
wreck	anger	0.578	thyej
defiant	anger	0.578	sfidues
butcher	anger	0.578	kasapi
incarceration	anger	0.578	burgosje
revolver	anger	0.578	revolver
bickering	anger	0.578	grindje
yousuck	anger	0.578	ti ta shpif
cancer	anger	0.577	kanceri
discriminate	anger	0.576	diskriminojnë
gun	anger	0.576	armë
frustration	anger	0.576	frustrimi
gory	anger	0.576	i përgjakshëm
pernicious	anger	0.576	i dëmshëm
dontmess	anger	0.576	mos mess
blasphemy	anger	0.576	blasfemi
chaotic	anger	0.576	kaotike
grope	anger	0.576	përpij
alienation	anger	0.576	tjetërsimi
disturbance	anger	0.576	shqetësim
condescension	anger	0.576	mospërfillje
standoff	anger	0.576	ngecje
discord	anger	0.576	mosmarrëveshje
friggen	anger	0.575	friggen
sneer	anger	0.574	tallje
death	anger	0.574	vdekjen
lunacy	anger	0.574	çmenduri
scandalous	anger	0.574	skandaloze
oppressive	anger	0.574	shtypëse
jab	anger	0.574	goditje
cursed	anger	0.574	mallkuar
monstrosity	anger	0.574	monstruozitet
shit	anger	0.573	mut
disparaging	anger	0.571	përçmues
slash	anger	0.571	prerë
unfair	anger	0.571	e padrejte
gallows	anger	0.570	trekëmbësh
escalate	anger	0.569	përshkallëzohen
intolerant	anger	0.564	intolerant
lawlessness	anger	0.563	paligjshmëria
beast	anger	0.562	bishë
torpedo	anger	0.562	silur
malign	anger	0.562	malinje
traitor	anger	0.562	tradhtar
frightful	anger	0.562	e frikshme
wrangling	anger	0.562	grindje
slander	anger	0.562	shpifje
bellows	anger	0.562	shakull
retards	anger	0.562	të vonuar
grouchy	anger	0.562	i neveritshëm
derogatory	anger	0.562	poshtëruese
bearish	anger	0.562	bearish
invade	anger	0.562	pushtojnë
perdition	anger	0.562	humbje
arghh	anger	0.562	arghh
dreadful	anger	0.562	e tmerrshme
bluddy	anger	0.562	i turbullt
deceived	anger	0.562	i mashtruar
glare	anger	0.562	shkëlqim verbues
taunt	anger	0.562	tallje
dissension	anger	0.561	mosmarrëveshje
cross	anger	0.561	kryq
rave	anger	0.561	furi
grating	anger	0.561	grirje
devastating	anger	0.561	shkatërruese
fits	anger	0.561	përshtatet
jeopardize	anger	0.561	rrezikojnë
shatter	anger	0.561	thyej
idiots	anger	0.561	idiotët
hurt	anger	0.561	lënduar
thief	anger	0.561	hajduti
uncontrollable	anger	0.561	e pakontrollueshme
conflagration	anger	0.561	zjarrvënie
betrayal	anger	0.561	tradhëti
banshee	anger	0.561	banshee
subjugation	anger	0.559	nënshtrim
disturbed	anger	0.559	i shqetësuar
stomped	anger	0.557	shkelur
grab	anger	0.557	kap
grievance	anger	0.556	ankesa
ticked	anger	0.556	i shënuar
masochism	anger	0.556	mazokizmi
defiance	anger	0.552	sfidë
blackmail	anger	0.550	shantazh
offensive	anger	0.549	fyese
decry	anger	0.548	qortoj
frustrates	anger	0.547	frustron
violation	anger	0.547	shkelje
confine	anger	0.547	kufizoj
misery	anger	0.547	mjerim
arghhhh	anger	0.547	arghhhh
disparity	anger	0.547	pabarazia
punishment	anger	0.547	dënimi
rebel	anger	0.547	rebel
preposterous	anger	0.547	absurde
disgraceful	anger	0.547	e turpshme
ire	anger	0.547	inat
deceive	anger	0.547	mashtrojnë
fustrated	anger	0.547	i fustruar
sin	anger	0.547	mëkat
shrill	anger	0.547	i mprehtë
darkside	anger	0.547	ana e erret
overbearing	anger	0.547	mbizotërues
firearms	anger	0.547	armë zjarri
stolen	anger	0.546	i vjedhur
hadenough	anger	0.546	mjaft
prejudice	anger	0.545	paragjykim
tackle	anger	0.545	trajtoj
resentful	anger	0.545	inatosur
heated	anger	0.545	ngrohur
callous	anger	0.545	i pashpirt
conspirator	anger	0.545	komplotist
ruined	anger	0.545	i rrënuar
antagonist	anger	0.545	antagonist
skirmish	anger	0.545	përleshje
menace	anger	0.545	kërcënim
annoyin	anger	0.545	i bezdisshëm
foul	anger	0.545	faull
argument	anger	0.545	argument
humiliate	anger	0.545	poshtëroj
wanker	anger	0.545	endacak
adversary	anger	0.545	kundërshtar
sting	anger	0.544	thumboj
entangled	anger	0.544	i ngatërruar
grumble	anger	0.544	ankohem
robbery	anger	0.544	grabitje
outcry	anger	0.544	klithmë
resistance	anger	0.543	rezistencës
irreconcilable	anger	0.543	i papajtueshëm
obstructive	anger	0.542	penguese
dismay	anger	0.540	tronditje
mob	anger	0.538	turma
juststop	anger	0.537	thjesht ndalo
badness	anger	0.536	e keqja
ridicule	anger	0.534	tallje
incendiary	anger	0.533	ndezëse
flares	anger	0.532	flakët
twofaced	anger	0.531	me dy fytyra
reckless	anger	0.531	i pamatur
communism	anger	0.531	komunizmit
allegation	anger	0.531	pretendim
prejudicial	anger	0.531	paragjykuese
whip	anger	0.531	kamxhik
unbridled	anger	0.531	i shfrenuar
degeneracy	anger	0.531	degjenerimi
intruder	anger	0.531	ndërhyrës
belittle	anger	0.531	nënçmojnë
confinement	anger	0.531	mbyllje
dispute	anger	0.531	mosmarrëveshje
exacerbation	anger	0.531	acarim
uprising	anger	0.531	kryengritje
unjust	anger	0.530	të padrejtë
unjustifiable	anger	0.530	të pajustifikueshme
perversion	anger	0.530	çoroditje
bigoted	anger	0.530	fanatik
fiesty	anger	0.530	i zjarrtë
offender	anger	0.530	shkelës
dictatorial	anger	0.530	diktatoriale
hassle	anger	0.530	sherr
dissonance	anger	0.530	disonancë
tackled	anger	0.530	trajtohen
renegade	anger	0.529	renegat
cantstandit	anger	0.529	nuk duroj
trespass	anger	0.529	shkelje
hot	anger	0.529	nxehtë
prison	anger	0.529	burgu
suicide	anger	0.521	vetëvrasje
annoy	anger	0.520	bezdis
leavemealone	anger	0.517	lini miell
cretins	anger	0.516	kretinet
depravity	anger	0.516	shthurja
idiotic	anger	0.516	idiot
dishonest	anger	0.516	i pandershëm
distrust	anger	0.516	mosbesimi
broil	anger	0.516	ziej
grrr	anger	0.516	grrr
criticize	anger	0.516	kritikojnë
inimical	anger	0.516	armiqësore
tortious	anger	0.516	deliktore
prisoner	anger	0.516	i burgosur
treason	anger	0.516	tradhëti
divorce	anger	0.516	divorci
venting	anger	0.516	ajrimi
duress	anger	0.516	detyrim
disrespectful	anger	0.516	mosrespektues
poaching	anger	0.515	gjuetia pa leje
scold	anger	0.515	qortoj
poachers	anger	0.515	gjuetarët pa leje
pow	anger	0.515	pow
hangry	anger	0.515	i uritur
argumentation	anger	0.515	argumentimi
frustrating	anger	0.515	frustruese
unkind	anger	0.515	i pasjellshëm
roar	anger	0.515	ulërimë
coercion	anger	0.515	shtrëngimi
unforgiving	anger	0.515	i pafalshëm
grump	anger	0.515	inat
bile	anger	0.515	biliare
unleash	anger	0.515	lëshoj
chaos	anger	0.515	kaos
victimized	anger	0.515	viktimizuar
jerks	anger	0.515	kërcitje
tussle	anger	0.514	përleshje
bane	anger	0.511	fatkeqësi
accusation	anger	0.510	akuzë
enmity	anger	0.510	armiqësi
repudiation	anger	0.510	refuzim
banish	anger	0.509	dëboj
disfigured	anger	0.508	i shpërfytyruar
storm	anger	0.507	stuhi
crazy	anger	0.500	i çmendur
hammering	anger	0.500	goditje me çekan
defy	anger	0.500	sfidoj
antithesis	anger	0.500	antitezë
scoff	anger	0.500	tallje
anguish	anger	0.500	ankth
confined	anger	0.500	i kufizuar
fear	anger	0.500	frikë
bout	anger	0.500	periudhë
unruly	anger	0.500	i padisiplinuar
delusional	anger	0.500	delirante
obstruct	anger	0.500	pengojnë
possessed	anger	0.500	i poseduar
injustice	anger	0.500	padrejtësi
fervor	anger	0.500	entuziazëm
spear	anger	0.500	shtizë
derision	anger	0.500	tallje
intractable	anger	0.500	e pazgjidhshme
reject	anger	0.500	refuzoj
dominate	anger	0.500	dominojnë
ordeal	anger	0.500	sprovë
banished	anger	0.500	i dëbuar
rejects	anger	0.500	refuzon
shun	anger	0.500	shmangen
brunt	anger	0.500	brut
derogation	anger	0.500	derogimi
frenzied	anger	0.500	tërbuar
animus	anger	0.500	animus
suppression	anger	0.500	ndrydhje
malpractice	anger	0.500	keqpërdorim
brazen	anger	0.500	i pacipë
foaming	anger	0.500	shkumëzues
disrupting	anger	0.500	duke prishur
nobodycares	anger	0.500	askush nuk kujdeset
patronising	anger	0.500	duke patronizuar
getoveryourself	anger	0.495	kapërceni veten
toughness	anger	0.492	ashpërsia
stupidpeople	anger	0.492	njerez budallenj
madness	anger	0.491	çmenduri
sinful	anger	0.491	mëkatar
avarice	anger	0.490	koprracia
oppress	anger	0.490	shtypin
cutting	anger	0.485	prerje
anathema	anger	0.485	anatemim
annoyed	anger	0.485	i mërzitur
dissident	anger	0.485	disident
demand	anger	0.485	kërkesës
usurp	anger	0.485	uzurpojnë
claw	anger	0.485	thua
alienate	anger	0.485	tjetërsoj
infraction	anger	0.485	shkelje
avenger	anger	0.485	hakmarrës
revoke	anger	0.485	revokoj
smuggler	anger	0.485	kontrabandist
abolish	anger	0.485	shfuqizojnë
fricking	anger	0.485	fërkime
stayaway	anger	0.485	Qendro larg
pervert	anger	0.485	pervers
disservice	anger	0.485	dëmtim
disobedient	anger	0.485	pabindur
incest	anger	0.485	inçesti
complaint	anger	0.485	ankesa
disapproved	anger	0.485	i pamiratuar
inhuman	anger	0.485	çnjerëzore
mocking	anger	0.484	duke u tallur
penalty	anger	0.484	penallti
renounce	anger	0.484	heq dorë
restrain	anger	0.484	frenojnë
upheaval	anger	0.484	përmbysje
deceit	anger	0.484	mashtrim
obnoxious	anger	0.484	i neveritshëm
imprisoned	anger	0.484	i burgosur
strained	anger	0.484	e tendosur
blame	anger	0.484	fajësojnë
oust	anger	0.484	largoj
litigious	anger	0.484	kontestimore
rivalry	anger	0.484	rivaliteti
sucker	anger	0.484	pinjoll
opposed	anger	0.484	kundërshtoi
thresh	anger	0.484	shirë
disgrace	anger	0.484	turp
suspicious	anger	0.484	e dyshimtë
turbulence	anger	0.483	turbulenca
pound	anger	0.481	paund
coldness	anger	0.477	ftohtësinë
ungrateful	anger	0.472	mosmirënjohës
stoopid	anger	0.471	i turbullt
battalion	anger	0.471	batalion
feudalism	anger	0.470	feudalizmi
hostage	anger	0.470	Peng
annoying	anger	0.470	e bezdisshme
dispossessed	anger	0.470	i shpronësuar
subversion	anger	0.470	përmbysje
friction	anger	0.470	fërkimi
jealous	anger	0.470	xheloz
adversity	anger	0.470	fatkeqësia
infidel	anger	0.470	i pafe
gall	anger	0.470	vrer
accuser	anger	0.470	akuzues
