English Word	Emotion	Emotion-Intensity-Score	Armenian Word
extermination	anger	0.824	բնաջնջում
dickhead	anger	0.824	թշի գլուխ
livid	anger	0.821	բուռն
madman	anger	0.820	խելագար
vindictive	anger	0.819	վրեժխնդիր
terrorist	anger	0.818	ահաբեկիչ
threaten	anger	0.818	սպառնալ
venomous	anger	0.818	թունավոր
hateyou	anger	0.818	ատում եմ քեզ
ferocity	anger	0.818	վայրագություն
effyou	anger	0.818	էֆֆյու
abhor	anger	0.816	զզվել
carnage	anger	0.814	կոտորած
savage	anger	0.814	վայրենի
atrocity	anger	0.814	դաժանություն
fucksake	anger	0.812	ապուշ
abuse	anger	0.812	չարաշահում
fierce	anger	0.812	կատաղի
destroyer	anger	0.812	կործանիչ
angrytweet	anger	0.812	զայրացած թվիթ
barbaric	anger	0.812	բարբարոսական
vendetta	anger	0.812	վենդետա
pissesmeoff	anger	0.812	pissesmeoff
pissedoff	anger	0.812	փակցնելու
tyrant	anger	0.812	բռնակալ
berserk	anger	0.812	կատաղած
fuming	anger	0.812	գոլորշիացնող
anger	anger	0.811	զայրույթը
pieceofshit	anger	0.810	կտորոֆշիտ
punched	anger	0.803	բռունցքով հարվածել
punching	anger	0.803	բռունցքով հարվածելը
slam	anger	0.803	հարվածել
homicide	anger	0.803	սպանություն
bitch	anger	0.803	բիծ
fights	anger	0.803	կռիվներ
ruthless	anger	0.797	անողորմ, դաժան
villainous	anger	0.797	չարագործ
destructive	anger	0.797	կործանարար
slap	anger	0.791	ապտակ
riot	anger	0.788	խռովություն
growthefuckup	anger	0.788	աճի էֆեկտ
punishing	anger	0.788	պատժելով
slaughterhouse	anger	0.788	սպանդանոց
yelling	anger	0.788	գոռալով
diabolical	anger	0.788	դիվային
destroyed	anger	0.788	ավերված
ragetweet	anger	0.788	ragetweet
retaliatory	anger	0.788	վրեժխնդիր
manslaughter	anger	0.783	սպանություն
clash	anger	0.783	բախում
quarrel	anger	0.781	վիճաբանություն
bloody	anger	0.781	արյունոտ
hellish	anger	0.781	դժոխային
sinister	anger	0.781	չարաբաստիկ
loath	anger	0.781	զզվանք
detonation	anger	0.781	պայթեցում
accusing	anger	0.779	մեղադրող
fumin	anger	0.779	ֆումին
hateeee	anger	0.779	ատելի
treacherous	anger	0.779	դավաճան
madder	anger	0.773	ավելի խելագար
horrific	anger	0.773	սարսափելի
revulsion	anger	0.773	նողկանք
retaliate	anger	0.773	վրեժ լուծել
scorn	anger	0.769	արհամարհել
bomb	anger	0.766	ռումբ
deplorable	anger	0.766	ողբալի
devastation	anger	0.765	ավերածություններ
anarchist	anger	0.765	անարխիստ
firestorm	anger	0.765	հրե փոթորիկ
resent	anger	0.765	դժգոհել
contemptible	anger	0.764	արհամարհելի
shittest	anger	0.760	ամենախայտառակ
rant	anger	0.758	գոռգոռոց
cruel	anger	0.758	դաժան
deadly	anger	0.758	մահացու
smash	anger	0.758	ջարդել
soangry	anger	0.758	զայրացած
outburst	anger	0.757	պոռթկում
snarl	anger	0.754	գռմռալ
profane	anger	0.750	սրբապիղծ
revolting	anger	0.750	ընդվզող
aggravating	anger	0.750	ծանրացնող
horror	anger	0.750	սարսափ
despise	anger	0.750	արհամարհել
offend	anger	0.750	վիրավորել
stfu	anger	0.750	stfu
vulgarity	anger	0.750	գռեհկություն
crazed	anger	0.750	խելագարված
douchebags	anger	0.750	պայուսակներ
growling	anger	0.750	մռնչալ
dontmesswithme	anger	0.750	dontmesswithme
screaming	anger	0.742	ճչում
threat	anger	0.742	սպառնալիք
erupt	anger	0.742	ժայթքել
horrible	anger	0.742	սարսափելի
molestation	anger	0.742	ոտնձգություն
fuckedoff	anger	0.742	խեղճացած
violence	anger	0.742	բռնություն
bastards	anger	0.741	բոզեր
revenge	anger	0.738	վրեժխնդրություն
menacing	anger	0.735	սպառնալից
crushing	anger	0.735	ջախջախիչ
damn	anger	0.735	Սատանա
catastrophe	anger	0.735	աղետ
demon	anger	0.735	Սատանա
argue	anger	0.734	վիճել
persecute	anger	0.734	հալածել
deplore	anger	0.734	ափսոսել
flog	anger	0.734	մտրակել
fedup	anger	0.734	կշտացած
riotous	anger	0.734	խռովարար
vehement	anger	0.734	բուռն
revolt	anger	0.734	ապստամբություն
warfare	anger	0.734	պատերազմ
thrash	anger	0.734	թրաշ
altercation	anger	0.729	վիճաբանություն
warlike	anger	0.728	ռազմատենչ
shitday	anger	0.727	խեղճ օր
mutiny	anger	0.727	ապստամբություն
castrate	anger	0.727	ամորձատել
sabotage	anger	0.727	դիվերսիա
malevolent	anger	0.721	չարամիտ
strike	anger	0.721	գործադուլ
disaster	anger	0.721	աղետ
disastrous	anger	0.720	աղետալի
bastarding	anger	0.719	սրիկա
treachery	anger	0.719	դավաճանություն
arseholes	anger	0.719	ծակոտիներ
horseshit	anger	0.719	ձիապանություն
slay	anger	0.719	սպանել
disdain	anger	0.719	արհամարհանք
aggravates	anger	0.719	ծանրացնում է
brutal	anger	0.719	դաժան
scorching	anger	0.719	կիզիչ
devil	anger	0.719	Սատանա
madden	anger	0.719	խելագարված
spiteful	anger	0.719	գարշելի
scream	anger	0.719	ճչալ
choke	anger	0.719	խեղդել
vermin	anger	0.719	վնասատուներ
tumult	anger	0.719	իրարանցում
criminal	anger	0.714	հանցագործ
mangle	anger	0.714	խճճվել
anarchism	anger	0.714	անարխիզմ
mutilation	anger	0.714	խեղում
denunciation	anger	0.713	չեղյալ հայտարարելը
punch	anger	0.713	դակիչ
virulence	anger	0.712	վիրուլենտություն
fatal	anger	0.712	ճակատագրական
hurting	anger	0.712	ցավ պատճառող
crucifixion	anger	0.712	խաչելություն
dontlikeyou	anger	0.712	քեզ չեմ սիրում
blasphemous	anger	0.712	հայհոյական
holocaust	anger	0.712	Հոլոքոստ
dumbasses	anger	0.712	դմբասներ
battled	anger	0.712	կռվել
deranged	anger	0.706	խելագարված
irritated	anger	0.706	նյարդայնացած
atrocious	anger	0.706	վայրագ
evil	anger	0.706	չար
aggravated	anger	0.703	սրվել
intimidation	anger	0.703	ահաբեկում
dicks	anger	0.703	dicks
assassin	anger	0.703	մարդասպան
scolding	anger	0.703	կշտամբանք
persecution	anger	0.703	հալածանք
slayer	anger	0.703	մարդասպան
kidnap	anger	0.703	առեւանգել
aggression	anger	0.702	ագրեսիա
armed	anger	0.700	զինված
battle	anger	0.697	ճակատամարտ
poison	anger	0.697	թույն
snarling	anger	0.697	գռմռալով
venom	anger	0.697	թույն
disgruntled	anger	0.693	դժգոհ
resentment	anger	0.691	Զայրույթ
assailant	anger	0.691	հարձակվող
insidious	anger	0.691	նենգ
contemptuous	anger	0.690	արհամարհական
lynch	anger	0.690	լինչ
temper	anger	0.688	բնավորություն
terrible	anger	0.688	սարսափելի
disparage	anger	0.688	արհամարհել
lunatic	anger	0.688	խելագար
bully	anger	0.688	կռվարար
mad	anger	0.688	խելագար
makesmemad	anger	0.688	makememad
infanticide	anger	0.688	մանկասպանություն
domination	anger	0.688	գերիշխանություն
peeved	anger	0.688	խեղճացած
imprisonment	anger	0.688	ազատազրկում
curse	anger	0.688	անիծել
volatility	anger	0.687	անկայունություն
eradication	anger	0.685	վերացում
eradicate	anger	0.682	արմատախիլ անել
tantrum	anger	0.682	բարկություն
scoundrel	anger	0.682	սրիկա
devastate	anger	0.682	ավերել
aggressively	anger	0.680	ագրեսիվ կերպով
agitation	anger	0.680	գրգռում
dictatorship	anger	0.676	բռնապետություն
irritates	anger	0.676	նյարդայնացնում է
profanity	anger	0.673	հայհոյանք
shove	anger	0.672	խոթել
nasty	anger	0.672	գարշելի
shot	anger	0.672	կրակոց
cruelly	anger	0.672	դաժանաբար
shoot	anger	0.672	կրակել
condemnation	anger	0.672	դատապարտում
crushed	anger	0.672	մանրացված
aggravation	anger	0.672	սրացում
poisonous	anger	0.672	թունավոր
egregious	anger	0.672	ահավոր
crime	anger	0.672	հանցանք
corrupting	anger	0.672	ապականող
dastardly	anger	0.672	դաժանաբար
contempt	anger	0.672	արհամարհանք
harmful	anger	0.672	վնասակար
expletive	anger	0.672	սպառողական
wreak	anger	0.672	ջարդել
maniac	anger	0.670	մոլագար
cutthroat	anger	0.667	կոկորդը
enemy	anger	0.667	թշնամի
hit	anger	0.667	հարվածել
hateeveryone	anger	0.667	ատում բոլորին
eruption	anger	0.667	ժայթքում
irritable	anger	0.667	դյուրագրգիռ
odious	anger	0.667	գարշելի
shooting	anger	0.667	կրակոցներ
shout	anger	0.667	բղավել
aggressive	anger	0.667	ագրեսիվ
kick	anger	0.667	հարվածել
combat	anger	0.667	մարտական
fight	anger	0.667	պայքարել
punished	anger	0.662	պատժվել է
yell	anger	0.661	գոռալ
ambush	anger	0.661	դարանակալել
harass	anger	0.659	անհանգստացնել
malignant	anger	0.656	չարորակ
aggressor	anger	0.656	ագրեսոր
gore	anger	0.656	խոցել
destruction	anger	0.656	ոչնչացում
grudge	anger	0.656	վրդովմունք
antichrist	anger	0.656	նեռ
incense	anger	0.656	խունկ
expel	anger	0.656	վտարել
cranky	anger	0.653	կռվարար
slave	anger	0.652	ստրուկ
reprisal	anger	0.652	հաշվեհարդար
growl	anger	0.652	մռնչալ
animosity	anger	0.652	թշնամանք
insurrection	anger	0.652	ապստամբություն
clashing	anger	0.652	բախում
denounce	anger	0.652	դատապարտել
offended	anger	0.652	վիրավորված
spank	anger	0.652	ծեծել
insulting	anger	0.652	վիրավորական
growls	anger	0.649	մռնչում է
executioner	anger	0.644	դահիճ
twat	anger	0.644	twat
doomsday	anger	0.643	դատաստանի օր
obscenity	anger	0.641	անպարկեշտություն
accused	anger	0.641	մեղադրյալ
feud	anger	0.641	թշնամանք
daemon	anger	0.641	դեմոն
havoc	anger	0.641	ավերածություններ
shackle	anger	0.641	կապանք
inexcusable	anger	0.641	աններելի
indignant	anger	0.641	վրդովված
grr	anger	0.641	գրր
expulsion	anger	0.641	վտարում
bombard	anger	0.641	ռմբակոծել
spat	anger	0.641	թքել
arson	anger	0.641	հրկիզում
reprimand	anger	0.641	նկատողություն
somad	anger	0.637	սոմադ
frustrated	anger	0.636	հիասթափված
batter	anger	0.636	ծեծել
kicking	anger	0.636	ոտքով հարվածելը
anarchy	anger	0.636	անարխիա
spanking	anger	0.636	ծեծել
glaring	anger	0.636	փայլատակող
suicidal	anger	0.636	ինքնասպանություն
disgusting	anger	0.636	զզվելի
wound	anger	0.636	վերք
hanging	anger	0.636	կախված
poisoned	anger	0.636	թունավորված
combatant	anger	0.636	մարտիկ
wrecked	anger	0.633	ավերված
inflict	anger	0.633	պատճառել
grievous	anger	0.632	ցավալի
prosecute	anger	0.630	քրեական պատասխանատվության ենթարկել
agitated	anger	0.630	գրգռված
cheat	anger	0.630	խաբել
swastika	anger	0.627	սվաստիկա
injure	anger	0.625	վիրավորել
indict	anger	0.625	մեղադրական եզրակացություն
scourge	anger	0.625	պատուհաս
provocation	anger	0.625	սադրանք
suffocation	anger	0.625	շնչահեղձություն
strife	anger	0.625	վեճ
raid	anger	0.625	արշավանք
enslaved	anger	0.625	ստրկացած
cursing	anger	0.625	հայհոյանք
defamatory	anger	0.625	զրպարտիչ
harassing	anger	0.625	անհանգստացնող
thundering	anger	0.625	որոտում
betray	anger	0.625	դավաճանել
arsehole	anger	0.624	ծակոց
theft	anger	0.621	գողություն
insane	anger	0.621	խելագար
retaliation	anger	0.621	վրեժխնդրություն
irritate	anger	0.621	նյարդայնացնել
deprivation	anger	0.621	զրկանք
fiend	anger	0.621	սատանան
jerk	anger	0.621	հրմշտոց
convict	anger	0.621	դատապարտյալ
cussed	anger	0.619	հայհոյված
turmoil	anger	0.618	իրարանցում
smack	anger	0.615	smack
retribution	anger	0.614	հատուցում
rebellion	anger	0.609	ապստամբություն
oppressor	anger	0.609	ճնշող
gang	anger	0.609	բանդա
slavery	anger	0.609	ստրկություն
intolerable	anger	0.609	անտանելի
adverse	anger	0.609	անբարենպաստ
injurious	anger	0.609	վիրավորական
twats	anger	0.609	twats
collision	anger	0.609	բախում
battery	anger	0.609	մարտկոց
bitterly	anger	0.609	դառնորեն
antagonism	anger	0.609	անտագոնիզմ
irritability	anger	0.609	դյուրագրգռություն
disgraced	anger	0.608	խայտառակված
diatribe	anger	0.606	դիաբրիբ
asshole	anger	0.606	ապուշ
blast	anger	0.606	պայթյուն
bombardment	anger	0.606	ռմբակոծություն
irks	anger	0.606	զայրույթ
ranting	anger	0.606	վանկարկում
revolution	anger	0.606	հեղափոխություն
thug	anger	0.606	ավազակ
antagonistic	anger	0.606	հակառակորդ
irritating	anger	0.606	նյարդայնացնող
sickening	anger	0.606	հիվանդագին
discrimination	anger	0.606	խտրականություն
frustrate	anger	0.604	հիասթափեցնել
insult	anger	0.603	վիրավորանք
hurtful	anger	0.603	վիրավորական
oppression	anger	0.603	ճնշումը
manipulation	anger	0.603	մանիպուլյացիա
tiredofit	anger	0.603	հոգնածություն
bigot	anger	0.603	մոլեռանդ
tension	anger	0.603	լարում
disgust	anger	0.602	զզվանք
spite	anger	0.600	հակառակ
intrusive	anger	0.598	ներխուժող
harshness	anger	0.597	խստություն
slur	anger	0.596	զրպարտություն
tempest	anger	0.594	փոթորիկ
assail	anger	0.594	հարձակվել
bitterness	anger	0.594	դառնություն
morbidity	anger	0.594	հիվանդացություն
casualty	anger	0.594	դժբախտ պատահար
puncture	anger	0.594	ծակել
miserable	anger	0.594	թշվառ
inferno	anger	0.594	դժոխք
invasion	anger	0.594	ներխուժում
storming	anger	0.594	փոթորկվող
wretch	anger	0.594	թշվառ
consternation	anger	0.592	ցնցում
raving	anger	0.591	զառանցանք
forcibly	anger	0.591	բռնի ուժով
guillotine	anger	0.591	գիլյոտին
guilty	anger	0.591	մեղավոր
depraved	anger	0.591	այլասերված
immoral	anger	0.591	անբարոյական
overpowering	anger	0.591	գերակշռող
scare	anger	0.588	վախեցնել
recalcitrant	anger	0.588	անհնազանդ
screwed	anger	0.588	պտուտակված
accursed	anger	0.588	անիծված
soannoyed	anger	0.588	զայրացած
invader	anger	0.588	զավթիչ
jealousy	anger	0.587	խանդը
indignation	anger	0.587	վրդովմունք
vexed	anger	0.586	վրդովված
confront	anger	0.582	դիմակայել
brute	anger	0.581	դաժան
throttle	anger	0.579	շնչափող
slut	anger	0.578	պոռնիկ
coup	anger	0.578	հեղաշրջում
blaze	anger	0.578	բոցավառ
pillage	anger	0.578	կողոպուտ
provoking	anger	0.578	սադրիչ
damage	anger	0.578	վնաս
criminality	anger	0.578	հանցավորություն
shutup	anger	0.578	լռիր
lash	anger	0.578	թարթիչ
conflict	anger	0.578	կոնֆլիկտ
contentious	anger	0.578	վիճելի
shutit	anger	0.578	փակել այն
wreck	anger	0.578	խորտակված
defiant	anger	0.578	հանդուգն
butcher	anger	0.578	մսագործ
incarceration	anger	0.578	բանտարկություն
revolver	anger	0.578	ատրճանակ
bickering	anger	0.578	վիճաբանություն
yousuck	anger	0.578	ծծում ես
cancer	anger	0.577	քաղցկեղ
discriminate	anger	0.576	խտրականություն դնել
gun	anger	0.576	ատրճանակ
frustration	anger	0.576	հիասթափություն
gory	anger	0.576	դառնություն
pernicious	anger	0.576	կործանարար
dontmess	anger	0.576	մի խնդրեք
blasphemy	anger	0.576	հայհոյանք
chaotic	anger	0.576	քաոսային
grope	anger	0.576	հոշոտել
alienation	anger	0.576	օտարում
disturbance	anger	0.576	խանգարում
condescension	anger	0.576	զիջում
standoff	anger	0.576	կանգառ
discord	anger	0.576	տարաձայնություն
friggen	anger	0.575	friggen
sneer	anger	0.574	ծաղրել
death	anger	0.574	մահ
lunacy	anger	0.574	խելագարություն
scandalous	anger	0.574	սկանդալային
oppressive	anger	0.574	ճնշող
jab	anger	0.574	հարված
cursed	anger	0.574	անիծված
monstrosity	anger	0.574	հրեշավորություն
shit	anger	0.573	խեղճ
disparaging	anger	0.571	նսեմացնող
slash	anger	0.571	կտրատել
unfair	anger	0.571	անարդար
gallows	anger	0.570	կախաղան
escalate	anger	0.569	սրվել
intolerant	anger	0.564	անհանդուրժող
lawlessness	anger	0.563	անօրինություն
beast	anger	0.562	գազան
torpedo	anger	0.562	տորպեդո
malign	anger	0.562	չարորակ
traitor	anger	0.562	դավաճան
frightful	anger	0.562	սարսափելի
wrangling	anger	0.562	վիճաբանություն
slander	anger	0.562	զրպարտություն
bellows	anger	0.562	փուչիկներ
retards	anger	0.562	հետամնացներ
grouchy	anger	0.562	գռեհիկ
derogatory	anger	0.562	նսեմացնող
bearish	anger	0.562	արջային
invade	anger	0.562	ներխուժել
perdition	anger	0.562	կործանում
arghh	anger	0.562	արղհ
dreadful	anger	0.562	սարսափելի
bluddy	anger	0.562	կոպիտ
deceived	anger	0.562	խաբված
glare	anger	0.562	շողալ
taunt	anger	0.562	ծաղրել
dissension	anger	0.561	տարաձայնություն
cross	anger	0.561	Խաչ
rave	anger	0.561	զառանցել
grating	anger	0.561	քերել
devastating	anger	0.561	կործանարար
fits	anger	0.561	տեղավորվում է
jeopardize	anger	0.561	վտանգի ենթարկել
shatter	anger	0.561	ջարդվել
idiots	anger	0.561	ապուշներ
hurt	anger	0.561	վիրավորվել
thief	anger	0.561	գող
uncontrollable	anger	0.561	անվերահսկելի
conflagration	anger	0.561	հրկիզում
betrayal	anger	0.561	դավաճանություն
banshee	anger	0.561	բանշի
subjugation	anger	0.559	հպատակեցում
disturbed	anger	0.559	խանգարված
stomped	anger	0.557	ոտնահարված
grab	anger	0.557	գրավել
grievance	anger	0.556	դժգոհություն
ticked	anger	0.556	նշած
masochism	anger	0.556	մազոխիզմ
defiance	anger	0.552	անհնազանդություն
blackmail	anger	0.550	շանտաժ
offensive	anger	0.549	վիրավորական
decry	anger	0.548	պախարակել
frustrates	anger	0.547	հիասթափեցնում է
violation	anger	0.547	խախտում
confine	anger	0.547	սահմանափակել
misery	anger	0.547	թշվառություն
arghhhh	anger	0.547	արղհհհ
disparity	anger	0.547	անհավասարություն
punishment	anger	0.547	պատիժ
rebel	anger	0.547	ապստամբ
preposterous	anger	0.547	անհեթեթ
disgraceful	anger	0.547	խայտառակ
ire	anger	0.547	զայրույթ
deceive	anger	0.547	խաբել
fustrated	anger	0.547	խեղճացած
sin	anger	0.547	մեղք
shrill	anger	0.547	զրնգուն
darkside	anger	0.547	մութ կողմ
overbearing	anger	0.547	գերիշխող
firearms	anger	0.547	հրազեն
stolen	anger	0.546	գողացել
hadenough	anger	0.546	բավական էր
prejudice	anger	0.545	նախապաշարմունք
tackle	anger	0.545	լուծել
resentful	anger	0.545	նեղացած
heated	anger	0.545	ջեռուցվում է
callous	anger	0.545	անզգայուն
conspirator	anger	0.545	դավադիր
ruined	anger	0.545	ավերված
antagonist	anger	0.545	հակառակորդ
skirmish	anger	0.545	փոխհրաձգություն
menace	anger	0.545	սպառնալիք
annoyin	anger	0.545	զայրացնել
foul	anger	0.545	կոպիտ
argument	anger	0.545	փաստարկ
humiliate	anger	0.545	ստորացնել
wanker	anger	0.545	թափառող
adversary	anger	0.545	հակառակորդ
sting	anger	0.544	խայթել
entangled	anger	0.544	խճճված
grumble	anger	0.544	տրտնջալ
robbery	anger	0.544	կողոպուտ
outcry	anger	0.544	աղաղակ
resistance	anger	0.543	դիմադրություն
irreconcilable	anger	0.543	անհաշտ
obstructive	anger	0.542	խանգարող
dismay	anger	0.540	հիասթափություն
mob	anger	0.538	ամբոխ
juststop	anger	0.537	պարզապես կանգ առեք
badness	anger	0.536	վատություն
ridicule	anger	0.534	ծաղր
incendiary	anger	0.533	հրահրող
flares	anger	0.532	բռնկումներ
twofaced	anger	0.531	երկերեսանի
reckless	anger	0.531	անխոհեմ
communism	anger	0.531	կոմունիզմ
allegation	anger	0.531	պնդում
prejudicial	anger	0.531	վնասաբեր
whip	anger	0.531	մտրակել
unbridled	anger	0.531	անսանձ
degeneracy	anger	0.531	այլասերվածություն
intruder	anger	0.531	ներխուժող
belittle	anger	0.531	նսեմացնել
confinement	anger	0.531	կալանավորումը
dispute	anger	0.531	վեճ
exacerbation	anger	0.531	սրացում
uprising	anger	0.531	ապստամբություն
unjust	anger	0.530	անարդար
unjustifiable	anger	0.530	անհիմն
perversion	anger	0.530	այլասերվածություն
bigoted	anger	0.530	մոլեռանդ
fiesty	anger	0.530	բուռն
offender	anger	0.530	իրավախախտ
dictatorial	anger	0.530	բռնապետական
hassle	anger	0.530	քաշքշուկ
dissonance	anger	0.530	դիսոնանս
tackled	anger	0.530	լուծվել է
renegade	anger	0.529	ուրացող
cantstandit	anger	0.529	չեմ դիմանում
trespass	anger	0.529	խախտել
hot	anger	0.529	տաք
prison	anger	0.529	բանտ
suicide	anger	0.521	ինքնասպանություն
annoy	anger	0.520	զայրացնել
leavemealone	anger	0.517	ինձ մենակ թող
cretins	anger	0.516	կրետիններ
depravity	anger	0.516	այլասերվածություն
idiotic	anger	0.516	ապուշ
dishonest	anger	0.516	անազնիվ
distrust	anger	0.516	անվստահություն, կասկած
broil	anger	0.516	խորովել
grrr	anger	0.516	grrr
criticize	anger	0.516	քննադատել
inimical	anger	0.516	թշնամական
tortious	anger	0.516	տանջալից
prisoner	anger	0.516	բանտարկյալ
treason	anger	0.516	դավաճանություն
divorce	anger	0.516	ամուսնալուծություն
venting	anger	0.516	օդափոխություն
duress	anger	0.516	պարտադրանք
disrespectful	anger	0.516	անհարգալից
poaching	anger	0.515	որսագողություն
scold	anger	0.515	նախատել
poachers	anger	0.515	որսագողեր
pow	anger	0.515	հզոր
hangry	anger	0.515	սոված
argumentation	anger	0.515	փաստարկ
frustrating	anger	0.515	հիասթափեցնող
unkind	anger	0.515	անբարյացակամ
roar	anger	0.515	մռնչալ
coercion	anger	0.515	հարկադրանք
unforgiving	anger	0.515	աններող
grump	anger	0.515	փնթփնթալ
bile	anger	0.515	դառնություն
unleash	anger	0.515	սանձազերծել
chaos	anger	0.515	քաոս
victimized	anger	0.515	զոհված
jerks	anger	0.515	ցնցումներ
tussle	anger	0.514	վիճաբանություն
bane	anger	0.511	չարչարել
accusation	anger	0.510	մեղադրանք
enmity	anger	0.510	թշնամանք
repudiation	anger	0.510	մերժում
banish	anger	0.509	վտարել
disfigured	anger	0.508	այլանդակված
storm	anger	0.507	փոթորիկ
crazy	anger	0.500	խենթ
hammering	anger	0.500	մուրճը
defy	anger	0.500	դիմանալ
antithesis	anger	0.500	հակաթեզ
scoff	anger	0.500	ծաղրել
anguish	anger	0.500	տառապանք
confined	anger	0.500	սահմանափակված
fear	anger	0.500	վախ
bout	anger	0.500	մենամարտ
unruly	anger	0.500	անհնազանդ
delusional	anger	0.500	զառանցական
obstruct	anger	0.500	խոչընդոտել
possessed	anger	0.500	տիրապետված
injustice	anger	0.500	անարդարություն
fervor	anger	0.500	եռանդ
spear	anger	0.500	նիզակ
derision	anger	0.500	ծաղր
intractable	anger	0.500	անլուծելի
reject	anger	0.500	մերժել
dominate	anger	0.500	տիրել
ordeal	anger	0.500	փորձություն
banished	anger	0.500	վտարված
rejects	anger	0.500	մերժում է
shun	anger	0.500	խուսափել
brunt	anger	0.500	դաժան
derogation	anger	0.500	շեղում
frenzied	anger	0.500	կատաղած
animus	anger	0.500	անիմուս
suppression	anger	0.500	զսպում
malpractice	anger	0.500	անօրինականություն
brazen	anger	0.500	լկտի
foaming	anger	0.500	փրփրացող
disrupting	anger	0.500	խանգարող
nobodycares	anger	0.500	ոչ ոքի չի հետաքրքրում
patronising	anger	0.500	հովանավորող
getoveryourself	anger	0.495	գերազանցիր ինքդ քեզ
toughness	anger	0.492	կարծրություն
stupidpeople	anger	0.492	հիմար մարդիկ
madness	anger	0.491	խելագարություն
sinful	anger	0.491	մեղավոր
avarice	anger	0.490	ագահություն
oppress	anger	0.490	ճնշել
cutting	anger	0.485	կտրում
anathema	anger	0.485	անաթեմա
annoyed	anger	0.485	ջղայնացած
dissident	anger	0.485	այլախոհ
demand	anger	0.485	պահանջարկ
