English Word	Emotion	Emotion-Intensity-Score	Amharic Word
deplorable	anger	0.766	አሳዛኝ
devastation	anger	0.765	ውድመት
anarchist	anger	0.765	አናርኪስት
firestorm	anger	0.765	እሳት አውሎ ነፋስ
resent	anger	0.765	ቂም መያዝ
contemptible	anger	0.764	ንቀት
shittest	anger	0.760	ሽንገላ
rant	anger	0.758	መናደድ
cruel	anger	0.758	ጨካኝ
deadly	anger	0.758	ገዳይ
smash	anger	0.758	መሰባበር
soangry	anger	0.758	የተናደደ
outburst	anger	0.757	ፍንዳታ
snarl	anger	0.754	መንኮራኩር
profane	anger	0.750	ጸያፍ
revolting	anger	0.750	ማመጽ
aggravating	anger	0.750	የሚያባብስ
horror	anger	0.750	አስፈሪ
despise	anger	0.750	መናቅ
offend	anger	0.750	ማሰናከያ
stfu	anger	0.750	stfu
vulgarity	anger	0.750	ብልግና
crazed	anger	0.750	አብዷል
douchebags	anger	0.750	ዶክ ቦርሳዎች
growling	anger	0.750	ማጉረምረም
dontmesswithme	anger	0.750	ከእኔ ጋር አትስማማም
screaming	anger	0.742	መጮህ
threat	anger	0.742	ማስፈራሪያ
erupt	anger	0.742	ፈነዳ
horrible	anger	0.742	አሰቃቂ
molestation	anger	0.742	መጎሳቆል
fuckedoff	anger	0.742	ፌክ
violence	anger	0.742	ብጥብጥ
bastards	anger	0.741	ዲቃላዎች
revenge	anger	0.738	መበቀል
menacing	anger	0.735	አስጊ
crushing	anger	0.735	መፍጨት
damn	anger	0.735	እርግማን
catastrophe	anger	0.735	ጥፋት
demon	anger	0.735	ጋኔን
argue	anger	0.734	ተከራከሩ
persecute	anger	0.734	ስደት
deplore	anger	0.734	ማዘን
flog	anger	0.734	ግርፋት
fedup	anger	0.734	መሰልቸት
riotous	anger	0.734	ብጥብጥ
vehement	anger	0.734	ቁጣ
revolt	anger	0.734	አመፅ
warfare	anger	0.734	ጦርነት
thrash	anger	0.734	ጠባሳ
altercation	anger	0.729	ውዝግብ
warlike	anger	0.728	ጦርነት ወዳድ
shitday	anger	0.727	የሺታ ቀን
mutiny	anger	0.727	ጨካኝ
castrate	anger	0.727	ውሰድ
sabotage	anger	0.727	ማበላሸት
malevolent	anger	0.721	ተንኮለኛ
strike	anger	0.721	አድማ
disaster	anger	0.721	አደጋ
disastrous	anger	0.720	አስከፊ
bastarding	anger	0.719	ማስፈራራት
treachery	anger	0.719	ክህደት
arseholes	anger	0.719	ጉድጓዶች
horseshit	anger	0.719	ፈረሰኛ
slay	anger	0.719	መግደል
disdain	anger	0.719	ንቀት
aggravates	anger	0.719	ያባብሳል
brutal	anger	0.719	ጨካኝ
scorching	anger	0.719	የሚያቃጥል
devil	anger	0.719	ሰይጣን
madden	anger	0.719	ማበድ
spiteful	anger	0.719	አሳፋሪ
scream	anger	0.719	መጮህ
choke	anger	0.719	ማነቅ
vermin	anger	0.719	ተባይ
tumult	anger	0.719	ግርግር
criminal	anger	0.714	ወንጀለኛ
mangle	anger	0.714	ማንግል
anarchism	anger	0.714	አናርኪዝም
mutilation	anger	0.714	አካል ጉዳተኝነት
denunciation	anger	0.713	ውግዘት
punch	anger	0.713	ቡጢ
virulence	anger	0.712	ቫይረቴሽን
fatal	anger	0.712	ገዳይ
hurting	anger	0.712	የሚጎዳ
crucifixion	anger	0.712	ስቅለት
dontlikeyou	anger	0.712	አልወድህም
blasphemous	anger	0.712	ተሳዳቢ
holocaust	anger	0.712	ሆሎኮስት
dumbasses	anger	0.712	ዲዳዎች
battled	anger	0.712	ተዋግቷል
deranged	anger	0.706	የተበላሸ
irritated	anger	0.706	ተናደደ
atrocious	anger	0.706	አሰቃቂ
evil	anger	0.706	ክፉ
aggravated	anger	0.703	ተባብሷል
intimidation	anger	0.703	ማስፈራራት
dicks	anger	0.703	ዲኮች
assassin	anger	0.703	ነፍሰ ገዳይ
scolding	anger	0.703	ስድብ
persecution	anger	0.703	ስደት
slayer	anger	0.703	ገዳይ
kidnap	anger	0.703	አፈና
aggression	anger	0.702	ማጥቃት
armed	anger	0.700	የታጠቁ
battle	anger	0.697	ጦርነት
poison	anger	0.697	መርዝ
snarling	anger	0.697	እያሽመደመደ
venom	anger	0.697	መርዝ
disgruntled	anger	0.693	ተበሳጨ
resentment	anger	0.691	ቂም
assailant	anger	0.691	አጥቂ
insidious	anger	0.691	ተንኮለኛ
contemptuous	anger	0.690	ንቀት
lynch	anger	0.690	ሊንች
temper	anger	0.688	ቁጣ
terrible	anger	0.688	አስፈሪ
disparage	anger	0.688	ንቀት
lunatic	anger	0.688	እብድ
bully	anger	0.688	ጉልበተኛ
mad	anger	0.688	እብድ
makesmemad	anger	0.688	አስመሳይ
infanticide	anger	0.688	የጨቅላ ነፍስ ግድያ
domination	anger	0.688	የበላይነት
peeved	anger	0.688	ተላጠ
imprisonment	anger	0.688	እስራት
curse	anger	0.688	እርግማን
volatility	anger	0.687	ተለዋዋጭነት
eradication	anger	0.685	ማጥፋት
eradicate	anger	0.682	ማጥፋት
tantrum	anger	0.682	ንዴት
scoundrel	anger	0.682	ቅሌት
devastate	anger	0.682	አውዳሚ
aggressively	anger	0.680	በቁጣ
agitation	anger	0.680	ቅስቀሳ
dictatorship	anger	0.676	አምባገነንነት
irritates	anger	0.676	ያናድዳል
profanity	anger	0.673	ስድብ
shove	anger	0.672	ጩኸት
nasty	anger	0.672	መጥፎ
shot	anger	0.672	ተኩስ
cruelly	anger	0.672	በጭካኔ
shoot	anger	0.672	ተኩስ
condemnation	anger	0.672	ውግዘት
crushed	anger	0.672	የተፈጨ
aggravation	anger	0.672	ማባባስ
poisonous	anger	0.672	መርዛማ
egregious	anger	0.672	ግዙፍ
crime	anger	0.672	ወንጀል
corrupting	anger	0.672	ማበላሸት
dastardly	anger	0.672	በድፍረት
contempt	anger	0.672	ንቀት
harmful	anger	0.672	ጎጂ
expletive	anger	0.672	ገላጭ
wreak	anger	0.672	መፍረስ
maniac	anger	0.670	ማንያክ
cutthroat	anger	0.667	መቆረጥ
enemy	anger	0.667	ጠላት
hit	anger	0.667	መምታት
hateeveryone	anger	0.667	ሁሉንም ሰው መጥላት
eruption	anger	0.667	ፍንዳታ
irritable	anger	0.667	የሚያናድድ
odious	anger	0.667	አስጸያፊ
shooting	anger	0.667	መተኮስ
shout	anger	0.667	ጩህት
aggressive	anger	0.667	ጠበኛ
kick	anger	0.667	ምታ
combat	anger	0.667	ውጊያ
fight	anger	0.667	መዋጋት
punished	anger	0.662	ተቀጣ
yell	anger	0.661	መጮህ
ambush	anger	0.661	ማደብደብ
harass	anger	0.659	ትንኮሳ
malignant	anger	0.656	አደገኛ
aggressor	anger	0.656	አጥቂ
gore	anger	0.656	ጎር
destruction	anger	0.656	ጥፋት
grudge	anger	0.656	ቂም
antichrist	anger	0.656	የክርስቶስ ተቃዋሚ
incense	anger	0.656	ዕጣን
expel	anger	0.656	ማባረር
cranky	anger	0.653	ተንኮለኛ
slave	anger	0.652	ባሪያ
reprisal	anger	0.652	በቀል
growl	anger	0.652	ማጉረምረም
animosity	anger	0.652	ጥላቻ
insurrection	anger	0.652	አመጽ
clashing	anger	0.652	መጋጨት
denounce	anger	0.652	አውግዟል።
offended	anger	0.652	ተበሳጨ
spank	anger	0.652	ግርፋት
insulting	anger	0.652	ስድብ
growls	anger	0.649	ያጉረመርማል
executioner	anger	0.644	ፈጻሚ
twat	anger	0.644	ዋት
doomsday	anger	0.643	የምጽአት ቀን
obscenity	anger	0.641	ብልግና
accused	anger	0.641	ተከሰሰ
feud	anger	0.641	ጠብ
daemon	anger	0.641	ዴሞን
havoc	anger	0.641	ጥፋት
shackle	anger	0.641	ማሰር
inexcusable	anger	0.641	ማመካኛ የሌለው
indignant	anger	0.641	የተናደደ
grr	anger	0.641	ግራር
expulsion	anger	0.641	መባረር
bombard	anger	0.641	ቦምብርድ
spat	anger	0.641	ምራቅ
arson	anger	0.641	ማቃጠል
reprimand	anger	0.641	ተግሣጽ
somad	anger	0.637	ሶማዲ
frustrated	anger	0.636	ተበሳጨ
batter	anger	0.636	ድብደባ
kicking	anger	0.636	በእርግጫ
anarchy	anger	0.636	ስርዓት አልበኝነት
spanking	anger	0.636	መደብደብ
glaring	anger	0.636	አንጸባራቂ
suicidal	anger	0.636	ራስን ማጥፋት
disgusting	anger	0.636	አስጸያፊ
wound	anger	0.636	ቁስል
hanging	anger	0.636	ማንጠልጠል
poisoned	anger	0.636	ተመረዘ
combatant	anger	0.636	ተዋጊ
wrecked	anger	0.633	ተበላሽቷል
inflict	anger	0.633	ማድረስ
grievous	anger	0.632	አሳዛኝ
prosecute	anger	0.630	መክሰስ
agitated	anger	0.630	ተናደደ
cheat	anger	0.630	ማጭበርበር
swastika	anger	0.627	ስዋስቲካ
injure	anger	0.625	መጉዳት
indict	anger	0.625	መወንጀል
scourge	anger	0.625	መቅሰፍት
provocation	anger	0.625	ቅስቀሳ
suffocation	anger	0.625	መታፈን
strife	anger	0.625	ጠብ
raid	anger	0.625	ወረራ
enslaved	anger	0.625	በባርነት የተገዛ
cursing	anger	0.625	እርግማን
defamatory	anger	0.625	ስም አጥፊ
harassing	anger	0.625	ትንኮሳ
thundering	anger	0.625	ነጎድጓድ
betray	anger	0.625	ክህደት
arsehole	anger	0.624	arsehole
theft	anger	0.621	ስርቆት
insane	anger	0.621	እብድ
retaliation	anger	0.621	የበቀል እርምጃ መውሰድ
irritate	anger	0.621	ማበሳጨት
deprivation	anger	0.621	እጦት
fiend	anger	0.621	fiend
jerk	anger	0.621	ጅልነት
convict	anger	0.621	ጥፋተኛ
cussed	anger	0.619	ተሳድቧል
turmoil	anger	0.618	ብጥብጥ
smack	anger	0.615	መምታት
retribution	anger	0.614	በቀል
rebellion	anger	0.609	አመፅ
oppressor	anger	0.609	ጨቋኝ
gang	anger	0.609	የወሮበሎች ቡድን
slavery	anger	0.609	ባርነት
intolerable	anger	0.609	የማይታገስ
adverse	anger	0.609	አሉታዊ
injurious	anger	0.609	ጎጂ
twats	anger	0.609	ዋትስ
collision	anger	0.609	ግጭት
battery	anger	0.609	ባትሪ
bitterly	anger	0.609	በምሬት
antagonism	anger	0.609	ተቃዋሚነት
irritability	anger	0.609	ብስጭት
disgraced	anger	0.608	የተዋረደ
diatribe	anger	0.606	ዲያትሪብ
asshole	anger	0.606	አሳፋሪ
blast	anger	0.606	ፍንዳታ
bombardment	anger	0.606	የቦምብ ድብደባ
irks	anger	0.606	ኢርክ
ranting	anger	0.606	መጮህ
revolution	anger	0.606	አብዮት
thug	anger	0.606	ወሮበላ
antagonistic	anger	0.606	ተቃዋሚ
irritating	anger	0.606	የሚያናድድ
sickening	anger	0.606	የታመመ
discrimination	anger	0.606	መድልዎ
frustrate	anger	0.604	ብስጭት
insult	anger	0.603	ስድብ
hurtful	anger	0.603	ጎጂ
oppression	anger	0.603	ጭቆና
manipulation	anger	0.603	ማጭበርበር
tiredofit	anger	0.603	ድካም
bigot	anger	0.603	ነፍጠኛ
tension	anger	0.603	ውጥረት
disgust	anger	0.602	አስጸያፊ
spite	anger	0.600	ቢሆንም
intrusive	anger	0.598	ጣልቃ መግባት
harshness	anger	0.597	ግትርነት
slur	anger	0.596	ስድብ
tempest	anger	0.594	ማዕበል
assail	anger	0.594	ማጥቃት
bitterness	anger	0.594	ምሬት
morbidity	anger	0.594	የበሽታ መከሰት
casualty	anger	0.594	ተጎጂ
puncture	anger	0.594	መበሳት
miserable	anger	0.594	አሳዛኝ
inferno	anger	0.594	እሳተ ገሞራ
invasion	anger	0.594	ወረራ
storming	anger	0.594	በማዕበል መንቀጥቀጥ
wretch	anger	0.594	ምስኪን
consternation	anger	0.592	መደናነቅ
raving	anger	0.591	መናደድ
forcibly	anger	0.591	በግዳጅ
guillotine	anger	0.591	ጊሎቲን
guilty	anger	0.591	ጥፋተኛ
depraved	anger	0.591	የተበላሸ
immoral	anger	0.591	ሥነ ምግባር የጎደለው
overpowering	anger	0.591	ከአቅም በላይ የሆነ
scare	anger	0.588	ማስፈራራት
recalcitrant	anger	0.588	እምቢተኛ
screwed	anger	0.588	ተበላሽቷል
accursed	anger	0.588	የተረገመ
soannoyed	anger	0.588	ተናደደ
invader	anger	0.588	ወራሪ
jealousy	anger	0.587	ቅናት
indignation	anger	0.587	ቁጣ
vexed	anger	0.586	ተበሳጨ
confront	anger	0.582	መጋፈጥ
brute	anger	0.581	ጨካኝ
throttle	anger	0.579	ስሮትል
slut	anger	0.578	ሸርሙጣ
coup	anger	0.578	መፈንቅለ መንግስት
blaze	anger	0.578	ነበልባል
pillage	anger	0.578	ዘረፋ
provoking	anger	0.578	ቀስቃሽ
damage	anger	0.578	ጉዳት
criminality	anger	0.578	ወንጀል
shutup	anger	0.578	ዝም በይ
lash	anger	0.578	ግርፋት
conflict	anger	0.578	ግጭት
contentious	anger	0.578	አጨቃጫቂ
shutit	anger	0.578	ዝጋው
wreck	anger	0.578	ሰበር
defiant	anger	0.578	እምቢተኛ
butcher	anger	0.578	ሥጋ ቆራጭ
incarceration	anger	0.578	መታሰር
revolver	anger	0.578	አብዮተኛ
bickering	anger	0.578	መጨቃጨቅ
yousuck	anger	0.578	ትደብራለህ
cancer	anger	0.577	ካንሰር
discriminate	anger	0.576	አድልዎ ማድረግ
gun	anger	0.576	ሽጉጥ
frustration	anger	0.576	ብስጭት
gory	anger	0.576	ጎሪ
pernicious	anger	0.576	አደገኛ
dontmess	anger	0.576	አይረብሽ
blasphemy	anger	0.576	ስድብ
chaotic	anger	0.576	የተመሰቃቀለ
grope	anger	0.576	መጎተት
alienation	anger	0.576	ማግለል
disturbance	anger	0.576	ብጥብጥ
condescension	anger	0.576	ራስን ዝቅ ማድረግ
standoff	anger	0.576	መቆም
discord	anger	0.576	አለመግባባት
friggen	anger	0.575	friggen
sneer	anger	0.574	መሳለቂያ
death	anger	0.574	ሞት
lunacy	anger	0.574	እብደት
scandalous	anger	0.574	አሳፋሪ
oppressive	anger	0.574	ጨቋኝ
jab	anger	0.574	ጃብ
cursed	anger	0.574	የተረገመ
monstrosity	anger	0.574	ጭራቅነት
shit	anger	0.573	ጉድ ነው።
disparaging	anger	0.571	ማጣጣል
slash	anger	0.571	መጨፍጨፍ
unfair	anger	0.571	ኢ-ፍትሃዊ
gallows	anger	0.570	ጋሎውስ
escalate	anger	0.569	ማደግ
intolerant	anger	0.564	አለመቻቻል
lawlessness	anger	0.563	ሕገ-ወጥነት
beast	anger	0.562	አውሬ
torpedo	anger	0.562	ቶርፔዶ
malign	anger	0.562	ክፉ
traitor	anger	0.562	ከዳተኛ
frightful	anger	0.562	አስፈሪ
wrangling	anger	0.562	መጨቃጨቅ
slander	anger	0.562	ስም ማጥፋት
bellows	anger	0.562	ጩኸት
retards	anger	0.562	ይዘገያል
grouchy	anger	0.562	ጨካኝ
derogatory	anger	0.562	አዋራጅ
bearish	anger	0.562	ድብርት
invade	anger	0.562	ወረራ
perdition	anger	0.562	ጥፋት
arghh	anger	0.562	አርግህ
dreadful	anger	0.562	አስፈሪ
bluddy	anger	0.562	ደብዛዛ
deceived	anger	0.562	ተታለለ
glare	anger	0.562	ነጸብራቅ
taunt	anger	0.562	መሳለቂያ
dissension	anger	0.561	አለመግባባት
cross	anger	0.561	መስቀል
rave	anger	0.561	መደፈር
grating	anger	0.561	ፍርግርግ
devastating	anger	0.561	አጥፊ
fits	anger	0.561	የሚስማማ
jeopardize	anger	0.561	አደጋ ላይ ይጥሉ
shatter	anger	0.561	መሰባበር
idiots	anger	0.561	ደንቆሮዎች
hurt	anger	0.561	ተጎዳ
thief	anger	0.561	ሌባ
uncontrollable	anger	0.561	መቆጣጠር የማይቻል
conflagration	anger	0.561	ማቃጠል
betrayal	anger	0.561	ክህደት
banshee	anger	0.561	banshee
subjugation	anger	0.559	መገዛት
disturbed	anger	0.559	የተረበሸ
stomped	anger	0.557	ረገጣ
grab	anger	0.557	ያዝ
grievance	anger	0.556	ቅሬታ
ticked	anger	0.556	ምልክት የተደረገበት
masochism	anger	0.556	ማሶሺዝም
defiance	anger	0.552	እምቢተኝነት
blackmail	anger	0.550	ጥቁረት
offensive	anger	0.549	አፀያፊ
decry	anger	0.548	መቃወም
frustrates	anger	0.547	ያበሳጫል
violation	anger	0.547	መጣስ
confine	anger	0.547	መገደብ
misery	anger	0.547	መከራ
arghhhh	anger	0.547	አርግህህህህ
disparity	anger	0.547	ልዩነት
punishment	anger	0.547	ቅጣት
rebel	anger	0.547	አመጸኛ
preposterous	anger	0.547	አስመሳይ
disgraceful	anger	0.547	አሳፋሪ
ire	anger	0.547	ብስጭት
deceive	anger	0.547	ማታለል
fustrated	anger	0.547	የተበሳጨ
sin	anger	0.547	ኃጢአት
shrill	anger	0.547	ጩኸት
darkside	anger	0.547	ጨለማ ጎን
overbearing	anger	0.547	ከመጠን በላይ መሸከም
firearms	anger	0.547	የጦር መሳሪያዎች
stolen	anger	0.546	ተሰርቋል
hadenough	anger	0.546	በቃኝ
prejudice	anger	0.545	ጭፍን ጥላቻ
tackle	anger	0.545	መታገል
resentful	anger	0.545	ቂመኛ
heated	anger	0.545	ተሞቅቷል
callous	anger	0.545	ደፋር
conspirator	anger	0.545	ሴረኛ
ruined	anger	0.545	ተበላሽቷል
antagonist	anger	0.545	ተቃዋሚ
skirmish	anger	0.545	ፍጥጫ
menace	anger	0.545	ስጋት
annoyin	anger	0.545	አኖይን
foul	anger	0.545	መጥፎ
argument	anger	0.545	ክርክር
humiliate	anger	0.545	ማዋረድ
wanker	anger	0.545	ማንቸር
adversary	anger	0.545	ተቃዋሚ
sting	anger	0.544	መወጋት
entangled	anger	0.544	የተጠላለፈ
grumble	anger	0.544	ማጉረምረም
robbery	anger	0.544	ዝርፊያ
outcry	anger	0.544	ጩኸት
resistance	anger	0.543	መቋቋም
irreconcilable	anger	0.543	የማይታረቅ
obstructive	anger	0.542	አደናቃፊ
dismay	anger	0.540	ድንጋጤ
mob	anger	0.538	መንጋ
juststop	anger	0.537	ዝም ብለህ አቁም
badness	anger	0.536	መጥፎነት
ridicule	anger	0.534	መሳለቂያ
incendiary	anger	0.533	ተቀጣጣይ
flares	anger	0.532	ፍንዳታዎች
twofaced	anger	0.531	ባለ ሁለት ፊት
reckless	anger	0.531	በግዴለሽነት
communism	anger	0.531	ኮሚኒዝም
allegation	anger	0.531	ውንጀላ
prejudicial	anger	0.531	ጭፍን ጥላቻ
whip	anger	0.531	ጅራፍ
unbridled	anger	0.531	ያልተገራ
degeneracy	anger	0.531	መበላሸት
intruder	anger	0.531	ሰርጎ ገዳይ
belittle	anger	0.531	አሳንስ
confinement	anger	0.531	መታሰር
dispute	anger	0.531	ክርክር
exacerbation	anger	0.531	ማባባስ
uprising	anger	0.531	አመፅ
unjust	anger	0.530	ኢፍትሐዊ
unjustifiable	anger	0.530	ምክንያታዊ ያልሆነ
perversion	anger	0.530	ጠማማነት
bigoted	anger	0.530	ትምክህተኛ
fiesty	anger	0.530	ጨካኝ
offender	anger	0.530	ወንጀለኛ
dictatorial	anger	0.530	አምባገነን
hassle	anger	0.530	ጣጣ
dissonance	anger	0.530	አለመስማማት
tackled	anger	0.530	ታግሏል
renegade	anger	0.529	ክህደት
cantstandit	anger	0.529	የማይቆም
trespass	anger	0.529	መተላለፍ
hot	anger	0.529	ትኩስ
prison	anger	0.529	እስር ቤት
suicide	anger	0.521	ራስን ማጥፋት
annoy	anger	0.520	ማናደድ
leavemealone	anger	0.517	ለቀቅ አርገኝ
cretins	anger	0.516	ክሪቲንስ
depravity	anger	0.516	ብልግና
idiotic	anger	0.516	ደደብ
dishonest	anger	0.516	ሐቀኝነት የጎደለው
distrust	anger	0.516	አለመተማመን
broil	anger	0.516	መረቅ
grrr	anger	0.516	grrr
criticize	anger	0.516	መተቸት።
inimical	anger	0.516	ኢሚካል
tortious	anger	0.516	የሚያሰቃይ
prisoner	anger	0.516	እስረኛ
treason	anger	0.516	የሀገር ክህደት
divorce	anger	0.516	ፍቺ
venting	anger	0.516	አየር ማስወጣት
duress	anger	0.516	ማስገደድ
disrespectful	anger	0.516	አክብሮት የጎደለው
poaching	anger	0.515	ማደን
scold	anger	0.515	ስድብ
poachers	anger	0.515	አዳኞች
pow	anger	0.515	ጉልበት
hangry	anger	0.515	የተንጠለጠለ
argumentation	anger	0.515	ክርክር
frustrating	anger	0.515	ተስፋ አስቆራጭ
unkind	anger	0.515	ደግነት የጎደለው
roar	anger	0.515	አገሳ
coercion	anger	0.515	ማስገደድ
unforgiving	anger	0.515	ይቅር የማይባል
grump	anger	0.515	ግርምት
bile	anger	0.515	ሐሞት
unleash	anger	0.515	መልቀቅ
chaos	anger	0.515	ትርምስ
victimized	anger	0.515	ተጎጂ
jerks	anger	0.515	ዥዋዥዌ
tussle	anger	0.514	መንቀጥቀጥ
bane	anger	0.511	ban
accusation	anger	0.510	ውንጀላ
enmity	anger	0.510	ጠላትነት
repudiation	anger	0.510	እምቢተኝነት
banish	anger	0.509	ማባረር
disfigured	anger	0.508	ተበላሽቷል
storm	anger	0.507	ማዕበል
crazy	anger	0.500	እብድ
hammering	anger	0.500	መዶሻ
