English Word	Emotion	Emotion-Intensity-Score	Bengali Word
annihilated	anger	0.865	নিশ্চিহ্ন
angriest	anger	0.864	রাগান্বিত
bloodshed	anger	0.864	রক্তপাত
smite	anger	0.862	আঘাত
brawl	anger	0.861	ঝগড়া
malicious	anger	0.859	দূষিত
assassination	anger	0.859	হত্যা
strangle	anger	0.859	শ্বাসরোধ
hostility	anger	0.859	শত্রুতা
assault	anger	0.859	হামলা
explode	anger	0.859	বিস্ফোরণ
tirade	anger	0.859	tirade
loathsome	anger	0.857	ঘৃণ্য
hell	anger	0.853	জাহান্নাম
murderous	anger	0.853	খুন
attack	anger	0.853	আক্রমণ
malice	anger	0.852	বিদ্বেষ
terrorism	anger	0.851	সন্ত্রাসবাদ
beating	anger	0.849	মারধর
outrage	anger	0.848	অত্যাচার
desecration	anger	0.848	অপবিত্রতা
pissingmeoff	anger	0.848	pissingmeoff
destroying	anger	0.844	ধ্বংস করা
slaughter	anger	0.844	বধ
irate	anger	0.844	ক্রুদ্ধ
violent	anger	0.844	হিংস্র
stab	anger	0.844	ছুরিকাঘাত
abomination	anger	0.844	ঘৃণ্য
tumultuous	anger	0.844	টালমাটাল
infuriate	anger	0.844	বিরক্ত করা
obliterate	anger	0.843	নিশ্চিহ্ন করা
belligerent	anger	0.841	যুদ্ধরত
dumbbitch	anger	0.841	বোবা
detest	anger	0.838	ঘৃণা
hostilities	anger	0.837	শত্রুতা
prick	anger	0.835	কাঁটা
rampage	anger	0.833	তাণ্ডব
horrid	anger	0.833	ভয়ঙ্কর
cruelty	anger	0.833	নিষ্ঠুরতা
torture	anger	0.833	নির্যাতন
rabid	anger	0.833	পাগল
despicable	anger	0.828	ঘৃণ্য
tyrannical	anger	0.828	অত্যাচারী
demonic	anger	0.828	পৈশাচিক
satanic	anger	0.828	শয়তানী
hate	anger	0.828	ঘৃণা
ragemode	anger	0.828	রাগমোড
hating	anger	0.828	ঘৃণা
ruinous	anger	0.825	ধ্বংসাত্মক
condemn	anger	0.825	নিন্দা
riots	anger	0.824	দাঙ্গা
demolish	anger	0.824	ধ্বংস করা
angry	anger	0.824	রাগান্বিত
extermination	anger	0.824	নির্মূল
dickhead	anger	0.824	ডিকহেড
livid	anger	0.821	প্রাণবন্ত
madman	anger	0.820	পাগল
vindictive	anger	0.819	প্রতিশোধমূলক
terrorist	anger	0.818	সন্ত্রাসী
threaten	anger	0.818	হুমকি
venomous	anger	0.818	বিষাক্ত
hateyou	anger	0.818	তোমাকে ঘৃণা করি
ferocity	anger	0.818	হিংস্রতা
effyou	anger	0.818	effyou
abhor	anger	0.816	ঘৃণা
carnage	anger	0.814	গণহত্যা
savage	anger	0.814	অসভ্য
atrocity	anger	0.814	নৃশংসতা
fucksake	anger	0.812	চোদাচুদি
abuse	anger	0.812	অপব্যবহার
fierce	anger	0.812	উগ্র
destroyer	anger	0.812	ধ্বংসকারী
angrytweet	anger	0.812	রাগান্বিত টুইট
barbaric	anger	0.812	বর্বর
vendetta	anger	0.812	প্রতিহিংসা
pissesmeoff	anger	0.812	pissesmeoff
pissedoff	anger	0.812	বিরক্ত
tyrant	anger	0.812	অত্যাচারী
berserk	anger	0.812	নিষ্ঠুর
fuming	anger	0.812	ধোঁয়াশা
anger	anger	0.811	রাগ
pieceofshit	anger	0.810	pieceofshit
punched	anger	0.803	খোঁচা
punching	anger	0.803	ঘুষি
slam	anger	0.803	স্লাম
homicide	anger	0.803	হত্যা
bitch	anger	0.803	কুত্তা
fights	anger	0.803	মারামারি
ruthless	anger	0.797	নির্মম
villainous	anger	0.797	খলনায়ক
destructive	anger	0.797	ধ্বংসাত্মক
slap	anger	0.791	চড়
riot	anger	0.788	দাঙ্গা
growthefuckup	anger	0.788	গ্রোথফাকআপ
punishing	anger	0.788	শাস্তি
slaughterhouse	anger	0.788	কসাইখানা
yelling	anger	0.788	চিৎকার
diabolical	anger	0.788	পৈশাচিক
destroyed	anger	0.788	ধ্বংস
ragetweet	anger	0.788	রাগটুইট
retaliatory	anger	0.788	প্রতিশোধমূলক
manslaughter	anger	0.783	নরহত্যা
clash	anger	0.783	সংঘর্ষ
quarrel	anger	0.781	ঝগড়া
bloody	anger	0.781	রক্তাক্ত
hellish	anger	0.781	নারকীয়
sinister	anger	0.781	অশুভ
loath	anger	0.781	ঘৃণা
detonation	anger	0.781	বিস্ফোরণ
accusing	anger	0.779	অভিযুক্ত
fumin	anger	0.779	ফুমিন
hateeee	anger	0.779	hateeee
treacherous	anger	0.779	বিশ্বাসঘাতক
madder	anger	0.773	পাগল
horrific	anger	0.773	ভয়ঙ্কর
revulsion	anger	0.773	বিদ্রোহ
retaliate	anger	0.773	প্রতিশোধ
scorn	anger	0.769	তিরস্কার
bomb	anger	0.766	বোমা
deplorable	anger	0.766	শোচনীয়
devastation	anger	0.765	ধ্বংস
anarchist	anger	0.765	নৈরাজ্যবাদী
firestorm	anger	0.765	অগ্নিঝড়
resent	anger	0.765	বিরক্ত করা
contemptible	anger	0.764	অবজ্ঞাজনক
shittest	anger	0.760	শিটেস্ট
rant	anger	0.758	রন্ট
cruel	anger	0.758	নিষ্ঠুর
deadly	anger	0.758	মারাত্মক
smash	anger	0.758	চূর্ণ
soangry	anger	0.758	কাতর
outburst	anger	0.757	বিস্ফোরণ
snarl	anger	0.754	snarl
profane	anger	0.750	অপবিত্র
revolting	anger	0.750	বিদ্রোহী
aggravating	anger	0.750	উত্তেজক
horror	anger	0.750	ভয়াবহ
despise	anger	0.750	অবজ্ঞা করা
offend	anger	0.750	অপমান
stfu	anger	0.750	stfu
vulgarity	anger	0.750	অশ্লীলতা
crazed	anger	0.750	পাগল
douchebags	anger	0.750	ডুচব্যাগ
growling	anger	0.750	গর্জন
dontmesswithme	anger	0.750	আমার সাথে না
screaming	anger	0.742	চিৎকার
threat	anger	0.742	হুমকি
erupt	anger	0.742	বিস্ফোরিত
horrible	anger	0.742	ভয়ঙ্কর
molestation	anger	0.742	শ্লীলতাহানি
fuckedoff	anger	0.742	fuckedoff
violence	anger	0.742	সহিংসতা
bastards	anger	0.741	জারজ
revenge	anger	0.738	প্রতিশোধ
menacing	anger	0.735	হুমকি
crushing	anger	0.735	নিষ্পেষণ
damn	anger	0.735	অভিশাপ
catastrophe	anger	0.735	বিপর্যয়
demon	anger	0.735	রাক্ষস
argue	anger	0.734	তর্ক করা
persecute	anger	0.734	তাড়না
deplore	anger	0.734	দুঃখ প্রকাশ করা
flog	anger	0.734	চাবুক
fedup	anger	0.734	বিরক্ত
riotous	anger	0.734	দাঙ্গাবাজ
vehement	anger	0.734	প্রবল
revolt	anger	0.734	বিদ্রোহ
warfare	anger	0.734	যুদ্ধ
thrash	anger	0.734	মারধর
altercation	anger	0.729	ঝগড়া
warlike	anger	0.728	যুদ্ধবাজ
shitday	anger	0.727	শিটডে
mutiny	anger	0.727	বিদ্রোহ
castrate	anger	0.727	castrate
sabotage	anger	0.727	নাশকতা
malevolent	anger	0.721	দূষিত
strike	anger	0.721	ধর্মঘট
disaster	anger	0.721	বিপর্যয়
disastrous	anger	0.720	বিপর্যয়কর
bastarding	anger	0.719	জঘন্য
treachery	anger	0.719	বিশ্বাসঘাতকতা
arseholes	anger	0.719	arseholes
horseshit	anger	0.719	ঘোড়া
slay	anger	0.719	হত্যা
disdain	anger	0.719	অবজ্ঞা
aggravates	anger	0.719	বাড়িয়ে তোলে
brutal	anger	0.719	পাশবিক
scorching	anger	0.719	scorching
devil	anger	0.719	শয়তান
madden	anger	0.719	পাগল
spiteful	anger	0.719	বিদ্বেষপূর্ণ
scream	anger	0.719	চিৎকার
choke	anger	0.719	দম বন্ধ করা
vermin	anger	0.719	পোকা
tumult	anger	0.719	গণ্ডগোল
criminal	anger	0.714	অপরাধী
mangle	anger	0.714	ম্যাঙ্গেল
anarchism	anger	0.714	নৈরাজ্যবাদ
mutilation	anger	0.714	অঙ্গচ্ছেদ
denunciation	anger	0.713	নিন্দা
punch	anger	0.713	ঘুষি
virulence	anger	0.712	ভীরুতা
fatal	anger	0.712	মারাত্মক
hurting	anger	0.712	ব্যাথা
crucifixion	anger	0.712	ক্রুশবিদ্ধকরণ
dontlikeyou	anger	0.712	তোমাকে পছন্দ করি না
blasphemous	anger	0.712	নিন্দাজনক
holocaust	anger	0.712	হোলোকাস্ট
dumbasses	anger	0.712	dumbasses
battled	anger	0.712	যুদ্ধ করেছে
deranged	anger	0.706	বিভ্রান্ত
irritated	anger	0.706	বিরক্ত
atrocious	anger	0.706	নৃশংস
evil	anger	0.706	মন্দ
aggravated	anger	0.703	উত্তেজিত
intimidation	anger	0.703	ভয় দেখানো
dicks	anger	0.703	dicks
assassin	anger	0.703	হত্যাকারী
scolding	anger	0.703	তিরস্কার
persecution	anger	0.703	নিপীড়ন
slayer	anger	0.703	হত্যাকারী
kidnap	anger	0.703	অপহরণ
aggression	anger	0.702	আগ্রাসন
armed	anger	0.700	সশস্ত্র
battle	anger	0.697	যুদ্ধ
poison	anger	0.697	বিষ
snarling	anger	0.697	snarling
venom	anger	0.697	বিষ
disgruntled	anger	0.693	অসন্তুষ্ট
resentment	anger	0.691	বিরক্তি
assailant	anger	0.691	আততায়ী
insidious	anger	0.691	কপট
contemptuous	anger	0.690	অবমাননাকর
lynch	anger	0.690	লিঞ্চ
temper	anger	0.688	মেজাজ
terrible	anger	0.688	ভয়ানক
disparage	anger	0.688	অপমান
lunatic	anger	0.688	পাগল
bully	anger	0.688	ধমক
mad	anger	0.688	পাগল
makesmemad	anger	0.688	makememad
infanticide	anger	0.688	শিশুহত্যা
domination	anger	0.688	আধিপত্য
peeved	anger	0.688	বিরক্ত
imprisonment	anger	0.688	কারাবাস
curse	anger	0.688	অভিশাপ
volatility	anger	0.687	অস্থিরতা
eradication	anger	0.685	নির্মূল
eradicate	anger	0.682	নির্মূল
tantrum	anger	0.682	উত্তেজনা
scoundrel	anger	0.682	বখাটে
devastate	anger	0.682	ধ্বংস করা
aggressively	anger	0.680	আক্রমণাত্মকভাবে
agitation	anger	0.680	আন্দোলন
dictatorship	anger	0.676	একনায়কত্ব
irritates	anger	0.676	বিরক্ত
profanity	anger	0.673	অশ্লীলতা
shove	anger	0.672	ধাক্কা
nasty	anger	0.672	কদর্য
shot	anger	0.672	গুলি
cruelly	anger	0.672	নিষ্ঠুরভাবে
shoot	anger	0.672	অঙ্কুর
condemnation	anger	0.672	নিন্দা
crushed	anger	0.672	চূর্ণ
aggravation	anger	0.672	উত্তেজনা
poisonous	anger	0.672	বিষাক্ত
egregious	anger	0.672	জঘন্য
crime	anger	0.672	অপরাধ
corrupting	anger	0.672	দূষিত
dastardly	anger	0.672	জঘন্যভাবে
contempt	anger	0.672	অবজ্ঞা
harmful	anger	0.672	ক্ষতিকর
expletive	anger	0.672	বিস্ফোরক
wreak	anger	0.672	wreak
maniac	anger	0.670	পাগল
cutthroat	anger	0.667	গলা
enemy	anger	0.667	শত্রু
hit	anger	0.667	আঘাত
hateeveryone	anger	0.667	সবাইকে ঘৃনা কর
eruption	anger	0.667	বিস্ফোরণ
irritable	anger	0.667	খিটখিটে
odious	anger	0.667	ঘৃণ্য
shooting	anger	0.667	শুটিং
shout	anger	0.667	চিৎকার
aggressive	anger	0.667	আক্রমণাত্মক
kick	anger	0.667	লাথি
combat	anger	0.667	যুদ্ধ
fight	anger	0.667	যুদ্ধ
punished	anger	0.662	দণ্ডিত
yell	anger	0.661	চিৎকার
ambush	anger	0.661	অতর্কিত হামলা
harass	anger	0.659	হয়রানি
malignant	anger	0.656	ম্যালিগন্যান্ট
aggressor	anger	0.656	আক্রমণকারী
gore	anger	0.656	গোর
destruction	anger	0.656	ধ্বংস
grudge	anger	0.656	ক্ষোভ
antichrist	anger	0.656	খ্রীষ্টবিরোধী
incense	anger	0.656	ধূপ
expel	anger	0.656	বহিষ্কার করা
cranky	anger	0.653	পাগল
slave	anger	0.652	দাস
reprisal	anger	0.652	প্রতিশোধ গ্রহণ
growl	anger	0.652	গর্জন
animosity	anger	0.652	শত্রুতা
insurrection	anger	0.652	বিদ্রোহ
clashing	anger	0.652	সংঘর্ষ
denounce	anger	0.652	নিন্দা করা
offended	anger	0.652	বিক্ষুব্ধ
spank	anger	0.652	স্প্যাঙ্ক
insulting	anger	0.652	অপমানজনক
growls	anger	0.649	গর্জন
executioner	anger	0.644	জল্লাদ
twat	anger	0.644	twat
doomsday	anger	0.643	কেয়ামত
obscenity	anger	0.641	অশ্লীলতা
accused	anger	0.641	অভিযুক্ত
feud	anger	0.641	ফিউড
daemon	anger	0.641	ডেমন
havoc	anger	0.641	সর্বনাশ
shackle	anger	0.641	শিকল
inexcusable	anger	0.641	অমার্জনীয়
indignant	anger	0.641	ক্ষুব্ধ
grr	anger	0.641	grr
expulsion	anger	0.641	তাড়ানো
bombard	anger	0.641	বোমাবর্ষণ
spat	anger	0.641	থুতু
arson	anger	0.641	অগ্নিসংযোগ
reprimand	anger	0.641	তিরস্কার
somad	anger	0.637	পুরাই পাগল
frustrated	anger	0.636	হতাশ
batter	anger	0.636	প্রহার করা
kicking	anger	0.636	লাথি
anarchy	anger	0.636	নৈরাজ্য
spanking	anger	0.636	স্প্যাঙ্কিং
glaring	anger	0.636	চকচকে
suicidal	anger	0.636	আত্মঘাতী
disgusting	anger	0.636	জঘন্য
wound	anger	0.636	ক্ষত
hanging	anger	0.636	ঝুলন্ত
poisoned	anger	0.636	বিষাক্ত
combatant	anger	0.636	যোদ্ধা
wrecked	anger	0.633	নষ্ট
inflict	anger	0.633	হানা
grievous	anger	0.632	দুঃখজনক
prosecute	anger	0.630	বিচার করা
agitated	anger	0.630	উত্তেজিত
cheat	anger	0.630	প্রতারণা
swastika	anger	0.627	স্বস্তিকা
injure	anger	0.625	আঘাত করা
indict	anger	0.625	অভিযুক্ত
scourge	anger	0.625	আঘাত
provocation	anger	0.625	উস্কানি
suffocation	anger	0.625	শ্বাসরোধ
strife	anger	0.625	কলহ
raid	anger	0.625	অভিযান
enslaved	anger	0.625	ক্রীতদাস
cursing	anger	0.625	অভিশাপ
defamatory	anger	0.625	মানহানিকর
harassing	anger	0.625	হয়রানি
thundering	anger	0.625	বজ্রপাত
betray	anger	0.625	বিশ্বাসঘাতকতা
arsehole	anger	0.624	arsehole
theft	anger	0.621	চুরি
insane	anger	0.621	পাগল
retaliation	anger	0.621	প্রতিশোধ
irritate	anger	0.621	বিরক্ত করা
deprivation	anger	0.621	বঞ্চনা
fiend	anger	0.621	শয়তান
jerk	anger	0.621	ঝাঁকুনি
convict	anger	0.621	দোষী
cussed	anger	0.619	cussed
turmoil	anger	0.618	অশান্তি
smack	anger	0.615	সশব্দে আঘাত
retribution	anger	0.614	প্রতিশোধ
rebellion	anger	0.609	বিদ্রোহ
oppressor	anger	0.609	নিপীড়ক
gang	anger	0.609	দল
slavery	anger	0.609	দাসত্ব
intolerable	anger	0.609	অসহনীয়
adverse	anger	0.609	প্রতিকূল
injurious	anger	0.609	ক্ষতিকর
twats	anger	0.609	twats
collision	anger	0.609	সংঘর্ষ
battery	anger	0.609	ব্যাটারি
bitterly	anger	0.609	তিক্তভাবে
antagonism	anger	0.609	শত্রুতা
irritability	anger	0.609	বিরক্তি
disgraced	anger	0.608	অপমানিত
diatribe	anger	0.606	diatribe
asshole	anger	0.606	asshole
blast	anger	0.606	বিস্ফোরণ
bombardment	anger	0.606	বোমাবর্ষণ
irks	anger	0.606	বিরক্ত
ranting	anger	0.606	বকাবকি
revolution	anger	0.606	বিপ্লব
thug	anger	0.606	ঠগ
antagonistic	anger	0.606	বিরোধী
irritating	anger	0.606	বিরক্তিকর
sickening	anger	0.606	অসুস্থ
discrimination	anger	0.606	বৈষম্য
frustrate	anger	0.604	হতাশা
insult	anger	0.603	অপমান
hurtful	anger	0.603	ক্ষতিকর
oppression	anger	0.603	নিপীড়ন
manipulation	anger	0.603	ম্যানিপুলেশন
tiredofit	anger	0.603	এটাতে ক্লান্ত
bigot	anger	0.603	ধর্মান্ধ
tension	anger	0.603	চিন্তা
disgust	anger	0.602	বিতৃষ্ণা
spite	anger	0.600	সত্ত্বেও
intrusive	anger	0.598	অনুপ্রবেশকারী
harshness	anger	0.597	কঠোরতা
slur	anger	0.596	গালি
tempest	anger	0.594	ঝড়
assail	anger	0.594	আক্রমণ
bitterness	anger	0.594	তিক্ততা
morbidity	anger	0.594	অসুস্থতা
casualty	anger	0.594	হতাহত
puncture	anger	0.594	খোঁচা
miserable	anger	0.594	দুঃখজনক
inferno	anger	0.594	নরক
invasion	anger	0.594	আক্রমণ
storming	anger	0.594	ঝড়
wretch	anger	0.594	নষ্ট
consternation	anger	0.592	আতঙ্ক
raving	anger	0.591	raving
forcibly	anger	0.591	জোর করে
guillotine	anger	0.591	গিলোটিন
guilty	anger	0.591	দোষী
depraved	anger	0.591	বঞ্চিত
immoral	anger	0.591	অনৈতিক
overpowering	anger	0.591	অপ্রতিরোধ্য
scare	anger	0.588	ভয় দেখানো
recalcitrant	anger	0.588	অস্থির
screwed	anger	0.588	মাতাল
accursed	anger	0.588	অভিশপ্ত
soannoyed	anger	0.588	বিরক্ত
invader	anger	0.588	আক্রমণকারী
jealousy	anger	0.587	ঈর্ষা
indignation	anger	0.587	ক্ষোভ
vexed	anger	0.586	বিরক্ত
confront	anger	0.582	মুখোমুখি
brute	anger	0.581	পাশবিক
throttle	anger	0.579	থ্রোটল
slut	anger	0.578	কুত্তা
coup	anger	0.578	অভ্যুত্থান
blaze	anger	0.578	আগুন
pillage	anger	0.578	লুটপাট
provoking	anger	0.578	উত্তেজক
damage	anger	0.578	ক্ষতি
criminality	anger	0.578	অপরাধ
shutup	anger	0.578	চুপ কর
lash	anger	0.578	চাবুক
conflict	anger	0.578	সংঘর্ষ
contentious	anger	0.578	বিতর্কিত
shutit	anger	0.578	ইহা বন্ধ কর
wreck	anger	0.578	ধ্বংসাবশেষ
defiant	anger	0.578	প্রতিবাদী
butcher	anger	0.578	কসাই
incarceration	anger	0.578	কারাবাস
revolver	anger	0.578	রিভলবার
bickering	anger	0.578	ঝগড়া
yousuck	anger	0.578	তুমি চুষবে
cancer	anger	0.577	ক্যান্সার
discriminate	anger	0.576	বৈষম্য
gun	anger	0.576	বন্দুক
frustration	anger	0.576	পরাজয়
gory	anger	0.576	রক্তাক্ত
pernicious	anger	0.576	ক্ষতিকর
dontmess	anger	0.576	অগোছালো
blasphemy	anger	0.576	ধর্মনিন্দা
chaotic	anger	0.576	বিশৃঙ্খল
grope	anger	0.576	হাতছানি
alienation	anger	0.576	বিচ্ছিন্নতা
disturbance	anger	0.576	ঝামেলা
condescension	anger	0.576	নিন্দা
standoff	anger	0.576	স্থবিরতা
discord	anger	0.576	বিরোধ
friggen	anger	0.575	ফ্রিজেন
sneer	anger	0.574	উপহাস
death	anger	0.574	মৃত্যু
lunacy	anger	0.574	পাগলামি
scandalous	anger	0.574	কলঙ্কজনক
oppressive	anger	0.574	নিপীড়ক
jab	anger	0.574	জব
cursed	anger	0.574	অভিশপ্ত
monstrosity	anger	0.574	দানব
shit	anger	0.573	বিষ্ঠা
disparaging	anger	0.571	অপমানজনক
slash	anger	0.571	স্ল্যাশ
unfair	anger	0.571	অন্যায়
gallows	anger	0.570	ফাঁসি
escalate	anger	0.569	বাড়ানো
intolerant	anger	0.564	অসহিষ্ণু
lawlessness	anger	0.563	অনাচার
beast	anger	0.562	জন্তু
torpedo	anger	0.562	টর্পেডো
malign	anger	0.562	ক্ষতিকর
traitor	anger	0.562	বিশ্বাসঘাতক
frightful	anger	0.562	ভয়ঙ্কর
wrangling	anger	0.562	ঝগড়া
slander	anger	0.562	অপবাদ
bellows	anger	0.562	বেল
retards	anger	0.562	retards
grouchy	anger	0.562	কুরুচিপূর্ণ
derogatory	anger	0.562	অবমাননাকর
bearish	anger	0.562	বিয়ারিশ
invade	anger	0.562	আক্রমণ করা
perdition	anger	0.562	সর্বনাশ
arghh	anger	0.562	আরগহ
dreadful	anger	0.562	ভয়ঙ্কর
bluddy	anger	0.562	রক্তাক্ত
deceived	anger	0.562	প্রতারিত
glare	anger	0.562	একদৃষ্টি
taunt	anger	0.562	ঠাট্টা
dissension	anger	0.561	মতভেদ
cross	anger	0.561	ক্রস
rave	anger	0.561	বিদ্রুপ
grating	anger	0.561	ঝাঁঝরি
devastating	anger	0.561	বিধ্বংসী
fits	anger	0.561	ফিট
jeopardize	anger	0.561	বিপদে ফেলা
shatter	anger	0.561	ছিন্নভিন্ন
idiots	anger	0.561	ইডিয়টস
hurt	anger	0.561	আঘাত
thief	anger	0.561	চোর
uncontrollable	anger	0.561	অনিয়ন্ত্রিত
conflagration	anger	0.561	উদ্দীপনা
betrayal	anger	0.561	বিশ্বাসঘাতকতা
banshee	anger	0.561	বনশী
subjugation	anger	0.559	অধীনতা
disturbed	anger	0.559	বিরক্ত
stomped	anger	0.557	stomped
grab	anger	0.557	দখল
grievance	anger	0.556	অভিযোগ
ticked	anger	0.556	টিক
masochism	anger	0.556	masochism
defiance	anger	0.552	অবজ্ঞা
blackmail	anger	0.550	ব্ল্যাকমেইল
offensive	anger	0.549	আক্রমণাত্মক
decry	anger	0.548	ডিক্রি
frustrates	anger	0.547	হতাশ করে
violation	anger	0.547	লঙ্ঘন
confine	anger	0.547	আবদ্ধ করা
misery	anger	0.547	দুর্দশা
arghhhh	anger	0.547	arghhhh
disparity	anger	0.547	অসমতা
punishment	anger	0.547	শাস্তি
rebel	anger	0.547	বিদ্রোহী
preposterous	anger	0.547	অযৌক্তিক
disgraceful	anger	0.547	অসম্মানজনক
ire	anger	0.547	রাগ
deceive	anger	0.547	প্রতারণা করা
fustrated	anger	0.547	হতাশ
sin	anger	0.547	পাপ
shrill	anger	0.547	তীক্ষ্ণ
darkside	anger	0.547	অন্ধকার দিক
overbearing	anger	0.547	অবাধ্য
firearms	anger	0.547	আগ্নেয়াস্ত্র
stolen	anger	0.546	চুরি
hadenough	anger	0.546	যথেষ্ট ছিল
prejudice	anger	0.545	কুসংস্কার
tackle	anger	0.545	সাজসরঁজাম
resentful	anger	0.545	বিরক্ত
heated	anger	0.545	উত্তপ্ত
callous	anger	0.545	নিষ্ঠুর
conspirator	anger	0.545	ষড়যন্ত্রকারী
ruined	anger	0.545	নষ্ট
antagonist	anger	0.545	প্রতিপক্ষ
skirmish	anger	0.545	সংঘর্ষ
menace	anger	0.545	হুমকি
annoyin	anger	0.545	বিরক্তিকর
foul	anger	0.545	ফাউল
argument	anger	0.545	যুক্তি
humiliate	anger	0.545	অপমান করা
wanker	anger	0.545	wanker
adversary	anger	0.545	প্রতিপক্ষ
sting	anger	0.544	স্টিং
entangled	anger	0.544	entangled
grumble	anger	0.544	বকবক করা
robbery	anger	0.544	ডাকাতি
outcry	anger	0.544	চিৎকার
resistance	anger	0.543	প্রতিরোধ
irreconcilable	anger	0.543	অসংলগ্ন
obstructive	anger	0.542	প্রতিবন্ধক
dismay	anger	0.540	হতাশা
mob	anger	0.538	ভিড়
juststop	anger	0.537	থাম
badness	anger	0.536	খারাপতা
ridicule	anger	0.534	উপহাস
incendiary	anger	0.533	অগ্নিসংযোগকারী
flares	anger	0.532	flares
twofaced	anger	0.531	দুইমুখী
reckless	anger	0.531	বেপরোয়া
communism	anger	0.531	সাম্যবাদ
allegation	anger	0.531	অভিযোগ
prejudicial	anger	0.531	পক্ষপাতমূলক
whip	anger	0.531	চাবুক
unbridled	anger	0.531	লাগামহীন
degeneracy	anger	0.531	অধঃপতন
intruder	anger	0.531	অনুপ্রবেশকারী
belittle	anger	0.531	ছোট
confinement	anger	0.531	আবদ্ধতা
dispute	anger	0.531	বিতর্ক
exacerbation	anger	0.531	exacerbation
uprising	anger	0.531	বিদ্রোহ
unjust	anger	0.530	অন্যায়
unjustifiable	anger	0.530	অযৌক্তিক
perversion	anger	0.530	বিকৃতি
bigoted	anger	0.530	ধর্মান্ধ
fiesty	anger	0.530	উচ্ছল
offender	anger	0.530	অপরাধী
dictatorial	anger	0.530	স্বৈরাচারী
hassle	anger	0.530	ঝামেলা
dissonance	anger	0.530	অসঙ্গতি
tackled	anger	0.530	মোকাবিলা
renegade	anger	0.529	ধর্মত্যাগী
cantstandit	anger	0.529	দাঁড়াতে পারে না
trespass	anger	0.529	অনুপ্রবেশ
hot	anger	0.529	গরম
prison	anger	0.529	কারাগার
suicide	anger	0.521	আত্মহত্যা
annoy	anger	0.520	বিরক্ত করা
leavemealone	anger	0.517	আমাকে একা থাকতে দাও
cretins	anger	0.516	ক্রিটিনস
depravity	anger	0.516	হীনতা
idiotic	anger	0.516	ইডিওটিক
dishonest	anger	0.516	অসৎ
distrust	anger	0.516	অবিশ্বাস
broil	anger	0.516	ঝগড়া
grrr	anger	0.516	grrr
criticize	anger	0.516	সমালোচনা করা
inimical	anger	0.516	শত্রু
tortious	anger	0.516	কষ্টকর
prisoner	anger	0.516	বন্দী
treason	anger	0.516	বিশ্বাসঘাতকতা
divorce	anger	0.516	বিবাহবিচ্ছেদ
venting	anger	0.516	বাহক
duress	anger	0.516	জোর
disrespectful	anger	0.516	অসম্মানজনক
poaching	anger	0.515	শিকার
scold	anger	0.515	তিরস্কার করা
poachers	anger	0.515	শিকারি
pow	anger	0.515	pow
hangry	anger	0.515	ক্ষুদার্ত
argumentation	anger	0.515	তর্ক
frustrating	anger	0.515	হতাশাজনক
unkind	anger	0.515	নির্দয়
roar	anger	0.515	গর্জন
coercion	anger	0.515	জবরদস্তি
unforgiving	anger	0.515	ক্ষমাশীল
grump	anger	0.515	দুর্বৃত্ত
