English Word	Emotion	Emotion-Intensity-Score	Nepali Word
riotous	anger	0.734	दंगा गर्ने
vehement	anger	0.734	कडा
revolt	anger	0.734	विद्रोह
warfare	anger	0.734	युद्ध
thrash	anger	0.734	कुटपिट
altercation	anger	0.729	झगडा
warlike	anger	0.728	लडाकु
shitday	anger	0.727	shitday
mutiny	anger	0.727	विद्रोह
castrate	anger	0.727	कास्ट्रेट
sabotage	anger	0.727	तोडफोड
malevolent	anger	0.721	द्वेषपूर्ण
strike	anger	0.721	हडताल
disaster	anger	0.721	प्रकोप
disastrous	anger	0.720	विनाशकारी
bastarding	anger	0.719	बदमास
treachery	anger	0.719	विश्वासघात
arseholes	anger	0.719	arseholes
horseshit	anger	0.719	घोडा
slay	anger	0.719	मार्नु
disdain	anger	0.719	तिरस्कार
aggravates	anger	0.719	बढाउँछ
brutal	anger	0.719	क्रूर
scorching	anger	0.719	चिलाउने
devil	anger	0.719	राक्षस
madden	anger	0.719	पागल
spiteful	anger	0.719	घृणित
scream	anger	0.719	चिच्याउने
choke	anger	0.719	चोक
vermin	anger	0.719	कीरा
tumult	anger	0.719	कोलाहल
criminal	anger	0.714	अपराधी
mangle	anger	0.714	mangle
anarchism	anger	0.714	अराजकतावाद
mutilation	anger	0.714	विकृति
denunciation	anger	0.713	निन्दा
punch	anger	0.713	मुक्का
virulence	anger	0.712	विषमता
fatal	anger	0.712	घातक
hurting	anger	0.712	दुख्ने
crucifixion	anger	0.712	क्रूसीकरण
dontlikeyou	anger	0.712	तिमीलाई मन पर्दैन
blasphemous	anger	0.712	निन्दापूर्ण
holocaust	anger	0.712	प्रलय
dumbasses	anger	0.712	dumbasses
battled	anger	0.712	लडाइयो
deranged	anger	0.706	विक्षिप्त
irritated	anger	0.706	रिसाएको
atrocious	anger	0.706	क्रूर
evil	anger	0.706	दुष्ट
aggravated	anger	0.703	बढेको
intimidation	anger	0.703	धम्की
dicks	anger	0.703	डिक्स
assassin	anger	0.703	हत्यारा
scolding	anger	0.703	गाली गर्दै
persecution	anger	0.703	सतावट
slayer	anger	0.703	हत्या गर्ने
kidnap	anger	0.703	अपहरण
aggression	anger	0.702	आक्रामकता
armed	anger	0.700	सशस्त्र
battle	anger	0.697	युद्ध
poison	anger	0.697	विष
snarling	anger	0.697	snarling
venom	anger	0.697	विष
disgruntled	anger	0.693	असन्तुष्ट
resentment	anger	0.691	आक्रोश
assailant	anger	0.691	आक्रमणकारी
insidious	anger	0.691	कपटी
contemptuous	anger	0.690	अपमानजनक
lynch	anger	0.690	लिंच
temper	anger	0.688	स्वभाव
terrible	anger	0.688	भयानक
disparage	anger	0.688	अपमान
lunatic	anger	0.688	पागल
bully	anger	0.688	धम्की
mad	anger	0.688	पागल
makesmemad	anger	0.688	बनाउँछ
infanticide	anger	0.688	शिशु हत्या
domination	anger	0.688	प्रभुत्व
peeved	anger	0.688	चिन्तित
imprisonment	anger	0.688	कैद
curse	anger	0.688	श्राप
volatility	anger	0.687	अस्थिरता
eradication	anger	0.685	उन्मूलन
eradicate	anger	0.682	उन्मूलन
tantrum	anger	0.682	आक्रोश
scoundrel	anger	0.682	बदमाश
devastate	anger	0.682	विनाश गर्नु
aggressively	anger	0.680	आक्रामक रूपमा
agitation	anger	0.680	आन्दोलन
dictatorship	anger	0.676	तानाशाही
irritates	anger	0.676	रिस उठाउँछ
profanity	anger	0.673	गालीगलौज
shove	anger	0.672	धक्का
nasty	anger	0.672	फोहर
shot	anger	0.672	गोली
cruelly	anger	0.672	निर्दयी रूपमा
shoot	anger	0.672	गोली मार
condemnation	anger	0.672	निन्दा
crushed	anger	0.672	कुचिएको
aggravation	anger	0.672	उत्तेजना
poisonous	anger	0.672	विषाक्त
egregious	anger	0.672	गम्भीर
crime	anger	0.672	अपराध
corrupting	anger	0.672	भ्रष्ट
dastardly	anger	0.672	घृणित रूपमा
contempt	anger	0.672	अवहेलना
harmful	anger	0.672	हानिकारक
expletive	anger	0.672	भ्रामक
wreak	anger	0.672	बिगार्नु
maniac	anger	0.670	पागल
cutthroat	anger	0.667	घाँटी
enemy	anger	0.667	शत्रु
hit	anger	0.667	हिट
hateeveryone	anger	0.667	सबैलाई घृणा
eruption	anger	0.667	विस्फोट
irritable	anger	0.667	चिडचिडा
odious	anger	0.667	घृणित
shooting	anger	0.667	शूटिंग
shout	anger	0.667	कराउनु
aggressive	anger	0.667	आक्रामक
kick	anger	0.667	लात
combat	anger	0.667	लडाई
fight	anger	0.667	लडाई
punished	anger	0.662	सजाय
yell	anger	0.661	चिच्याउनु
ambush	anger	0.661	एम्बुस
harass	anger	0.659	सताउने
malignant	anger	0.656	घातक
aggressor	anger	0.656	आक्रमणकारी
gore	anger	0.656	गोर
destruction	anger	0.656	विनाश
grudge	anger	0.656	रिस
antichrist	anger	0.656	ख्रीष्ट विरोधी
incense	anger	0.656	धूप
expel	anger	0.656	निष्कासन
cranky	anger	0.653	पागल
slave	anger	0.652	दास
reprisal	anger	0.652	प्रतिशोध
growl	anger	0.652	गनगन
animosity	anger	0.652	दुश्मनी
insurrection	anger	0.652	विद्रोह
clashing	anger	0.652	भिड्दै
denounce	anger	0.652	निन्दा
offended	anger	0.652	अपमानित
spank	anger	0.652	झटका
insulting	anger	0.652	अपमानजनक
growls	anger	0.649	गर्जनहरू
executioner	anger	0.644	जल्लाद
twat	anger	0.644	twat
doomsday	anger	0.643	प्रलयको दिन
obscenity	anger	0.641	अश्लीलता
accused	anger	0.641	आरोपित
feud	anger	0.641	झगडा
daemon	anger	0.641	डेमन
havoc	anger	0.641	कहर
shackle	anger	0.641	झोला
inexcusable	anger	0.641	अक्षम्य
indignant	anger	0.641	क्रोधित
grr	anger	0.641	grr
expulsion	anger	0.641	निष्कासन
bombard	anger	0.641	बमबारी
spat	anger	0.641	थुक्नु
arson	anger	0.641	आगजनी
reprimand	anger	0.641	गाली गर्नु
somad	anger	0.637	somad
frustrated	anger	0.636	निराश
batter	anger	0.636	ब्याटर
kicking	anger	0.636	लात मार्दै
anarchy	anger	0.636	अराजकता
spanking	anger	0.636	पिट्दै
glaring	anger	0.636	चम्किलो
suicidal	anger	0.636	आत्महत्या गर्ने
disgusting	anger	0.636	घृणित
wound	anger	0.636	घाउ
hanging	anger	0.636	झुण्डिएको
poisoned	anger	0.636	विषाक्त
combatant	anger	0.636	लडाकु
wrecked	anger	0.633	भत्किएको
inflict	anger	0.633	प्रहार
grievous	anger	0.632	पीडादायी
prosecute	anger	0.630	मुद्दा चलाउने
agitated	anger	0.630	उत्तेजित
cheat	anger	0.630	धोखा
swastika	anger	0.627	स्वस्तिक
injure	anger	0.625	चोट पुर्याउने
indict	anger	0.625	अभियोग
scourge	anger	0.625	प्रकोप
provocation	anger	0.625	उत्तेजना
suffocation	anger	0.625	निसास्ससन
strife	anger	0.625	झगडा
raid	anger	0.625	छापा मार्नु
enslaved	anger	0.625	दास बनायो
cursing	anger	0.625	सराप
defamatory	anger	0.625	अपमानजनक
harassing	anger	0.625	उत्पीडन गर्ने
thundering	anger	0.625	गर्जन
betray	anger	0.625	विश्वासघात गर्नु
arsehole	anger	0.624	आर्सेहोल
theft	anger	0.621	चोरी
insane	anger	0.621	पागल
retaliation	anger	0.621	प्रतिशोध
irritate	anger	0.621	रिस उठाउनु
deprivation	anger	0.621	अभाव
fiend	anger	0.621	दुष्ट
jerk	anger	0.621	झटका
convict	anger	0.621	दोषी
cussed	anger	0.619	गाली गरेको
turmoil	anger	0.618	अशान्ति
smack	anger	0.615	स्म्याक
retribution	anger	0.614	प्रतिशोध
rebellion	anger	0.609	विद्रोह
oppressor	anger	0.609	उत्पीडक
gang	anger	0.609	गिरोह
slavery	anger	0.609	दासत्व
intolerable	anger	0.609	असहनीय
adverse	anger	0.609	प्रतिकूल
injurious	anger	0.609	हानिकारक
twats	anger	0.609	twats
collision	anger	0.609	टक्कर
battery	anger	0.609	ब्याट्री
bitterly	anger	0.609	तीतो रूपमा
antagonism	anger	0.609	विरोधीता
irritability	anger	0.609	चिडचिडापन
disgraced	anger	0.608	अपमानित
diatribe	anger	0.606	diatribe
asshole	anger	0.606	गधा
blast	anger	0.606	विस्फोट
bombardment	anger	0.606	बमबारी
irks	anger	0.606	irks
ranting	anger	0.606	हल्ला
revolution	anger	0.606	क्रान्ति
thug	anger	0.606	ठग
antagonistic	anger	0.606	विरोधी
irritating	anger	0.606	रिस उठाउने
sickening	anger	0.606	रोग लाग्ने
discrimination	anger	0.606	भेदभाव
frustrate	anger	0.604	निराश
insult	anger	0.603	अपमान
hurtful	anger	0.603	पीडादायी
oppression	anger	0.603	दमन
manipulation	anger	0.603	हेरफेर
tiredofit	anger	0.603	tiredofit
bigot	anger	0.603	कट्टर
tension	anger	0.603	तनाव
disgust	anger	0.602	घृणा
spite	anger	0.600	बावजुद
intrusive	anger	0.598	हस्तक्षेपकारी
harshness	anger	0.597	कठोरता
slur	anger	0.596	गाली
tempest	anger	0.594	आँधी
assail	anger	0.594	आक्रमण
bitterness	anger	0.594	तीतोपन
morbidity	anger	0.594	बिरामीपन
casualty	anger	0.594	हताहत
puncture	anger	0.594	पंचर
miserable	anger	0.594	दुखी
inferno	anger	0.594	नरक
invasion	anger	0.594	आक्रमण
storming	anger	0.594	आँधीबेहरी
wretch	anger	0.594	नराम्रो
consternation	anger	0.592	आतंक
raving	anger	0.591	पागल
forcibly	anger	0.591	जबरजस्ती
guillotine	anger	0.591	गिलोटिन
guilty	anger	0.591	दोषी
depraved	anger	0.591	भ्रष्ट
immoral	anger	0.591	अनैतिक
overpowering	anger	0.591	अति शक्तिशाली
scare	anger	0.588	डराउनु
recalcitrant	anger	0.588	अविचलित
screwed	anger	0.588	बिग्रिएको
accursed	anger	0.588	शापित
soannoyed	anger	0.588	रिसाएको
invader	anger	0.588	आक्रमणकारी
jealousy	anger	0.587	ईर्ष्या
indignation	anger	0.587	आक्रोश
vexed	anger	0.586	रिसाएको
confront	anger	0.582	सामना गर्ने
brute	anger	0.581	क्रूर
throttle	anger	0.579	थ्रोटल
slut	anger	0.578	स्लट
coup	anger	0.578	विद्रोह
blaze	anger	0.578	आगो
pillage	anger	0.578	लुटपाट
provoking	anger	0.578	उत्तेजक
damage	anger	0.578	क्षति
criminality	anger	0.578	आपराधिकता
shutup	anger	0.578	चुप लाग्नु
lash	anger	0.578	प्रहार
conflict	anger	0.578	द्वन्द्व
contentious	anger	0.578	विवादास्पद
shutit	anger	0.578	बन्द गर
wreck	anger	0.578	भत्काउने
defiant	anger	0.578	विरोध गर्ने
butcher	anger	0.578	कसाई
incarceration	anger	0.578	कारावास
revolver	anger	0.578	रिभल्भर
bickering	anger	0.578	झगडा
yousuck	anger	0.578	तपाईं चुस्क
cancer	anger	0.577	क्यान्सर
discriminate	anger	0.576	भेदभाव
gun	anger	0.576	बन्दुक
frustration	anger	0.576	निराशा
gory	anger	0.576	गोरी
pernicious	anger	0.576	हानिकारक
dontmess	anger	0.576	नराम्रो
blasphemy	anger	0.576	ईश्वरनिन्दा
chaotic	anger	0.576	अराजक
grope	anger	0.576	टोल्नु
alienation	anger	0.576	अलगाव
disturbance	anger	0.576	अशान्ति
condescension	anger	0.576	संवेदना
standoff	anger	0.576	गतिरोध
discord	anger	0.576	कलह
friggen	anger	0.575	friggen
sneer	anger	0.574	हाँसो
death	anger	0.574	मृत्यु
lunacy	anger	0.574	पागलपन
scandalous	anger	0.574	निन्दनीय
oppressive	anger	0.574	दमनकारी
jab	anger	0.574	जाब
cursed	anger	0.574	श्रापित
monstrosity	anger	0.574	राक्षसीता
shit	anger	0.573	बकवास
disparaging	anger	0.571	अपमानजनक
slash	anger	0.571	स्ल्याश
unfair	anger	0.571	अनुचित
gallows	anger	0.570	फाँसी
escalate	anger	0.569	बढाउनुहोस्
intolerant	anger	0.564	असहिष्णु
lawlessness	anger	0.563	अराजकता
beast	anger	0.562	जनावर
torpedo	anger	0.562	टार्पेडो
malign	anger	0.562	अपमानजनक
traitor	anger	0.562	देशद्रोही
frightful	anger	0.562	डरलाग्दो
wrangling	anger	0.562	झगडा गर्दै
slander	anger	0.562	निन्दा
bellows	anger	0.562	घण्टी बजाउँछ
retards	anger	0.562	रोक्छ
grouchy	anger	0.562	घृणित
derogatory	anger	0.562	अपमानजनक
bearish	anger	0.562	मन्द
invade	anger	0.562	आक्रमण
perdition	anger	0.562	विनाश
arghh	anger	0.562	aghh
dreadful	anger	0.562	डरलाग्दो
bluddy	anger	0.562	मुर्ख
deceived	anger	0.562	धोका दिए
glare	anger	0.562	चमक
taunt	anger	0.562	गिल्ला
dissension	anger	0.561	मतभेद
cross	anger	0.561	क्रस
rave	anger	0.561	रेभ
grating	anger	0.561	जाली
devastating	anger	0.561	विनाशकारी
fits	anger	0.561	मिल्छ
jeopardize	anger	0.561	जोखिममा पार्नु
shatter	anger	0.561	चकनाचुर
idiots	anger	0.561	मूर्खहरू
hurt	anger	0.561	चोट
thief	anger	0.561	चोर
uncontrollable	anger	0.561	अनियन्त्रित
conflagration	anger	0.561	आगलागी
betrayal	anger	0.561	विश्वासघात
banshee	anger	0.561	बन्सी
subjugation	anger	0.559	अधीनता
disturbed	anger	0.559	विचलित
stomped	anger	0.557	रोकियो
grab	anger	0.557	समात्नु
grievance	anger	0.556	गुनासो
ticked	anger	0.556	टिक गरियो
masochism	anger	0.556	मासोचिज्म
defiance	anger	0.552	अवज्ञा
blackmail	anger	0.550	ब्ल्याकमेल
offensive	anger	0.549	आपत्तिजनक
decry	anger	0.548	decry
frustrates	anger	0.547	निराश बनाउँछ
violation	anger	0.547	उल्लङ्घन
confine	anger	0.547	सीमित
misery	anger	0.547	दुख
arghhhh	anger	0.547	अर्घहह
disparity	anger	0.547	असमानता
punishment	anger	0.547	सजाय
rebel	anger	0.547	विद्रोही
preposterous	anger	0.547	अव्यवस्थित
disgraceful	anger	0.547	अपमानजनक
ire	anger	0.547	रिस
deceive	anger	0.547	ठग्नु
fustrated	anger	0.547	निराश
sin	anger	0.547	पाप
shrill	anger	0.547	तिखो
darkside	anger	0.547	अँध्यारो पक्ष
overbearing	anger	0.547	दबंग
firearms	anger	0.547	बन्दुक
stolen	anger	0.546	चोरी
hadenough	anger	0.546	धेरै भयो
prejudice	anger	0.545	पूर्वाग्रह
tackle	anger	0.545	ट्याकल
resentful	anger	0.545	आक्रोशित
heated	anger	0.545	तातो
callous	anger	0.545	कठोर
conspirator	anger	0.545	षड्यन्त्रकारी
ruined	anger	0.545	बर्बाद
antagonist	anger	0.545	विरोधी
skirmish	anger	0.545	झडप
menace	anger	0.545	खतरा
annoyin	anger	0.545	कष्टप्रद
foul	anger	0.545	खराब
argument	anger	0.545	तर्क
humiliate	anger	0.545	अपमानित गर्ने
wanker	anger	0.545	डगमगाउने
adversary	anger	0.545	विरोधी
sting	anger	0.544	डंक
entangled	anger	0.544	अलमलिएको
grumble	anger	0.544	गनगन
robbery	anger	0.544	डकैती
outcry	anger	0.544	आक्रोश
resistance	anger	0.543	प्रतिरोध
irreconcilable	anger	0.543	मिलाउन नसकिने
obstructive	anger	0.542	अवरोध गर्ने
dismay	anger	0.540	निराशा
mob	anger	0.538	भीड
juststop	anger	0.537	बस रोक्नुहोस्
badness	anger	0.536	खराबी
ridicule	anger	0.534	उपहास
incendiary	anger	0.533	आगजनी गर्ने
flares	anger	0.532	ज्वालाहरू
twofaced	anger	0.531	दुई अनुहार भएको
reckless	anger	0.531	लापरवाह
communism	anger	0.531	साम्यवाद
allegation	anger	0.531	आरोप
prejudicial	anger	0.531	पूर्वाग्रहपूर्ण
whip	anger	0.531	कोर्रा
unbridled	anger	0.531	बेलगाम
degeneracy	anger	0.531	पतन
intruder	anger	0.531	घुसपैठ गर्ने
belittle	anger	0.531	तुच्छ
confinement	anger	0.531	कैद
dispute	anger	0.531	विवाद
exacerbation	anger	0.531	तीव्रता
uprising	anger	0.531	विद्रोह
unjust	anger	0.530	अन्यायपूर्ण
unjustifiable	anger	0.530	अनुचित
perversion	anger	0.530	विकृति
bigoted	anger	0.530	कट्टर
fiesty	anger	0.530	पर्वपूर्ण
offender	anger	0.530	अपराधी
dictatorial	anger	0.530	तानाशाही
hassle	anger	0.530	झन्झट
dissonance	anger	0.530	असन्तुष्टि
tackled	anger	0.530	सामना गरियो
renegade	anger	0.529	धर्मत्यागी
cantstandit	anger	0.529	सकिँदैन
trespass	anger	0.529	अतिक्रमण
hot	anger	0.529	तातो
prison	anger	0.529	जेल
suicide	anger	0.521	आत्महत्या
annoy	anger	0.520	रिसाउनु
leavemealone	anger	0.517	मलाई एक्लै छाडिदेउ
cretins	anger	0.516	cretins
depravity	anger	0.516	भ्रष्टता
idiotic	anger	0.516	मूर्ख
dishonest	anger	0.516	बेइमान
distrust	anger	0.516	अविश्वास
broil	anger	0.516	झगडा
grrr	anger	0.516	grrr
criticize	anger	0.516	आलोचना गर्ने
inimical	anger	0.516	विरोधी
tortious	anger	0.516	कष्टप्रद
prisoner	anger	0.516	कैदी
treason	anger	0.516	देशद्रोह
divorce	anger	0.516	सम्बन्ध विच्छेद
venting	anger	0.516	भेन्टिङ्ग
duress	anger	0.516	जबरजस्ती
disrespectful	anger	0.516	अपमानजनक
poaching	anger	0.515	चोरी शिकार
scold	anger	0.515	गाली
poachers	anger	0.515	शिकारीहरू
pow	anger	0.515	पाउ
hangry	anger	0.515	झुण्डिएको
argumentation	anger	0.515	तर्क
frustrating	anger	0.515	निराशाजनक
unkind	anger	0.515	निर्दयी
roar	anger	0.515	गर्जन
coercion	anger	0.515	जबरजस्ती
unforgiving	anger	0.515	क्षमा नगर्ने
grump	anger	0.515	गुन्डा
bile	anger	0.515	पित्त
unleash	anger	0.515	खोल्नुहोस्
chaos	anger	0.515	अराजकता
victimized	anger	0.515	पीडित
jerks	anger	0.515	झटका
tussle	anger	0.514	झगडा
bane	anger	0.511	बेन
accusation	anger	0.510	आरोप
enmity	anger	0.510	दुश्मनी
repudiation	anger	0.510	खण्डन
banish	anger	0.509	निर्वासन
disfigured	anger	0.508	विकृत
storm	anger	0.507	आँधी
crazy	anger	0.500	पागल
hammering	anger	0.500	ह्यामरिङ
defy	anger	0.500	अवहेलना
antithesis	anger	0.500	विरोधी
scoff	anger	0.500	उपहास
anguish	anger	0.500	पीडा
confined	anger	0.500	सीमित
fear	anger	0.500	डर
bout	anger	0.500	बाउट
unruly	anger	0.500	अनियन्त्रित
delusional	anger	0.500	भ्रमपूर्ण
obstruct	anger	0.500	अवरोध गर्ने
possessed	anger	0.500	कब्जा गरेको
injustice	anger	0.500	अन्याय
fervor	anger	0.500	जोश
spear	anger	0.500	भाला
derision	anger	0.500	उपहास
intractable	anger	0.500	असभ्य
reject	anger	0.500	अस्वीकार
dominate	anger	0.500	हावी हुनु
ordeal	anger	0.500	परीक्षा
banished	anger	0.500	निर्वासित
rejects	anger	0.500	अस्वीकार गर्दछ
shun	anger	0.500	त्याग्नु
brunt	anger	0.500	खाट
derogation	anger	0.500	अपमान
frenzied	anger	0.500	उन्माद
animus	anger	0.500	एनिमस
suppression	anger	0.500	दमन
malpractice	anger	0.500	कदाचार
brazen	anger	0.500	निर्लज्ज
foaming	anger	0.500	फोमिङ
disrupting	anger	0.500	बाधा पुर्‍याउने
nobodycares	anger	0.500	कसैले वास्ता गरदैन
patronising	anger	0.500	संरक्षण गर्दै
getoveryourself	anger	0.495	आफैलाई प्राप्त गर्नुहोस्
toughness	anger	0.492	कठोरता
stupidpeople	anger	0.492	बेबकुफ मानिस
madness	anger	0.491	पागलपन
sinful	anger	0.491	पापी
avarice	anger	0.490	लोभ
oppress	anger	0.490	दमन गर्ने
cutting	anger	0.485	काट्ने
anathema	anger	0.485	एनाथेमा
annoyed	anger	0.485	रिसाएको
dissident	anger	0.485	असन्तुष्ट
demand	anger	0.485	माग
