English Word	Emotion	Emotion-Intensity-Score	Pashto Word
fuming	anger	0.812	غوسه
anger	anger	0.811	غوسه
pieceofshit	anger	0.810	ټوټه ټوټه
punched	anger	0.803	وهل
punching	anger	0.803	وهل
slam	anger	0.803	سلیم
homicide	anger	0.803	وژنه
bitch	anger	0.803	کوچی
fights	anger	0.803	جنګونه
ruthless	anger	0.797	بې رحمه
villainous	anger	0.797	بدمعاش
destructive	anger	0.797	ویجاړونکی
slap	anger	0.791	ټوپ
riot	anger	0.788	بلوا
growthefuckup	anger	0.788	وده
punishing	anger	0.788	سزا ورکول
slaughterhouse	anger	0.788	ذبح خانه
yelling	anger	0.788	چیغې وهل
diabolical	anger	0.788	شیطاني
destroyed	anger	0.788	ویجاړ شوی
ragetweet	anger	0.788	ragetweet
retaliatory	anger	0.788	غچ اخیستونکی
manslaughter	anger	0.783	وژنه
clash	anger	0.783	ټکر
quarrel	anger	0.781	شخړه
bloody	anger	0.781	خونړی
hellish	anger	0.781	دوزخي
sinister	anger	0.781	ناوړه
loath	anger	0.781	کرکه
detonation	anger	0.781	چاودنه
accusing	anger	0.779	تورنول
fumin	anger	0.779	فومین
hateeee	anger	0.779	hateeee
treacherous	anger	0.779	غدار
madder	anger	0.773	مینه وال
horrific	anger	0.773	وحشتناک
revulsion	anger	0.773	بغاوت
retaliate	anger	0.773	غچ اخیستل
scorn	anger	0.769	سپکاوی
bomb	anger	0.766	بم
deplorable	anger	0.766	د افسوس وړ
devastation	anger	0.765	تباهي
anarchist	anger	0.765	انارکیست
firestorm	anger	0.765	اور
resent	anger	0.765	خپګان
contemptible	anger	0.764	د توهین وړ
shittest	anger	0.760	shittest
rant	anger	0.758	خندا
cruel	anger	0.758	ظالمانه
deadly	anger	0.758	وژونکی
smash	anger	0.758	ماتول
soangry	anger	0.758	خوندور
outburst	anger	0.757	غورځېدل
snarl	anger	0.754	snarl
profane	anger	0.750	ناپاک
revolting	anger	0.750	بغاوت کول
aggravating	anger	0.750	ځورونکي
horror	anger	0.750	وحشت
despise	anger	0.750	سپکاوی
offend	anger	0.750	سپکاوی
stfu	anger	0.750	stfu
vulgarity	anger	0.750	فحشا
crazed	anger	0.750	لیونی
douchebags	anger	0.750	ډوچ بکسونه
growling	anger	0.750	ژړل
dontmesswithme	anger	0.750	مه ورسره مه کوئ
screaming	anger	0.742	چیغې وهل
threat	anger	0.742	ګواښ
erupt	anger	0.742	راټوکېدل
horrible	anger	0.742	وحشتناک
molestation	anger	0.742	ځورول
fuckedoff	anger	0.742	خندا
violence	anger	0.742	تاوتریخوالی
bastards	anger	0.741	حرامیان
revenge	anger	0.738	انتقام
menacing	anger	0.735	ګواښونکي
crushing	anger	0.735	کچکول
damn	anger	0.735	لعنت پر
catastrophe	anger	0.735	ناورین
demon	anger	0.735	شیطان
argue	anger	0.734	استدلال
persecute	anger	0.734	ځورول
deplore	anger	0.734	خپګان
flog	anger	0.734	وهل
fedup	anger	0.734	تنګ شوی
riotous	anger	0.734	فسادي
vehement	anger	0.734	سخت
revolt	anger	0.734	بغاوت
warfare	anger	0.734	جګړه
thrash	anger	0.734	وهل
altercation	anger	0.729	شخړه
warlike	anger	0.728	جنګیالی
shitday	anger	0.727	شپیته
mutiny	anger	0.727	بغاوت
castrate	anger	0.727	castrate
sabotage	anger	0.727	تخریب
malevolent	anger	0.721	ناروا
strike	anger	0.721	اعتصاب
disaster	anger	0.721	ناورین
disastrous	anger	0.720	ناورین
bastarding	anger	0.719	بدمعاش
treachery	anger	0.719	خیانت
arseholes	anger	0.719	سوري
horseshit	anger	0.719	آسونه
slay	anger	0.719	وژل
disdain	anger	0.719	کرکه
aggravates	anger	0.719	زیاتیږي
brutal	anger	0.719	وحشي
scorching	anger	0.719	سوځیدونکی
devil	anger	0.719	شیطان
madden	anger	0.719	جنون
spiteful	anger	0.719	کرکه لرونکی
scream	anger	0.719	چیغه
choke	anger	0.719	چپه کول
vermin	anger	0.719	حشره
tumult	anger	0.719	ګډوډي
criminal	anger	0.714	مجرم
mangle	anger	0.714	ملنګ
anarchism	anger	0.714	انارکیزم
mutilation	anger	0.714	ماتول
denunciation	anger	0.713	غندنه
punch	anger	0.713	ټوپ
virulence	anger	0.712	ویرول
fatal	anger	0.712	وژونکی
hurting	anger	0.712	دردول
crucifixion	anger	0.712	صلیب
dontlikeyou	anger	0.712	تاسو نه خوښوی
blasphemous	anger	0.712	سپکاوی
holocaust	anger	0.712	هولوکاسټ
dumbasses	anger	0.712	ګونګیان
battled	anger	0.712	جګړه وکړه
deranged	anger	0.706	خپه شوی
irritated	anger	0.706	خپه شوی
atrocious	anger	0.706	ظالم
evil	anger	0.706	بد
aggravated	anger	0.703	زیات شوی
intimidation	anger	0.703	ډارول
dicks	anger	0.703	ډیکس
assassin	anger	0.703	وژونکی
scolding	anger	0.703	وهل
persecution	anger	0.703	ځورونه
slayer	anger	0.703	وژونکی
kidnap	anger	0.703	تښتول
aggression	anger	0.702	یرغل
armed	anger	0.700	وسله وال
battle	anger	0.697	جګړه
poison	anger	0.697	زهر
snarling	anger	0.697	ژړل
venom	anger	0.697	زهر
disgruntled	anger	0.693	ناراضه
resentment	anger	0.691	قهر
assailant	anger	0.691	برید کوونکی
insidious	anger	0.691	دروغجن
contemptuous	anger	0.690	سپکاوی
lynch	anger	0.690	لینچ
temper	anger	0.688	تنده
terrible	anger	0.688	ډارونکی
disparage	anger	0.688	بې عزتي
lunatic	anger	0.688	لېونی
bully	anger	0.688	ځورول
mad	anger	0.688	لېونی
makesmemad	anger	0.688	جوړ
infanticide	anger	0.688	ماشوم وژنه
domination	anger	0.688	تسلط
peeved	anger	0.688	خپه شوی
imprisonment	anger	0.688	بند
curse	anger	0.688	لعنت
volatility	anger	0.687	بې ثباتي
eradication	anger	0.685	له منځه وړل
eradicate	anger	0.682	له منځه وړل
tantrum	anger	0.682	خپګان
scoundrel	anger	0.682	بدمعاش
devastate	anger	0.682	تباه کول
aggressively	anger	0.680	په زوره
agitation	anger	0.680	خوځښت
dictatorship	anger	0.676	دیکتاتورۍ
irritates	anger	0.676	خپه کوي
profanity	anger	0.673	سپکاوی
shove	anger	0.672	وهل
nasty	anger	0.672	چټل
shot	anger	0.672	ډزې
cruelly	anger	0.672	په ظالمانه توګه
shoot	anger	0.672	ډزې
condemnation	anger	0.672	غندنه
crushed	anger	0.672	مات شوی
aggravation	anger	0.672	اضطراب
poisonous	anger	0.672	زهرجن
egregious	anger	0.672	سخت
crime	anger	0.672	جرم
corrupting	anger	0.672	فاسد کول
dastardly	anger	0.672	په ناوړه توګه
contempt	anger	0.672	سپکاوی
harmful	anger	0.672	زیان رسونکی
expletive	anger	0.672	په زړه پوری
wreak	anger	0.672	ویجاړ
maniac	anger	0.670	لیونی
cutthroat	anger	0.667	غوټه
enemy	anger	0.667	دښمن
hit	anger	0.667	وهل
hateeveryone	anger	0.667	له هر چا کرکه
eruption	anger	0.667	چاود
irritable	anger	0.667	خپګان
odious	anger	0.667	ناوړه
shooting	anger	0.667	ډزې
shout	anger	0.667	چیغې وهل
aggressive	anger	0.667	تیریدونکی
kick	anger	0.667	مار
combat	anger	0.667	جګړه
fight	anger	0.667	جګړه
punished	anger	0.662	سزا ورکول
yell	anger	0.661	چیغې وهل
ambush	anger	0.661	برید
harass	anger	0.659	ځورول
malignant	anger	0.656	وژونکي
aggressor	anger	0.656	یرغلګر
gore	anger	0.656	ګور
destruction	anger	0.656	تخریب
grudge	anger	0.656	کرکه
antichrist	anger	0.656	د مسیح ضد
incense	anger	0.656	بخور
expel	anger	0.656	اخراج
cranky	anger	0.653	خندا
slave	anger	0.652	غلام
reprisal	anger	0.652	غچ
growl	anger	0.652	ژړل
animosity	anger	0.652	دښمني
insurrection	anger	0.652	بغاوت
clashing	anger	0.652	ټکر
denounce	anger	0.652	غندنه
offended	anger	0.652	ناراضه
spank	anger	0.652	سپک
insulting	anger	0.652	سپکاوی
growls	anger	0.649	ژړا
executioner	anger	0.644	اعدام کونکی
twat	anger	0.644	twat
doomsday	anger	0.643	قیامت
obscenity	anger	0.641	فحشاء
accused	anger	0.641	تورن
feud	anger	0.641	شخړه
daemon	anger	0.641	ډیمون
havoc	anger	0.641	تباهي
shackle	anger	0.641	بیړۍ
inexcusable	anger	0.641	د نه بخښلو وړ
indignant	anger	0.641	غوسه
grr	anger	0.641	grr
expulsion	anger	0.641	اخراج
bombard	anger	0.641	بمبار
spat	anger	0.641	ټوپ
arson	anger	0.641	سوځول
reprimand	anger	0.641	ملامتول
somad	anger	0.637	somad
frustrated	anger	0.636	مایوسه
batter	anger	0.636	بیټر
kicking	anger	0.636	وهل
anarchy	anger	0.636	ګډوډي
spanking	anger	0.636	وهل
glaring	anger	0.636	روښانه
suicidal	anger	0.636	ځان وژونکي
disgusting	anger	0.636	کرکه کوونکی
wound	anger	0.636	زخم
hanging	anger	0.636	ځړول
poisoned	anger	0.636	مسموم شوی
combatant	anger	0.636	جګړه مار
wrecked	anger	0.633	ویجاړ شوی
inflict	anger	0.633	رسوا کول
grievous	anger	0.632	دردناک
prosecute	anger	0.630	محاکمه کول
agitated	anger	0.630	قهرجن
cheat	anger	0.630	غلا
swastika	anger	0.627	سواستیکا
injure	anger	0.625	ټپي کول
indict	anger	0.625	تورن
scourge	anger	0.625	لعنت
provocation	anger	0.625	هڅونه
suffocation	anger	0.625	ساه اخستل
strife	anger	0.625	شخړه
raid	anger	0.625	برید
enslaved	anger	0.625	غلام
cursing	anger	0.625	لعنت کول
defamatory	anger	0.625	بدنامونکی
harassing	anger	0.625	ځورول
thundering	anger	0.625	تندر
betray	anger	0.625	خیانت
arsehole	anger	0.624	کنده
theft	anger	0.621	غلا
insane	anger	0.621	لېونی
retaliation	anger	0.621	غچ اخیستل
irritate	anger	0.621	خپه کول
deprivation	anger	0.621	محرومیت
fiend	anger	0.621	شیطان
jerk	anger	0.621	ټکان
convict	anger	0.621	محکوم
cussed	anger	0.619	ټوکې
turmoil	anger	0.618	ګډوډي
smack	anger	0.615	سمیک
retribution	anger	0.614	انتقام
rebellion	anger	0.609	بغاوت
oppressor	anger	0.609	ظالم
gang	anger	0.609	ډله
slavery	anger	0.609	غلامي
intolerable	anger	0.609	د نه زغملو وړ
adverse	anger	0.609	منفي
injurious	anger	0.609	زیانمن
twats	anger	0.609	twats
collision	anger	0.609	ټکر
battery	anger	0.609	بیټرۍ
bitterly	anger	0.609	ترخه
antagonism	anger	0.609	مخالفت
irritability	anger	0.609	خپګان
disgraced	anger	0.608	ذلیل شوی
diatribe	anger	0.606	diatribe
asshole	anger	0.606	ګنده
blast	anger	0.606	چاودنه
bombardment	anger	0.606	بمباري
irks	anger	0.606	irks
ranting	anger	0.606	چیغې وهل
revolution	anger	0.606	انقلاب
thug	anger	0.606	غل
antagonistic	anger	0.606	مخالف
irritating	anger	0.606	ځورونکی
sickening	anger	0.606	ناروغه کول
discrimination	anger	0.606	تبعیض
frustrate	anger	0.604	مایوسه کول
insult	anger	0.603	سپکاوی
hurtful	anger	0.603	دردونکی
oppression	anger	0.603	ظلم
manipulation	anger	0.603	لاس وهنه
tiredofit	anger	0.603	tiredofit
bigot	anger	0.603	متعصب
tension	anger	0.603	فشار
disgust	anger	0.602	کرکه
spite	anger	0.600	کرکه
intrusive	anger	0.598	مداخله
harshness	anger	0.597	سختۍ
slur	anger	0.596	سپکاوی
tempest	anger	0.594	طوفان
assail	anger	0.594	برید
bitterness	anger	0.594	ترخه
morbidity	anger	0.594	ناروغی
casualty	anger	0.594	تلفات
puncture	anger	0.594	پنچر
miserable	anger	0.594	بدبخته
inferno	anger	0.594	اور
invasion	anger	0.594	یرغل
storming	anger	0.594	طوفان
wretch	anger	0.594	بدبخته
consternation	anger	0.592	ویره
raving	anger	0.591	ژړا
forcibly	anger	0.591	په زوره
guillotine	anger	0.591	ګیلوټین
guilty	anger	0.591	مجرم
depraved	anger	0.591	خراب شوی
immoral	anger	0.591	غیر اخلاقي
overpowering	anger	0.591	زورور
scare	anger	0.588	ډارول
recalcitrant	anger	0.588	بې احتیاطي
screwed	anger	0.588	خراب شوی
accursed	anger	0.588	ملعون
soannoyed	anger	0.588	خپه شوی
invader	anger	0.588	یرغلګر
jealousy	anger	0.587	حسد
indignation	anger	0.587	قهر
vexed	anger	0.586	ناراضه
confront	anger	0.582	مقابله
brute	anger	0.581	وحشي
throttle	anger	0.579	تختول
slut	anger	0.578	slut
coup	anger	0.578	کودتا
blaze	anger	0.578	اور
pillage	anger	0.578	لوټ
provoking	anger	0.578	هڅوونکی
damage	anger	0.578	زیان
criminality	anger	0.578	جرم
shutup	anger	0.578	غلی شه
lash	anger	0.578	وهل
conflict	anger	0.578	شخړه
contentious	anger	0.578	متنازع
shutit	anger	0.578	بند
wreck	anger	0.578	ویجاړ
defiant	anger	0.578	سرغړونکی
butcher	anger	0.578	قصاب
incarceration	anger	0.578	زندان
revolver	anger	0.578	ریوالور
bickering	anger	0.578	شخړه
yousuck	anger	0.578	تاسو رودلی
cancer	anger	0.577	سرطان
discriminate	anger	0.576	تبعیض
gun	anger	0.576	ټوپک
frustration	anger	0.576	خپګان
gory	anger	0.576	ګوری
pernicious	anger	0.576	زیانمنونکی
dontmess	anger	0.576	ګډوډ
blasphemy	anger	0.576	سپکاوی
chaotic	anger	0.576	ګډوډ
grope	anger	0.576	لاس وهل
alienation	anger	0.576	بیځایه کیدل
disturbance	anger	0.576	ګډوډي
condescension	anger	0.576	خواخوږي
standoff	anger	0.576	خنډ
discord	anger	0.576	اختلاف
friggen	anger	0.575	friggen
sneer	anger	0.574	خندا
death	anger	0.574	مرګ
lunacy	anger	0.574	لېونتوب
scandalous	anger	0.574	سپکاوی
oppressive	anger	0.574	ظالم
jab	anger	0.574	جاب
cursed	anger	0.574	لعنت شوی
monstrosity	anger	0.574	وحشت
shit	anger	0.573	خندا
disparaging	anger	0.571	سپکاوی
slash	anger	0.571	سلیش
unfair	anger	0.571	غیر عادلانه
gallows	anger	0.570	اعدام
escalate	anger	0.569	زیاتول
intolerant	anger	0.564	عدم برداشت
lawlessness	anger	0.563	بې عدالتي
beast	anger	0.562	حیوان
torpedo	anger	0.562	تورپیډو
malign	anger	0.562	ناوړه
traitor	anger	0.562	غدار
frightful	anger	0.562	ډارونکی
wrangling	anger	0.562	شخړه
slander	anger	0.562	سپکاوی
bellows	anger	0.562	زنګونه
retards	anger	0.562	ځنډول
grouchy	anger	0.562	خپه
derogatory	anger	0.562	سپکاوی کوونکی
bearish	anger	0.562	زوال
invade	anger	0.562	یرغل کول
perdition	anger	0.562	تباهي
arghh	anger	0.562	ارگ
dreadful	anger	0.562	ډارونکی
bluddy	anger	0.562	ستړی
deceived	anger	0.562	غولول
glare	anger	0.562	چمک
taunt	anger	0.562	طعنې
dissension	anger	0.561	اختلاف
cross	anger	0.561	صلیب
rave	anger	0.561	ژړل
grating	anger	0.561	ځړول
devastating	anger	0.561	ویجاړونکی
fits	anger	0.561	مناسب
jeopardize	anger	0.561	په خطر کې اچول
shatter	anger	0.561	ټوټه ټوټه
idiots	anger	0.561	احمقان
hurt	anger	0.561	ټپي کول
thief	anger	0.561	غل
uncontrollable	anger	0.561	بې کنټروله
conflagration	anger	0.561	کنګلیشن
betrayal	anger	0.561	خیانت
banshee	anger	0.561	بنشي
subjugation	anger	0.559	محکومیت
disturbed	anger	0.559	ګډوډ
stomped	anger	0.557	ټک شوی
grab	anger	0.557	غصب
grievance	anger	0.556	شکایت
ticked	anger	0.556	ټک شوی
masochism	anger	0.556	masochism
defiance	anger	0.552	سرغړونه
blackmail	anger	0.550	بلیک میل
offensive	anger	0.549	برید کوونکی
decry	anger	0.548	ردول
frustrates	anger	0.547	مایوسه کوي
violation	anger	0.547	سرغړونه
confine	anger	0.547	محدودول
misery	anger	0.547	بدبختي
arghhhh	anger	0.547	ارغه
disparity	anger	0.547	توپیر
punishment	anger	0.547	سزا
rebel	anger	0.547	بغاوت
preposterous	anger	0.547	بې بنسټه
disgraceful	anger	0.547	رسوا کونکی
ire	anger	0.547	قهر
deceive	anger	0.547	غولول
fustrated	anger	0.547	خفه شوی
sin	anger	0.547	ګناه
shrill	anger	0.547	ګړندی
darkside	anger	0.547	تیاره خوا
overbearing	anger	0.547	زړور
firearms	anger	0.547	اور وژونکي
stolen	anger	0.546	غلا شوی
hadenough	anger	0.546	کافی
prejudice	anger	0.545	تعصب
tackle	anger	0.545	لاس وهنه
resentful	anger	0.545	قهرجن
heated	anger	0.545	ګرم شوی
callous	anger	0.545	سخت
conspirator	anger	0.545	سازش کوونکی
ruined	anger	0.545	برباد
antagonist	anger	0.545	مخالف
skirmish	anger	0.545	نښته
menace	anger	0.545	ګواښ
annoyin	anger	0.545	ځورونکی
foul	anger	0.545	ناوړه
argument	anger	0.545	استدلال
humiliate	anger	0.545	سپکاوی
wanker	anger	0.545	ستړی کوونکی
adversary	anger	0.545	مخالف
sting	anger	0.544	ډنګ
entangled	anger	0.544	ښکیل
grumble	anger	0.544	ژړل
robbery	anger	0.544	غلا
outcry	anger	0.544	چیغې
resistance	anger	0.543	مقاومت
irreconcilable	anger	0.543	نه پخلا کیدونکی
obstructive	anger	0.542	خنډونکی
dismay	anger	0.540	ویره
mob	anger	0.538	ډله
juststop	anger	0.537	یوازې ودریږئ
badness	anger	0.536	بدوالی
ridicule	anger	0.534	طنز
incendiary	anger	0.533	اور اچوونکی
flares	anger	0.532	اورونه
twofaced	anger	0.531	دوه مخی
reckless	anger	0.531	بې پروا
communism	anger	0.531	کمونیزم
allegation	anger	0.531	تور
prejudicial	anger	0.531	تعصبي
whip	anger	0.531	څټک
unbridled	anger	0.531	بې لگام
degeneracy	anger	0.531	زوال
intruder	anger	0.531	مداخله کونکی
belittle	anger	0.531	لږ
confinement	anger	0.531	بنديز
dispute	anger	0.531	شخړه
exacerbation	anger	0.531	زیاتوالی
uprising	anger	0.531	پاڅون
unjust	anger	0.530	ظالم
unjustifiable	anger	0.530	غیر عادلانه
perversion	anger	0.530	ګډوډي
bigoted	anger	0.530	متعصب
fiesty	anger	0.530	خوندور
offender	anger	0.530	مجرم
dictatorial	anger	0.530	دیکتاتور
hassle	anger	0.530	زحمت
dissonance	anger	0.530	اختلاف
tackled	anger	0.530	حل شوی
renegade	anger	0.529	منحرف
cantstandit	anger	0.529	نشي کولی
trespass	anger	0.529	تېری
hot	anger	0.529	ګرم
prison	anger	0.529	زندان
suicide	anger	0.521	ځانمرګی
annoy	anger	0.520	ځورول
leavemealone	anger	0.517	ما یوازې پریږده
cretins	anger	0.516	کریټین
depravity	anger	0.516	خرابي
idiotic	anger	0.516	احمق
dishonest	anger	0.516	بې ایمانه
distrust	anger	0.516	بې باوري
broil	anger	0.516	برول
grrr	anger	0.516	grrr
criticize	anger	0.516	نیوکه کول
inimical	anger	0.516	دښمني
tortious	anger	0.516	ځورونکی
prisoner	anger	0.516	بندي
treason	anger	0.516	خیانت
divorce	anger	0.516	طلاق
venting	anger	0.516	هوا ورکول
duress	anger	0.516	جبر
disrespectful	anger	0.516	بې احترامي
poaching	anger	0.515	ښکار
scold	anger	0.515	وهل
poachers	anger	0.515	ښکار
pow	anger	0.515	pow
hangry	anger	0.515	ځوړند
argumentation	anger	0.515	استدلال
frustrating	anger	0.515	مایوسه کوونکی
unkind	anger	0.515	بې رحمه
roar	anger	0.515	ژړا
coercion	anger	0.515	جبر
unforgiving	anger	0.515	نه بښونکی
grump	anger	0.515	خندا
bile	anger	0.515	صفرا
unleash	anger	0.515	خلاصول
chaos	anger	0.515	ګډوډي
victimized	anger	0.515	قرباني شوی
jerks	anger	0.515	ټکان
tussle	anger	0.514	ټکر
bane	anger	0.511	تاوان
accusation	anger	0.510	تور
enmity	anger	0.510	دښمني
repudiation	anger	0.510	انکار
banish	anger	0.509	شړل
disfigured	anger	0.508	خراب شوی
storm	anger	0.507	طوفان
crazy	anger	0.500	لیونی
hammering	anger	0.500	لاس وهل
defy	anger	0.500	دفاع کول
antithesis	anger	0.500	ضد
scoff	anger	0.500	ملنډې وهل
anguish	anger	0.500	خپګان
confined	anger	0.500	محدود
fear	anger	0.500	ډار
bout	anger	0.500	لوبه
unruly	anger	0.500	بې نظمه
delusional	anger	0.500	مغروره
obstruct	anger	0.500	خنډ
possessed	anger	0.500	لري
injustice	anger	0.500	ظلم
fervor	anger	0.500	لیوالتیا
spear	anger	0.500	ږیره
derision	anger	0.500	طنز
intractable	anger	0.500	د نه منلو وړ
reject	anger	0.500	ردول
dominate	anger	0.500	تسلط
ordeal	anger	0.500	امتحان
banished	anger	0.500	شړل شوی
rejects	anger	0.500	ردوي
shun	anger	0.500	لرې کول
brunt	anger	0.500	برنټ
derogation	anger	0.500	سپکاوی
frenzied	anger	0.500	جنون
animus	anger	0.500	دښمني
suppression	anger	0.500	فشار
malpractice	anger	0.500	ناسم چلند
brazen	anger	0.500	زړور
foaming	anger	0.500	فوم کول
disrupting	anger	0.500	ګډوډ کول
nobodycares	anger	0.500	هیڅوک پروا نه کوي
patronising	anger	0.500	ملاتړ کول
getoveryourself	anger	0.495	خپل ځان ترلاسه کول
toughness	anger	0.492	سختۍ
stupidpeople	anger	0.492	احمق خلک
madness	anger	0.491	جنون
sinful	anger	0.491	ګناهګار
avarice	anger	0.490	لیوالتیا
oppress	anger	0.490	ظلم
cutting	anger	0.485	پرې کول
anathema	anger	0.485	anathema
annoyed	anger	0.485	ناراضه
dissident	anger	0.485	مخالف
demand	anger	0.485	غوښتنه
usurp	anger	0.485	غصب
claw	anger	0.485	پنجره
alienate	anger	0.485	بې ځایه کول
infraction	anger	0.485	سرغړونې
avenger	anger	0.485	غچ اخیستونکی
revoke	anger	0.485	لغوه کول
smuggler	anger	0.485	قاچاقبر
abolish	anger	0.485	لغوه کول
fricking	anger	0.485	ټوکې کول
stayaway	anger	0.485	پاتې کیدل
pervert	anger	0.485	خرابول
disservice	anger	0.485	خدمت کول
disobedient	anger	0.485	نافرمانه
incest	anger	0.485	incest
complaint	anger	0.485	شکایت
disapproved	anger	0.485	رد شوی
inhuman	anger	0.485	غیر انساني
mocking	anger	0.484	مسخره کول
penalty	anger	0.484	جزا
renounce	anger	0.484	پریښودل
restrain	anger	0.484	منع کول
upheaval	anger	0.484	پاڅون
deceit	anger	0.484	دوکه
obnoxious	anger	0.484	ناوړه
imprisoned	anger	0.484	بندي شوی
strained	anger	0.484	سخت
blame	anger	0.484	تور
oust	anger	0.484	شړل
litigious	anger	0.484	قانوني
rivalry	anger	0.484	سیالي
sucker	anger	0.484	څټونکی
opposed	anger	0.484	مخالفت وکړ
thresh	anger	0.484	تخته
disgrace	anger	0.484	ذلت
suspicious	anger	0.484	شکمن
turbulence	anger	0.483	ګډوډي
pound	anger	0.481	پونډ
coldness	anger	0.477	ساړه
ungrateful	anger	0.472	ناشکره
stoopid	anger	0.471	ستومانه
battalion	anger	0.471	کنډک
feudalism	anger	0.470	فیوډالیزم
hostage	anger	0.470	یرغمل
annoying	anger	0.470	ځورونکی
dispossessed	anger	0.470	بې ځایه شوي
subversion	anger	0.470	تخریب
friction	anger	0.470	رګ
