English Word	Emotion	Emotion-Intensity-Score	Kurdish-Kurmanji Word
hurting	anger	0.712	êşandin
crucifixion	anger	0.712	xaçkirin
dontlikeyou	anger	0.712	ji te hez nakim
blasphemous	anger	0.712	kufr
holocaust	anger	0.712	holocaust
dumbasses	anger	0.712	dumbasses
battled	anger	0.712	şer kirin
deranged	anger	0.706	şaş kirin
irritated	anger	0.706	hêrs kirin
atrocious	anger	0.706	hovane
evil	anger	0.706	nebaş
aggravated	anger	0.703	xera kirin
intimidation	anger	0.703	tirsavêtinî
dicks	anger	0.703	dîk
assassin	anger	0.703	mêrkûj
scolding	anger	0.703	şermezar kirin
persecution	anger	0.703	şopketinî
slayer	anger	0.703	qatil
kidnap	anger	0.703	revandin
aggression	anger	0.702	êrişbazî
armed	anger	0.700	çekkirî
battle	anger	0.697	şer
poison	anger	0.697	axû
snarling	anger	0.697	qîrîn
venom	anger	0.697	jehr
disgruntled	anger	0.693	nerazî bûn
resentment	anger	0.691	sergêjanî
assailant	anger	0.691	êrîşkar
insidious	anger	0.691	xapînok
contemptuous	anger	0.690	şermezar
lynch	anger	0.690	lînc
temper	anger	0.688	bitrî
terrible	anger	0.688	tirsgiran
disparage	anger	0.688	şermezar kirin
lunatic	anger	0.688	dînîtî
bully	anger	0.688	zordar
mad	anger	0.688	bêbawer
makesmemad	anger	0.688	dikememad
infanticide	anger	0.688	zarokkujî
domination	anger	0.688	serdestî
peeved	anger	0.688	hejandin
imprisonment	anger	0.688	ceza sicnê
curse	anger	0.688	nifir
volatility	anger	0.687	volatility
eradication	anger	0.685	hilweşandin
eradicate	anger	0.682	ji holê rakin
tantrum	anger	0.682	tantrum
scoundrel	anger	0.682	rezîl
devastate	anger	0.682	xopankirin
aggressively	anger	0.680	bi awayekî êrîşkar
agitation	anger	0.680	ajîtasyon
dictatorship	anger	0.676	dîktatorî
irritates	anger	0.676	aciz dike
profanity	anger	0.673	bêbextî
shove	anger	0.672	dafdan
nasty	anger	0.672	bed
shot	anger	0.672	gûlle
cruelly	anger	0.672	hovane
shoot	anger	0.672	gûleberdan
condemnation	anger	0.672	cezadanî
crushed	anger	0.672	perçiqandin
aggravation	anger	0.672	xirabbûyî
poisonous	anger	0.672	jarî
egregious	anger	0.672	egregious
crime	anger	0.672	nebaşî
corrupting	anger	0.672	fesad dikin
dastardly	anger	0.672	hovane
contempt	anger	0.672	riswa
harmful	anger	0.672	zirarane
expletive	anger	0.672	expletive
wreak	anger	0.672	wreak
maniac	anger	0.670	maniac
cutthroat	anger	0.667	cutthroat
enemy	anger	0.667	dijmin
hit	anger	0.667	lêxistin
hateeveryone	anger	0.667	ji her kesî nefret dike
eruption	anger	0.667	jêrevî
irritable	anger	0.667	hêcber
odious	anger	0.667	odious
shooting	anger	0.667	gulebarankirin
shout	anger	0.667	qîrîn
aggressive	anger	0.667	êrşişbaz
kick	anger	0.667	peîn
combat	anger	0.667	şer
fight	anger	0.667	şer
punished	anger	0.662	ceza kirin
yell	anger	0.661	qîrîn
ambush	anger	0.661	paşî
harass	anger	0.659	nerehetkirin
malignant	anger	0.656	dilnexwaz
aggressor	anger	0.656	êrişkir
gore	anger	0.656	gore
destruction	anger	0.656	wêrankirin
grudge	anger	0.656	kîn
antichrist	anger	0.656	antichrist
incense	anger	0.656	dixana bînxweş
expel	anger	0.656	qewitandin
cranky	anger	0.653	cranky
slave	anger	0.652	xûlam
reprisal	anger	0.652	heyf
growl	anger	0.652	qûrqûrkirin
animosity	anger	0.652	dijminatî
insurrection	anger	0.652	serhildan
clashing	anger	0.652	pevçûn
denounce	anger	0.652	îxbarkirin
offended	anger	0.652	aciz kirin
spank	anger	0.652	spank
insulting	anger	0.652	kêmkir
growls	anger	0.649	gurr dike
executioner	anger	0.644	cellad
twat	anger	0.644	twat
doomsday	anger	0.643	roja qiyametê
obscenity	anger	0.641	xerabî
accused	anger	0.641	gilîdar
feud	anger	0.641	şer
daemon	anger	0.641	daemon
havoc	anger	0.641	wêrankirinî
shackle	anger	0.641	shackle
inexcusable	anger	0.641	bê efûkirin
indignant	anger	0.641	aciz kirin
grr	anger	0.641	grr
expulsion	anger	0.641	derxistin
bombard	anger	0.641	bombebaran kirin
spat	anger	0.641	tif kirin
arson	anger	0.641	agirpêxistinî
reprimand	anger	0.641	lome
somad	anger	0.637	somad
frustrated	anger	0.636	xemgîn kirin
batter	anger	0.636	batter
kicking	anger	0.636	kicking
anarchy	anger	0.636	anarşî
spanking	anger	0.636	spanking
glaring	anger	0.636	glaring
suicidal	anger	0.636	xwekujî
disgusting	anger	0.636	girêze
wound	anger	0.636	kûl
hanging	anger	0.636	daliqandin
poisoned	anger	0.636	jehrî kirin
combatant	anger	0.636	şervan
wrecked	anger	0.633	hilweşandin
inflict	anger	0.633	lêzêdekirin
grievous	anger	0.632	xemgîn
prosecute	anger	0.630	şopajotin
agitated	anger	0.630	aciz kirin
cheat	anger	0.630	xapandin
swastika	anger	0.627	swastika
injure	anger	0.625	birînkirin
indict	anger	0.625	gilîkirin
scourge	anger	0.625	belayê
provocation	anger	0.625	provokasyon
suffocation	anger	0.625	fetis
strife	anger	0.625	pevçûn
raid	anger	0.625	êriş
enslaved	anger	0.625	kole kirin
cursing	anger	0.625	nifir kirin
defamatory	anger	0.625	defamatory
harassing	anger	0.625	tacîz kirin
thundering	anger	0.625	birûskê
betray	anger	0.625	xîyanetkirin
arsehole	anger	0.624	arsehole
theft	anger	0.621	dizîn
insane	anger	0.621	rûhnexweş
retaliation	anger	0.621	heyf
irritate	anger	0.621	şeqitandin
deprivation	anger	0.621	mehrûmbûn
fiend	anger	0.621	fiend
jerk	anger	0.621	jerk
convict	anger	0.621	girtîya sucdar
cussed	anger	0.619	nifir kirin
turmoil	anger	0.618	serrakirinî
smack	anger	0.615	smack
retribution	anger	0.614	heyf
rebellion	anger	0.609	şoreş
oppressor	anger	0.609	zordar
gang	anger	0.609	pêxwas
slavery	anger	0.609	koletî
intolerable	anger	0.609	nakêş
adverse	anger	0.609	neyare
injurious	anger	0.609	birîndar
twats	anger	0.609	twats
collision	anger	0.609	bingûhhevketinî
battery	anger	0.609	pîl
bitterly	anger	0.609	bi bitterly
antagonism	anger	0.609	dijminatî
irritability	anger	0.609	hêrsbûn
disgraced	anger	0.608	riswa kirin
diatribe	anger	0.606	diatribe
asshole	anger	0.606	asshole
blast	anger	0.606	teqîn
bombardment	anger	0.606	bombardiman
irks	anger	0.606	irks
ranting	anger	0.606	ranting
revolution	anger	0.606	şoreş
thug	anger	0.606	thug
antagonistic	anger	0.606	antagonîst
irritating	anger	0.606	irritating
sickening	anger	0.606	nexweşî
discrimination	anger	0.606	biçûkdîtinî
frustrate	anger	0.604	şaşkirin
insult	anger	0.603	kêmkirinî
hurtful	anger	0.603	birîndarkir
oppression	anger	0.603	bindestî
manipulation	anger	0.603	manîpulasyon
tiredofit	anger	0.603	tiredofit
bigot	anger	0.603	bigot
tension	anger	0.603	kêşî
disgust	anger	0.602	girêzî
spite	anger	0.600	spite
intrusive	anger	0.598	intrusive
harshness	anger	0.597	hişkbûn
slur	anger	0.596	slur
tempest	anger	0.594	bahoz
assail	anger	0.594	êrîş kirin
bitterness	anger	0.594	talî
morbidity	anger	0.594	nexweşîbûn
casualty	anger	0.594	qûrban
puncture	anger	0.594	qûlik
miserable	anger	0.594	belengazî
inferno	anger	0.594	inferno
invasion	anger	0.594	dagirî
storming	anger	0.594	storming
wretch	anger	0.594	belengaz
consternation	anger	0.592	xemgînî
raving	anger	0.591	raving
forcibly	anger	0.591	bi zorê
guillotine	anger	0.591	giyotîn
guilty	anger	0.591	sûcdar
depraved	anger	0.591	xirav kirin
immoral	anger	0.591	bêehlaqane
overpowering	anger	0.591	serdest
scare	anger	0.588	tirs
recalcitrant	anger	0.588	recalcitrant
screwed	anger	0.588	pêçandin
accursed	anger	0.588	nifir kirin
soannoyed	anger	0.588	soannoyed
invader	anger	0.588	êrişker
jealousy	anger	0.587	nekêşî
indignation	anger	0.587	hêrsbûn
vexed	anger	0.586	xemgîn
confront	anger	0.582	berrûdan
brute	anger	0.581	brute
throttle	anger	0.579	pîdala gazê
slut	anger	0.578	slut
coup	anger	0.578	kûpa
blaze	anger	0.578	blaze
pillage	anger	0.578	talankirin
provoking	anger	0.578	provokasyon
damage	anger	0.578	zirar
criminality	anger	0.578	sûcdar
shutup	anger	0.578	huş be
lash	anger	0.578	lash
conflict	anger	0.578	şer
contentious	anger	0.578	nakokî
shutit	anger	0.578	shutit
wreck	anger	0.578	wreck
defiant	anger	0.578	defiant
butcher	anger	0.578	serjêker
incarceration	anger	0.578	girtîgehê
revolver	anger	0.578	revolver
bickering	anger	0.578	hevrikandin
yousuck	anger	0.578	gel hûn
cancer	anger	0.577	qansêr
discriminate	anger	0.576	biçûkdîtin
gun	anger	0.576	tiving
frustration	anger	0.576	hevîşikestinî
gory	anger	0.576	gory
pernicious	anger	0.576	pernicious
dontmess	anger	0.576	dontmess
blasphemy	anger	0.576	kûfûrbazî
chaotic	anger	0.576	serobin
grope	anger	0.576	grope
alienation	anger	0.576	xerîbbûyî
disturbance	anger	0.576	nerehetî
condescension	anger	0.576	condescension
standoff	anger	0.576	standoff
discord	anger	0.576	nakokî
friggen	anger	0.575	friggen
sneer	anger	0.574	kenîn
death	anger	0.574	mirin
lunacy	anger	0.574	dînîtî
scandalous	anger	0.574	skandal
oppressive	anger	0.574	zordar
jab	anger	0.574	jab
cursed	anger	0.574	nifir kirin
monstrosity	anger	0.574	monstrosity
shit	anger	0.573	şit
disparaging	anger	0.571	şermezar kirin
slash	anger	0.571	slash
unfair	anger	0.571	neheq
gallows	anger	0.570	darvekirin
escalate	anger	0.569	sûwarbûn
intolerant	anger	0.564	dilteng
lawlessness	anger	0.563	bêqanûnî
beast	anger	0.562	teba
torpedo	anger	0.562	torpîl
malign	anger	0.562	malign
traitor	anger	0.562	xayin
frightful	anger	0.562	tirsnak
wrangling	anger	0.562	gengeşî
slander	anger	0.562	derewî
bellows	anger	0.562	bellows
retards	anger	0.562	paşdemayîn
grouchy	anger	0.562	grouchy
derogatory	anger	0.562	biçûkxistinê
bearish	anger	0.562	bearish
invade	anger	0.562	bîrketin
perdition	anger	0.562	perdition
arghh	anger	0.562	arghh
dreadful	anger	0.562	tirsnak
bluddy	anger	0.562	bluddy
deceived	anger	0.562	xapandin
glare	anger	0.562	ronîtûj
taunt	anger	0.562	taunt
dissension	anger	0.561	nakokî
cross	anger	0.561	xaç
rave	anger	0.561	rave
grating	anger	0.561	grating
devastating	anger	0.561	wêranker
fits	anger	0.561	fits dike
jeopardize	anger	0.561	tehlûke kirin
shatter	anger	0.561	perçiqandin
idiots	anger	0.561	idiots
hurt	anger	0.561	birîndar
thief	anger	0.561	diz
uncontrollable	anger	0.561	naye kotrol
conflagration	anger	0.561	şewat
betrayal	anger	0.561	xîyanet
banshee	anger	0.561	banshee
subjugation	anger	0.559	bindestkirin
disturbed	anger	0.559	bêzar kirin
stomped	anger	0.557	stomped
grab	anger	0.557	bidestxistin
grievance	anger	0.556	gilî
ticked	anger	0.556	tikandin
masochism	anger	0.556	mazoşîzm
defiance	anger	0.552	serhişkî
blackmail	anger	0.550	xûkxwazî
offensive	anger	0.549	êriş
decry	anger	0.548	şermezar kirin
frustrates	anger	0.547	xemgîn dike
violation	anger	0.547	birîn
confine	anger	0.547	kêmkirin
misery	anger	0.547	belengazî
arghhhh	anger	0.547	arghhhh
disparity	anger	0.547	cudahî
punishment	anger	0.547	cezakirin
rebel	anger	0.547	dijrabû
preposterous	anger	0.547	şaş
disgraceful	anger	0.547	riswa
ire	anger	0.547	ire
deceive	anger	0.547	xapandin
fustrated	anger	0.547	fustrated
sin	anger	0.547	gûneh
shrill	anger	0.547	shrill
darkside	anger	0.547	aliyê tarî
overbearing	anger	0.547	serdest
firearms	anger	0.547	çekan
stolen	anger	0.546	dizîn
hadenough	anger	0.546	bes bû
prejudice	anger	0.545	pêşbiryar
tackle	anger	0.545	mijûlkirin
resentful	anger	0.545	sergêj
heated	anger	0.545	germ kirin
callous	anger	0.545	callous
conspirator	anger	0.545	komploger
ruined	anger	0.545	wêran kirin
antagonist	anger	0.545	antagonist
skirmish	anger	0.545	pevçûn
menace	anger	0.545	gef
annoyin	anger	0.545	aciz kirin
foul	anger	0.545	foul
argument	anger	0.545	bersivk
humiliate	anger	0.545	bêrûmetkirin
wanker	anger	0.545	wanker
adversary	anger	0.545	neyar
sting	anger	0.544	pêvedan
entangled	anger	0.544	tevlihev kirin
grumble	anger	0.544	gurr kirin
robbery	anger	0.544	şêl
outcry	anger	0.544	qêrîn
resistance	anger	0.543	berxwedan
irreconcilable	anger	0.543	nelihevhatî
obstructive	anger	0.542	astengdar
dismay	anger	0.540	xemgîn
mob	anger	0.538	mob
juststop	anger	0.537	juststop
badness	anger	0.536	xerabî
ridicule	anger	0.534	tinaz kirin
incendiary	anger	0.533	şewitandin
flares	anger	0.532	flares
twofaced	anger	0.531	durû
reckless	anger	0.531	aqilsivik
communism	anger	0.531	komûnîzm
allegation	anger	0.531	îddîa
prejudicial	anger	0.531	pêşdarazî
whip	anger	0.531	qamçî
unbridled	anger	0.531	bêsînor
degeneracy	anger	0.531	dejenerasyon
intruder	anger	0.531	binavket
belittle	anger	0.531	daxistin
confinement	anger	0.531	girtîyî
dispute	anger	0.531	înkarkirin
exacerbation	anger	0.531	exacerbation
uprising	anger	0.531	bilindahî
unjust	anger	0.530	neheq
unjustifiable	anger	0.530	bêberpisîyar
perversion	anger	0.530	perversion
bigoted	anger	0.530	bigotin
fiesty	anger	0.530	fiesty
offender	anger	0.530	sûcdar
dictatorial	anger	0.530	dîktatorî
hassle	anger	0.530	alozî
dissonance	anger	0.530	dissonans
tackled	anger	0.530	desteser kirin
renegade	anger	0.529	renegade
cantstandit	anger	0.529	nekaribim
trespass	anger	0.529	binpêkirin
hot	anger	0.529	germ
prison	anger	0.529	girtîgeh
suicide	anger	0.521	xwekûştinî
annoy	anger	0.520	xûlîkirin
leavemealone	anger	0.517	min tenê bihêle
cretins	anger	0.516	kretîn
depravity	anger	0.516	xiravbûn
idiotic	anger	0.516	dînî
dishonest	anger	0.516	nerast
distrust	anger	0.516	nebawerî
broil	anger	0.516	broil
grrr	anger	0.516	grrr
criticize	anger	0.516	rexnekirin
inimical	anger	0.516	dijminane
tortious	anger	0.516	tortious
prisoner	anger	0.516	girtî
treason	anger	0.516	îxanet
divorce	anger	0.516	telaqdanî
venting	anger	0.516	venting
duress	anger	0.516	zordarî
disrespectful	anger	0.516	bêhûrmet
poaching	anger	0.515	nêçîrê
scold	anger	0.515	xeberdan
poachers	anger	0.515	nêçîrvanan
pow	anger	0.515	pow
hangry	anger	0.515	birçî
argumentation	anger	0.515	argumentkirin
frustrating	anger	0.515	xemgîn
unkind	anger	0.515	nedost
roar	anger	0.515	roar
coercion	anger	0.515	zorê
unforgiving	anger	0.515	nebaxşandin
grump	anger	0.515	grump
bile	anger	0.515	bile
unleash	anger	0.515	vekin
chaos	anger	0.515	serobinî
victimized	anger	0.515	mexdûr kirin
jerks	anger	0.515	jerks
tussle	anger	0.514	tussle
bane	anger	0.511	bane
accusation	anger	0.510	gilî
enmity	anger	0.510	dijminatî
repudiation	anger	0.510	redkirin
banish	anger	0.509	jicihkirin
disfigured	anger	0.508	şikestî kirin
storm	anger	0.507	bahoz
crazy	anger	0.500	dîn
hammering	anger	0.500	çakûçkirin
defy	anger	0.500	defy
antithesis	anger	0.500	antîtez
scoff	anger	0.500	tinazên xwe
anguish	anger	0.500	tengahî
confined	anger	0.500	girtî
fear	anger	0.500	tirs
bout	anger	0.500	bout
unruly	anger	0.500	bêserûber
delusional	anger	0.500	delusional
obstruct	anger	0.500	pêşgirtin
possessed	anger	0.500	xwedî kirin
injustice	anger	0.500	neadaletî
fervor	anger	0.500	fervor
spear	anger	0.500	tîr
derision	anger	0.500	tinaz
intractable	anger	0.500	neçarî
reject	anger	0.500	refzkirin
dominate	anger	0.500	hûkûmkirin
ordeal	anger	0.500	ceribandin
banished	anger	0.500	sirgûn kirin
rejects	anger	0.500	red dike
shun	anger	0.500	dûrketin
brunt	anger	0.500	brunt
derogation	anger	0.500	derogation
frenzied	anger	0.500	frenzied
animus	anger	0.500	animus
suppression	anger	0.500	tepisandin
malpractice	anger	0.500	malpractice
brazen	anger	0.500	brazen
foaming	anger	0.500	kef kirin
disrupting	anger	0.500	têkbirin
nobodycares	anger	0.500	kes xem nake
patronising	anger	0.500	patronizing
getoveryourself	anger	0.495	xwe bigire
toughness	anger	0.492	dijwarî
stupidpeople	anger	0.492	mirovên bêaqil
madness	anger	0.491	dînbûn
sinful	anger	0.491	gûnehkarî
avarice	anger	0.490	hovîtî
oppress	anger	0.490	bindestkirin
cutting	anger	0.485	birrîn
anathema	anger	0.485	anatema
annoyed	anger	0.485	aciz kirin
dissident	anger	0.485	muxalif
demand	anger	0.485	xwestin
usurp	anger	0.485	zeft kirin
claw	anger	0.485	lep
alienate	anger	0.485	xerîbkirin
infraction	anger	0.485	binpêkirin
avenger	anger	0.485	avenger
revoke	anger	0.485	betal kirin
smuggler	anger	0.485	qaçaxçî
abolish	anger	0.485	rakirin
fricking	anger	0.485	fricking
stayaway	anger	0.485	dûr bikeve
pervert	anger	0.485	pervert
disservice	anger	0.485	bêxizmetî
disobedient	anger	0.485	asê
incest	anger	0.485	zewaca nav malbatê
complaint	anger	0.485	gilî
disapproved	anger	0.485	nepejirandin
inhuman	anger	0.485	nemirovî
mocking	anger	0.484	tinaz kirin
penalty	anger	0.484	ceza
renounce	anger	0.484	dev jê berde
restrain	anger	0.484	şûndegirtin
upheaval	anger	0.484	upheaval
deceit	anger	0.484	şaşkirinî
obnoxious	anger	0.484	acizker
imprisoned	anger	0.484	girtî
strained	anger	0.484	teng kirin
blame	anger	0.484	sûc
oust	anger	0.484	derxistin
litigious	anger	0.484	litigious
rivalry	anger	0.484	dijayetî
sucker	anger	0.484	mêjik
opposed	anger	0.484	dijberî kirin
thresh	anger	0.484	thresh
disgrace	anger	0.484	eyb
suspicious	anger	0.484	nebawer
turbulence	anger	0.483	serobinî
pound	anger	0.481	tan
coldness	anger	0.477	sarbûn
ungrateful	anger	0.472	nankor
stoopid	anger	0.471	stoopid
battalion	anger	0.471	tabûra
feudalism	anger	0.470	feodalîzmê
hostage	anger	0.470	rehîn
annoying	anger	0.470	hêrsane
dispossessed	anger	0.470	bêxwedî kirin
subversion	anger	0.470	binavêtin
friction	anger	0.470	hevketin
jealous	anger	0.470	beecok
adversity	anger	0.470	dijwarî
infidel	anger	0.470	nebawer
gall	anger	0.470	gall
accuser	anger	0.470	tawanbar
ram	anger	0.470	beran
armament	anger	0.470	çekkirî
thump	anger	0.469	thump
dislike	anger	0.469	hez nakin
steal	anger	0.469	dizîn
backoff	anger	0.469	paşvekişandin
stifled	anger	0.469	xeniqîn
incite	anger	0.469	lihevxistin
distress	anger	0.469	tûnebûnî
angermanagement	anger	0.469	angermanagement
selfish	anger	0.469	xwehez
injury	anger	0.469	birîn
exile	anger	0.469	sirgûnkirinî
