English Word	Emotion	Emotion-Intensity-Score	Sinhala Word
condemn	anger	0.825	හෙළා දකිනවා
riots	anger	0.824	කැරලි
demolish	anger	0.824	කඩා දමන්න
angry	anger	0.824	කෝපයෙන්
extermination	anger	0.824	සමූලඝාතනය
dickhead	anger	0.824	හිස
livid	anger	0.821	ලිවිඩ්
madman	anger	0.820	පිස්සෙක්
vindictive	anger	0.819	පළිගැනීමේ
terrorist	anger	0.818	ත්රස්තවාදී
threaten	anger	0.818	තර්ජනය
venomous	anger	0.818	විෂ සහිත
hateyou	anger	0.818	ඔයාට වෛර කරනවා
ferocity	anger	0.818	රුදුරුකම
effyou	anger	0.818	effy you
abhor	anger	0.816	පිළිකුල් කරනවා
carnage	anger	0.814	සංහාරය
savage	anger	0.814	ම්ලේච්ඡ
atrocity	anger	0.814	සාහසිකත්වය
fucksake	anger	0.812	මගුලක්
abuse	anger	0.812	අපයෙදුම්
fierce	anger	0.812	දරුණු
destroyer	anger	0.812	විනාශ කරන්නා
angrytweet	anger	0.812	තරහ ට්වීට්
barbaric	anger	0.812	ම්ලේච්ඡ
vendetta	anger	0.812	පළිගැනීම
pissesmeoff	anger	0.812	pissesmeoff
pissedoff	anger	0.812	යන්ට ගියා
tyrant	anger	0.812	කුරිරු
berserk	anger	0.812	බර්සර්ක්
fuming	anger	0.812	දුම් දමනවා
anger	anger	0.811	කෝපය
pieceofshit	anger	0.810	කෑල්ලක්
punched	anger	0.803	ගැහුවා
punching	anger	0.803	පහර දීම
slam	anger	0.803	slam
homicide	anger	0.803	මිනීමැරුම්
bitch	anger	0.803	බැල්ලිය
fights	anger	0.803	සටන් කරයි
ruthless	anger	0.797	නිර්දය
villainous	anger	0.797	දුෂ්ට
destructive	anger	0.797	විනාශකාරී
slap	anger	0.791	කම්මුල් පහර
riot	anger	0.788	කෝලාහල
growthefuckup	anger	0.788	වර්ධනය
punishing	anger	0.788	දඬුවම් කරනවා
slaughterhouse	anger	0.788	ඝාතකාගාරය
yelling	anger	0.788	කෑ ගහනවා
diabolical	anger	0.788	diabolical
destroyed	anger	0.788	විනාශ කළා
ragetweet	anger	0.788	ragetweet
retaliatory	anger	0.788	පළිගැනීමේ
manslaughter	anger	0.783	මනුෂ්ය ඝාතනය
clash	anger	0.783	ගැටෙනවා
quarrel	anger	0.781	දබරය
bloody	anger	0.781	ලේ වැකි
hellish	anger	0.781	අපායගාමී
sinister	anger	0.781	පව්කාර
loath	anger	0.781	පිළිකුල
detonation	anger	0.781	පිපිරවීම
accusing	anger	0.779	චෝදනා කරනවා
fumin	anger	0.779	fumin
hateeee	anger	0.779	hateeee
treacherous	anger	0.779	ද්රෝහී
madder	anger	0.773	පිස්සු
horrific	anger	0.773	බිහිසුණු
revulsion	anger	0.773	පිළිකුල
retaliate	anger	0.773	පළිගන්නවා
scorn	anger	0.769	ගරහනවා
bomb	anger	0.766	බෝම්බය
deplorable	anger	0.766	ශෝචනීයයි
devastation	anger	0.765	විනාශය
anarchist	anger	0.765	අරාජිකවාදී
firestorm	anger	0.765	ගිනි කුණාටුව
resent	anger	0.765	අමනාප වෙනවා
contemptible	anger	0.764	පිළිකුල් සහගතය
shittest	anger	0.760	shittest
rant	anger	0.758	රණ්ඩුව
cruel	anger	0.758	කුරිරු ය
deadly	anger	0.758	මාරාන්තික
smash	anger	0.758	පොඩි කරනවා
soangry	anger	0.758	ශෝකී
outburst	anger	0.757	පිපිරීම
snarl	anger	0.754	ගොරවනවා
profane	anger	0.750	අපවිත්ර
revolting	anger	0.750	කැරලි ගහනවා
aggravating	anger	0.750	උග්ර කරයි
horror	anger	0.750	භීෂණය
despise	anger	0.750	අවමන් කරනවා
offend	anger	0.750	අමනාප වෙනවා
stfu	anger	0.750	stfu
vulgarity	anger	0.750	අශිෂ්ටත්වය
crazed	anger	0.750	උමතු විය
douchebags	anger	0.750	douchebags
growling	anger	0.750	ගොරවනවා
dontmesswithme	anger	0.750	මාත් එක්ක එපා
screaming	anger	0.742	කෑගහනවා
threat	anger	0.742	තර්ජනයක්
erupt	anger	0.742	පුපුරා යයි
horrible	anger	0.742	බිහිසුණු
molestation	anger	0.742	අතවර කිරීම
fuckedoff	anger	0.742	කෙලෙව්වා
violence	anger	0.742	ප්රචණ්ඩත්වය
bastards	anger	0.741	අවජාතකයෝ
revenge	anger	0.738	පළිගැනීම
menacing	anger	0.735	තර්ජනාත්මකයි
crushing	anger	0.735	පොඩි කරනවා
damn	anger	0.735	අපොයි
catastrophe	anger	0.735	ව්යසනය
demon	anger	0.735	භූතයා
argue	anger	0.734	වාද කරනවා
persecute	anger	0.734	පීඩා කරනවා
deplore	anger	0.734	හෙළා දකිනවා
flog	anger	0.734	කොට්ටය
fedup	anger	0.734	එපා වෙලා
riotous	anger	0.734	කලහකාරී
vehement	anger	0.734	දැඩි
revolt	anger	0.734	කැරැල්ලක්
warfare	anger	0.734	යුද්ධ
thrash	anger	0.734	තැලීම
altercation	anger	0.729	ආරවුලක්
warlike	anger	0.728	යුධමය
shitday	anger	0.727	ජරාව
mutiny	anger	0.727	කැරැල්ල
castrate	anger	0.727	castrate
sabotage	anger	0.727	කඩාකප්පල් කිරීම
malevolent	anger	0.721	නපුරු
strike	anger	0.721	වර්ජනය
disaster	anger	0.721	ව්යසනය
disastrous	anger	0.720	විනාශකාරී
bastarding	anger	0.719	අවජාතක කිරීම
treachery	anger	0.719	ද්රෝහීත්වය
arseholes	anger	0.719	අවි සිදුරු
horseshit	anger	0.719	අශ්වයන්
slay	anger	0.719	වනසනවා
disdain	anger	0.719	පිළිකුල් කරනවා
aggravates	anger	0.719	උග්ර කරයි
brutal	anger	0.719	ම්ලේච්ඡ
scorching	anger	0.719	දැවෙන
devil	anger	0.719	යක්ෂයා
madden	anger	0.719	පිස්සු වැටිලා
spiteful	anger	0.719	ද්වේෂ සහගත
scream	anger	0.719	කෑගහනවා
choke	anger	0.719	හුස්ම හිර කරනවා
vermin	anger	0.719	පණුවන්
tumult	anger	0.719	කැළඹීම
criminal	anger	0.714	අපරාධ
mangle	anger	0.714	මැංගල්
anarchism	anger	0.714	අරාජිකවාදය
mutilation	anger	0.714	විකෘති කිරීම
denunciation	anger	0.713	හෙලාදැකීම
punch	anger	0.713	පන්ච්
virulence	anger	0.712	වයිරසය
fatal	anger	0.712	මාරාන්තික
hurting	anger	0.712	රිදෙනවා
crucifixion	anger	0.712	කුරුසියේ ඇණ ගැසීම
dontlikeyou	anger	0.712	ඔබ කැමති නැහැ
blasphemous	anger	0.712	අපහාස කරන
holocaust	anger	0.712	සමූලඝාතනය
dumbasses	anger	0.712	ගොළුවෝ
battled	anger	0.712	සටන් කළා
deranged	anger	0.706	විකෘති වෙලා
irritated	anger	0.706	කෝපයට පත් විය
atrocious	anger	0.706	සාහසික
evil	anger	0.706	නරකයි
aggravated	anger	0.703	උත්සන්න විය
intimidation	anger	0.703	බිය ගැන්වීම
dicks	anger	0.703	ඩික්ස්
assassin	anger	0.703	ඝාතකයා
scolding	anger	0.703	බනිනවා
persecution	anger	0.703	පීඩා
slayer	anger	0.703	ඝාතකයා
kidnap	anger	0.703	පැහැර ගැනීම
aggression	anger	0.702	ආක්රමණශීලීත්වය
armed	anger	0.700	සන්නද්ධ
battle	anger	0.697	සටන
poison	anger	0.697	වස
snarling	anger	0.697	ගොරවනවා
venom	anger	0.697	විෂ
disgruntled	anger	0.693	අතෘප්තිමත්
resentment	anger	0.691	අමනාපය
assailant	anger	0.691	ප්රහාරකයා
insidious	anger	0.691	කපටි
contemptuous	anger	0.690	අවඥා සහගත ය
lynch	anger	0.690	ලින්ච්
temper	anger	0.688	කෝපය
terrible	anger	0.688	භයානකයි
disparage	anger	0.688	අපකීර්තිය
lunatic	anger	0.688	උන්මත්තක
bully	anger	0.688	හිරිහැර කරන්නා
mad	anger	0.688	පිස්සු
makesmemad	anger	0.688	උමතු කරයි
infanticide	anger	0.688	ළදරු ඝාතනය
domination	anger	0.688	ආධිපත්යය
peeved	anger	0.688	කෝපයෙන්
imprisonment	anger	0.688	සිරගත කිරීම
curse	anger	0.688	සාප කරනවා
volatility	anger	0.687	අස්ථාවරත්වය
eradication	anger	0.685	මුලිනුපුටා දැමීම
eradicate	anger	0.682	මුලිනුපුටා දමන්න
tantrum	anger	0.682	tantrum
scoundrel	anger	0.682	නීචයා
devastate	anger	0.682	විනාශ කරනවා
aggressively	anger	0.680	ආක්රමණශීලී ලෙස
agitation	anger	0.680	උද්ඝෝෂණය
dictatorship	anger	0.676	ඒකාධිපතිත්වය
irritates	anger	0.676	කුපිත කරයි
profanity	anger	0.673	අසභ්ය වචන
shove	anger	0.672	තල්ලු කරන්න
nasty	anger	0.672	නපුරු
shot	anger	0.672	වෙඩි තැබුවා
cruelly	anger	0.672	කුරිරු ලෙස
shoot	anger	0.672	වෙඩි තියන්න
condemnation	anger	0.672	හෙළා දැකීම
crushed	anger	0.672	තලා
aggravation	anger	0.672	උග්රවීම
poisonous	anger	0.672	විෂ සහිත
egregious	anger	0.672	උදාසීන
crime	anger	0.672	අපරාධය
corrupting	anger	0.672	දූෂණය කරනවා
dastardly	anger	0.672	භයානක ලෙස
contempt	anger	0.672	අවඥාව
harmful	anger	0.672	හානිකර
expletive	anger	0.672	පැහැදිලි
wreak	anger	0.672	විනාශ කරනවා
maniac	anger	0.670	උන්මත්තකයෙක්
cutthroat	anger	0.667	කට්ට්රෝට්
enemy	anger	0.667	සතුරා
hit	anger	0.667	ගැහුවා
hateeveryone	anger	0.667	හැමෝටම වෛර කරනවා
eruption	anger	0.667	පුපුරා යාම
irritable	anger	0.667	කේන්ති යන
odious	anger	0.667	පිළිකුල් සහගත
shooting	anger	0.667	වෙඩි තැබීම
shout	anger	0.667	කෑ ගහනවා
aggressive	anger	0.667	ආක්රමණශීලී
kick	anger	0.667	පයින් ගහන්න
combat	anger	0.667	සටන්
fight	anger	0.667	සටන් කරනවා
punished	anger	0.662	දඬුවම් කළා
yell	anger	0.661	කෑගහනවා
ambush	anger	0.661	සැඟවී සිටීම
harass	anger	0.659	හිරිහැර කරනවා
malignant	anger	0.656	malignant
aggressor	anger	0.656	ආක්රමණිකයා
gore	anger	0.656	ගෝර්
destruction	anger	0.656	විනාශය
grudge	anger	0.656	අමනාපය
antichrist	anger	0.656	අන්තක්රිස්තුස්
incense	anger	0.656	සුවඳ දුම්
expel	anger	0.656	නෙරපා හරිනවා
cranky	anger	0.653	පිස්සු
slave	anger	0.652	වහලෙක්
reprisal	anger	0.652	පළිගැනීම
growl	anger	0.652	ගොරවනවා
animosity	anger	0.652	සතුරුකම
insurrection	anger	0.652	කැරැල්ල
clashing	anger	0.652	ගැටෙනවා
denounce	anger	0.652	හෙලා දකිනවා
offended	anger	0.652	අමනාප විය
spank	anger	0.652	spank
insulting	anger	0.652	අපහාස කරනවා
growls	anger	0.649	ගොරවනවා
executioner	anger	0.644	අලුගෝසුවා
twat	anger	0.644	twat
doomsday	anger	0.643	ලෝක විනාශය
obscenity	anger	0.641	අසභ්ය බව
accused	anger	0.641	චෝදනා කළා
feud	anger	0.641	ආරවුල
daemon	anger	0.641	ඩීමන්
havoc	anger	0.641	විනාශය
shackle	anger	0.641	විලංගු
inexcusable	anger	0.641	සමාව දිය නොහැකි
indignant	anger	0.641	කෝපයෙන්
grr	anger	0.641	grr
expulsion	anger	0.641	නෙරපා හැරීම
bombard	anger	0.641	බෝම්බ හෙලීම
spat	anger	0.641	කෙළ ගැසුවා
arson	anger	0.641	ගිනි තැබීම
reprimand	anger	0.641	තරවටු කරනවා
somad	anger	0.637	සෝමාඩ්
frustrated	anger	0.636	කලකිරීමෙන්
batter	anger	0.636	පිටි ගුලිය
kicking	anger	0.636	පයින් ගහනවා
anarchy	anger	0.636	අරාජිකත්වය
spanking	anger	0.636	ගහනවා
glaring	anger	0.636	දිලිසෙන
suicidal	anger	0.636	සියදිවි නසාගැනීම්
disgusting	anger	0.636	පිළිකුල් සහගතය
wound	anger	0.636	තුවාලය
hanging	anger	0.636	එල්ලෙනවා
poisoned	anger	0.636	විෂ සහිතයි
combatant	anger	0.636	සටන්කාමී
wrecked	anger	0.633	සුන්බුන් විය
inflict	anger	0.633	ඇති කරනවා
grievous	anger	0.632	දුක්ඛිත
prosecute	anger	0.630	නඩු පවරනවා
agitated	anger	0.630	කලබල විය
cheat	anger	0.630	වංචා කරනවා
swastika	anger	0.627	ස්වස්තික
injure	anger	0.625	තුවාල කරන්න
indict	anger	0.625	චෝදනා කරනවා
scourge	anger	0.625	වසංගතය
provocation	anger	0.625	කුපිත කිරීම
suffocation	anger	0.625	හුස්ම හිරවීම
strife	anger	0.625	ආරවුල්
raid	anger	0.625	වැටලීම
enslaved	anger	0.625	වහල්ලු
cursing	anger	0.625	සාප කරනවා
defamatory	anger	0.625	අපවාදාත්මක
harassing	anger	0.625	හිරිහැර කරනවා
thundering	anger	0.625	ගිගුරුම් දීම
betray	anger	0.625	පාවා දෙනවා
arsehole	anger	0.624	arsehole
theft	anger	0.621	සොරකම
insane	anger	0.621	උමතුයි
retaliation	anger	0.621	පළිගැනීම
irritate	anger	0.621	කුපිත කරන්න
deprivation	anger	0.621	අහිමි වීම
fiend	anger	0.621	දඩබ්බර
jerk	anger	0.621	විහිළුකාරයා
convict	anger	0.621	වරදකරු
cussed	anger	0.619	cussed
turmoil	anger	0.618	කැළඹීම
smack	anger	0.615	smack
retribution	anger	0.614	පළිගැනීම
rebellion	anger	0.609	කැරැල්ල
oppressor	anger	0.609	පීඩකයා
gang	anger	0.609	කල්ලිය
slavery	anger	0.609	වහල්භාවය
intolerable	anger	0.609	නොඉවසිය හැකි
adverse	anger	0.609	අහිතකර
injurious	anger	0.609	තුවාල
twats	anger	0.609	twats
collision	anger	0.609	ගැටීම
battery	anger	0.609	බැටරිය
bitterly	anger	0.609	තිත්තයි
antagonism	anger	0.609	විරුද්ධත්වය
irritability	anger	0.609	නුරුස්නා බව
disgraced	anger	0.608	අපකීර්තියට පත් විය
diatribe	anger	0.606	diatribe
asshole	anger	0.606	බූරුවා
blast	anger	0.606	පිපිරවීම
bombardment	anger	0.606	බෝම්බ හෙලීම
irks	anger	0.606	irks
ranting	anger	0.606	කෑගැසීම
revolution	anger	0.606	විප්ලවය
thug	anger	0.606	මැරයා
antagonistic	anger	0.606	විරුද්ධවාදී
irritating	anger	0.606	කුපිත කරයි
sickening	anger	0.606	ලෙඩ වෙනවා
discrimination	anger	0.606	වෙනස්කම් කිරීම
frustrate	anger	0.604	කලකිරෙනවා
insult	anger	0.603	අපහාස කරනවා
hurtful	anger	0.603	රිදවන
oppression	anger	0.603	පීඩනය
manipulation	anger	0.603	හැසිරවීම
tiredofit	anger	0.603	මහන්සියි
bigot	anger	0.603	අන්තවාදී
tension	anger	0.603	ආතතිය
disgust	anger	0.602	පිළිකුල
spite	anger	0.600	තිබියදීත්
intrusive	anger	0.598	ආක්රමණශීලී
harshness	anger	0.597	දැඩි බව
slur	anger	0.596	මඩ
tempest	anger	0.594	කුණාටුව
assail	anger	0.594	පහර දීම
bitterness	anger	0.594	තිත්තකම
morbidity	anger	0.594	රෝගාතුර වීම
casualty	anger	0.594	තුවාලකරු
puncture	anger	0.594	සිදුරු කිරීම
miserable	anger	0.594	කාලකන්නි
inferno	anger	0.594	අපාය
invasion	anger	0.594	ආක්රමණය
storming	anger	0.594	කුණාටුවක්
wretch	anger	0.594	කාලකන්නි
consternation	anger	0.592	වික්ෂිප්තභාවය
raving	anger	0.591	රාවණා කරනවා
forcibly	anger	0.591	බලහත්කාරයෙන්
guillotine	anger	0.591	ගිලොටින්
guilty	anger	0.591	වරදකරු
depraved	anger	0.591	දූෂිතයි
immoral	anger	0.591	දුරාචාරය
overpowering	anger	0.591	අධි බලැති
scare	anger	0.588	බය කරනවා
recalcitrant	anger	0.588	පසුගාමී
screwed	anger	0.588	ඉස්කුරුප්පු කරන ලදී
accursed	anger	0.588	ශාප ලත්
soannoyed	anger	0.588	ශෝකයට පත් විය
invader	anger	0.588	ආක්රමණිකයා
jealousy	anger	0.587	ඊර්ෂ්යාව
indignation	anger	0.587	කෝපය
vexed	anger	0.586	කෝපයට පත් විය
confront	anger	0.582	මුහුණ දෙනවා
brute	anger	0.581	තිරිසන්
throttle	anger	0.579	තෙරපුම
slut	anger	0.578	මුඩුක්කු
coup	anger	0.578	කුමන්ත්රණය
blaze	anger	0.578	ගිනි දැල්වීම
pillage	anger	0.578	කොල්ලකෑම
provoking	anger	0.578	කුපිත කිරීම
damage	anger	0.578	හානි
criminality	anger	0.578	අපරාධකාරීත්වය
shutup	anger	0.578	කට වහපන්
lash	anger	0.578	කස පහර
conflict	anger	0.578	ගැටුම
contentious	anger	0.578	මතභේදාත්මක
shutit	anger	0.578	shutit
wreck	anger	0.578	සුන්බුන්
defiant	anger	0.578	නොහොබිනා
butcher	anger	0.578	මස් වෙළෙන්දා
incarceration	anger	0.578	සිරගත කිරීම
revolver	anger	0.578	රිවෝල්වරය
bickering	anger	0.578	දබර කිරීම
yousuck	anger	0.578	යූ සක්
cancer	anger	0.577	පිළිකාවක්
discriminate	anger	0.576	වෙනස්කම් කරනවා
gun	anger	0.576	තුවක්කුව
frustration	anger	0.576	කලකිරීම
gory	anger	0.576	ගෝරි
pernicious	anger	0.576	විනාශකාරී
dontmess	anger	0.576	නොකැළඹීම
blasphemy	anger	0.576	අපහාස කිරීම
chaotic	anger	0.576	අවුල් සහගතයි
grope	anger	0.576	අතපත ගානවා
alienation	anger	0.576	විරසක වීම
disturbance	anger	0.576	කැළඹීම
condescension	anger	0.576	condescension
standoff	anger	0.576	ස්ථාවරය
discord	anger	0.576	අසමගිය
friggen	anger	0.575	friggen
sneer	anger	0.574	සමච්චල් කරන්න
death	anger	0.574	මරණ
lunacy	anger	0.574	පිස්සුව
scandalous	anger	0.574	අපකීර්තිමත්
oppressive	anger	0.574	පීඩාකාරී
jab	anger	0.574	ජබ්
cursed	anger	0.574	ශාප කළා
monstrosity	anger	0.574	රකුසා
shit	anger	0.573	ජරාව
disparaging	anger	0.571	අවමානයට ලක් කරනවා
slash	anger	0.571	කපා දමන්න
unfair	anger	0.571	අසාධාරණයි
gallows	anger	0.570	එල්ලුම් ගහ
escalate	anger	0.569	උත්සන්න වෙනවා
intolerant	anger	0.564	නොඉවසන
lawlessness	anger	0.563	අවනීතිය
beast	anger	0.562	මෘගයා
torpedo	anger	0.562	ටෝර්පිඩෝ
malign	anger	0.562	නරක
traitor	anger	0.562	ද්රෝහියා
frightful	anger	0.562	බියජනක
wrangling	anger	0.562	දබර කිරීම
slander	anger	0.562	මඩ ගහනවා
bellows	anger	0.562	සීනු
retards	anger	0.562	පසුගාමී
grouchy	anger	0.562	අශෝභන
derogatory	anger	0.562	නින්දා සහගත ය
bearish	anger	0.562	වලසුන්
invade	anger	0.562	ආක්‍රමණය කරනවා
perdition	anger	0.562	විනාශය
arghh	anger	0.562	arghh
dreadful	anger	0.562	භයානකයි
bluddy	anger	0.562	මඩ සහිත
deceived	anger	0.562	රැවටිලා
glare	anger	0.562	දිලිසීම
taunt	anger	0.562	සමච්චල් කරනවා
dissension	anger	0.561	විසංවාදය
cross	anger	0.561	හරස්
rave	anger	0.561	rave
grating	anger	0.561	දැලක
devastating	anger	0.561	විනාශකාරී
fits	anger	0.561	ගැලපෙනවා
jeopardize	anger	0.561	අනතුරේ
shatter	anger	0.561	සුනුවිසුනු කරන්න
idiots	anger	0.561	මෝඩයෝ
hurt	anger	0.561	රිදෙනවා
thief	anger	0.561	හොරා
uncontrollable	anger	0.561	පාලනය කළ නොහැකි
conflagration	anger	0.561	ගිනි දැල්වීම
betrayal	anger	0.561	පාවාදීම
banshee	anger	0.561	banshee
subjugation	anger	0.559	යටත් කිරීම
disturbed	anger	0.559	කලබල වෙලා
stomped	anger	0.557	පාගා දැම්මා
grab	anger	0.557	අල්ලා ගන්න
grievance	anger	0.556	දුක්ගැනවිලි
ticked	anger	0.556	ටික් කළා
masochism	anger	0.556	මැසොකිස්වාදය
defiance	anger	0.552	විරෝධය
blackmail	anger	0.550	බ්ලැක්මේල්
offensive	anger	0.549	ආක්රමණශීලී
decry	anger	0.548	අඬනවා
frustrates	anger	0.547	කලකිරීමට පත් කරයි
violation	anger	0.547	උල්ලංඝනය
confine	anger	0.547	සීමා කරන්න
misery	anger	0.547	කාලකන්නි
arghhhh	anger	0.547	arghhhh
disparity	anger	0.547	විෂමතාව
punishment	anger	0.547	දඬුවම්
rebel	anger	0.547	කැරලිකාර
preposterous	anger	0.547	විකාර සහගත
disgraceful	anger	0.547	නින්දිතයි
ire	anger	0.547	කෝපයෙන්
deceive	anger	0.547	රවටනවා
fustrated	anger	0.547	කලබල විය
sin	anger	0.547	පව්
shrill	anger	0.547	ශෝකී
darkside	anger	0.547	අදුරු පැත්ත
overbearing	anger	0.547	අධික ලෙස දරා සිටීම
firearms	anger	0.547	ගිනි අවි
stolen	anger	0.546	සොරකම් කළා
hadenough	anger	0.546	ප්රමාණවත් තරම්
prejudice	anger	0.545	අගතිය
tackle	anger	0.545	සටන් කරන්න
resentful	anger	0.545	අමනාපයි
heated	anger	0.545	රත් කර ඇත
callous	anger	0.545	නිර්දය
conspirator	anger	0.545	කුමන්ත්රණය කරන්නා
ruined	anger	0.545	විනාශ වී ඇත
antagonist	anger	0.545	විරුද්ධවාදියා
skirmish	anger	0.545	ගැටුමක්
menace	anger	0.545	උවදුර
annoyin	anger	0.545	කරදර කරනවා
foul	anger	0.545	වැරදියි
argument	anger	0.545	තර්කය
humiliate	anger	0.545	නින්දා කරති
wanker	anger	0.545	වන්කර්
adversary	anger	0.545	විරුද්ධවාදියා
sting	anger	0.544	දෂ්ට කරන්න
entangled	anger	0.544	පැටලී ඇත
grumble	anger	0.544	මැසිවිලි නඟනවා
robbery	anger	0.544	මංකොල්ලකෑම
outcry	anger	0.544	කෑගැසීම
resistance	anger	0.543	ප්රතිරෝධය
irreconcilable	anger	0.543	සම කළ නොහැකි
obstructive	anger	0.542	බාධාකාරී
dismay	anger	0.540	කලකිරීම
mob	anger	0.538	මැර කල්ලිය
juststop	anger	0.537	යන්තම් නවතින්න
badness	anger	0.536	නරක බව
ridicule	anger	0.534	සමච්චල් කරනවා
incendiary	anger	0.533	ගිනි අවුලුවන
flares	anger	0.532	ගිනිදැල්
twofaced	anger	0.531	ද්විත්ව මුහුණු
reckless	anger	0.531	නොසැලකිලිමත්
communism	anger	0.531	කොමියුනිස්ට්වාදය
allegation	anger	0.531	චෝදනාව
prejudicial	anger	0.531	අගතිගාමී
whip	anger	0.531	කස පහර
unbridled	anger	0.531	අසීමිත
degeneracy	anger	0.531	පරිහානිය
intruder	anger	0.531	අනවසරයෙන් ඇතුල් වන්නා
belittle	anger	0.531	පහත්
confinement	anger	0.531	සිරගත කිරීම
dispute	anger	0.531	ආරවුලක්
exacerbation	anger	0.531	උග්රවීම
uprising	anger	0.531	නැගිටීම
unjust	anger	0.530	අසාධාරණයි
unjustifiable	anger	0.530	සාධාරණීකරණය කළ නොහැකි
perversion	anger	0.530	විකෘතිය
bigoted	anger	0.530	මහා මතධාරී
fiesty	anger	0.530	දරුණු
offender	anger	0.530	වරදකරු
dictatorial	anger	0.530	ඒකාධිපති
hassle	anger	0.530	කරදර
dissonance	anger	0.530	අසමගිය
tackled	anger	0.530	මුහුණ දුන්නා
