English Word	Emotion	Emotion-Intensity-Score	Persian Word
malignant	anger	0.656	بدخیم
aggressor	anger	0.656	متجاوز
gore	anger	0.656	گور زدن
destruction	anger	0.656	تخریب
grudge	anger	0.656	کینه
antichrist	anger	0.656	دجال
incense	anger	0.656	بخور دادن
expel	anger	0.656	اخراج کردن
cranky	anger	0.653	لعنتی
slave	anger	0.652	برده
reprisal	anger	0.652	انتقام جویی
growl	anger	0.652	غرغر کردن
animosity	anger	0.652	خصومت
insurrection	anger	0.652	شورش
clashing	anger	0.652	درگیری
denounce	anger	0.652	محکوم کردن
offended	anger	0.652	توهین شده
spank	anger	0.652	زدن
insulting	anger	0.652	توهین آمیز
growls	anger	0.649	غرغر می کند
executioner	anger	0.644	جلاد
twat	anger	0.644	توات
doomsday	anger	0.643	روز قیامت
obscenity	anger	0.641	فحاشی
accused	anger	0.641	متهم
feud	anger	0.641	دشمنی
daemon	anger	0.641	اهریمن، دیو
havoc	anger	0.641	ویرانی
shackle	anger	0.641	غل و زنجیر
inexcusable	anger	0.641	غیر قابل توجیه
indignant	anger	0.641	خشمگین
grr	anger	0.641	grr
expulsion	anger	0.641	اخراج
bombard	anger	0.641	بمباران
spat	anger	0.641	تف
arson	anger	0.641	آتش زدن
reprimand	anger	0.641	توبیخ
somad	anger	0.637	سوماد
frustrated	anger	0.636	ناامید شده
batter	anger	0.636	خمیر
kicking	anger	0.636	لگد زدن
anarchy	anger	0.636	هرج و مرج
spanking	anger	0.636	کتک زدن
glaring	anger	0.636	خیره کننده
suicidal	anger	0.636	خودکشی
disgusting	anger	0.636	چندش آور
wound	anger	0.636	زخم
hanging	anger	0.636	حلق آویز کردن
poisoned	anger	0.636	مسموم شده
combatant	anger	0.636	رزمنده
wrecked	anger	0.633	ویران شده
inflict	anger	0.633	ایجاد کند
grievous	anger	0.632	دردناک
prosecute	anger	0.630	تحت تعقیب قرار دادن
agitated	anger	0.630	آشفته
cheat	anger	0.630	تقلب
swastika	anger	0.627	سواستیکا
injure	anger	0.625	زخمی کردن
indict	anger	0.625	کیفرخواست
scourge	anger	0.625	بلا
provocation	anger	0.625	تحریک
suffocation	anger	0.625	خفگی
strife	anger	0.625	نزاع
raid	anger	0.625	حمله
enslaved	anger	0.625	برده شده
cursing	anger	0.625	فحش دادن
defamatory	anger	0.625	افتراآمیز
harassing	anger	0.625	آزار دهنده
thundering	anger	0.625	رعد و برق
betray	anger	0.625	خیانت کردن
arsehole	anger	0.624	سنگ شکن
theft	anger	0.621	سرقت
insane	anger	0.621	مجنون
retaliation	anger	0.621	تلافی
irritate	anger	0.621	تحریک کردن
deprivation	anger	0.621	محرومیت
fiend	anger	0.621	شیطان
jerk	anger	0.621	تند و سریع
convict	anger	0.621	محکوم
cussed	anger	0.619	نفرین شده
turmoil	anger	0.618	آشفتگی
smack	anger	0.615	بو
retribution	anger	0.614	قصاص
rebellion	anger	0.609	شورش
oppressor	anger	0.609	ظالم
gang	anger	0.609	دسته
slavery	anger	0.609	برده داری
intolerable	anger	0.609	غير قابل تحمل
adverse	anger	0.609	نامطلوب
injurious	anger	0.609	آسیب رسان
twats	anger	0.609	توات ها
collision	anger	0.609	برخورد
battery	anger	0.609	باتری
bitterly	anger	0.609	به تلخی
antagonism	anger	0.609	تضاد
irritability	anger	0.609	تحریک پذیری
disgraced	anger	0.608	رسوا شد
diatribe	anger	0.606	انتقاد تند
asshole	anger	0.606	احمق
blast	anger	0.606	انفجار
bombardment	anger	0.606	بمباران
irks	anger	0.606	عصبانی می شود
ranting	anger	0.606	غرغر کردن
revolution	anger	0.606	انقلاب
thug	anger	0.606	اراذل و اوباش
antagonistic	anger	0.606	آنتاگونیست
irritating	anger	0.606	آزار دهنده
sickening	anger	0.606	بیمار کننده
discrimination	anger	0.606	تبعیض
frustrate	anger	0.604	ناامید کردن
insult	anger	0.603	توهین
hurtful	anger	0.603	آسیب زا
oppression	anger	0.603	ظلم
manipulation	anger	0.603	دستکاری - اعمال نفوذ
tiredofit	anger	0.603	خسته کننده
bigot	anger	0.603	متعصب
tension	anger	0.603	تنش
disgust	anger	0.602	انزجار
spite	anger	0.600	با وجود
intrusive	anger	0.598	سرزده
harshness	anger	0.597	سختی
slur	anger	0.596	توهین
tempest	anger	0.594	طوفان
assail	anger	0.594	حمله کردن
bitterness	anger	0.594	تلخی
morbidity	anger	0.594	بیماری
casualty	anger	0.594	سانحه، کشته
puncture	anger	0.594	پنچر شدن
miserable	anger	0.594	بدبخت
inferno	anger	0.594	دوزخ
invasion	anger	0.594	تهاجم
storming	anger	0.594	طوفان
wretch	anger	0.594	بدبخت
consternation	anger	0.592	حیرت
raving	anger	0.591	جسور
forcibly	anger	0.591	به زور
guillotine	anger	0.591	گیوتین
guilty	anger	0.591	گناهکار
depraved	anger	0.591	فاسد
immoral	anger	0.591	غیر اخلاقی
overpowering	anger	0.591	غلبه کننده
scare	anger	0.588	ترساندن
recalcitrant	anger	0.588	سرکش
screwed	anger	0.588	پیچ شده
accursed	anger	0.588	نفرین شده
soannoyed	anger	0.588	عصبانی
invader	anger	0.588	مهاجم
jealousy	anger	0.587	حسادت
indignation	anger	0.587	خشم
vexed	anger	0.586	مضطرب
confront	anger	0.582	مواجه شدن
brute	anger	0.581	بی رحم
throttle	anger	0.579	دریچه گاز
slut	anger	0.578	شلخته
coup	anger	0.578	کودتا
blaze	anger	0.578	آتش
pillage	anger	0.578	غارت
provoking	anger	0.578	تحریک کننده
damage	anger	0.578	خسارت
criminality	anger	0.578	جرم انگاری
shutup	anger	0.578	خفه شو
lash	anger	0.578	مژه
conflict	anger	0.578	تعارض
contentious	anger	0.578	مناقشه برانگیز
shutit	anger	0.578	ببندش
wreck	anger	0.578	خراب کردن
defiant	anger	0.578	متعصب
butcher	anger	0.578	قصاب
incarceration	anger	0.578	حبس
revolver	anger	0.578	هفت تیر
bickering	anger	0.578	دعوا کردن
yousuck	anger	0.578	داری
cancer	anger	0.577	سرطان
discriminate	anger	0.576	تبعیض قائل شدن
gun	anger	0.576	تفنگ
frustration	anger	0.576	نا امیدی
gory	anger	0.576	غمگین
pernicious	anger	0.576	مخرب
dontmess	anger	0.576	نگذاشتن
blasphemy	anger	0.576	توهین به مقدسات
chaotic	anger	0.576	بی نظم
grope	anger	0.576	دست زدن
alienation	anger	0.576	بیگانگی
disturbance	anger	0.576	اختلال
condescension	anger	0.576	اغماض
standoff	anger	0.576	بن بست
discord	anger	0.576	اختلاف
friggen	anger	0.575	فریگن
sneer	anger	0.574	تمسخر
death	anger	0.574	مرگ
lunacy	anger	0.574	دیوانگی
scandalous	anger	0.574	رسوایی
oppressive	anger	0.574	ظالم
jab	anger	0.574	ضربه زدن
cursed	anger	0.574	نفرین شده
monstrosity	anger	0.574	هیولا
shit	anger	0.573	لعنتی
disparaging	anger	0.571	تحقیر کننده
slash	anger	0.571	بریده بریده
unfair	anger	0.571	غیر منصفانه
gallows	anger	0.570	چوبه دار
escalate	anger	0.569	تشدید شود
intolerant	anger	0.564	بی تحمل
lawlessness	anger	0.563	بی قانونی
beast	anger	0.562	جانور
torpedo	anger	0.562	اژدر
malign	anger	0.562	بدخیم
traitor	anger	0.562	خائن
frightful	anger	0.562	ترسناک
wrangling	anger	0.562	دعوا کردن
slander	anger	0.562	تهمت زدن
bellows	anger	0.562	دم
retards	anger	0.562	عقب افتاده ها
grouchy	anger	0.562	باشکوه
derogatory	anger	0.562	تحقیر کننده
bearish	anger	0.562	نزولی
invade	anger	0.562	حمله کردن
perdition	anger	0.562	نابودی
arghh	anger	0.562	ارغ
dreadful	anger	0.562	وحشتناک
bluddy	anger	0.562	کثیف
deceived	anger	0.562	فریب خورده
glare	anger	0.562	تابش خیره کننده
taunt	anger	0.562	طعنه
dissension	anger	0.561	اختلاف
cross	anger	0.561	صلیب
rave	anger	0.561	دیوانه
grating	anger	0.561	رنده کردن
devastating	anger	0.561	ویرانگر
fits	anger	0.561	مناسب است
jeopardize	anger	0.561	به خطر اندازد
shatter	anger	0.561	خرد کردن
idiots	anger	0.561	احمق ها
hurt	anger	0.561	صدمه
thief	anger	0.561	دزد
uncontrollable	anger	0.561	غیر قابل کنترل
conflagration	anger	0.561	آتش سوزی
betrayal	anger	0.561	خیانت
banshee	anger	0.561	بانشی
subjugation	anger	0.559	انقیاد
disturbed	anger	0.559	مختل
stomped	anger	0.557	پا زدن
grab	anger	0.557	گرفتن
grievance	anger	0.556	شکایت
ticked	anger	0.556	تیک زده
masochism	anger	0.556	مازوخیسم
defiance	anger	0.552	سرپیچی
blackmail	anger	0.550	باج گیری
offensive	anger	0.549	توهین آمیز
decry	anger	0.548	فریاد زدن
frustrates	anger	0.547	ناامید می کند
violation	anger	0.547	نقض
confine	anger	0.547	محدود کردن
misery	anger	0.547	بدبختی
arghhhh	anger	0.547	ارغههه
disparity	anger	0.547	نابرابری
punishment	anger	0.547	مجازات
rebel	anger	0.547	شورشی
preposterous	anger	0.547	مضحک
disgraceful	anger	0.547	شرم آور
ire	anger	0.547	خشم
deceive	anger	0.547	فریب دادن
fustrated	anger	0.547	سرخورده
sin	anger	0.547	گناه
shrill	anger	0.547	تیز
darkside	anger	0.547	تاریکی
overbearing	anger	0.547	مغلوب
firearms	anger	0.547	سلاح گرم
stolen	anger	0.546	به سرقت رفته
hadenough	anger	0.546	به اندازه کافی
prejudice	anger	0.545	تعصب
tackle	anger	0.545	برخورد با
resentful	anger	0.545	دلخور
heated	anger	0.545	گرم شده است
callous	anger	0.545	بی احساس
conspirator	anger	0.545	توطئه گر
ruined	anger	0.545	خراب
antagonist	anger	0.545	آنتاگونیست
skirmish	anger	0.545	تکان خوردن
menace	anger	0.545	تهدید
annoyin	anger	0.545	مزاحم
foul	anger	0.545	ناپاک
argument	anger	0.545	بحث و جدل
humiliate	anger	0.545	تحقیر کردن
wanker	anger	0.545	سرگردان
adversary	anger	0.545	حریف
sting	anger	0.544	نیش
entangled	anger	0.544	گرفتار
grumble	anger	0.544	غر زدن
robbery	anger	0.544	سرقت
outcry	anger	0.544	فریاد زدن
resistance	anger	0.543	مقاومت
irreconcilable	anger	0.543	آشتی ناپذیر
obstructive	anger	0.542	انسدادی
dismay	anger	0.540	ناراحتی
mob	anger	0.538	اوباش
juststop	anger	0.537	فقط بس کن
badness	anger	0.536	بدی
ridicule	anger	0.534	تمسخر
incendiary	anger	0.533	آتش زا
flares	anger	0.532	شراره
twofaced	anger	0.531	دو رو
reckless	anger	0.531	بی پروا
communism	anger	0.531	کمونیسم
allegation	anger	0.531	ادعا
prejudicial	anger	0.531	پیش داوری
whip	anger	0.531	شلاق زدن
unbridled	anger	0.531	افسار گسیخته
degeneracy	anger	0.531	انحطاط
intruder	anger	0.531	مزاحم
belittle	anger	0.531	تحقیر کردن
confinement	anger	0.531	حصر
dispute	anger	0.531	اختلاف نظر
exacerbation	anger	0.531	تشدید
uprising	anger	0.531	قیام
unjust	anger	0.530	ناعادلانه
unjustifiable	anger	0.530	غیر قابل توجیه
perversion	anger	0.530	انحراف
bigoted	anger	0.530	متعصب
fiesty	anger	0.530	آتشین
offender	anger	0.530	مجرم
dictatorial	anger	0.530	دیکتاتوری
hassle	anger	0.530	عذاب، عذاب دادن
dissonance	anger	0.530	ناهماهنگی
tackled	anger	0.530	برخورد کرد
renegade	anger	0.529	مرتد
cantstandit	anger	0.529	نمیتونم تحمل کنم
trespass	anger	0.529	تجاوز
hot	anger	0.529	داغ
prison	anger	0.529	زندان
suicide	anger	0.521	خودکشی کردن
annoy	anger	0.520	آزار دادن
leavemealone	anger	0.517	دست از سرم بردار
cretins	anger	0.516	کرتین ها
depravity	anger	0.516	تباهی
idiotic	anger	0.516	احمق
dishonest	anger	0.516	متقلب
distrust	anger	0.516	بی اعتمادی
broil	anger	0.516	کبابی
grrr	anger	0.516	grrr
criticize	anger	0.516	انتقاد کنید
inimical	anger	0.516	خصمانه
tortious	anger	0.516	عذاب آور
prisoner	anger	0.516	زندانی
treason	anger	0.516	خیانت
divorce	anger	0.516	طلاق
venting	anger	0.516	هواگیری
duress	anger	0.516	اجبار
disrespectful	anger	0.516	بی احترامی
poaching	anger	0.515	شکار غیرقانونی
scold	anger	0.515	سرزنش کردن
poachers	anger	0.515	شکارچیان غیرقانونی
pow	anger	0.515	قدرت
hangry	anger	0.515	گرسنه
argumentation	anger	0.515	استدلال
frustrating	anger	0.515	خسته کننده، اذیت کننده
unkind	anger	0.515	نامهربان
roar	anger	0.515	غرش
coercion	anger	0.515	اجبار
unforgiving	anger	0.515	نابخشودنی
grump	anger	0.515	غرغر کردن
bile	anger	0.515	صفرا
unleash	anger	0.515	رها کردن
chaos	anger	0.515	آشوب
victimized	anger	0.515	قربانی شده است
jerks	anger	0.515	تکان ها
tussle	anger	0.514	کشمکش
bane	anger	0.511	نابودی
accusation	anger	0.510	اتهام
enmity	anger	0.510	دشمنی
repudiation	anger	0.510	انکار
banish	anger	0.509	تبعید کردن
disfigured	anger	0.508	مسخ شده
storm	anger	0.507	طوفان
crazy	anger	0.500	دیوانه
hammering	anger	0.500	چکش زدن
defy	anger	0.500	سرپیچی کردن
antithesis	anger	0.500	آنتی تز
scoff	anger	0.500	تمسخر
anguish	anger	0.500	غم و اندوه
confined	anger	0.500	محدود
fear	anger	0.500	ترس
bout	anger	0.500	مبارزه
unruly	anger	0.500	یاغی، سرکش
delusional	anger	0.500	متوهم
obstruct	anger	0.500	مانع
possessed	anger	0.500	مجذوب
injustice	anger	0.500	بی عدالتی
fervor	anger	0.500	غیرت
spear	anger	0.500	نیزه
derision	anger	0.500	تمسخر
intractable	anger	0.500	رام نشدنی
reject	anger	0.500	رد کردن
dominate	anger	0.500	تسلط داشتن
ordeal	anger	0.500	مصیبت
banished	anger	0.500	تبعید شد
rejects	anger	0.500	رد می کند
shun	anger	0.500	اجتناب کنید
brunt	anger	0.500	ضربه
derogation	anger	0.500	انحراف
frenzied	anger	0.500	دیوانه شده
animus	anger	0.500	آنیموس
suppression	anger	0.500	سرکوب
malpractice	anger	0.500	سوء عمل
brazen	anger	0.500	گستاخ
foaming	anger	0.500	کف کردن
disrupting	anger	0.500	مختل کردن
nobodycares	anger	0.500	هیچکس اهمیت نمیدهد
patronising	anger	0.500	حامی
getoveryourself	anger	0.495	خودت را رها کن
toughness	anger	0.492	سختی
stupidpeople	anger	0.492	مردم احمق
madness	anger	0.491	جنون
sinful	anger	0.491	گناهکار
avarice	anger	0.490	جسارت
oppress	anger	0.490	ظلم کردن
cutting	anger	0.485	برش دادن
anathema	anger	0.485	آناتما
annoyed	anger	0.485	اذیت شده
dissident	anger	0.485	مخالف
demand	anger	0.485	تقاضا
usurp	anger	0.485	غصب کردن
claw	anger	0.485	پنجه
alienate	anger	0.485	بیگانه کردن
infraction	anger	0.485	تخلف
avenger	anger	0.485	انتقام جو
revoke	anger	0.485	لغو
smuggler	anger	0.485	قاچاقچی
abolish	anger	0.485	لغو کند
fricking	anger	0.485	کوبیدن
stayaway	anger	0.485	دور بایست
pervert	anger	0.485	منحرف
disservice	anger	0.485	زیان آور
disobedient	anger	0.485	نافرمان
incest	anger	0.485	محارم
complaint	anger	0.485	شکایت
disapproved	anger	0.485	مورد تایید قرار نگرفت
inhuman	anger	0.485	غیر انسانی
mocking	anger	0.484	مسخره
penalty	anger	0.484	پنالتی
renounce	anger	0.484	صرف نظر کردن
restrain	anger	0.484	مهار کردن
