English Word	Emotion	Emotion-Intensity-Score	Hebrew Word
sickening	anger	0.606	מַבְחִיל
discrimination	anger	0.606	אַפלָיָה
frustrate	anger	0.604	לְסַכֵּל
insult	anger	0.603	לְהַעֲלִיב
hurtful	anger	0.603	פּוֹגֵעַ
oppression	anger	0.603	עוֹשֶׁק
manipulation	anger	0.603	מָנִיפּוּלָצִיָה
tiredofit	anger	0.603	tiredofit
bigot	anger	0.603	קנאי
tension	anger	0.603	מתח
disgust	anger	0.602	גועל
spite	anger	0.600	לְהַכעִיס
intrusive	anger	0.598	פולשני
harshness	anger	0.597	גַסוּת
slur	anger	0.596	הַשׁמָצָה
tempest	anger	0.594	סְעָרָה
assail	anger	0.594	לִתְקוֹף
bitterness	anger	0.594	מְרִירוּת
morbidity	anger	0.594	תחלואה
casualty	anger	0.594	נִפגָע
puncture	anger	0.594	נֶקֶר
miserable	anger	0.594	אוּמלָל
inferno	anger	0.594	תוֹפֶת
invasion	anger	0.594	פְּלִישָׁה
storming	anger	0.594	גוֹעֵשׁ
wretch	anger	0.594	עלוב
consternation	anger	0.592	תַדְהֵמָה
raving	anger	0.591	מִשׁתוֹלֵל
forcibly	anger	0.591	בְּכֹחַ
guillotine	anger	0.591	מַעֲרֶפֶת
guilty	anger	0.591	אָשֵׁם
depraved	anger	0.591	מושחת
immoral	anger	0.591	לֹא מוּסָרִי
overpowering	anger	0.591	מְהַמֵם
scare	anger	0.588	לְהַפחִיד
recalcitrant	anger	0.588	סָרְבָנִי
screwed	anger	0.588	דָפוּק
accursed	anger	0.588	אָרוּר
soannoyed	anger	0.588	כל כך מעוצבנת
invader	anger	0.588	פּוֹלֵשׁ
jealousy	anger	0.587	קנאה
indignation	anger	0.587	כַּעַס
vexed	anger	0.586	עצבני
confront	anger	0.582	לְהִתְעַמֵת
brute	anger	0.581	פְּרָאִי
throttle	anger	0.579	מַצעֶרֶת
slut	anger	0.578	זוֹנָה
coup	anger	0.578	צַעַד מַפתִיעַ
blaze	anger	0.578	לֶהָבָה
pillage	anger	0.578	לִבזוֹז
provoking	anger	0.578	מעורר
damage	anger	0.578	נֵזֶק
criminality	anger	0.578	עבריינות
shutup	anger	0.578	שתוק
lash	anger	0.578	לְהַצְלִיף
conflict	anger	0.578	סְתִירָה
contentious	anger	0.578	שנוי במחלוקת
shutit	anger	0.578	סתום
wreck	anger	0.578	לַהֲרוֹס
defiant	anger	0.578	מתריס
butcher	anger	0.578	קַצָב
incarceration	anger	0.578	כְּלִיאָה
revolver	anger	0.578	אֶקדָח תוּפִּי
bickering	anger	0.578	ריב
yousuck	anger	0.578	אתה גרוע
cancer	anger	0.577	סרטן
discriminate	anger	0.576	לְהָפלוֹת
gun	anger	0.576	אֶקְדָח
frustration	anger	0.576	תסכול
gory	anger	0.576	מְכוּסֶה בָּדָם
pernicious	anger	0.576	מַמְאִיר
dontmess	anger	0.576	לא להתעסק
blasphemy	anger	0.576	חִלוּל הַשֵׁם
chaotic	anger	0.576	תוהו ובוהו
grope	anger	0.576	לְגַשֵׁשׁ
alienation	anger	0.576	הִתנַכְּרוּת
disturbance	anger	0.576	הפרעה
condescension	anger	0.576	התנשאות
standoff	anger	0.576	תֵיקוּ
discord	anger	0.576	מַחֲלוֹקֶת
friggen	anger	0.575	פריגן
sneer	anger	0.574	ללעוג
death	anger	0.574	מוות
lunacy	anger	0.574	סַהֲרוּרִיוּת
scandalous	anger	0.574	שערורייתי
oppressive	anger	0.574	מֵעִיק
jab	anger	0.574	דְקִירָה
cursed	anger	0.574	קילל את
monstrosity	anger	0.574	מִפלֶצֶת
shit	anger	0.573	לְחַרְבֵּן
disparaging	anger	0.571	מזלזל
slash	anger	0.571	קו נטוי
unfair	anger	0.571	לֹא הוֹגֶן
gallows	anger	0.570	גַרדוֹם
escalate	anger	0.569	לְהַסלִים
intolerant	anger	0.564	לֹא סוֹבלָנִי
lawlessness	anger	0.563	הֶפקֵרוּת
beast	anger	0.562	חַיָה
torpedo	anger	0.562	לְטַרפֵּד
malign	anger	0.562	לְהַשְׁמִיץ
traitor	anger	0.562	בּוֹגֵד
frightful	anger	0.562	מַפְחִיד
wrangling	anger	0.562	התנצחות
slander	anger	0.562	לָשׁוֹן הָרַע
bellows	anger	0.562	מַפּוּחַ
retards	anger	0.562	מפגרים
grouchy	anger	0.562	רוֹטְנָנִי
derogatory	anger	0.562	פּוֹגֵעַ
bearish	anger	0.562	דוּבִּי
invade	anger	0.562	לִפְלוֹשׁ
perdition	anger	0.562	אֲבַדוֹן
arghh	anger	0.562	ארגח
dreadful	anger	0.562	אָיוֹם
bluddy	anger	0.562	בלדי
deceived	anger	0.562	מְרוּמֶה
glare	anger	0.562	מַבָּט נוֹקֵב
taunt	anger	0.562	לְהִתְגַרוֹת
dissension	anger	0.561	מַחֲלוֹקֶת
cross	anger	0.561	לַחֲצוֹת
rave	anger	0.561	לְהִשְׁתוֹלֵל
grating	anger	0.561	סָרִיג
devastating	anger	0.561	הרסני
fits	anger	0.561	מתאים
jeopardize	anger	0.561	לְסַכֵּן
shatter	anger	0.561	לְנַפֵּץ
idiots	anger	0.561	אידיוטים
hurt	anger	0.561	כאב
thief	anger	0.561	גַנָב
uncontrollable	anger	0.561	בלתי נשלט
conflagration	anger	0.561	תַבעֵרָה
betrayal	anger	0.561	בְּגִידָה
banshee	anger	0.561	בנשי
subjugation	anger	0.559	שִׁעבּוּד
disturbed	anger	0.559	מוטרד
stomped	anger	0.557	רקע
grab	anger	0.557	לִתְפּוֹס
grievance	anger	0.556	תְלוּנָה
ticked	anger	0.556	תיקתק
masochism	anger	0.556	מָזוֹכִיזם
defiance	anger	0.552	הִתנַגְדוּת
blackmail	anger	0.550	לִסְחוֹט
offensive	anger	0.549	הֶתקֵפִי
decry	anger	0.548	לִזַלזֵל
frustrates	anger	0.547	מתסכל
violation	anger	0.547	הֲפָרָה
confine	anger	0.547	להגביל
misery	anger	0.547	אומללות
arghhhh	anger	0.547	ארגחחח
disparity	anger	0.547	פַּעַר
punishment	anger	0.547	עֲנִישָׁה
rebel	anger	0.547	לִמְרוֹד
preposterous	anger	0.547	מְגוּחָך
disgraceful	anger	0.547	מַחְפִּיר
ire	anger	0.547	כַּעַס
deceive	anger	0.547	להטעות
fustrated	anger	0.547	מבולבל
sin	anger	0.547	חטא
shrill	anger	0.547	צַרחָנִי
darkside	anger	0.547	צד אפל
overbearing	anger	0.547	שַׁחְצָן
firearms	anger	0.547	כלי נשק
stolen	anger	0.546	גָנוּב
hadenough	anger	0.546	היה לי מספיק
prejudice	anger	0.545	דעה קדומה
tackle	anger	0.545	לְהִתְמוֹדֵד
resentful	anger	0.545	מִתרַעֵם
heated	anger	0.545	מְחוּמָם
callous	anger	0.545	קָשׁוּחַ
conspirator	anger	0.545	קוֹשֵׁר
ruined	anger	0.545	הָרוּס
antagonist	anger	0.545	יָרִיב
skirmish	anger	0.545	הִתנַגְשׁוּת
menace	anger	0.545	אִיוּם
annoyin	anger	0.545	מעצבן
foul	anger	0.545	מְגוּנֶה
argument	anger	0.545	טַעֲנָה
humiliate	anger	0.545	לְהַשְׁפִּיל
wanker	anger	0.545	מטומטם
adversary	anger	0.545	יָרִיב
sting	anger	0.544	לַעֲקוֹץ
entangled	anger	0.544	סָבוּך
grumble	anger	0.544	לִרְטוֹן
robbery	anger	0.544	שׁוֹד
outcry	anger	0.544	זְעָקָה
resistance	anger	0.543	הִתנַגְדוּת
irreconcilable	anger	0.543	בִּלתִי מִתפַּשֵׁר
obstructive	anger	0.542	סוֹתֵם
dismay	anger	0.540	תַדְהֵמָה
mob	anger	0.538	הָמוֹן
juststop	anger	0.537	פשוט עצור
badness	anger	0.536	רוֹע
ridicule	anger	0.534	לַעַג
incendiary	anger	0.533	מַבעִיר
flares	anger	0.532	התלקחויות
twofaced	anger	0.531	דו פרצופי
reckless	anger	0.531	לֹא זָהִיר
communism	anger	0.531	קוֹמוּנִיזם
allegation	anger	0.531	האשמה
prejudicial	anger	0.531	פּוֹגֵעַ
whip	anger	0.531	שׁוֹט
unbridled	anger	0.531	לֹא מְרוּסָן
degeneracy	anger	0.531	ניוון
intruder	anger	0.531	פּוֹלֵשׁ
belittle	anger	0.531	לִזַלזֵל בְּעֵרכּוֹ
confinement	anger	0.531	כליאה
dispute	anger	0.531	מַחֲלוֹקֶת
exacerbation	anger	0.531	הַחרָפָה
uprising	anger	0.531	מֶרֶד
unjust	anger	0.530	לֹא צוֹדֵק
unjustifiable	anger	0.530	בלתי מוצדק
perversion	anger	0.530	סְטִיָה
bigoted	anger	0.530	צר - אופקים
fiesty	anger	0.530	חגיגי
offender	anger	0.530	עבריין
dictatorial	anger	0.530	רוֹדָנִי
hassle	anger	0.530	טִרחָה
dissonance	anger	0.530	צרימה
tackled	anger	0.530	התמודד
renegade	anger	0.529	עָרִיק
cantstandit	anger	0.529	לא יכול לעמוד
trespass	anger	0.529	הַסָגַת גְבוּל
hot	anger	0.529	חַם
prison	anger	0.529	בית כלא
suicide	anger	0.521	הִתאַבְּדוּת
annoy	anger	0.520	לְהַרְגִיז
leavemealone	anger	0.517	עזוב אותי לבד
cretins	anger	0.516	קרטינים
depravity	anger	0.516	שְׁחִיתוּת
idiotic	anger	0.516	אִידיוֹטִי
dishonest	anger	0.516	לֹא יָשָׁר
distrust	anger	0.516	חוסר אמון
broil	anger	0.516	לִצְלוֹת
grrr	anger	0.516	grrr
criticize	anger	0.516	לְבַקֵר
inimical	anger	0.516	עוֹיֵן
tortious	anger	0.516	עוולות
prisoner	anger	0.516	אָסִיר
treason	anger	0.516	בגידה
divorce	anger	0.516	לְהִתְגַרֵשׁ
venting	anger	0.516	פורקן
duress	anger	0.516	לַחַץ
disrespectful	anger	0.516	חסר כבוד
poaching	anger	0.515	ציד
scold	anger	0.515	לִנְזוֹף
poachers	anger	0.515	ציידים
pow	anger	0.515	פאו
hangry	anger	0.515	תלוי
argumentation	anger	0.515	הַנמָקָה
frustrating	anger	0.515	מתסכל
unkind	anger	0.515	לא נדיב
