English Word	Emotion	Emotion-Intensity-Score	German Word
extermination	anger	0.824	Vernichtung
dickhead	anger	0.824	Dickkopf
livid	anger	0.821	wütend
madman	anger	0.820	Verrückter
vindictive	anger	0.819	rachsüchtig
terrorist	anger	0.818	Terrorist
threaten	anger	0.818	drohen
venomous	anger	0.818	giftig
hateyou	anger	0.818	ich hasse dich
ferocity	anger	0.818	Wildheit
effyou	anger	0.818	effdu
abhor	anger	0.816	verabscheuen
carnage	anger	0.814	Blutbad
savage	anger	0.814	wild
atrocity	anger	0.814	Grausamkeit
fucksake	anger	0.812	Verdammt noch mal
abuse	anger	0.812	Missbrauch
fierce	anger	0.812	erbittert
destroyer	anger	0.812	Zerstörer
angrytweet	anger	0.812	wütender Tweet
barbaric	anger	0.812	barbarisch
vendetta	anger	0.812	Vendetta
pissesmeoff	anger	0.812	pissesmeoff
pissedoff	anger	0.812	verärgert
tyrant	anger	0.812	Tyrann
berserk	anger	0.812	Berserker
fuming	anger	0.812	rauchend
anger	anger	0.811	Wut
pieceofshit	anger	0.810	Stück Scheiße
punched	anger	0.803	gestanzt
punching	anger	0.803	Stanzen
slam	anger	0.803	zuschlagen
homicide	anger	0.803	Tötung
bitch	anger	0.803	Hündin
fights	anger	0.803	kämpft
ruthless	anger	0.797	rücksichtslos
villainous	anger	0.797	schurkisch
destructive	anger	0.797	destruktiv
slap	anger	0.791	schlagen
riot	anger	0.788	Aufstand
growthefuckup	anger	0.788	Wachstumsfuckup
punishing	anger	0.788	bestrafen
slaughterhouse	anger	0.788	Schlachthof
yelling	anger	0.788	Geschrei
diabolical	anger	0.788	teuflisch
destroyed	anger	0.788	zerstört
ragetweet	anger	0.788	Wuttweet
retaliatory	anger	0.788	Vergeltung
manslaughter	anger	0.783	Totschlag
clash	anger	0.783	Zusammenstoß
quarrel	anger	0.781	Streit
bloody	anger	0.781	blutig
hellish	anger	0.781	höllisch
sinister	anger	0.781	unheimlich
loath	anger	0.781	abgeneigt
detonation	anger	0.781	Detonation
accusing	anger	0.779	anklagend
fumin	anger	0.779	rauchen
hateeee	anger	0.779	hasse
treacherous	anger	0.779	heimtückisch
madder	anger	0.773	Krapp
horrific	anger	0.773	entsetzlich
revulsion	anger	0.773	Abscheu
retaliate	anger	0.773	zurückschlagen
scorn	anger	0.769	Verachtung
bomb	anger	0.766	Bombe
deplorable	anger	0.766	bedauerlich
devastation	anger	0.765	Verwüstung
anarchist	anger	0.765	Anarchist
firestorm	anger	0.765	Feuersturm
resent	anger	0.765	übelnehmen
contemptible	anger	0.764	verächtlich
shittest	anger	0.760	beschissen
rant	anger	0.758	schimpfen
cruel	anger	0.758	grausam
deadly	anger	0.758	tötlich
smash	anger	0.758	zerschlagen
soangry	anger	0.758	so wütend
outburst	anger	0.757	Ausbruch
snarl	anger	0.754	Knurren
profane	anger	0.750	entweihen
revolting	anger	0.750	abstoßend
aggravating	anger	0.750	erschwerend
horror	anger	0.750	Grusel
despise	anger	0.750	verachten
offend	anger	0.750	beleidigen
stfu	anger	0.750	stfu
vulgarity	anger	0.750	Vulgarität
crazed	anger	0.750	verrückt
douchebags	anger	0.750	Dummköpfe
growling	anger	0.750	Knurren
dontmesswithme	anger	0.750	Leg dich nicht mit mir an
screaming	anger	0.742	schreiend
threat	anger	0.742	Drohung
erupt	anger	0.742	ausbrechen
horrible	anger	0.742	entsetzlich
molestation	anger	0.742	Belästigung
fuckedoff	anger	0.742	abgefuckt
violence	anger	0.742	Gewalt
bastards	anger	0.741	Bastarde
revenge	anger	0.738	Rache
menacing	anger	0.735	bedrohlich
crushing	anger	0.735	zermalmen
damn	anger	0.735	verdammt
catastrophe	anger	0.735	Katastrophe
demon	anger	0.735	Dämon
argue	anger	0.734	streiten
persecute	anger	0.734	verfolgen
deplore	anger	0.734	bedauern
flog	anger	0.734	prügeln
fedup	anger	0.734	satt
riotous	anger	0.734	aufrührerisch
vehement	anger	0.734	vehement
revolt	anger	0.734	Revolte
warfare	anger	0.734	Krieg
thrash	anger	0.734	Prügeln
altercation	anger	0.729	Auseinandersetzung
warlike	anger	0.728	kriegerisch
shitday	anger	0.727	Scheißtag
mutiny	anger	0.727	Meuterei
castrate	anger	0.727	kastrieren
sabotage	anger	0.727	Sabotage
malevolent	anger	0.721	bösartig
strike	anger	0.721	schlagen
disaster	anger	0.721	Katastrophe
disastrous	anger	0.720	katastrophal
bastarding	anger	0.719	bastardieren
treachery	anger	0.719	Verrat
arseholes	anger	0.719	Arschlöcher
horseshit	anger	0.719	Pferdescheiße
slay	anger	0.719	erschlagen
disdain	anger	0.719	Verachtung
aggravates	anger	0.719	verschlimmert
brutal	anger	0.719	brutal
scorching	anger	0.719	sengend
devil	anger	0.719	Teufel
madden	anger	0.719	verrückt machen
spiteful	anger	0.719	boshaft
scream	anger	0.719	Schrei
choke	anger	0.719	Drossel
vermin	anger	0.719	Ungeziefer
tumult	anger	0.719	Tumult
criminal	anger	0.714	kriminell
mangle	anger	0.714	Mangel
anarchism	anger	0.714	Anarchismus
mutilation	anger	0.714	Verstümmelung
denunciation	anger	0.713	Denunziation
punch	anger	0.713	schlagen
virulence	anger	0.712	Virulenz
fatal	anger	0.712	tödlich
hurting	anger	0.712	verletzt
crucifixion	anger	0.712	Kreuzigung
dontlikeyou	anger	0.712	mag dich nicht
blasphemous	anger	0.712	blasphemisch
holocaust	anger	0.712	Holocaust
dumbasses	anger	0.712	Dummköpfe
battled	anger	0.712	gekämpft
deranged	anger	0.706	geistesgestört
irritated	anger	0.706	irritiert
atrocious	anger	0.706	scheußlich
evil	anger	0.706	teuflisch
aggravated	anger	0.703	verschärft
intimidation	anger	0.703	Einschüchterung
dicks	anger	0.703	Schwänze
assassin	anger	0.703	Attentäter
scolding	anger	0.703	Schelte
persecution	anger	0.703	Verfolgung
slayer	anger	0.703	Jägerin
kidnap	anger	0.703	entführen
aggression	anger	0.702	Aggression
armed	anger	0.700	bewaffnet
battle	anger	0.697	Schlacht
poison	anger	0.697	Gift
snarling	anger	0.697	Knurren
venom	anger	0.697	Gift
disgruntled	anger	0.693	verärgert
resentment	anger	0.691	Ressentiment
assailant	anger	0.691	Angreifer
insidious	anger	0.691	heimtückisch
contemptuous	anger	0.690	verächtlich
lynch	anger	0.690	lynchen
temper	anger	0.688	Temperament
terrible	anger	0.688	abscheulich
disparage	anger	0.688	verunglimpfen
lunatic	anger	0.688	verrückt
bully	anger	0.688	drangsalieren
mad	anger	0.688	wütend
makesmemad	anger	0.688	macht mich wütend
infanticide	anger	0.688	Kindestötung
domination	anger	0.688	Herrschaft
peeved	anger	0.688	verärgert
imprisonment	anger	0.688	Haft
curse	anger	0.688	Fluch
volatility	anger	0.687	Volatilität
eradication	anger	0.685	Ausrottung
eradicate	anger	0.682	ausrotten
tantrum	anger	0.682	Wutanfall
scoundrel	anger	0.682	Schurke
devastate	anger	0.682	verwüsten
aggressively	anger	0.680	aggressiv
agitation	anger	0.680	Agitation
dictatorship	anger	0.676	Diktatur
irritates	anger	0.676	irritiert
profanity	anger	0.673	Profanität
shove	anger	0.672	schieben
nasty	anger	0.672	böse
shot	anger	0.672	Schuss
cruelly	anger	0.672	grausam
shoot	anger	0.672	schießen
condemnation	anger	0.672	Verurteilung
crushed	anger	0.672	zerquetscht
aggravation	anger	0.672	Verschlimmerung
poisonous	anger	0.672	giftig
egregious	anger	0.672	ungeheuerlich
crime	anger	0.672	Verbrechen
corrupting	anger	0.672	korrumpieren
dastardly	anger	0.672	heimtückisch
contempt	anger	0.672	Verachtung
harmful	anger	0.672	schädlich
expletive	anger	0.672	Kraftausdruck
wreak	anger	0.672	anrichten
maniac	anger	0.670	wahnsinnig
cutthroat	anger	0.667	Halsabschneider
enemy	anger	0.667	Feind
hit	anger	0.667	Schlag
hateeveryone	anger	0.667	jeden hassen
eruption	anger	0.667	Eruption
irritable	anger	0.667	reizbar
odious	anger	0.667	abscheulich
shooting	anger	0.667	Schießen
shout	anger	0.667	schreien
aggressive	anger	0.667	aggressiv
kick	anger	0.667	trete
combat	anger	0.667	Kampf
fight	anger	0.667	Kampf
punished	anger	0.662	bestraft
yell	anger	0.661	Schrei
ambush	anger	0.661	Hinterhalt
harass	anger	0.659	belästigen
malignant	anger	0.656	maligne
aggressor	anger	0.656	Aggressor
gore	anger	0.656	Blut
destruction	anger	0.656	Zerstörung
grudge	anger	0.656	Groll
antichrist	anger	0.656	Antichrist
incense	anger	0.656	Weihrauch
expel	anger	0.656	vertreiben
cranky	anger	0.653	verschroben
slave	anger	0.652	Sklave
reprisal	anger	0.652	Repressalie
growl	anger	0.652	knurren
animosity	anger	0.652	Feindseligkeit
insurrection	anger	0.652	Aufruhr
clashing	anger	0.652	kollidieren
denounce	anger	0.652	anprangern
offended	anger	0.652	beleidigt
spank	anger	0.652	versohlen
insulting	anger	0.652	beleidigend
growls	anger	0.649	knurrt
executioner	anger	0.644	Henker
twat	anger	0.644	Möse
doomsday	anger	0.643	Weltuntergang
obscenity	anger	0.641	Obszönität
accused	anger	0.641	beschuldigt
feud	anger	0.641	Fehde
daemon	anger	0.641	Dämon
havoc	anger	0.641	Verwüstung
shackle	anger	0.641	Schäkel
inexcusable	anger	0.641	unentschuldbar
indignant	anger	0.641	empört
grr	anger	0.641	grr
expulsion	anger	0.641	Vertreibung
bombard	anger	0.641	bombardieren
spat	anger	0.641	spuckte
arson	anger	0.641	Brandstiftung
reprimand	anger	0.641	Verweis
somad	anger	0.637	so wütend
frustrated	anger	0.636	frustriert
batter	anger	0.636	Teig
kicking	anger	0.636	treten
anarchy	anger	0.636	Anarchie
spanking	anger	0.636	verprügeln
glaring	anger	0.636	grell
suicidal	anger	0.636	lebensmüde
disgusting	anger	0.636	widerlich
wound	anger	0.636	Wunde
hanging	anger	0.636	hängend
poisoned	anger	0.636	vergiftet
combatant	anger	0.636	Kämpfer
wrecked	anger	0.633	zerstört
inflict	anger	0.633	zufügen
grievous	anger	0.632	schmerzlich
prosecute	anger	0.630	verfolgen
agitated	anger	0.630	agitiert
cheat	anger	0.630	schummeln
swastika	anger	0.627	Hakenkreuz
injure	anger	0.625	verletzen
indict	anger	0.625	anklagen
scourge	anger	0.625	Geißel
provocation	anger	0.625	Provokation
suffocation	anger	0.625	Erstickung
strife	anger	0.625	Streit
raid	anger	0.625	überfallen
enslaved	anger	0.625	versklavt
cursing	anger	0.625	fluchen
defamatory	anger	0.625	verleumderisch
harassing	anger	0.625	belästigen
thundering	anger	0.625	donnernd
betray	anger	0.625	betrügen
arsehole	anger	0.624	Arschloch
theft	anger	0.621	der Diebstahl
insane	anger	0.621	wahnsinnig
retaliation	anger	0.621	Vergeltung
irritate	anger	0.621	reizen
deprivation	anger	0.621	Entbehrung
fiend	anger	0.621	Teufel
jerk	anger	0.621	Ruck
convict	anger	0.621	Sträfling
cussed	anger	0.619	verflucht
turmoil	anger	0.618	Aufruhr
smack	anger	0.615	klatschen
retribution	anger	0.614	Vergeltung
rebellion	anger	0.609	Rebellion
oppressor	anger	0.609	Unterdrücker
gang	anger	0.609	Gang
slavery	anger	0.609	Sklaverei
intolerable	anger	0.609	unerträglich
adverse	anger	0.609	nachteilig
injurious	anger	0.609	schädlich
twats	anger	0.609	Fotzen
collision	anger	0.609	Kollision
battery	anger	0.609	Batterie
bitterly	anger	0.609	bitterlich
antagonism	anger	0.609	Antagonismus
irritability	anger	0.609	Reizbarkeit
disgraced	anger	0.608	beschämt
diatribe	anger	0.606	Schmährede
asshole	anger	0.606	Arschloch
blast	anger	0.606	sprengen
bombardment	anger	0.606	Bombardierung
irks	anger	0.606	Ärger
ranting	anger	0.606	schimpfen
revolution	anger	0.606	Revolution
thug	anger	0.606	Schurke
antagonistic	anger	0.606	antagonistisch
irritating	anger	0.606	irritierend
sickening	anger	0.606	widerlich
discrimination	anger	0.606	Diskriminierung
frustrate	anger	0.604	vereiteln
insult	anger	0.603	Beleidigung
hurtful	anger	0.603	verletzend
oppression	anger	0.603	Unterdrückung
manipulation	anger	0.603	Manipulation
tiredofit	anger	0.603	müde davon
bigot	anger	0.603	Frömmler
tension	anger	0.603	Spannung
disgust	anger	0.602	der Ekel
spite	anger	0.600	Trotz
intrusive	anger	0.598	aufdringlich
harshness	anger	0.597	Härte
slur	anger	0.596	Bogen
tempest	anger	0.594	Sturm
assail	anger	0.594	angreifen
bitterness	anger	0.594	Bitterkeit
morbidity	anger	0.594	Morbidität
casualty	anger	0.594	Unfall
puncture	anger	0.594	Punktion
miserable	anger	0.594	miserabel
inferno	anger	0.594	Inferno
invasion	anger	0.594	Invasion
storming	anger	0.594	stürmen
wretch	anger	0.594	Elend
consternation	anger	0.592	Bestürzung
raving	anger	0.591	schwärmen
forcibly	anger	0.591	gewaltsam
guillotine	anger	0.591	Guillotine
guilty	anger	0.591	schuldig
depraved	anger	0.591	verdorben
immoral	anger	0.591	unmoralisch
overpowering	anger	0.591	überwältigend
scare	anger	0.588	Schrecken
recalcitrant	anger	0.588	widerspenstig
screwed	anger	0.588	aufgeschmissen
accursed	anger	0.588	verflucht
soannoyed	anger	0.588	so genervt
invader	anger	0.588	Eindringling
jealousy	anger	0.587	Eifersucht
indignation	anger	0.587	Empörung
vexed	anger	0.586	verärgert
confront	anger	0.582	konfrontieren
brute	anger	0.581	brutal
throttle	anger	0.579	Gaspedal
slut	anger	0.578	Schlampe
coup	anger	0.578	Coup
blaze	anger	0.578	lodern
pillage	anger	0.578	plündern
provoking	anger	0.578	provozierend
damage	anger	0.578	Schaden
criminality	anger	0.578	Kriminalität
shutup	anger	0.578	den Mund halten
lash	anger	0.578	Peitsche
conflict	anger	0.578	Konflikt
contentious	anger	0.578	umstritten
shutit	anger	0.578	schalten Sie es
wreck	anger	0.578	Wrack
defiant	anger	0.578	trotzig
butcher	anger	0.578	Metzger
incarceration	anger	0.578	Inhaftierung
revolver	anger	0.578	Revolver
bickering	anger	0.578	Gezänk
yousuck	anger	0.578	du gehtst mir auf die Nerven
cancer	anger	0.577	Krebs
discriminate	anger	0.576	diskriminieren
gun	anger	0.576	Pistole
frustration	anger	0.576	Frustration
gory	anger	0.576	blutig
pernicious	anger	0.576	schädlich
dontmess	anger	0.576	nicht verwirren
blasphemy	anger	0.576	Blasphemie
chaotic	anger	0.576	chaotisch
grope	anger	0.576	tasten
alienation	anger	0.576	Entfremdung
disturbance	anger	0.576	Störung
condescension	anger	0.576	Herablassung
standoff	anger	0.576	Abstand
discord	anger	0.576	Zwietracht
friggen	anger	0.575	friggen
sneer	anger	0.574	spotten
death	anger	0.574	Tod
lunacy	anger	0.574	Wahnsinn
scandalous	anger	0.574	skandalös
oppressive	anger	0.574	bedrückend
jab	anger	0.574	Jab
cursed	anger	0.574	verflucht
monstrosity	anger	0.574	Ungeheuerlichkeit
shit	anger	0.573	Scheisse
disparaging	anger	0.571	abwertend
slash	anger	0.571	Schrägstrich
unfair	anger	0.571	unfair
gallows	anger	0.570	Galgen
escalate	anger	0.569	eskalieren
intolerant	anger	0.564	intolerant
lawlessness	anger	0.563	Gesetzlosigkeit
beast	anger	0.562	Tier
torpedo	anger	0.562	Torpedo
malign	anger	0.562	verleumden
traitor	anger	0.562	Verräter
frightful	anger	0.562	schrecklich
wrangling	anger	0.562	Gerangel
slander	anger	0.562	Verleumdung
bellows	anger	0.562	Balg
retards	anger	0.562	verzögert
grouchy	anger	0.562	mürrisch
derogatory	anger	0.562	abwertend
bearish	anger	0.562	bärisch
invade	anger	0.562	einfallen
perdition	anger	0.562	Verderben
arghh	anger	0.562	argh
dreadful	anger	0.562	furchtbar
bluddy	anger	0.562	blöd
deceived	anger	0.562	betrogen
glare	anger	0.562	Blendung
taunt	anger	0.562	Spott
dissension	anger	0.561	Uneinigkeit
cross	anger	0.561	Kreuz
rave	anger	0.561	Rave
grating	anger	0.561	Gitter
devastating	anger	0.561	zerstörerisch
fits	anger	0.561	passt
jeopardize	anger	0.561	gefährden
shatter	anger	0.561	zerschmettern
idiots	anger	0.561	Idioten
hurt	anger	0.561	Schmerz
thief	anger	0.561	Dieb
uncontrollable	anger	0.561	unkontrollierbar
conflagration	anger	0.561	Feuersbrunst
betrayal	anger	0.561	Verrat
banshee	anger	0.561	Banshee
subjugation	anger	0.559	Unterwerfung
disturbed	anger	0.559	gestört
stomped	anger	0.557	stampfte
grab	anger	0.557	greifen
grievance	anger	0.556	Beschwerde
ticked	anger	0.556	angekreuzt
masochism	anger	0.556	Masochismus
defiance	anger	0.552	Trotz
blackmail	anger	0.550	Bestechung
offensive	anger	0.549	beleidigend
decry	anger	0.548	verurteilen
frustrates	anger	0.547	frustriert
violation	anger	0.547	Verstoß
confine	anger	0.547	beschränken
misery	anger	0.547	Elend
arghhhh	anger	0.547	arghhhh
disparity	anger	0.547	Ungleichheit
punishment	anger	0.547	Bestrafung
rebel	anger	0.547	Rebell
preposterous	anger	0.547	absurd
disgraceful	anger	0.547	schändlich
ire	anger	0.547	Zorn
deceive	anger	0.547	täuschen
fustrated	anger	0.547	frustriert
sin	anger	0.547	Sünde
shrill	anger	0.547	schrillen
darkside	anger	0.547	dunkle Seite
overbearing	anger	0.547	anmaßend
firearms	anger	0.547	Feuerarme
stolen	anger	0.546	gestohlen
hadenough	anger	0.546	hatten genug
prejudice	anger	0.545	Vorurteil
tackle	anger	0.545	angehen
resentful	anger	0.545	nachtragend
heated	anger	0.545	erhitzt
callous	anger	0.545	gefühllos
conspirator	anger	0.545	Verschwörer
ruined	anger	0.545	ruiniert
antagonist	anger	0.545	Gegner
skirmish	anger	0.545	Scharmützel
menace	anger	0.545	Bedrohung
annoyin	anger	0.545	ärgerlich
foul	anger	0.545	Foul
argument	anger	0.545	Streit
humiliate	anger	0.545	demütigen
wanker	anger	0.545	Wichser
adversary	anger	0.545	Gegner
sting	anger	0.544	Stachel
entangled	anger	0.544	verstrickt
grumble	anger	0.544	murren
robbery	anger	0.544	Raub
outcry	anger	0.544	Aufschrei
resistance	anger	0.543	Widerstand
irreconcilable	anger	0.543	unvereinbar
obstructive	anger	0.542	hinderlich
dismay	anger	0.540	Bestürzung
mob	anger	0.538	Mob
juststop	anger	0.537	Hör einfach auf
badness	anger	0.536	Schlechtigkeit
ridicule	anger	0.534	Spott
incendiary	anger	0.533	Brandstiftung
flares	anger	0.532	Fackeln
twofaced	anger	0.531	zweiseitig
reckless	anger	0.531	rücksichtslos
communism	anger	0.531	Kommunismus
allegation	anger	0.531	Behauptung
prejudicial	anger	0.531	nachteilig
whip	anger	0.531	Peitsche
unbridled	anger	0.531	ungezügelt
degeneracy	anger	0.531	Entartung
intruder	anger	0.531	Eindringling
belittle	anger	0.531	schmälern
confinement	anger	0.531	Gefangenschaft
dispute	anger	0.531	Disput
exacerbation	anger	0.531	Verschlimmerung
uprising	anger	0.531	Aufstand
unjust	anger	0.530	ungerecht
unjustifiable	anger	0.530	nicht zu rechtfertigen
perversion	anger	0.530	Perversion
bigoted	anger	0.530	bigott
fiesty	anger	0.530	fies
offender	anger	0.530	Täter
dictatorial	anger	0.530	diktatorisch
hassle	anger	0.530	Ärger
dissonance	anger	0.530	Dissonanz
tackled	anger	0.530	angegangen
renegade	anger	0.529	abtrünnig
cantstandit	anger	0.529	kann es nicht ertragen
trespass	anger	0.529	Hausfriedensbruch
hot	anger	0.529	heiß
prison	anger	0.529	Gefängnis
suicide	anger	0.521	Selbstmord
annoy	anger	0.520	Nerven
leavemealone	anger	0.517	Lass mich alleine
cretins	anger	0.516	Kretins
depravity	anger	0.516	Verderbtheit
idiotic	anger	0.516	idiotisch
dishonest	anger	0.516	unehrlich
distrust	anger	0.516	Misstrauen
broil	anger	0.516	grillen
grrr	anger	0.516	grrr
criticize	anger	0.516	kritisieren
inimical	anger	0.516	feindlich
tortious	anger	0.516	gewunden
prisoner	anger	0.516	Häftling
treason	anger	0.516	Verrat
divorce	anger	0.516	Scheidung
venting	anger	0.516	Entlüften
duress	anger	0.516	Zwang
disrespectful	anger	0.516	respektlos
poaching	anger	0.515	Wilderei
scold	anger	0.515	schelten
poachers	anger	0.515	Wilderer
pow	anger	0.515	pow
hangry	anger	0.515	hängend
argumentation	anger	0.515	Argumentation
frustrating	anger	0.515	frustrierend
unkind	anger	0.515	unfreundlich
roar	anger	0.515	brüllen
coercion	anger	0.515	Zwang
unforgiving	anger	0.515	unversöhnlich
grump	anger	0.515	grummeln
bile	anger	0.515	Galle
unleash	anger	0.515	entfesseln
chaos	anger	0.515	Chaos
victimized	anger	0.515	schikaniert
jerks	anger	0.515	Idioten
tussle	anger	0.514	Kampf
bane	anger	0.511	Fluch
accusation	anger	0.510	Anklage
enmity	anger	0.510	Feindschaft
repudiation	anger	0.510	Zurückweisung
banish	anger	0.509	verbannen
disfigured	anger	0.508	entstellt
storm	anger	0.507	Sturm
crazy	anger	0.500	verrückt
hammering	anger	0.500	Hämmern
defy	anger	0.500	trotzen
antithesis	anger	0.500	Antithese
scoff	anger	0.500	spotten
anguish	anger	0.500	Pein
confined	anger	0.500	beschränkt
fear	anger	0.500	Furcht
bout	anger	0.500	Kampf
unruly	anger	0.500	widerspenstig
delusional	anger	0.500	wahnhaft
obstruct	anger	0.500	behindern
possessed	anger	0.500	besessen
injustice	anger	0.500	Ungerechtigkeit
fervor	anger	0.500	Inbrunst
spear	anger	0.500	Speer
derision	anger	0.500	Spott
intractable	anger	0.500	unlösbar
reject	anger	0.500	ablehnen
dominate	anger	0.500	dominieren
ordeal	anger	0.500	Tortur
banished	anger	0.500	verbannt
rejects	anger	0.500	lehnt ab
shun	anger	0.500	meiden
brunt	anger	0.500	Hauptlast
derogation	anger	0.500	Abweichung
frenzied	anger	0.500	rasend
animus	anger	0.500	Animus
suppression	anger	0.500	Unterdrückung
malpractice	anger	0.500	Fehlverhalten
brazen	anger	0.500	dreist
foaming	anger	0.500	schäumen
disrupting	anger	0.500	störend
nobodycares	anger	0.500	Niemanden interessierts
patronising	anger	0.500	bevormundend
getoveryourself	anger	0.495	überwinde dich
toughness	anger	0.492	Zähigkeit
stupidpeople	anger	0.492	dumme Leute
madness	anger	0.491	Wahnsinn
sinful	anger	0.491	sündig
avarice	anger	0.490	Habsucht
oppress	anger	0.490	unterdrücken
cutting	anger	0.485	Schneiden
anathema	anger	0.485	Anathema
annoyed	anger	0.485	verärgert
dissident	anger	0.485	Dissident
demand	anger	0.485	fordern
usurp	anger	0.485	usurpieren
claw	anger	0.485	Klaue
alienate	anger	0.485	entfremden
infraction	anger	0.485	Verstoß
avenger	anger	0.485	Rächer
revoke	anger	0.485	widerrufen
smuggler	anger	0.485	Schmuggler
abolish	anger	0.485	abschaffen
fricking	anger	0.485	verdammt
stayaway	anger	0.485	Bleib weg
pervert	anger	0.485	pervers
disservice	anger	0.485	Bärendienst
disobedient	anger	0.485	ungehorsam
incest	anger	0.485	Inzest
complaint	anger	0.485	Beschwerde
disapproved	anger	0.485	abgelehnt
inhuman	anger	0.485	unmenschlich
mocking	anger	0.484	Verspottung
penalty	anger	0.484	Strafe
renounce	anger	0.484	verzichten
restrain	anger	0.484	zurückhalten
upheaval	anger	0.484	Umbruch
deceit	anger	0.484	Täuschung
obnoxious	anger	0.484	unausstehlich
imprisoned	anger	0.484	eingesperrt
strained	anger	0.484	angespannt
blame	anger	0.484	Schuld
oust	anger	0.484	verdrängen
litigious	anger	0.484	streitig
rivalry	anger	0.484	Rivalität
sucker	anger	0.484	Saugnapf
opposed	anger	0.484	entgegen
thresh	anger	0.484	dreschen
disgrace	anger	0.484	Schande
suspicious	anger	0.484	verdächtig
turbulence	anger	0.483	Turbulenz
pound	anger	0.481	Pfund
coldness	anger	0.477	Kälte
ungrateful	anger	0.472	undankbar
stoopid	anger	0.471	dumm
battalion	anger	0.471	Bataillon
feudalism	anger	0.470	Feudalismus
hostage	anger	0.470	Geisel
annoying	anger	0.470	ärgerlich
dispossessed	anger	0.470	enteignet
subversion	anger	0.470	Subversion
friction	anger	0.470	Reibung
jealous	anger	0.470	neidisch
adversity	anger	0.470	Unglück
infidel	anger	0.470	ungläubig
gall	anger	0.470	Galle
accuser	anger	0.470	Ankläger
ram	anger	0.470	RAM
