English Word	Emotion	Emotion-Intensity-Score	Turkish Word
loathsome	anger	0.857	iğrenç
hell	anger	0.853	cehennem
murderous	anger	0.853	öldürücü
attack	anger	0.853	saldırı
malice	anger	0.852	kötülük
terrorism	anger	0.851	terörizm
beating	anger	0.849	dayak
outrage	anger	0.848	öfke
desecration	anger	0.848	hürmetsizlik
pissingmeoff	anger	0.848	sinirlendirmek
destroying	anger	0.844	yok etmek
slaughter	anger	0.844	Katliam
irate	anger	0.844	kızgın
violent	anger	0.844	şiddetli
stab	anger	0.844	bıçaklamak
abomination	anger	0.844	iğrenç
tumultuous	anger	0.844	çalkantılı
infuriate	anger	0.844	çileden çıkarmak
obliterate	anger	0.843	yok etmek
belligerent	anger	0.841	kavgacı
dumbbitch	anger	0.841	aptal
detest	anger	0.838	nefret etmek
hostilities	anger	0.837	düşmanlıklar
prick	anger	0.835	dikmek
rampage	anger	0.833	öfke
horrid	anger	0.833	korkunç
cruelty	anger	0.833	zulüm
torture	anger	0.833	işkence
rabid	anger	0.833	kuduz
despicable	anger	0.828	aşağılık
tyrannical	anger	0.828	zalim
demonic	anger	0.828	şeytani
satanic	anger	0.828	şeytani
hate	anger	0.828	nefret
ragemode	anger	0.828	öfke modu
hating	anger	0.828	nefret
ruinous	anger	0.825	yıkıcı
condemn	anger	0.825	kınamak
riots	anger	0.824	isyanlar
demolish	anger	0.824	yıkmak
angry	anger	0.824	sinirli
extermination	anger	0.824	imha
dickhead	anger	0.824	sik kafalı
livid	anger	0.821	mosmor
madman	anger	0.820	deli
vindictive	anger	0.819	kinci
terrorist	anger	0.818	terörist
threaten	anger	0.818	tehdit etmek
venomous	anger	0.818	zehirli
hateyou	anger	0.818	Senden nefret ediyorum
ferocity	anger	0.818	gaddarlık
effyou	anger	0.818	Efsun
abhor	anger	0.816	iğrenmek
carnage	anger	0.814	katliam
savage	anger	0.814	vahşi
atrocity	anger	0.814	vahşet
fucksake	anger	0.812	sikişmek
abuse	anger	0.812	taciz
fierce	anger	0.812	sert
destroyer	anger	0.812	yok edici
angrytweet	anger	0.812	kızgın tweet
barbaric	anger	0.812	barbarca
vendetta	anger	0.812	kan davası
pissesmeoff	anger	0.812	beni kızdırıyor
pissedoff	anger	0.812	kızgın
tyrant	anger	0.812	zorba
berserk	anger	0.812	çılgın
fuming	anger	0.812	dumanlı
anger	anger	0.811	kızgınlık
pieceofshit	anger	0.810	parça parça
punched	anger	0.803	zımbalanmış
punching	anger	0.803	delme
slam	anger	0.803	çarpmak
homicide	anger	0.803	cinayet
bitch	anger	0.803	orospu
fights	anger	0.803	kavgalar
ruthless	anger	0.797	acımasız
villainous	anger	0.797	hain
destructive	anger	0.797	yıkıcı
slap	anger	0.791	tokat
riot	anger	0.788	isyan
growthefuckup	anger	0.788	büyümek
punishing	anger	0.788	cezalandırmak
slaughterhouse	anger	0.788	kesimhane
yelling	anger	0.788	bağırmak
diabolical	anger	0.788	şeytani
destroyed	anger	0.788	yerlebir edilmiş
ragetweet	anger	0.788	öfkeli surat
retaliatory	anger	0.788	misilleme
manslaughter	anger	0.783	adam öldürme
clash	anger	0.783	çarpışma
quarrel	anger	0.781	kavga
bloody	anger	0.781	kanlı
hellish	anger	0.781	cehennem gibi
sinister	anger	0.781	uğursuz
loath	anger	0.781	nefret
detonation	anger	0.781	patlama
accusing	anger	0.779	suçlamak
fumin	anger	0.779	fümin
hateeee	anger	0.779	nefret
treacherous	anger	0.779	hain
madder	anger	0.773	daha çılgın
horrific	anger	0.773	korkunç
revulsion	anger	0.773	tiksinti
retaliate	anger	0.773	misilleme yapmak
scorn	anger	0.769	aşağılamak
bomb	anger	0.766	bomba
deplorable	anger	0.766	içler acısı
devastation	anger	0.765	yıkım
anarchist	anger	0.765	anarşist
firestorm	anger	0.765	ateş fırtınası
resent	anger	0.765	Yeniden gönderilen
contemptible	anger	0.764	aşağılık
shittest	anger	0.760	en boktan
rant	anger	0.758	rant
cruel	anger	0.758	zalim
deadly	anger	0.758	ölümcül
smash	anger	0.758	paramparça etmek
soangry	anger	0.758	çok kızgın
outburst	anger	0.757	patlama
snarl	anger	0.754	hırlamak
profane	anger	0.750	saygısız
revolting	anger	0.750	isyankar
aggravating	anger	0.750	ağırlaştırıcı
horror	anger	0.750	korku
despise	anger	0.750	tiksinmek
offend	anger	0.750	gücendirmek
stfu	anger	0.750	stfu
vulgarity	anger	0.750	bayağılık
crazed	anger	0.750	çılgın
douchebags	anger	0.750	douchebags
growling	anger	0.750	hırıltı
dontmesswithme	anger	0.750	benimle uğraşma
screaming	anger	0.742	bağıran
threat	anger	0.742	tehdit
erupt	anger	0.742	patlamak
horrible	anger	0.742	berbat
molestation	anger	0.742	sarkıntılık
fuckedoff	anger	0.742	sikişmek
violence	anger	0.742	şiddet
bastards	anger	0.741	piçler
revenge	anger	0.738	intikam
menacing	anger	0.735	tehditkar
crushing	anger	0.735	ezici
damn	anger	0.735	lanet etmek
catastrophe	anger	0.735	felaket
demon	anger	0.735	iblis
argue	anger	0.734	tartışmak
persecute	anger	0.734	zulmetmek
deplore	anger	0.734	üzülmek
flog	anger	0.734	kırbaç
fedup	anger	0.734	bıkmak
riotous	anger	0.734	isyankar
vehement	anger	0.734	şiddetli
revolt	anger	0.734	isyan
warfare	anger	0.734	savaş
thrash	anger	0.734	çöp
altercation	anger	0.729	tartışma
warlike	anger	0.728	savaşçı
shitday	anger	0.727	boktan gün
mutiny	anger	0.727	isyan
castrate	anger	0.727	hadım etmek
sabotage	anger	0.727	sabotaj
malevolent	anger	0.721	kötü niyetli
strike	anger	0.721	vuruş
disaster	anger	0.721	felaket
disastrous	anger	0.720	felaket
bastarding	anger	0.719	piç kurusu
treachery	anger	0.719	hıyanet
arseholes	anger	0.719	göt delikleri
horseshit	anger	0.719	at boku
slay	anger	0.719	öldürmek
disdain	anger	0.719	küçümsemek
aggravates	anger	0.719	ağırlaştırır
brutal	anger	0.719	vahşi
scorching	anger	0.719	kavurucu
devil	anger	0.719	şeytan
madden	anger	0.719	delirmek
spiteful	anger	0.719	kindar
scream	anger	0.719	çığlık
choke	anger	0.719	boğulmak
vermin	anger	0.719	haşarat
tumult	anger	0.719	kargaşa
criminal	anger	0.714	adli
mangle	anger	0.714	parçalamak
anarchism	anger	0.714	anarşizm
mutilation	anger	0.714	sakatlama
denunciation	anger	0.713	ihbar
punch	anger	0.713	yumruk
virulence	anger	0.712	virülans
fatal	anger	0.712	ölümcül
hurting	anger	0.712	incinme
crucifixion	anger	0.712	çarmıha germe
dontlikeyou	anger	0.712	seni sevmiyorum
blasphemous	anger	0.712	küfürlü
holocaust	anger	0.712	soykırım
dumbasses	anger	0.712	aptallar
battled	anger	0.712	savaştı
deranged	anger	0.706	dengesiz
irritated	anger	0.706	RAHATSIZ olmak
atrocious	anger	0.706	iğrenç
evil	anger	0.706	fenalık
aggravated	anger	0.703	ağırlaştırılmış
intimidation	anger	0.703	gözdağı
dicks	anger	0.703	yarak
assassin	anger	0.703	suikastçı
scolding	anger	0.703	azarlama
persecution	anger	0.703	zulüm
slayer	anger	0.703	avcı
kidnap	anger	0.703	kaçırmak
aggression	anger	0.702	saldırganlık
armed	anger	0.700	silahlı
battle	anger	0.697	savaş
poison	anger	0.697	zehir
snarling	anger	0.697	hırlama
venom	anger	0.697	zehir
disgruntled	anger	0.693	hoşnutsuz
resentment	anger	0.691	kızgınlık
assailant	anger	0.691	saldırgan
insidious	anger	0.691	sinsi
contemptuous	anger	0.690	aşağılayıcı
lynch	anger	0.690	linç
temper	anger	0.688	öfke
terrible	anger	0.688	korkunç
disparage	anger	0.688	aşağılamak
lunatic	anger	0.688	deli
bully	anger	0.688	kabadayı
mad	anger	0.688	deli
makesmemad	anger	0.688	beni delirtiyor
infanticide	anger	0.688	bebek öldürme
domination	anger	0.688	egemenlik
peeved	anger	0.688	sinirli
imprisonment	anger	0.688	hapis cezası
curse	anger	0.688	küfür
volatility	anger	0.687	oynaklık
eradication	anger	0.685	yok etme
eradicate	anger	0.682	kökünü kurutmak
tantrum	anger	0.682	öfke nöbeti
scoundrel	anger	0.682	alçak
devastate	anger	0.682	harap etmek
aggressively	anger	0.680	agresif bir şekilde
agitation	anger	0.680	çalkalama
dictatorship	anger	0.676	diktatörlük
irritates	anger	0.676	tahriş eder
profanity	anger	0.673	küfür
shove	anger	0.672	kıpırdamak
nasty	anger	0.672	edepsiz
shot	anger	0.672	atış
cruelly	anger	0.672	acımasızca
shoot	anger	0.672	film çekmek
condemnation	anger	0.672	kınama
crushed	anger	0.672	ezilmiş
aggravation	anger	0.672	ağırlaştırma
poisonous	anger	0.672	zehirli
egregious	anger	0.672	korkunç
crime	anger	0.672	suç
corrupting	anger	0.672	yozlaştırıcı
dastardly	anger	0.672	alçakça
contempt	anger	0.672	hor görmek
harmful	anger	0.672	zararlı
expletive	anger	0.672	küfür
wreak	anger	0.672	kırmak
maniac	anger	0.670	manyak
cutthroat	anger	0.667	kıyasıya
enemy	anger	0.667	düşman
hit	anger	0.667	vurmak
hateeveryone	anger	0.667	herkesten nefret et
eruption	anger	0.667	patlama
irritable	anger	0.667	asabi
odious	anger	0.667	iğrenç
shooting	anger	0.667	çekim
shout	anger	0.667	bağırmak
aggressive	anger	0.667	agresif
kick	anger	0.667	tekme atmak
combat	anger	0.667	savaş
fight	anger	0.667	kavga
punished	anger	0.662	cezalandırılmış
yell	anger	0.661	bağırmak
ambush	anger	0.661	pusu
harass	anger	0.659	taciz etmek
malignant	anger	0.656	kötü huylu
aggressor	anger	0.656	saldırgan
gore	anger	0.656	kan
destruction	anger	0.656	yıkım
grudge	anger	0.656	kin
antichrist	anger	0.656	Deccal
incense	anger	0.656	tütsü
expel	anger	0.656	kovmak
cranky	anger	0.653	huysuz
slave	anger	0.652	köle
reprisal	anger	0.652	misilleme
growl	anger	0.652	hırlamak
animosity	anger	0.652	düşmanlık
insurrection	anger	0.652	ayaklanma
clashing	anger	0.652	çatışan
denounce	anger	0.652	kınamak
offended	anger	0.652	gücenmiş
spank	anger	0.652	şaplak atmak
insulting	anger	0.652	hakaret
growls	anger	0.649	hırıltılar
executioner	anger	0.644	cellat
twat	anger	0.644	dallama
doomsday	anger	0.643	kiyamet gunu
obscenity	anger	0.641	müstehcenlik
accused	anger	0.641	sanık
feud	anger	0.641	kavga
daemon	anger	0.641	arka plan programı
havoc	anger	0.641	tahribat
shackle	anger	0.641	kelepçe
inexcusable	anger	0.641	affedilmez
indignant	anger	0.641	kızgın
grr	anger	0.641	grr
expulsion	anger	0.641	sınır dışı etme
bombard	anger	0.641	bombardıman
spat	anger	0.641	tükürmek
arson	anger	0.641	kundakçılık
reprimand	anger	0.641	kınama
somad	anger	0.637	çok çılgın
frustrated	anger	0.636	hüsrana uğramış
batter	anger	0.636	meyilli
kicking	anger	0.636	tekmelemek
anarchy	anger	0.636	anarşi
spanking	anger	0.636	şaplak
glaring	anger	0.636	göz kamaştırıcı
suicidal	anger	0.636	intihara meyilli
disgusting	anger	0.636	mide bulandırıcı
wound	anger	0.636	yara
hanging	anger	0.636	asılı
poisoned	anger	0.636	zehirlenmiş
combatant	anger	0.636	savaşçı
wrecked	anger	0.633	harap
inflict	anger	0.633	zorlamak
grievous	anger	0.632	acıklı
prosecute	anger	0.630	kovuşturma yapmak
agitated	anger	0.630	tedirgin
cheat	anger	0.630	aldatmak
swastika	anger	0.627	gamalı haç
injure	anger	0.625	yaralamak
indict	anger	0.625	suçlamak
scourge	anger	0.625	bela
provocation	anger	0.625	provokasyon
suffocation	anger	0.625	boğulma
strife	anger	0.625	çekişme
raid	anger	0.625	yağma
enslaved	anger	0.625	köleleştirilmiş
cursing	anger	0.625	lanet okuma
defamatory	anger	0.625	karalayıcı
harassing	anger	0.625	taciz edici
thundering	anger	0.625	gürleyen
betray	anger	0.625	ihanet etmek
arsehole	anger	0.624	göt deliği
theft	anger	0.621	Çalınması
insane	anger	0.621	inanılmaz
retaliation	anger	0.621	misilleme
irritate	anger	0.621	kızdırmak
deprivation	anger	0.621	yoksunluk
fiend	anger	0.621	şeytan
jerk	anger	0.621	sarsmak
convict	anger	0.621	mahkum
cussed	anger	0.619	küfürlü
turmoil	anger	0.618	kargaşa
smack	anger	0.615	şaplak atmak
retribution	anger	0.614	intikam
rebellion	anger	0.609	isyan
oppressor	anger	0.609	zalim
gang	anger	0.609	çete
slavery	anger	0.609	kölelik
intolerable	anger	0.609	dayanılmaz
adverse	anger	0.609	olumsuz
injurious	anger	0.609	yaralayıcı
twats	anger	0.609	amcıklar
collision	anger	0.609	çarpışma
battery	anger	0.609	pil
bitterly	anger	0.609	acı bir şekilde
antagonism	anger	0.609	zıtlık
irritability	anger	0.609	sinirlilik
disgraced	anger	0.608	rezil
diatribe	anger	0.606	eleştiri
asshole	anger	0.606	Pislik
blast	anger	0.606	üfleme
bombardment	anger	0.606	bombardıman
irks	anger	0.606	iğrenç
ranting	anger	0.606	rant
revolution	anger	0.606	devrim
thug	anger	0.606	Kabadayı
antagonistic	anger	0.606	antagonistik
irritating	anger	0.606	rahatsız edici
sickening	anger	0.606	mide bulandırıcı
discrimination	anger	0.606	ayrımcılık
frustrate	anger	0.604	hayal kırıklığına uğratmak
insult	anger	0.603	hakaret etmek
hurtful	anger	0.603	incitici
oppression	anger	0.603	Baskı
manipulation	anger	0.603	manipülasyon
tiredofit	anger	0.603	yorgun
bigot	anger	0.603	bağnaz
tension	anger	0.603	tansiyon
disgust	anger	0.602	iğrenme
spite	anger	0.600	inat
intrusive	anger	0.598	müdahaleci
harshness	anger	0.597	sertlik
slur	anger	0.596	bulamaç
tempest	anger	0.594	fırtına
assail	anger	0.594	saldırmak
bitterness	anger	0.594	acılık
morbidity	anger	0.594	hastalık
casualty	anger	0.594	zayiat
puncture	anger	0.594	delinme
miserable	anger	0.594	acınası
inferno	anger	0.594	cehennem
invasion	anger	0.594	istila
storming	anger	0.594	fırtına
wretch	anger	0.594	sefil
consternation	anger	0.592	şaşkınlık
raving	anger	0.591	çılgın
forcibly	anger	0.591	zorla
guillotine	anger	0.591	giyotin
guilty	anger	0.591	suçlu
depraved	anger	0.591	ahlaksız
immoral	anger	0.591	ahlaksız
overpowering	anger	0.591	baskın
scare	anger	0.588	Korkmak
recalcitrant	anger	0.588	inatçı
screwed	anger	0.588	berbat
accursed	anger	0.588	lanetli
soannoyed	anger	0.588	çok rahatsız
invader	anger	0.588	işgalci
jealousy	anger	0.587	kıskançlık
indignation	anger	0.587	öfke
vexed	anger	0.586	sinirli
confront	anger	0.582	karşısına çıkmak
brute	anger	0.581	kaba
throttle	anger	0.579	gaz kelebeği
slut	anger	0.578	sürtük
coup	anger	0.578	darbe
blaze	anger	0.578	alev
pillage	anger	0.578	yağma
provoking	anger	0.578	kışkırtıcı
damage	anger	0.578	zarar
criminality	anger	0.578	suçluluk
shutup	anger	0.578	kapa çeneni
lash	anger	0.578	kirpik
conflict	anger	0.578	fikir ayrılığı
contentious	anger	0.578	çekişmeli
shutit	anger	0.578	kes şunu
wreck	anger	0.578	enkaz
defiant	anger	0.578	meydan okuyan
butcher	anger	0.578	Kasap
incarceration	anger	0.578	hapsetme
revolver	anger	0.578	revolver
bickering	anger	0.578	çekişme
yousuck	anger	0.578	iğrençsin
cancer	anger	0.577	kanser
discriminate	anger	0.576	ayrımcılık yapmak
gun	anger	0.576	silah
frustration	anger	0.576	hüsran
gory	anger	0.576	kanlı
pernicious	anger	0.576	zararlı
dontmess	anger	0.576	karışıklık
blasphemy	anger	0.576	küfür
chaotic	anger	0.576	kaotik
grope	anger	0.576	okşamak
alienation	anger	0.576	yabancılaşma
disturbance	anger	0.576	rahatsızlık
condescension	anger	0.576	küçümseme
standoff	anger	0.576	soğukluk
discord	anger	0.576	anlaşmazlık
friggen	anger	0.575	friggen
sneer	anger	0.574	alay
death	anger	0.574	ölüm
lunacy	anger	0.574	çılgınlık
scandalous	anger	0.574	skandal
oppressive	anger	0.574	baskıcı
jab	anger	0.574	yumruk
cursed	anger	0.574	lanetli
monstrosity	anger	0.574	canavarlık
shit	anger	0.573	bok
disparaging	anger	0.571	aşağılayıcı
slash	anger	0.571	yırtmaç
unfair	anger	0.571	haksız
gallows	anger	0.570	darağacı
escalate	anger	0.569	tırmandırmak
intolerant	anger	0.564	hoşgörüsüz
lawlessness	anger	0.563	kanunsuzluk
beast	anger	0.562	canavar
torpedo	anger	0.562	torpido
malign	anger	0.562	kötü huylu
traitor	anger	0.562	hain
frightful	anger	0.562	korkunç
wrangling	anger	0.562	boğuşma
slander	anger	0.562	iftira
bellows	anger	0.562	körük
retards	anger	0.562	geri zekalılar
grouchy	anger	0.562	huysuz
derogatory	anger	0.562	aşağılayıcı
bearish	anger	0.562	düşüş eğilimi
invade	anger	0.562	istila etmek
perdition	anger	0.562	cehennem azabı
arghh	anger	0.562	ahhh
dreadful	anger	0.562	korkunç
bluddy	anger	0.562	bulanık
deceived	anger	0.562	aldatılmış
glare	anger	0.562	parlama
taunt	anger	0.562	alay
dissension	anger	0.561	anlaşmazlık
cross	anger	0.561	geçmek
rave	anger	0.561	çılgına çevirmek
grating	anger	0.561	ızgara
devastating	anger	0.561	yıkıcı
fits	anger	0.561	uyar
jeopardize	anger	0.561	tehlikeye atmak
shatter	anger	0.561	kırmak
idiots	anger	0.561	aptallar
hurt	anger	0.561	acıtmak
thief	anger	0.561	hırsız
uncontrollable	anger	0.561	kontrol edilemez
conflagration	anger	0.561	yangın
betrayal	anger	0.561	ihanet
banshee	anger	0.561	ölüm perisi
subjugation	anger	0.559	boyun eğdirme
disturbed	anger	0.559	rahatsız
stomped	anger	0.557	ezilmiş
grab	anger	0.557	yakalamak
grievance	anger	0.556	şikayet
ticked	anger	0.556	işaretli
masochism	anger	0.556	mazoşizm
defiance	anger	0.552	nispet
blackmail	anger	0.550	şantaj
offensive	anger	0.549	saldırgan
decry	anger	0.548	kınamak
frustrates	anger	0.547	hüsrana uğrar
violation	anger	0.547	ihlal
confine	anger	0.547	sınırlamak
misery	anger	0.547	sefalet
arghhhh	anger	0.547	ahhhhh
disparity	anger	0.547	eşitsizlik
punishment	anger	0.547	ceza
rebel	anger	0.547	İsyancı
preposterous	anger	0.547	akıl almaz
disgraceful	anger	0.547	utanç verici
ire	anger	0.547	kızgın
deceive	anger	0.547	aldatmak
fustrated	anger	0.547	sinirli
sin	anger	0.547	günah
shrill	anger	0.547	tiz
darkside	anger	0.547	karanlık taraf
overbearing	anger	0.547	zorba
firearms	anger	0.547	ateşli silahlar
stolen	anger	0.546	çalıntı
hadenough	anger	0.546	yetti artık
prejudice	anger	0.545	ön yargı
tackle	anger	0.545	olta takımı
resentful	anger	0.545	kırgın
heated	anger	0.545	ısıtılmış
callous	anger	0.545	duygusuz
conspirator	anger	0.545	komplocu
ruined	anger	0.545	harap
antagonist	anger	0.545	rakip
skirmish	anger	0.545	çatışma
menace	anger	0.545	tehdit
annoyin	anger	0.545	can sıkıcı
foul	anger	0.545	faul
argument	anger	0.545	argüman
humiliate	anger	0.545	aşağılamak
wanker	anger	0.545	aylak
adversary	anger	0.545	düşman
sting	anger	0.544	acı
entangled	anger	0.544	karışık
grumble	anger	0.544	homurdanma
robbery	anger	0.544	soygun
outcry	anger	0.544	haykırmak
resistance	anger	0.543	direnç
irreconcilable	anger	0.543	uzlaşmaz
obstructive	anger	0.542	engelleyici
dismay	anger	0.540	dehşet
mob	anger	0.538	mafya
juststop	anger	0.537	sadece dur
badness	anger	0.536	kötülük
ridicule	anger	0.534	alay
incendiary	anger	0.533	yangın çıkaran
flares	anger	0.532	işaret fişekleri
twofaced	anger	0.531	iki yüzlü
reckless	anger	0.531	pervasız
communism	anger	0.531	komünizm
allegation	anger	0.531	iddia
prejudicial	anger	0.531	önyargılı
whip	anger	0.531	kırbaç
unbridled	anger	0.531	dizginsiz
degeneracy	anger	0.531	yozlaşma
intruder	anger	0.531	davetsiz misafir
belittle	anger	0.531	küçümsemek
confinement	anger	0.531	kapatılma
dispute	anger	0.531	anlaşmazlık
exacerbation	anger	0.531	alevlenme
uprising	anger	0.531	ayaklanma
unjust	anger	0.530	haksız
unjustifiable	anger	0.530	haksız
perversion	anger	0.530	sapıklık
bigoted	anger	0.530	bağnaz
fiesty	anger	0.530	ateşli
offender	anger	0.530	suçlu
dictatorial	anger	0.530	diktatör
hassle	anger	0.530	güçlük
dissonance	anger	0.530	uyumsuzluk
tackled	anger	0.530	ele alınan
renegade	anger	0.529	dönek
cantstandit	anger	0.529	dayanamıyorum
trespass	anger	0.529	ihlâl
hot	anger	0.529	sıcak
prison	anger	0.529	hapishane
suicide	anger	0.521	intihar
annoy	anger	0.520	sinir etmek
leavemealone	anger	0.517	beni yalnız bırakın
cretins	anger	0.516	kretinler
depravity	anger	0.516	ahlaksızlık
idiotic	anger	0.516	aptal
dishonest	anger	0.516	sahtekâr
distrust	anger	0.516	güvensizlik
broil	anger	0.516	kavrulmak
grrr	anger	0.516	grr
criticize	anger	0.516	eleştirmek
inimical	anger	0.516	düşmanca
tortious	anger	0.516	haksız
prisoner	anger	0.516	mahkum
treason	anger	0.516	ihanet
divorce	anger	0.516	boşanmak
venting	anger	0.516	havalandırma
duress	anger	0.516	zorlama
disrespectful	anger	0.516	saygısız
poaching	anger	0.515	kaçak avlanma
scold	anger	0.515	azarlamak
poachers	anger	0.515	kaçak avcılar
pow	anger	0.515	güç
hangry	anger	0.515	aç
argumentation	anger	0.515	tartışma
frustrating	anger	0.515	sinir bozucu
unkind	anger	0.515	kaba
roar	anger	0.515	kükreme
coercion	anger	0.515	zorlama
unforgiving	anger	0.515	affetmez
grump	anger	0.515	huysuz
bile	anger	0.515	safra
unleash	anger	0.515	salmak
chaos	anger	0.515	kaos
victimized	anger	0.515	kurban
jerks	anger	0.515	gerizekalı
tussle	anger	0.514	mücadele
bane	anger	0.511	yıkım
accusation	anger	0.510	suçlama
enmity	anger	0.510	düşmanlık
repudiation	anger	0.510	reddetme
banish	anger	0.509	sürgün etmek
disfigured	anger	0.508	şekli bozulmuş
storm	anger	0.507	fırtına
crazy	anger	0.500	deli
hammering	anger	0.500	çekiçleme
defy	anger	0.500	meydan okumak
antithesis	anger	0.500	antitez
scoff	anger	0.500	alay etmek
anguish	anger	0.500	ıstırap
confined	anger	0.500	izole edilip saklanmış
fear	anger	0.500	korku
bout	anger	0.500	maç
unruly	anger	0.500	asi
delusional	anger	0.500	sanrılı
obstruct	anger	0.500	engellemek
possessed	anger	0.500	ele geçirilmiş
injustice	anger	0.500	adaletsizlik
fervor	anger	0.500	şevk
spear	anger	0.500	mızrak
derision	anger	0.500	alay
intractable	anger	0.500	inatçı
reject	anger	0.500	reddetmek
dominate	anger	0.500	hükmetmek
ordeal	anger	0.500	çile
banished	anger	0.500	sürgün
rejects	anger	0.500	reddeder
shun	anger	0.500	sakınmak
brunt	anger	0.500	kaba
derogation	anger	0.500	derogasyon
frenzied	anger	0.500	çılgın
animus	anger	0.500	animus
suppression	anger	0.500	Bastırma
malpractice	anger	0.500	yanlış uygulama
brazen	anger	0.500	yüzsüz
foaming	anger	0.500	köpüklenme
disrupting	anger	0.500	bozma
nobodycares	anger	0.500	Kimse umursamaz
patronising	anger	0.500	patronluk taslayan
getoveryourself	anger	0.495	kendine gel
toughness	anger	0.492	tokluk
stupidpeople	anger	0.492	aptal insanlar
madness	anger	0.491	delilik
sinful	anger	0.491	günahkar
avarice	anger	0.490	hırs
oppress	anger	0.490	ezmek
cutting	anger	0.485	kesme
anathema	anger	0.485	aforoz
annoyed	anger	0.485	sinirli
dissident	anger	0.485	muhalif
demand	anger	0.485	talep etmek
usurp	anger	0.485	gasp etmek
claw	anger	0.485	pençe
alienate	anger	0.485	yabancılaştırmak
infraction	anger	0.485	ihlal
avenger	anger	0.485	intikamcı
revoke	anger	0.485	geri çekmek
smuggler	anger	0.485	kaçakçı
abolish	anger	0.485	ortadan kaldırmak
fricking	anger	0.485	lanet
stayaway	anger	0.485	uzak dur
pervert	anger	0.485	sapık
disservice	anger	0.485	kötülük
disobedient	anger	0.485	itaatsiz
incest	anger	0.485	ensest
complaint	anger	0.485	şikayet
disapproved	anger	0.485	onaylanmadı
inhuman	anger	0.485	insanlık dışı
mocking	anger	0.484	alaycı
penalty	anger	0.484	ceza
renounce	anger	0.484	vazgeçmek
restrain	anger	0.484	dizginlemek
upheaval	anger	0.484	ayaklanma
deceit	anger	0.484	aldatma
obnoxious	anger	0.484	iğrenç
imprisoned	anger	0.484	hapsedilmiş
strained	anger	0.484	gergin
blame	anger	0.484	suçlamak
oust	anger	0.484	devirmek
litigious	anger	0.484	ihtilaflı
rivalry	anger	0.484	rekabet
sucker	anger	0.484	enayi
opposed	anger	0.484	karşı
thresh	anger	0.484	harman
disgrace	anger	0.484	rezalet
suspicious	anger	0.484	şüpheli
turbulence	anger	0.483	türbülans
pound	anger	0.481	pound
coldness	anger	0.477	soğukluk
ungrateful	anger	0.472	nankör
stoopid	anger	0.471	aptal
battalion	anger	0.471	tabur
feudalism	anger	0.470	feodalizm
hostage	anger	0.470	rehin
annoying	anger	0.470	sinir bozucu
dispossessed	anger	0.470	mülksüzleştirilmiş
subversion	anger	0.470	yıkım
friction	anger	0.470	sürtünme
jealous	anger	0.470	kıskanç
adversity	anger	0.470	sıkıntı
infidel	anger	0.470	kafir
gall	anger	0.470	safra
accuser	anger	0.470	suçlayıcı
ram	anger	0.470	Veri deposu
armament	anger	0.470	silahlanma
thump	anger	0.469	yumruk
