English Word	Emotion	Emotion-Intensity-Score	Malayalam Word
vicious	anger	0.884	ദുഷിച്ച
massacre	anger	0.882	കൂട്ടക്കൊല
threatening	anger	0.882	ഭീഷണിപ്പെടുത്തുന്നു
abhorrent	anger	0.875	വെറുപ്പുളവാക്കുന്ന
bloodthirsty	anger	0.875	രക്തദാഹി
pissoff	anger	0.875	പിസോഫ്
fighting	anger	0.868	യുദ്ധം ചെയ്യുന്നു
attacking	anger	0.865	ആക്രമിക്കുന്നു
annihilated	anger	0.865	ഉന്മൂലനം ചെയ്തു
angriest	anger	0.864	കോപാകുലനായ
bloodshed	anger	0.864	രക്തച്ചൊരിച്ചിൽ
smite	anger	0.862	അടിക്കുക
brawl	anger	0.861	ബഹളം
malicious	anger	0.859	ക്ഷുദ്രകരമായ
assassination	anger	0.859	കൊലപാതകം
strangle	anger	0.859	കഴുത്തുഞെരിച്ച് കൊല്ലുക
hostility	anger	0.859	ശത്രുത
assault	anger	0.859	കയ്യേറ്റം നടത്തുക
explode	anger	0.859	പൊട്ടിത്തെറിക്കുക
tirade	anger	0.859	ക്രൂരത
loathsome	anger	0.857	വെറുപ്പുളവാക്കുന്ന
hell	anger	0.853	നരകം
murderous	anger	0.853	കൊലപാതകി
attack	anger	0.853	ആക്രമണം
malice	anger	0.852	ദുഷ്ടത
terrorism	anger	0.851	തീവ്രവാദം
beating	anger	0.849	അടിക്കുന്നു
outrage	anger	0.848	രോഷം
desecration	anger	0.848	അപകീർത്തിപ്പെടുത്തൽ
pissingmeoff	anger	0.848	പിസ്സിങ്മെഓഫ്
destroying	anger	0.844	നശിപ്പിക്കുന്നു
slaughter	anger	0.844	കശാപ്പ്
irate	anger	0.844	ദേഷ്യപ്പെടുക
violent	anger	0.844	അക്രമാസക്തമായ
stab	anger	0.844	കുത്തുക
abomination	anger	0.844	മ്ലേച്ഛത
tumultuous	anger	0.844	പ്രക്ഷുബ്ധമായ
infuriate	anger	0.844	പ്രകോപിപ്പിക്കുക
obliterate	anger	0.843	ഇല്ലാതാക്കുക
belligerent	anger	0.841	യുദ്ധക്കാരൻ
dumbbitch	anger	0.841	ഊമ
detest	anger	0.838	വെറുക്കുന്നു
hostilities	anger	0.837	ശത്രുത
prick	anger	0.835	കുത്തുക
rampage	anger	0.833	അക്രമം
horrid	anger	0.833	ഭയാനകമായ
cruelty	anger	0.833	ക്രൂരത
torture	anger	0.833	പീഡിപ്പിക്കാനും
rabid	anger	0.833	ഭ്രാന്തൻ
despicable	anger	0.828	നിന്ദ്യമായ
tyrannical	anger	0.828	സ്വേച്ഛാധിപത്യം
demonic	anger	0.828	പൈശാചികമായ
satanic	anger	0.828	പൈശാചിക
hate	anger	0.828	വെറുക്കുന്നു
ragemode	anger	0.828	രാഗമോഡ്
hating	anger	0.828	വെറുക്കുന്നു
ruinous	anger	0.825	വിനാശകരമായ
condemn	anger	0.825	അപലപിക്കുന്നു
riots	anger	0.824	കലാപങ്ങൾ
demolish	anger	0.824	പൊളിക്കുക
angry	anger	0.824	ദേഷ്യം
extermination	anger	0.824	ഉന്മൂലനം
dickhead	anger	0.824	തലമുടി
livid	anger	0.821	ലിവിഡ്
madman	anger	0.820	ഭ്രാന്തൻ
vindictive	anger	0.819	പ്രതികാരാത്മകമായ
terrorist	anger	0.818	തീവ്രവാദി
threaten	anger	0.818	ഭീഷണിപ്പെടുത്തുന്നു
venomous	anger	0.818	വിഷമുള്ള
hateyou	anger	0.818	നിന്നെ വെറുക്കുന്നു
ferocity	anger	0.818	ക്രൂരത
effyou	anger	0.818	നിങ്ങൾ
abhor	anger	0.816	വെറുപ്പ്
carnage	anger	0.814	കൂട്ടക്കൊല
savage	anger	0.814	കാട്ടാളൻ
atrocity	anger	0.814	ക്രൂരത
fucksake	anger	0.812	ഫക്ക്സേക്ക്
abuse	anger	0.812	ദുരുപയോഗം
fierce	anger	0.812	ഉഗ്രമായ
destroyer	anger	0.812	നശിപ്പിക്കുന്നവൻ
angrytweet	anger	0.812	ദേഷ്യം ട്വീറ്റ്
barbaric	anger	0.812	പ്രാകൃതമായ
vendetta	anger	0.812	വെണ്ടറ്റ
pissesmeoff	anger	0.812	pissesmeoff
pissedoff	anger	0.812	ദേഷ്യപ്പെടുക
tyrant	anger	0.812	സ്വേച്ഛാധിപതി
berserk	anger	0.812	വെറുപ്പോടെ
fuming	anger	0.812	പുകയുന്നു
anger	anger	0.811	കോപം
pieceofshit	anger	0.810	കഷണം
punched	anger	0.803	പഞ്ച് ചെയ്തു
punching	anger	0.803	പഞ്ചിംഗ്
slam	anger	0.803	സ്ലാം
homicide	anger	0.803	നരഹത്യ
bitch	anger	0.803	തെണ്ടി
fights	anger	0.803	വഴക്കുകൾ
ruthless	anger	0.797	നിഷ്കരുണം
villainous	anger	0.797	വില്ലൻ
destructive	anger	0.797	വിനാശകരമായ
slap	anger	0.791	അടിക്കുക
riot	anger	0.788	കലാപം
growthefuckup	anger	0.788	ഗ്രോത്ത്ഫുക്കപ്പ്
punishing	anger	0.788	ശിക്ഷിക്കുന്നു
slaughterhouse	anger	0.788	അറവുശാല
yelling	anger	0.788	അലറുന്നു
diabolical	anger	0.788	പൈശാചികമായ
destroyed	anger	0.788	നശിപ്പിച്ചു
ragetweet	anger	0.788	ragetweet
retaliatory	anger	0.788	പ്രതികാരമായി
manslaughter	anger	0.783	നരഹത്യ
clash	anger	0.783	ഏറ്റുമുട്ടൽ
quarrel	anger	0.781	വഴക്ക്
bloody	anger	0.781	രക്തരൂക്ഷിതമായ
hellish	anger	0.781	നരകതുല്യമായ
sinister	anger	0.781	ദുഷ്ടൻ
loath	anger	0.781	വെറുപ്പ്
detonation	anger	0.781	സ്ഫോടനം
accusing	anger	0.779	കുറ്റപ്പെടുത്തുന്നു
fumin	anger	0.779	ഫ്യൂമിൻ
hateeee	anger	0.779	hateeee
treacherous	anger	0.779	വഞ്ചകൻ
madder	anger	0.773	ഭ്രാന്തൻ
horrific	anger	0.773	ഭയാനകമായ
revulsion	anger	0.773	വെറുപ്പ്
retaliate	anger	0.773	തിരിച്ചടിക്കുക
scorn	anger	0.769	പുച്ഛം
bomb	anger	0.766	ബോംബ്
deplorable	anger	0.766	പരിതാപകരം
devastation	anger	0.765	നാശം
anarchist	anger	0.765	അരാജകവാദി
firestorm	anger	0.765	തീക്കാറ്റ്
resent	anger	0.765	നീരസം
contemptible	anger	0.764	നിന്ദ്യമായ
shittest	anger	0.760	ഷിറ്റസ്റ്റ്
rant	anger	0.758	മുറുമുറുപ്പ്
cruel	anger	0.758	ക്രൂരൻ
deadly	anger	0.758	മാരകമായ
smash	anger	0.758	തകർത്തു
soangry	anger	0.758	ഭയങ്കര ദേഷ്യം
outburst	anger	0.757	പൊട്ടിത്തെറി
snarl	anger	0.754	മുറുമുറുക്കുക
profane	anger	0.750	അശുദ്ധമായ
revolting	anger	0.750	കലാപം
aggravating	anger	0.750	വഷളാക്കുന്നു
horror	anger	0.750	ഭയങ്കരതം
despise	anger	0.750	നിന്ദിക്കുക
offend	anger	0.750	കുറ്റപ്പെടുത്തുക
stfu	anger	0.750	stfu
vulgarity	anger	0.750	അസഭ്യം
crazed	anger	0.750	ഭ്രാന്തനായി
douchebags	anger	0.750	ഡൗഷ്ബാഗുകൾ
growling	anger	0.750	മുരളുന്നു
dontmesswithme	anger	0.750	എന്നോട് മെസ്സേജ് ചെയ്യരുത്
screaming	anger	0.742	അലറുന്നു
threat	anger	0.742	ഭീഷണി
erupt	anger	0.742	പൊട്ടിത്തെറിക്കുക
horrible	anger	0.742	ഭയാനകമായ
molestation	anger	0.742	പീഡനം
fuckedoff	anger	0.742	ഫക്ക്ഓഫ്
violence	anger	0.742	അക്രമം
bastards	anger	0.741	തെണ്ടികൾ
revenge	anger	0.738	പ്രതികാരം
menacing	anger	0.735	ഭീഷണിപ്പെടുത്തുന്ന
crushing	anger	0.735	തകർത്തു
damn	anger	0.735	കഷ്ടം
catastrophe	anger	0.735	ദുരന്തം
demon	anger	0.735	ഭൂതം
argue	anger	0.734	വാദിക്കുക
persecute	anger	0.734	പീഡിപ്പിക്കുക
deplore	anger	0.734	ഖേദിക്കുന്നു
flog	anger	0.734	ചമ്മട്ടി
fedup	anger	0.734	നിരാശ ബാധിച്ച
riotous	anger	0.734	കലാപകാരികൾ
vehement	anger	0.734	വീര്യം
revolt	anger	0.734	കലാപം
warfare	anger	0.734	യുദ്ധം
thrash	anger	0.734	തല്ലുക
altercation	anger	0.729	വഴക്ക്
warlike	anger	0.728	യുദ്ധസമാനമായ
shitday	anger	0.727	ഷിറ്റ്ഡേ
mutiny	anger	0.727	കലാപം
castrate	anger	0.727	കാസ്റ്റ്റേറ്റ്
sabotage	anger	0.727	അട്ടിമറി
malevolent	anger	0.721	ദ്രോഹകരമായ
strike	anger	0.721	സമരം
disaster	anger	0.721	ദുരന്തം
disastrous	anger	0.720	വിനാശകരമായ
bastarding	anger	0.719	തെണ്ടിത്തരം
treachery	anger	0.719	വഞ്ചന
arseholes	anger	0.719	ആയുധ ദ്വാരങ്ങൾ
horseshit	anger	0.719	കുതിരപ്പട
slay	anger	0.719	കൊല്ലുക
disdain	anger	0.719	പുച്ഛം
aggravates	anger	0.719	വഷളാക്കുന്നു
brutal	anger	0.719	മൃഗീയമായ
scorching	anger	0.719	കത്തുന്ന
devil	anger	0.719	പിശാച്
madden	anger	0.719	ഭ്രാന്തൻ
spiteful	anger	0.719	വെറുപ്പുളവാക്കുന്ന
scream	anger	0.719	അലറുക
choke	anger	0.719	വീര്പ്പുമുട്ടുക
vermin	anger	0.719	കീടങ്ങൾ
tumult	anger	0.719	ബഹളം
criminal	anger	0.714	കുറ്റവാളി
mangle	anger	0.714	മാംഗിൾ
anarchism	anger	0.714	അരാജകത്വം
mutilation	anger	0.714	അംഗഭംഗം
denunciation	anger	0.713	അപലപനം
punch	anger	0.713	പഞ്ച്
virulence	anger	0.712	വൈറൽസ്
fatal	anger	0.712	മാരകമായ
hurting	anger	0.712	വേദനിപ്പിക്കുന്നു
crucifixion	anger	0.712	കുരിശിലേറ്റൽ
dontlikeyou	anger	0.712	നിന്നെ ഇഷ്ടമല്ല
blasphemous	anger	0.712	ദൈവദൂഷണം
holocaust	anger	0.712	ഹോളോകോസ്റ്റ്
dumbasses	anger	0.712	ഊമകൾ
battled	anger	0.712	യുദ്ധം ചെയ്തു
deranged	anger	0.706	വിഭ്രാന്തി
irritated	anger	0.706	പ്രകോപിതനായി
atrocious	anger	0.706	ക്രൂരമായ
evil	anger	0.706	തിന്മ
aggravated	anger	0.703	വഷളാക്കി
intimidation	anger	0.703	ഭീഷണിപ്പെടുത്തൽ
dicks	anger	0.703	ഡിക്കുകൾ
assassin	anger	0.703	കൊലയാളി
scolding	anger	0.703	ശകാരിക്കുന്നു
persecution	anger	0.703	ഉപദ്രവം
slayer	anger	0.703	കൊലയാളി
kidnap	anger	0.703	തട്ടിക്കൊണ്ടുപോകൽ
aggression	anger	0.702	ആക്രമണം
armed	anger	0.700	സായുധരായ
battle	anger	0.697	യുദ്ധം
poison	anger	0.697	വിഷം
snarling	anger	0.697	മുരളുന്നു
venom	anger	0.697	വിഷം
disgruntled	anger	0.693	അസംതൃപ്തി
resentment	anger	0.691	നീരസം
assailant	anger	0.691	അക്രമി
insidious	anger	0.691	വഞ്ചനാപരമായ
contemptuous	anger	0.690	നിന്ദ്യമായ
lynch	anger	0.690	ലിഞ്ച്
temper	anger	0.688	കോപം
terrible	anger	0.688	ഭയങ്കരം
disparage	anger	0.688	ഇകഴ്ത്തൽ
lunatic	anger	0.688	ഭ്രാന്തൻ
bully	anger	0.688	ശല്യപ്പെടുത്തൽ
mad	anger	0.688	ഭ്രാന്തൻ
makesmemad	anger	0.688	ഭ്രാന്തനാകുന്നു
infanticide	anger	0.688	ശിശുഹത്യ
domination	anger	0.688	ആധിപത്യം
peeved	anger	0.688	ചൊറിഞ്ഞു
imprisonment	anger	0.688	തടവ്
curse	anger	0.688	ശാപം
volatility	anger	0.687	അസ്ഥിരത
eradication	anger	0.685	ഉന്മൂലനം
eradicate	anger	0.682	ഉന്മൂലനം ചെയ്യുക
tantrum	anger	0.682	കോപം
scoundrel	anger	0.682	തെമ്മാടി
devastate	anger	0.682	നശിപ്പിക്കുക
aggressively	anger	0.680	ആക്രമണാത്മകമായി
agitation	anger	0.680	പ്രക്ഷോഭം
dictatorship	anger	0.676	ഏകാധിപത്യം
irritates	anger	0.676	പ്രകോപിപ്പിക്കുന്നു
profanity	anger	0.673	പരദൂഷണം
shove	anger	0.672	തള്ളുക
nasty	anger	0.672	മോശമായ
shot	anger	0.672	വെടിവച്ചു
cruelly	anger	0.672	ക്രൂരമായി
shoot	anger	0.672	വെടിവയ്ക്കുക
condemnation	anger	0.672	അപലപനം
crushed	anger	0.672	തകർത്തു
aggravation	anger	0.672	തീവ്രത
poisonous	anger	0.672	വിഷം
egregious	anger	0.672	അതിഗംഭീരമായ
crime	anger	0.672	കുറ്റകൃത്യം
corrupting	anger	0.672	ദുഷിപ്പിക്കുന്നു
dastardly	anger	0.672	ദയനീയമായി
contempt	anger	0.672	നിന്ദ
harmful	anger	0.672	ഹാനികരമായ
expletive	anger	0.672	വിസ്തൃതമായ
wreak	anger	0.672	തകർക്കുക
maniac	anger	0.670	ഭ്രാന്തൻ
cutthroat	anger	0.667	കട്ട്‌ത്രോട്ട്
enemy	anger	0.667	ശത്രു
hit	anger	0.667	അടിച്ചു
hateeveryone	anger	0.667	എല്ലാവരേയും വെറുക്കുന്നു
eruption	anger	0.667	പൊട്ടിത്തെറി
irritable	anger	0.667	പ്രകോപിതൻ
odious	anger	0.667	നിന്ദ്യമായ
shooting	anger	0.667	ഷൂട്ടിംഗ്
shout	anger	0.667	ആക്രോശിക്കുക
aggressive	anger	0.667	ആക്രമണാത്മക
kick	anger	0.667	തൊഴി
combat	anger	0.667	യുദ്ധം
fight	anger	0.667	യുദ്ധം
punished	anger	0.662	ശിക്ഷിച്ചു
yell	anger	0.661	അലറുക
ambush	anger	0.661	പതിയിരിപ്പ്
harass	anger	0.659	ഉപദ്രവിക്കുക
malignant	anger	0.656	മാരകമായ
aggressor	anger	0.656	അക്രമി
gore	anger	0.656	ഗോർ
destruction	anger	0.656	നാശം
grudge	anger	0.656	പക
antichrist	anger	0.656	എതിർക്രിസ്തു
incense	anger	0.656	ധൂപം
expel	anger	0.656	പുറത്താക്കുക
cranky	anger	0.653	ഭ്രാന്തൻ
slave	anger	0.652	അടിമ
reprisal	anger	0.652	പ്രതികാരം
growl	anger	0.652	മുരളുക
animosity	anger	0.652	ശത്രുത
insurrection	anger	0.652	കലാപം
clashing	anger	0.652	ഏറ്റുമുട്ടുന്നു
denounce	anger	0.652	അപലപിക്കുക
offended	anger	0.652	ഇടറിപ്പോയി
spank	anger	0.652	സ്പാങ്ക്
insulting	anger	0.652	അപമാനിക്കുന്നു
growls	anger	0.649	മുരളുന്നു
executioner	anger	0.644	ആരാച്ചാർ
twat	anger	0.644	twat
doomsday	anger	0.643	അന്ത്യദിനം
obscenity	anger	0.641	അശ്ലീലം
accused	anger	0.641	കുറ്റപ്പെടുത്തി
feud	anger	0.641	വൈരാഗ്യം
daemon	anger	0.641	പിശാച്
havoc	anger	0.641	ബി. ടി
shackle	anger	0.641	ചങ്ങല
inexcusable	anger	0.641	പൊറുക്കാനാവാത്ത
indignant	anger	0.641	രോഷം
grr	anger	0.641	grr
expulsion	anger	0.641	പുറത്താക്കൽ
bombard	anger	0.641	ബോംബേറ്
spat	anger	0.641	തുപ്പി
arson	anger	0.641	തീകൊളുത്തൽ
reprimand	anger	0.641	താക്കീത്
somad	anger	0.637	സോമദ്
frustrated	anger	0.636	നിരാശനായി
batter	anger	0.636	ബാറ്റർ
kicking	anger	0.636	ചവിട്ടുന്നു
anarchy	anger	0.636	അരാജകത്വം
spanking	anger	0.636	അടിക്കുന്നു
glaring	anger	0.636	തിളങ്ങുന്ന
suicidal	anger	0.636	ആത്മഹത്യാപരമായ
disgusting	anger	0.636	വെറുപ്പുളവാക്കുന്ന
wound	anger	0.636	മുറിവ്
hanging	anger	0.636	തൂങ്ങിക്കിടക്കുന്നു
poisoned	anger	0.636	വിഷബാധയേറ്റു
combatant	anger	0.636	പോരാളി
wrecked	anger	0.633	തകർത്തു
inflict	anger	0.633	അടിച്ചേൽപ്പിക്കുക
grievous	anger	0.632	ദുഃഖകരമായ
prosecute	anger	0.630	വിചാരണ ചെയ്യുക
agitated	anger	0.630	ഇളകി
cheat	anger	0.630	ചതിക്കുക
swastika	anger	0.627	സ്വസ്തിക
injure	anger	0.625	മുറിവേൽപ്പിക്കുക
indict	anger	0.625	കുറ്റം ചുമത്തുക
scourge	anger	0.625	ചമ്മട്ടി
provocation	anger	0.625	പ്രകോപനം
suffocation	anger	0.625	ശ്വാസം മുട്ടൽ
strife	anger	0.625	കലഹം
raid	anger	0.625	മിന്നല് പരിശോധന
enslaved	anger	0.625	അടിമത്തം
cursing	anger	0.625	ശപിക്കുന്നു
defamatory	anger	0.625	അപകീർത്തികരമായ
harassing	anger	0.625	ശല്യപ്പെടുത്തുന്നു
thundering	anger	0.625	ഇടിമുഴക്കം
betray	anger	0.625	ഒറ്റിക്കൊടുക്കുന്നു
arsehole	anger	0.624	ആയുധപ്പുര
theft	anger	0.621	മോഷണം
insane	anger	0.621	ഭ്രാന്തൻ
retaliation	anger	0.621	പ്രതികാരം
irritate	anger	0.621	പ്രകോപിപ്പിക്കുക
deprivation	anger	0.621	ഇല്ലായ്മ
fiend	anger	0.621	ക്രൂരൻ
jerk	anger	0.621	ഞെട്ടൽ
convict	anger	0.621	കുറ്റവാളി
cussed	anger	0.619	കുറ്റപ്പെടുത്തി
turmoil	anger	0.618	കലഹവും
smack	anger	0.615	അടിച്ചുപൊളിക്കുക
retribution	anger	0.614	പ്രതികാരം
rebellion	anger	0.609	കലാപം
oppressor	anger	0.609	പീഡകൻ
gang	anger	0.609	സംഘം
slavery	anger	0.609	അടിമത്തം
intolerable	anger	0.609	അസഹനീയം
adverse	anger	0.609	പ്രതികൂലമായ
injurious	anger	0.609	പരിക്കേൽപ്പിക്കുന്ന
twats	anger	0.609	twats
collision	anger	0.609	കൂട്ടിയിടി
battery	anger	0.609	ബാറ്ററി
bitterly	anger	0.609	കയ്പേറിയ
antagonism	anger	0.609	വിരോധം
irritability	anger	0.609	ക്ഷോഭം
disgraced	anger	0.608	അപമാനിതനായി
diatribe	anger	0.606	ഡയട്രിബ്
asshole	anger	0.606	ആസ്ഹോൾ
blast	anger	0.606	സ്ഫോടനം
bombardment	anger	0.606	ബോംബാക്രമണം
irks	anger	0.606	irks
ranting	anger	0.606	ആക്രോശിക്കുന്നു
revolution	anger	0.606	വിപ്ലവം
thug	anger	0.606	തഗ്
antagonistic	anger	0.606	വിരുദ്ധമായ
irritating	anger	0.606	പ്രകോപിപ്പിക്കുന്ന
sickening	anger	0.606	അസുഖം
discrimination	anger	0.606	വിവേചനം
frustrate	anger	0.604	നിരാശപ്പെടുത്തുക
insult	anger	0.603	അപമാനിക്കുക
hurtful	anger	0.603	വേദനിപ്പിക്കുന്ന
oppression	anger	0.603	അടിച്ചമർത്തൽ
manipulation	anger	0.603	കൃത്രിമത്വം
tiredofit	anger	0.603	മടുത്തു
bigot	anger	0.603	വലിയവൻ
tension	anger	0.603	പിരിമുറുക്കം
disgust	anger	0.602	വെറുപ്പ്
spite	anger	0.600	ആയിട്ടും
intrusive	anger	0.598	അത്യധികമായിരിക്കും
harshness	anger	0.597	കാഠിന്യം
slur	anger	0.596	അപവാദം
tempest	anger	0.594	കൊടുങ്കാറ്റ്
assail	anger	0.594	ആക്രമിക്കുക
bitterness	anger	0.594	കയ്പ്പ്
morbidity	anger	0.594	രോഗാവസ്ഥ
casualty	anger	0.594	അപകടം
puncture	anger	0.594	പഞ്ചർ
miserable	anger	0.594	ദയനീയമായ
inferno	anger	0.594	നരകയാതന
invasion	anger	0.594	അധിനിവേശം
storming	anger	0.594	കൊടുങ്കാറ്റായി
wretch	anger	0.594	നികൃഷ്ടൻ
consternation	anger	0.592	പരിഭ്രാന്തി
raving	anger	0.591	ആർത്തിയോടെ
forcibly	anger	0.591	നിർബന്ധിതമായി
guillotine	anger	0.591	ഗില്ലറ്റിൻ
guilty	anger	0.591	കുറ്റക്കാരൻ
depraved	anger	0.591	ദുഷിച്ചു
immoral	anger	0.591	അധാർമിക
overpowering	anger	0.591	അതിശക്തമായ
scare	anger	0.588	ഭയപ്പെടുത്തുക
recalcitrant	anger	0.588	പ്രതിലോമകാരി
screwed	anger	0.588	സ്ക്രൂഡ്
accursed	anger	0.588	ശപിക്കപ്പെട്ടവൻ
soannoyed	anger	0.588	വിഷമിച്ചു
invader	anger	0.588	ആക്രമണകാരി
jealousy	anger	0.587	അസൂയ
indignation	anger	0.587	രോഷം
vexed	anger	0.586	വിഷമിച്ചു
confront	anger	0.582	നേരിടുക
brute	anger	0.581	ക്രൂരൻ
throttle	anger	0.579	ത്രോട്ടിൽ
slut	anger	0.578	വേശ്യ
coup	anger	0.578	അട്ടിമറി
blaze	anger	0.578	ജ്വലനം
pillage	anger	0.578	കൊള്ള
provoking	anger	0.578	പ്രകോപിപ്പിക്കുന്നത്
damage	anger	0.578	കേടുപാടുകൾ
criminality	anger	0.578	ക്രിമിനലിറ്റി
shutup	anger	0.578	മിണ്ടാതിരിക്കുക
lash	anger	0.578	ചാട്ടവാറടി
conflict	anger	0.578	സംഘർഷം
contentious	anger	0.578	വിവാദമായ
shutit	anger	0.578	അടക്കൂ
wreck	anger	0.578	നാശം
defiant	anger	0.578	ധിക്കാരി
butcher	anger	0.578	കശാപ്പ്
incarceration	anger	0.578	തടവ്
revolver	anger	0.578	റിവോൾവർ
bickering	anger	0.578	കലഹിക്കുന്നു
yousuck	anger	0.578	നിങ്ങൾ നുകർന്നു
cancer	anger	0.577	കാൻസർ
discriminate	anger	0.576	വിവേചനം കാണിക്കുക
gun	anger	0.576	തോക്ക്
frustration	anger	0.576	നിരാശ
gory	anger	0.576	പൊള്ളയായ
pernicious	anger	0.576	വിനാശകരമായ
dontmess	anger	0.576	ചെയ്യരുത്
blasphemy	anger	0.576	ദൈവദൂഷണം
chaotic	anger	0.576	അരാജകത്വം
grope	anger	0.576	തപ്പി
alienation	anger	0.576	അന്യവൽക്കരണം
disturbance	anger	0.576	അസ്വസ്ഥത
condescension	anger	0.576	condescension
standoff	anger	0.576	നിലയ്ക്കൽ
discord	anger	0.576	ഭിന്നത
friggen	anger	0.575	ഫ്രിഗ്ഗൻ
sneer	anger	0.574	പരിഹസിക്കുക
death	anger	0.574	മരണം
lunacy	anger	0.574	ഭ്രാന്തൻ
scandalous	anger	0.574	അപകീർത്തികരമായ
oppressive	anger	0.574	അടിച്ചമർത്തൽ
jab	anger	0.574	ജബ്
cursed	anger	0.574	ശപിച്ചു
monstrosity	anger	0.574	രാക്ഷസത്വം
shit	anger	0.573	ഷിറ്റ്
disparaging	anger	0.571	ഇകഴ്ത്തുന്നു
slash	anger	0.571	വെട്ടിമുറിക്കുക
unfair	anger	0.571	അന്യായമായ
gallows	anger	0.570	തൂക്കുമരം
escalate	anger	0.569	വർദ്ധിപ്പിക്കുക
intolerant	anger	0.564	അസഹിഷ്ണുത
lawlessness	anger	0.563	നിയമലംഘനം
beast	anger	0.562	മൃഗം
torpedo	anger	0.562	ടോർപ്പിഡോ
malign	anger	0.562	ദോഷകരമായ
traitor	anger	0.562	രാജ്യദ്രോഹി
frightful	anger	0.562	ഭയാനകമായ
wrangling	anger	0.562	തർക്കിക്കുന്നു
slander	anger	0.562	അപവാദം
bellows	anger	0.562	തുരുത്തി
retards	anger	0.562	മന്ദബുദ്ധികൾ
grouchy	anger	0.562	അസ്വസ്ഥമായ
derogatory	anger	0.562	അപകീർത്തികരമായ
bearish	anger	0.562	കരടിയുള്ള
invade	anger	0.562	ആക്രമിക്കുക
perdition	anger	0.562	നാശം
arghh	anger	0.562	arghh
dreadful	anger	0.562	ഭയാനകമായ
bluddy	anger	0.562	ബ്ലഡ്ഡി
deceived	anger	0.562	ചതിച്ചു
glare	anger	0.562	മിന്നല്
taunt	anger	0.562	പരിഹസിക്കുക
dissension	anger	0.561	ഭിന്നത
cross	anger	0.561	കുരിശ്
rave	anger	0.561	ആക്രോശിച്ചു
grating	anger	0.561	ഗ്രേറ്റിംഗ്
devastating	anger	0.561	വിനാശകരമായ
fits	anger	0.561	യോജിക്കുന്നു
jeopardize	anger	0.561	അപകടത്തിലാക്കുക
shatter	anger	0.561	തകരുക
idiots	anger	0.561	വിഡ്ഢികൾ
hurt	anger	0.561	വേദനിപ്പിച്ചു
thief	anger	0.561	കള്ളൻ
uncontrollable	anger	0.561	അനിയന്ത്രിതമായ
conflagration	anger	0.561	അഗ്നിജ്വാല
betrayal	anger	0.561	വഞ്ചന
banshee	anger	0.561	ബാൻഷീ
subjugation	anger	0.559	കീഴ്പ്പെടുത്തൽ
disturbed	anger	0.559	അസ്വസ്ഥനായി
stomped	anger	0.557	ചവിട്ടി
grab	anger	0.557	പിടിക്കുക
grievance	anger	0.556	പരാതി
ticked	anger	0.556	ടിക്ക് ചെയ്തു
masochism	anger	0.556	മാസോക്കിസം
defiance	anger	0.552	ധിക്കാരം
blackmail	anger	0.550	ബ്ലാക്ക് മെയിൽ
offensive	anger	0.549	കുറ്റകരമായ
decry	anger	0.548	നിന്ദിക്കുക
frustrates	anger	0.547	നിരാശപ്പെടുത്തുന്നു
