English Word	Emotion	Emotion-Intensity-Score	Kyrgyz Word
malicious	anger	0.859	зыяндуу
assassination	anger	0.859	өлтүрүү
strangle	anger	0.859	муунтуп өлтүрүү
hostility	anger	0.859	кастык
assault	anger	0.859	кол салуу
explode	anger	0.859	жарылуу
tirade	anger	0.859	тирад
loathsome	anger	0.857	жийиркеничтүү
hell	anger	0.853	тозок
murderous	anger	0.853	канкор
attack	anger	0.853	кол салуу
malice	anger	0.852	кара ниет
terrorism	anger	0.851	терроризм
beating	anger	0.849	урган
outrage	anger	0.848	кыжырдануу
desecration	anger	0.848	кемсинтүү
pissingmeoff	anger	0.848	Бак мени
destroying	anger	0.844	жок кылуу
slaughter	anger	0.844	союу
irate	anger	0.844	ачуулануу
violent	anger	0.844	зордук-зомбулук
stab	anger	0.844	бычак
abomination	anger	0.844	жийиркеничтүү
tumultuous	anger	0.844	дүрбөлөңдүү
infuriate	anger	0.844	ачуулантуу
obliterate	anger	0.843	жок кылуу
belligerent	anger	0.841	согушчан
dumbbitch	anger	0.841	акмак
detest	anger	0.838	жек көрүү
hostilities	anger	0.837	согуштук аракеттер
prick	anger	0.835	сайгыла
rampage	anger	0.833	жардыруу
horrid	anger	0.833	коркунучтуу
cruelty	anger	0.833	ырайымсыздык
torture	anger	0.833	кыйноо
rabid	anger	0.833	кутурган
despicable	anger	0.828	жийиркеничтүү
tyrannical	anger	0.828	тирандык
demonic	anger	0.828	шайтандык
satanic	anger	0.828	шайтандык
hate	anger	0.828	жек көрүү
ragemode	anger	0.828	ragemode
hating	anger	0.828	жек көрүү
ruinous	anger	0.825	кыйратуучу
condemn	anger	0.825	айыптоо
riots	anger	0.824	баш аламандыктар
demolish	anger	0.824	бузуу
angry	anger	0.824	ачуулуу
extermination	anger	0.824	жок кылуу
dickhead	anger	0.824	дикбаш
livid	anger	0.821	ачуу
madman	anger	0.820	жинди
vindictive	anger	0.819	кекчил
terrorist	anger	0.818	террорист
threaten	anger	0.818	коркутуу
venomous	anger	0.818	уулуу
hateyou	anger	0.818	жек көрөм
ferocity	anger	0.818	ырайымсыздык
effyou	anger	0.818	effyou
abhor	anger	0.816	жийиркенүү
carnage	anger	0.814	кыргын
savage	anger	0.814	жапайы
atrocity	anger	0.814	мыкаачылык
fucksake	anger	0.812	блять
abuse	anger	0.812	кыянаттык
fierce	anger	0.812	каардуу
destroyer	anger	0.812	кыйратуучу
angrytweet	anger	0.812	angrytweet
barbaric	anger	0.812	жапайы
vendetta	anger	0.812	вендетта
pissesmeoff	anger	0.812	pissesmeoff
pissedoff	anger	0.812	кыжырына тийген
tyrant	anger	0.812	тиран
berserk	anger	0.812	ачуу
fuming	anger	0.812	түтүн
anger	anger	0.811	ачуулануу
pieceofshit	anger	0.810	бок
punched	anger	0.803	муштум
punching	anger	0.803	муштум
slam	anger	0.803	чапкыла
homicide	anger	0.803	киши өлтүрүү
bitch	anger	0.803	канчык
fights	anger	0.803	урушат
ruthless	anger	0.797	ырайымсыз
villainous	anger	0.797	кара ниет
destructive	anger	0.797	кыйратуучу
slap	anger	0.791	чаап
riot	anger	0.788	тополоң
growthefuckup	anger	0.788	өсүш
punishing	anger	0.788	жазалоо
slaughterhouse	anger	0.788	касапкана
yelling	anger	0.788	кыйкыруу
diabolical	anger	0.788	шайтандык
destroyed	anger	0.788	талкаланган
ragetweet	anger	0.788	ragetweet
retaliatory	anger	0.788	өч алуу
manslaughter	anger	0.783	киши өлтүрүү
clash	anger	0.783	кагылышуу
quarrel	anger	0.781	урушуу
bloody	anger	0.781	кандуу
hellish	anger	0.781	тозок
sinister	anger	0.781	жаман
loath	anger	0.781	жек көрүү
detonation	anger	0.781	детонация
accusing	anger	0.779	айыптоо
fumin	anger	0.779	fumin
hateeee	anger	0.779	hateeee
treacherous	anger	0.779	чыккынчы
madder	anger	0.773	Mader
horrific	anger	0.773	коркунучтуу
revulsion	anger	0.773	жек көрүү
retaliate	anger	0.773	өч алуу
scorn	anger	0.769	шылдыңдоо
bomb	anger	0.766	бомба
deplorable	anger	0.766	аянычтуу
devastation	anger	0.765	кыйроо
anarchist	anger	0.765	анархист
firestorm	anger	0.765	от бороон
resent	anger	0.765	таарынуу
contemptible	anger	0.764	кемсинтүү
shittest	anger	0.760	эң жаман
rant	anger	0.758	кыйкырык
cruel	anger	0.758	таш боор
deadly	anger	0.758	өлүмчүл
smash	anger	0.758	талкалоо
soangry	anger	0.758	ачуулуу
outburst	anger	0.757	жарылуу
snarl	anger	0.754	коңгуроо
profane	anger	0.750	профандык
revolting	anger	0.750	козголоңчу
aggravating	anger	0.750	оорлотуучу
horror	anger	0.750	коркунуч
despise	anger	0.750	жек көрүү
offend	anger	0.750	таарынтуу
stfu	anger	0.750	stfu
vulgarity	anger	0.750	адепсиздик
crazed	anger	0.750	жинди
douchebags	anger	0.750	акмактар
growling	anger	0.750	күүлүү
dontmesswithme	anger	0.750	dontmesswithme
screaming	anger	0.742	кыйкырып
threat	anger	0.742	коркунуч
erupt	anger	0.742	жарылуу
horrible	anger	0.742	коркунучтуу
molestation	anger	0.742	зордуктоо
fuckedoff	anger	0.742	блять
violence	anger	0.742	зордук-зомбулук
bastards	anger	0.741	сволочтар
revenge	anger	0.738	өч алуу
menacing	anger	0.735	коркунучтуу
crushing	anger	0.735	майдалоо
damn	anger	0.735	наалат
catastrophe	anger	0.735	катастрофа
demon	anger	0.735	жин
argue	anger	0.734	талашуу
persecute	anger	0.734	куугунтуктоо
deplore	anger	0.734	капа кылуу
flog	anger	0.734	камчы
fedup	anger	0.734	тойгон
riotous	anger	0.734	дүрбөлөңдүү
vehement	anger	0.734	катуу
revolt	anger	0.734	көтөрүлүш
warfare	anger	0.734	согуш
thrash	anger	0.734	таштоо
altercation	anger	0.729	уруш
warlike	anger	0.728	согушчан
shitday	anger	0.727	бок күн
mutiny	anger	0.727	козголоң
castrate	anger	0.727	кастрациялоо
sabotage	anger	0.727	саботаж
malevolent	anger	0.721	кара ниет
strike	anger	0.721	сокку
disaster	anger	0.721	кырсык
disastrous	anger	0.720	каргашалуу
bastarding	anger	0.719	бейбаштык
treachery	anger	0.719	чыккынчылык
arseholes	anger	0.719	arseholes
horseshit	anger	0.719	жылкычы
slay	anger	0.719	өлтүрүү
disdain	anger	0.719	жек көрүү
aggravates	anger	0.719	оорлотот
brutal	anger	0.719	ырайымсыз
scorching	anger	0.719	күйгүзүүчү
devil	anger	0.719	шайтан
madden	anger	0.719	жинди
spiteful	anger	0.719	каардуу
scream	anger	0.719	кыйкыруу
choke	anger	0.719	муунтуу
vermin	anger	0.719	зыянкечтер
tumult	anger	0.719	ызы-чуу
criminal	anger	0.714	кылмышкер
mangle	anger	0.714	манкурт
anarchism	anger	0.714	анархизм
mutilation	anger	0.714	кыйноо
denunciation	anger	0.713	денонсация
punch	anger	0.713	муштум
virulence	anger	0.712	вируленттүүлүк
fatal	anger	0.712	өлүмгө алып келүүчү
hurting	anger	0.712	оорутуу
crucifixion	anger	0.712	айкаш жыгачка кадоо
dontlikeyou	anger	0.712	dontkeyou
blasphemous	anger	0.712	акарат кылуучу
holocaust	anger	0.712	Холокост
dumbasses	anger	0.712	акмактар
battled	anger	0.712	согушкан
deranged	anger	0.706	бузулган
irritated	anger	0.706	кыжырданган
atrocious	anger	0.706	ырайымсыз
evil	anger	0.706	жаман
aggravated	anger	0.703	күчөгөн
intimidation	anger	0.703	коркутуу
dicks	anger	0.703	чукумалар
assassin	anger	0.703	киши өлтүргүч
scolding	anger	0.703	урушуу
persecution	anger	0.703	куугунтук
slayer	anger	0.703	өлтүргүч
kidnap	anger	0.703	ала качуу
aggression	anger	0.702	агрессия
armed	anger	0.700	куралдуу
battle	anger	0.697	согуш
poison	anger	0.697	уу
snarling	anger	0.697	ырылдаган
venom	anger	0.697	уу
disgruntled	anger	0.693	нааразы
resentment	anger	0.691	таарыныч
assailant	anger	0.691	кол салган
insidious	anger	0.691	тымызын
contemptuous	anger	0.690	кемсинтүү
lynch	anger	0.690	линч
temper	anger	0.688	мүнөз
terrible	anger	0.688	коркунучтуу
disparage	anger	0.688	кемсинтүү
lunatic	anger	0.688	жинди
bully	anger	0.688	бейбаш
mad	anger	0.688	жинди
makesmemad	anger	0.688	makememad
infanticide	anger	0.688	наристе өлтүрүү
domination	anger	0.688	үстөмдүк кылуу
peeved	anger	0.688	капаланды
imprisonment	anger	0.688	камоо
curse	anger	0.688	каргыш
volatility	anger	0.687	туруксуздук
eradication	anger	0.685	жок кылуу
eradicate	anger	0.682	жок кылуу
tantrum	anger	0.682	кыжырдануу
scoundrel	anger	0.682	шылуун
devastate	anger	0.682	кыйратуу
aggressively	anger	0.680	агрессивдүү
agitation	anger	0.680	агитация
dictatorship	anger	0.676	диктатура
irritates	anger	0.676	кыжырдантат
profanity	anger	0.673	кара сөз
shove	anger	0.672	түртүү
nasty	anger	0.672	жаман
shot	anger	0.672	атып
cruelly	anger	0.672	ырайымсыздык менен
shoot	anger	0.672	атуу
condemnation	anger	0.672	айыптоо
crushed	anger	0.672	майдаланган
aggravation	anger	0.672	курчутуу
poisonous	anger	0.672	уулуу
egregious	anger	0.672	коркунучтуу
crime	anger	0.672	кылмыш
corrupting	anger	0.672	бузуку
dastardly	anger	0.672	уятсыз
contempt	anger	0.672	жек көрүү
harmful	anger	0.672	зыяндуу
expletive	anger	0.672	кемсинтүү
wreak	anger	0.672	бузуу
maniac	anger	0.670	маньяк
cutthroat	anger	0.667	кычыратуу
enemy	anger	0.667	душман
hit	anger	0.667	сокку
hateeveryone	anger	0.667	жек көрүү
eruption	anger	0.667	жарылуу
irritable	anger	0.667	ачуулуу
odious	anger	0.667	жийиркеничтүү
shooting	anger	0.667	атуу
shout	anger	0.667	кыйкыр
aggressive	anger	0.667	агрессивдүү
kick	anger	0.667	тебүү
combat	anger	0.667	согуш
fight	anger	0.667	күрөш
punished	anger	0.662	жазаланган
yell	anger	0.661	кыйкыр
ambush	anger	0.661	буктурма
harass	anger	0.659	куугунтуктоо
malignant	anger	0.656	залалдуу
aggressor	anger	0.656	агрессор
gore	anger	0.656	гор
destruction	anger	0.656	жок кылуу
grudge	anger	0.656	кек
antichrist	anger	0.656	антихрист
incense	anger	0.656	жыпар жыттуу зат
expel	anger	0.656	кууп чыгуу
cranky	anger	0.653	ачуулуу
slave	anger	0.652	кул
reprisal	anger	0.652	репрессия
growl	anger	0.652	арылда
animosity	anger	0.652	кастык
insurrection	anger	0.652	көтөрүлүш
clashing	anger	0.652	кагылышуу
denounce	anger	0.652	айыптоо
offended	anger	0.652	таарынган
spank	anger	0.652	чапкыла
insulting	anger	0.652	кемсинтүү
growls	anger	0.649	күбүрөт
executioner	anger	0.644	жазалоочу
twat	anger	0.644	twat
doomsday	anger	0.643	кыямат
obscenity	anger	0.641	уятсыздык
accused	anger	0.641	айыпталган
feud	anger	0.641	уруш
daemon	anger	0.641	демон
havoc	anger	0.641	кыйроо
shackle	anger	0.641	кишен
inexcusable	anger	0.641	кечирилгис
indignant	anger	0.641	ачууланган
grr	anger	0.641	грр
expulsion	anger	0.641	чыгаруу
bombard	anger	0.641	бомбалоо
spat	anger	0.641	түкүрдү
arson	anger	0.641	өрттөө
reprimand	anger	0.641	сөгүш
somad	anger	0.637	сомад
frustrated	anger	0.636	нааразы
batter	anger	0.636	камыр
kicking	anger	0.636	тепкен
anarchy	anger	0.636	анархия
spanking	anger	0.636	чаап
glaring	anger	0.636	жаркыраган
suicidal	anger	0.636	жанкечтилик
disgusting	anger	0.636	жийиркеничтүү
wound	anger	0.636	жара
hanging	anger	0.636	илинген
poisoned	anger	0.636	ууланган
combatant	anger	0.636	согушкер
wrecked	anger	0.633	талкаланган
inflict	anger	0.633	салуу
grievous	anger	0.632	кайгылуу
prosecute	anger	0.630	жоопко тартуу
agitated	anger	0.630	козголду
cheat	anger	0.630	алдоо
swastika	anger	0.627	свастика
injure	anger	0.625	жарадар кылуу
indict	anger	0.625	айыптоо
scourge	anger	0.625	балээ
provocation	anger	0.625	провокация
suffocation	anger	0.625	муунтуу
strife	anger	0.625	уруш
raid	anger	0.625	рейд
enslaved	anger	0.625	кул болгон
cursing	anger	0.625	каргыш
defamatory	anger	0.625	каралоочу
harassing	anger	0.625	куугунтуктоо
thundering	anger	0.625	күркүрөгөн
betray	anger	0.625	чыккынчылык кылуу
arsehole	anger	0.624	эшек тешик
theft	anger	0.621	уурулук
insane	anger	0.621	жинди
retaliation	anger	0.621	өч алуу
irritate	anger	0.621	кыжырдантуу
deprivation	anger	0.621	ажыратуу
fiend	anger	0.621	шайтан
jerk	anger	0.621	шылдың
convict	anger	0.621	соттолгон
cussed	anger	0.619	каргаган
turmoil	anger	0.618	башаламандык
smack	anger	0.615	чаап
retribution	anger	0.614	жаза
rebellion	anger	0.609	көтөрүлүш
oppressor	anger	0.609	эзүүчү
gang	anger	0.609	банда
slavery	anger	0.609	кулчулук
intolerable	anger	0.609	чыдагыс
adverse	anger	0.609	терс
injurious	anger	0.609	зыяндуу
twats	anger	0.609	тваттар
collision	anger	0.609	кагылышуу
battery	anger	0.609	батарея
bitterly	anger	0.609	ачуу
antagonism	anger	0.609	антагонизм
irritability	anger	0.609	кыжырдануу
disgraced	anger	0.608	маскараланган
diatribe	anger	0.606	diatribe
asshole	anger	0.606	эшек
blast	anger	0.606	жарылуу
bombardment	anger	0.606	бомбалоо
irks	anger	0.606	кыжырданат
ranting	anger	0.606	кыжырдануу
revolution	anger	0.606	революция
thug	anger	0.606	бандит
antagonistic	anger	0.606	антагонисттик
irritating	anger	0.606	кыжырдантуучу
sickening	anger	0.606	оорутуу
discrimination	anger	0.606	дискриминация
frustrate	anger	0.604	капа кылуу
insult	anger	0.603	кемсинтүү
hurtful	anger	0.603	зыяндуу
oppression	anger	0.603	эзүү
manipulation	anger	0.603	манипуляция
tiredofit	anger	0.603	чарчаган
bigot	anger	0.603	фанат
tension	anger	0.603	чыңалуу
disgust	anger	0.602	жийиркенүү
spite	anger	0.600	жек көрүү
intrusive	anger	0.598	интрузивдик
harshness	anger	0.597	катаалдык
slur	anger	0.596	шылдыңдоо
tempest	anger	0.594	бороон
assail	anger	0.594	кол салуу
bitterness	anger	0.594	ачуу
morbidity	anger	0.594	оорулуу
casualty	anger	0.594	курмандык
puncture	anger	0.594	пункция
miserable	anger	0.594	аянычтуу
inferno	anger	0.594	тозок
invasion	anger	0.594	басып алуу
storming	anger	0.594	штурман
wretch	anger	0.594	байкуш
consternation	anger	0.592	таң калуу
raving	anger	0.591	ыргытуу
forcibly	anger	0.591	мажбурлап
guillotine	anger	0.591	гильотина
guilty	anger	0.591	күнөөлүү
depraved	anger	0.591	бузулган
immoral	anger	0.591	адепсиз
overpowering	anger	0.591	басымдуулук кылуу
scare	anger	0.588	коркутуу
recalcitrant	anger	0.588	баш ийбеген
screwed	anger	0.588	буралган
accursed	anger	0.588	каргыш тийген
soannoyed	anger	0.588	кыжырданган
invader	anger	0.588	баскынчы
jealousy	anger	0.587	көрө албастык
indignation	anger	0.587	кыжырдануу
vexed	anger	0.586	кыжырданган
confront	anger	0.582	каршы туруу
brute	anger	0.581	мыкаачы
throttle	anger	0.579	дроссель
slut	anger	0.578	шлюха
coup	anger	0.578	төңкөрүш
blaze	anger	0.578	жалын
pillage	anger	0.578	талап-тоноо
provoking	anger	0.578	провокациялоочу
damage	anger	0.578	зыян
criminality	anger	0.578	кылмыштуулук
shutup	anger	0.578	оозуңду жап
lash	anger	0.578	кирпич
conflict	anger	0.578	конфликт
contentious	anger	0.578	талаштуу
shutit	anger	0.578	shutit
wreck	anger	0.578	кыйроо
defiant	anger	0.578	каршы чыккан
butcher	anger	0.578	касапчы
incarceration	anger	0.578	камоо
revolver	anger	0.578	мылтык
bickering	anger	0.578	урушуу
yousuck	anger	0.578	барчы ары
cancer	anger	0.577	рак
discriminate	anger	0.576	дискриминациялоо
gun	anger	0.576	мылтык
frustration	anger	0.576	нааразычылык
gory	anger	0.576	горы
pernicious	anger	0.576	зыяндуу
dontmess	anger	0.576	жок
blasphemy	anger	0.576	акарат кылуу
chaotic	anger	0.576	баш аламан
grope	anger	0.576	сүртүү
alienation	anger	0.576	ээликтен ажыратуу
disturbance	anger	0.576	бузулуу
condescension	anger	0.576	басынтуу
standoff	anger	0.576	тирешүү
discord	anger	0.576	келишпестик
friggen	anger	0.575	friggen
sneer	anger	0.574	мыскылдоо
death	anger	0.574	өлүм
lunacy	anger	0.574	акылсыздык
scandalous	anger	0.574	чуулгандуу
oppressive	anger	0.574	эзүүчү
jab	anger	0.574	жап
cursed	anger	0.574	каргыш тийди
monstrosity	anger	0.574	желмогуздук
shit	anger	0.573	бок
disparaging	anger	0.571	кемсинтүү
slash	anger	0.571	кесүү
unfair	anger	0.571	адилетсиз
gallows	anger	0.570	дарактар
escalate	anger	0.569	күчөө
intolerant	anger	0.564	сабырсыз
lawlessness	anger	0.563	мыйзамсыздык
beast	anger	0.562	жырткыч
torpedo	anger	0.562	торпедо
malign	anger	0.562	зыяндуу
traitor	anger	0.562	чыккынчы
frightful	anger	0.562	коркунучтуу
wrangling	anger	0.562	урушуу
slander	anger	0.562	жалаа жабуу
bellows	anger	0.562	көрүк
retards	anger	0.562	артта калуулар
grouchy	anger	0.562	ачуулуу
derogatory	anger	0.562	кемсинтүү
bearish	anger	0.562	аюу
invade	anger	0.562	басып алуу
perdition	anger	0.562	кыйроо
arghh	anger	0.562	arghh
dreadful	anger	0.562	коркунучтуу
bluddy	anger	0.562	көгүлтүр
deceived	anger	0.562	алданган
glare	anger	0.562	жаркыроо
taunt	anger	0.562	шылдыңдоо
dissension	anger	0.561	пикир келишпестик
cross	anger	0.561	кайчылаш
rave	anger	0.561	мактоо
grating	anger	0.561	тор
devastating	anger	0.561	кыйратуучу
fits	anger	0.561	туура келет
jeopardize	anger	0.561	коркунучка салуу
shatter	anger	0.561	талкалоо
idiots	anger	0.561	акмактар
hurt	anger	0.561	зыян
thief	anger	0.561	ууру
uncontrollable	anger	0.561	көзөмөлсүз
conflagration	anger	0.561	өрт
betrayal	anger	0.561	чыккынчылык
banshee	anger	0.561	банши
subjugation	anger	0.559	багындыруу
disturbed	anger	0.559	тынчын алган
stomped	anger	0.557	тепседи
grab	anger	0.557	басып алуу
grievance	anger	0.556	нааразычылык
ticked	anger	0.556	белги койду
masochism	anger	0.556	мазохизм
defiance	anger	0.552	баш ийүү
blackmail	anger	0.550	шантаж
offensive	anger	0.549	чабуулчу
decry	anger	0.548	жамандоо
frustrates	anger	0.547	нааразы кылат
violation	anger	0.547	бузуу
confine	anger	0.547	чектөө
misery	anger	0.547	азап
arghhhh	anger	0.547	arghhhh
disparity	anger	0.547	диспропорция
punishment	anger	0.547	жаза
rebel	anger	0.547	козголоңчу
preposterous	anger	0.547	акылга сыйбас
disgraceful	anger	0.547	уятсыз
ire	anger	0.547	ачуулануу
deceive	anger	0.547	алдоо
fustrated	anger	0.547	кыжырданган
sin	anger	0.547	күнөө
shrill	anger	0.547	кычыратуу
darkside	anger	0.547	караңгы тарабы
overbearing	anger	0.547	ашыкча
firearms	anger	0.547	ок атуучу куралдар
stolen	anger	0.546	уурдалган
hadenough	anger	0.546	жетиштүү
prejudice	anger	0.545	бейкалыс
tackle	anger	0.545	чечүү
resentful	anger	0.545	таарынган
heated	anger	0.545	жылытылган
callous	anger	0.545	адепсиз
conspirator	anger	0.545	кутумчу
ruined	anger	0.545	талкаланган
antagonist	anger	0.545	антагонист
skirmish	anger	0.545	кагылышуу
menace	anger	0.545	коркунуч
annoyin	anger	0.545	кыжырдануу
foul	anger	0.545	бузуку
argument	anger	0.545	аргумент
humiliate	anger	0.545	басынтуу
wanker	anger	0.545	wanker
adversary	anger	0.545	душман
sting	anger	0.544	чаккан
entangled	anger	0.544	чырмалышкан
grumble	anger	0.544	наалышуу
robbery	anger	0.544	тоноо
outcry	anger	0.544	кыйкырык
resistance	anger	0.543	каршылык
irreconcilable	anger	0.543	келишпес
obstructive	anger	0.542	обструктивдүү
dismay	anger	0.540	коркуу
mob	anger	0.538	сүрмө
juststop	anger	0.537	жөн эле токто
badness	anger	0.536	жамандык
ridicule	anger	0.534	шылдыңдоо
incendiary	anger	0.533	күйгүзүүчү
flares	anger	0.532	оттор
twofaced	anger	0.531	эки жүздүү
reckless	anger	0.531	бейкапар
communism	anger	0.531	коммунизм
allegation	anger	0.531	айыптоо
prejudicial	anger	0.531	предудициялык
whip	anger	0.531	камчы
unbridled	anger	0.531	ооздукталбаган
degeneracy	anger	0.531	бузулуу
intruder	anger	0.531	кирүүчү
belittle	anger	0.531	басынтуу
confinement	anger	0.531	камоо
dispute	anger	0.531	талаш
exacerbation	anger	0.531	курчушу
uprising	anger	0.531	көтөрүлүш
unjust	anger	0.530	адилетсиз
unjustifiable	anger	0.530	негизсиз
perversion	anger	0.530	бузукулук
bigoted	anger	0.530	фанат
fiesty	anger	0.530	кызуу
offender	anger	0.530	кылмышкер
dictatorial	anger	0.530	диктатордук
hassle	anger	0.530	убара
dissonance	anger	0.530	диссонанс
tackled	anger	0.530	чечти
renegade	anger	0.529	ренегат
cantstandit	anger	0.529	чыдай албайт
trespass	anger	0.529	бузуу
hot	anger	0.529	ысык
prison	anger	0.529	түрмө
suicide	anger	0.521	өзүн-өзү өлтүрүү
annoy	anger	0.520	кыжырдантуу
leavemealone	anger	0.517	мени жайыма койчу
cretins	anger	0.516	кретиндер
depravity	anger	0.516	бузукулук
idiotic	anger	0.516	акмак
dishonest	anger	0.516	абийирсиз
distrust	anger	0.516	ишенбөө
broil	anger	0.516	бышыруу
grrr	anger	0.516	гррр
criticize	anger	0.516	сындоо
inimical	anger	0.516	душмандык
tortious	anger	0.516	кыйноочу
prisoner	anger	0.516	туткун
treason	anger	0.516	чыккынчылык
divorce	anger	0.516	ажырашуу
venting	anger	0.516	желдетүү
duress	anger	0.516	мажбурлоо
disrespectful	anger	0.516	сыйлабастык
poaching	anger	0.515	браконьерлик
scold	anger	0.515	урушуп
poachers	anger	0.515	браконьерлер
pow	anger	0.515	пов
hangry	anger	0.515	ачка
argumentation	anger	0.515	аргументация
frustrating	anger	0.515	капалантуучу
unkind	anger	0.515	ырайымсыз
roar	anger	0.515	күркүрөө
coercion	anger	0.515	мажбурлоо
unforgiving	anger	0.515	кечиримсиз
grump	anger	0.515	каардуу
bile	anger	0.515	өт
unleash	anger	0.515	бошотуу
chaos	anger	0.515	хаос
victimized	anger	0.515	курман болгон
jerks	anger	0.515	тентектер
tussle	anger	0.514	уруш
bane	anger	0.511	бан
accusation	anger	0.510	айыптоо
enmity	anger	0.510	кастык
repudiation	anger	0.510	баш тартуу
banish	anger	0.509	сүрүп салуу
disfigured	anger	0.508	бузулган
storm	anger	0.507	бороон
crazy	anger	0.500	жинди
hammering	anger	0.500	балкалоо
defy	anger	0.500	каршы чыгуу
antithesis	anger	0.500	антитеза
scoff	anger	0.500	шылдыңдоо
anguish	anger	0.500	азап
confined	anger	0.500	чектелген
fear	anger	0.500	коркуу
bout	anger	0.500	күрөш
unruly	anger	0.500	баш ийбеген
delusional	anger	0.500	адашуу
obstruct	anger	0.500	тоскоол кылуу
possessed	anger	0.500	ээ болгон
injustice	anger	0.500	адилетсиздик
fervor	anger	0.500	жалындуу
spear	anger	0.500	найза
derision	anger	0.500	шылдыңдоо
intractable	anger	0.500	чечилбес
reject	anger	0.500	четке кагуу
dominate	anger	0.500	үстөмдүк кылуу
ordeal	anger	0.500	сыноо
banished	anger	0.500	куулган
rejects	anger	0.500	четке кагат
shun	anger	0.500	кач
brunt	anger	0.500	оор
derogation	anger	0.500	четтетүү
frenzied	anger	0.500	ачууланган
animus	anger	0.500	animus
suppression	anger	0.500	басуу
malpractice	anger	0.500	туура эмес иш
brazen	anger	0.500	уятсыз
foaming	anger	0.500	көбүктүү
disrupting	anger	0.500	бузуу
nobodycares	anger	0.500	эч ким кам көрбөйт
patronising	anger	0.500	камкордук кылуу
getoveryourself	anger	0.495	өзүңдү ал
toughness	anger	0.492	катуулугу
stupidpeople	anger	0.492	келесоо адамдар
madness	anger	0.491	жиндилик
sinful	anger	0.491	күнөөкөр
avarice	anger	0.490	ач көздүк
oppress	anger	0.490	эзүү
cutting	anger	0.485	кесүү
anathema	anger	0.485	анатема
annoyed	anger	0.485	кыжырданган
dissident	anger	0.485	диссидент
demand	anger	0.485	талап
usurp	anger	0.485	узурпация
claw	anger	0.485	тырмак
alienate	anger	0.485	ажыратуу
infraction	anger	0.485	бузуу
avenger	anger	0.485	өч алуучу
revoke	anger	0.485	жокко чыгаруу
smuggler	anger	0.485	контрабандачы
abolish	anger	0.485	жоюу
fricking	anger	0.485	кычышуу
stayaway	anger	0.485	кал
pervert	anger	0.485	бузуку
disservice	anger	0.485	кызматтан кетирүү
disobedient	anger	0.485	баш ийбеген
incest	anger	0.485	инцест
complaint	anger	0.485	арыз
disapproved	anger	0.485	жактырбаган
inhuman	anger	0.485	адамкерчиликсиз
mocking	anger	0.484	шылдыңдоо
penalty	anger	0.484	айып
renounce	anger	0.484	баш тартуу
restrain	anger	0.484	тыйуу
upheaval	anger	0.484	толкундоо
deceit	anger	0.484	алдамчылык
obnoxious	anger	0.484	жийиркеничтүү
imprisoned	anger	0.484	камалган
strained	anger	0.484	чыңалган
blame	anger	0.484	айыптоо
oust	anger	0.484	кууп чыгуу
litigious	anger	0.484	талаштуу
rivalry	anger	0.484	атаандаштык
sucker	anger	0.484	соргуч
opposed	anger	0.484	каршы
thresh	anger	0.484	кырман
disgrace	anger	0.484	уят
suspicious	anger	0.484	шектүү
turbulence	anger	0.483	турбуленттүүлүк
