English Word	Emotion	Emotion-Intensity-Score	Arabic Word
cruelly	anger	0.672	بقسوة
shoot	anger	0.672	أطلق النار
condemnation	anger	0.672	إدانة
crushed	anger	0.672	سحقت
aggravation	anger	0.672	التفاقم
poisonous	anger	0.672	سامة
egregious	anger	0.672	فظيع
crime	anger	0.672	جريمة
corrupting	anger	0.672	مفسد
dastardly	anger	0.672	غذر
contempt	anger	0.672	ازدراء
harmful	anger	0.672	ضار
expletive	anger	0.672	كلمة بذيئة
wreak	anger	0.672	يعيث
maniac	anger	0.670	معتوه
cutthroat	anger	0.667	سفاح
enemy	anger	0.667	العدو
hit	anger	0.667	يضرب
hateeveryone	anger	0.667	أكره الجميع
eruption	anger	0.667	ثوران
irritable	anger	0.667	سريع الانفعال
odious	anger	0.667	كريه
shooting	anger	0.667	اطلاق الرصاص
shout	anger	0.667	يصيح، يصرخ، صيحة
aggressive	anger	0.667	عنيف
kick	anger	0.667	ركلة
combat	anger	0.667	قتال
fight	anger	0.667	يقاتل
punished	anger	0.662	يعاقب
yell	anger	0.661	قال بصوت عال
ambush	anger	0.661	كمين
harass	anger	0.659	مضايقة
malignant	anger	0.656	خبيث
aggressor	anger	0.656	المعتدي
gore	anger	0.656	جور
destruction	anger	0.656	دمار
grudge	anger	0.656	ضغينة
antichrist	anger	0.656	عدو للمسيح
incense	anger	0.656	عطور
expel	anger	0.656	يطرد
cranky	anger	0.653	غريب الأطوار
slave	anger	0.652	عبد
reprisal	anger	0.652	انتقام
growl	anger	0.652	تذمر
animosity	anger	0.652	العداء
insurrection	anger	0.652	تمرد
clashing	anger	0.652	تصادم
denounce	anger	0.652	التنديد
offended	anger	0.652	بالإهانة
spank	anger	0.652	برشاقة
insulting	anger	0.652	إهانة
growls	anger	0.649	الهدير
executioner	anger	0.644	جلاد
twat	anger	0.644	الفرج
doomsday	anger	0.643	يوم القيامة
obscenity	anger	0.641	الفحش
accused	anger	0.641	المتهم
feud	anger	0.641	عداء
daemon	anger	0.641	شيطان
havoc	anger	0.641	الخراب
shackle	anger	0.641	قيد
inexcusable	anger	0.641	لا يغتفر
indignant	anger	0.641	ساخط
grr	anger	0.641	grr
expulsion	anger	0.641	طرد
bombard	anger	0.641	قصف
spat	anger	0.641	بصق
arson	anger	0.641	حريق متعمد
reprimand	anger	0.641	شجب
somad	anger	0.637	مجنون جدا
frustrated	anger	0.636	محبط
batter	anger	0.636	خليط
kicking	anger	0.636	الركل
anarchy	anger	0.636	فوضى سياسية
spanking	anger	0.636	الضرب
glaring	anger	0.636	صارخ
suicidal	anger	0.636	انتحاري
disgusting	anger	0.636	مقزز
wound	anger	0.636	جرح
hanging	anger	0.636	معلقة
poisoned	anger	0.636	تسمم
combatant	anger	0.636	مقاتل
wrecked	anger	0.633	محطمة
inflict	anger	0.633	يلحق
grievous	anger	0.632	حزين
prosecute	anger	0.630	محاكمة
agitated	anger	0.630	مضطرب
cheat	anger	0.630	يغش
swastika	anger	0.627	الصليب المعقوف
injure	anger	0.625	جرح
indict	anger	0.625	لائحة الاتهام
scourge	anger	0.625	بلاء
provocation	anger	0.625	إثارة
suffocation	anger	0.625	الاختناق
strife	anger	0.625	الفتنة
raid	anger	0.625	غارة
enslaved	anger	0.625	مستعبدون
cursing	anger	0.625	اللعن
defamatory	anger	0.625	تشهيرية
harassing	anger	0.625	مضايقة
thundering	anger	0.625	مدو
betray	anger	0.625	يخون
arsehole	anger	0.624	الشرج
theft	anger	0.621	سرقة
insane	anger	0.621	مجنون
retaliation	anger	0.621	انتقام
irritate	anger	0.621	يزعج
deprivation	anger	0.621	الحرمان
fiend	anger	0.621	مدمن
jerk	anger	0.621	أحمق
convict	anger	0.621	المحكوم عليه
cussed	anger	0.619	لعن
turmoil	anger	0.618	اضطراب
smack	anger	0.615	صفعة
retribution	anger	0.614	القصاص
rebellion	anger	0.609	تمرد
oppressor	anger	0.609	الظالم
gang	anger	0.609	عصابة
slavery	anger	0.609	عبودية
intolerable	anger	0.609	لا يطاق
adverse	anger	0.609	سلبي
injurious	anger	0.609	ضار
twats	anger	0.609	أيها الحمقى
collision	anger	0.609	تصادم
battery	anger	0.609	البطارية
bitterly	anger	0.609	بمرارة
antagonism	anger	0.609	عداوة
irritability	anger	0.609	التهيج
disgraced	anger	0.608	عار
diatribe	anger	0.606	خطبة خطبة
asshole	anger	0.606	الأحمق
blast	anger	0.606	انفجار
bombardment	anger	0.606	قصف
irks	anger	0.606	يزعج
ranting	anger	0.606	صراخ
revolution	anger	0.606	ثورة
thug	anger	0.606	سفاح
antagonistic	anger	0.606	عدائي
irritating	anger	0.606	مزعج
sickening	anger	0.606	مقزز
discrimination	anger	0.606	تمييز
frustrate	anger	0.604	أحبط
insult	anger	0.603	إهانة
hurtful	anger	0.603	مؤلم
oppression	anger	0.603	القهر
manipulation	anger	0.603	بمعالجة
tiredofit	anger	0.603	تعبت من ذلك
bigot	anger	0.603	متعصب
tension	anger	0.603	توتر
disgust	anger	0.602	الاشمئزاز
spite	anger	0.600	رغم
intrusive	anger	0.598	تطفلي
harshness	anger	0.597	قسوة
slur	anger	0.596	افتراء
tempest	anger	0.594	عاصفة
assail	anger	0.594	هاجم
bitterness	anger	0.594	مرارة
morbidity	anger	0.594	المرض
casualty	anger	0.594	ضحية
puncture	anger	0.594	ثقب
miserable	anger	0.594	تعيس
inferno	anger	0.594	نار كبيرة
invasion	anger	0.594	غزو
storming	anger	0.594	اقتحام
wretch	anger	0.594	البائس
consternation	anger	0.592	ذعر
raving	anger	0.591	هذيان
forcibly	anger	0.591	غصبا
guillotine	anger	0.591	مقصلة
guilty	anger	0.591	مذنب
depraved	anger	0.591	فاسد
immoral	anger	0.591	عديم الاخلاق
overpowering	anger	0.591	تغلب
scare	anger	0.588	فزع
recalcitrant	anger	0.588	متمرد
screwed	anger	0.588	ثمل
accursed	anger	0.588	ملعون
soannoyed	anger	0.588	منزعج جدا
invader	anger	0.588	الغازي
jealousy	anger	0.587	الغيرة
indignation	anger	0.587	سخط
vexed	anger	0.586	مزعج
confront	anger	0.582	مواجهة
brute	anger	0.581	غاشمة
throttle	anger	0.579	خنق
slut	anger	0.578	وقحة
coup	anger	0.578	انقلاب
blaze	anger	0.578	حريق
pillage	anger	0.578	نهب
provoking	anger	0.578	استفزاز
damage	anger	0.578	تلف
criminality	anger	0.578	الإجرام
shutup	anger	0.578	اسكت
lash	anger	0.578	رموش
conflict	anger	0.578	نزاع
contentious	anger	0.578	إثارة للخلاف
shutit	anger	0.578	أغلقه
wreck	anger	0.578	حطام سفينة
defiant	anger	0.578	غير هياب جريء
butcher	anger	0.578	قصاب
incarceration	anger	0.578	السجن
revolver	anger	0.578	مسدس
bickering	anger	0.578	المشاحنات
yousuck	anger	0.578	أنت تمتص
cancer	anger	0.577	سرطان
discriminate	anger	0.576	تميز
gun	anger	0.576	بندقية
frustration	anger	0.576	إحباط
gory	anger	0.576	دموي
pernicious	anger	0.576	خبيث
dontmess	anger	0.576	لا تفوت
blasphemy	anger	0.576	تجديف
chaotic	anger	0.576	فوضوية
grope	anger	0.576	تلمس
alienation	anger	0.576	نقل ملكية
disturbance	anger	0.576	إزعاج
condescension	anger	0.576	الهبوط بالمستوى
standoff	anger	0.576	المواجهة
discord	anger	0.576	الخلاف
friggen	anger	0.575	friggen
sneer	anger	0.574	سخرية
death	anger	0.574	الموت
lunacy	anger	0.574	جنون
scandalous	anger	0.574	فضيحة
oppressive	anger	0.574	جائرة
jab	anger	0.574	ضربة بالكوع
cursed	anger	0.574	ملعون
monstrosity	anger	0.574	وحشية
shit	anger	0.573	القرف
disparaging	anger	0.571	الاستخفاف
slash	anger	0.571	خفض
unfair	anger	0.571	غير منصف
gallows	anger	0.570	المشنقة
escalate	anger	0.569	يتصعد
intolerant	anger	0.564	غير متسامح
lawlessness	anger	0.563	الفوضى
beast	anger	0.562	وحش
torpedo	anger	0.562	نسف
malign	anger	0.562	خبيث
traitor	anger	0.562	خائن
frightful	anger	0.562	مخيف
wrangling	anger	0.562	الجدل
slander	anger	0.562	القذف
bellows	anger	0.562	منفاخ
retards	anger	0.562	يؤخرون
grouchy	anger	0.562	عابس
derogatory	anger	0.562	ازدراء
bearish	anger	0.562	سبحة
invade	anger	0.562	غزو
perdition	anger	0.562	هلاك
arghh	anger	0.562	أرغه
dreadful	anger	0.562	مروع
bluddy	anger	0.562	بلودي
deceived	anger	0.562	خدع
glare	anger	0.562	وهج
taunt	anger	0.562	تهكم
dissension	anger	0.561	الخلاف
cross	anger	0.561	الاعتراض
rave	anger	0.561	الهذيان
grating	anger	0.561	صريف
devastating	anger	0.561	مدمر
fits	anger	0.561	تناسبها
jeopardize	anger	0.561	يعرض للخطر
shatter	anger	0.561	تتحطم
idiots	anger	0.561	أغبياء
hurt	anger	0.561	جرح
thief	anger	0.561	لص
uncontrollable	anger	0.561	لا يمكن السيطرة عليها
conflagration	anger	0.561	حريق هائل
betrayal	anger	0.561	خيانة
banshee	anger	0.561	الشؤم
subjugation	anger	0.559	القهر
disturbed	anger	0.559	مختل
stomped	anger	0.557	داس
grab	anger	0.557	إختطاف
grievance	anger	0.556	التظلم
ticked	anger	0.556	علامة
masochism	anger	0.556	الماسوشية
defiance	anger	0.552	التحدي
blackmail	anger	0.550	ابتزاز
offensive	anger	0.549	مسيئة
decry	anger	0.548	شجب
frustrates	anger	0.547	يحبط
violation	anger	0.547	انتهاك
confine	anger	0.547	حجز
misery	anger	0.547	بؤس
arghhhh	anger	0.547	arghhhh
disparity	anger	0.547	التفاوت
punishment	anger	0.547	عقاب
rebel	anger	0.547	متمرد
preposterous	anger	0.547	غير معقول
disgraceful	anger	0.547	مخز
ire	anger	0.547	غضب
deceive	anger	0.547	يخدع
fustrated	anger	0.547	محبط
sin	anger	0.547	الخطيئة
shrill	anger	0.547	شديد
darkside	anger	0.547	الجانب المظلم
overbearing	anger	0.547	متعجرف
firearms	anger	0.547	الأسلحة النارية
stolen	anger	0.546	مسروق
hadenough	anger	0.546	لديه ما يكفي
prejudice	anger	0.545	تعصب
tackle	anger	0.545	يعالج
resentful	anger	0.545	استياء
heated	anger	0.545	ساخنة
callous	anger	0.545	قاس
conspirator	anger	0.545	متآمر
ruined	anger	0.545	مدمر
antagonist	anger	0.545	خصم
skirmish	anger	0.545	مناوشة
menace	anger	0.545	تهديد
annoyin	anger	0.545	مزعج
foul	anger	0.545	خطأ
argument	anger	0.545	جدال
humiliate	anger	0.545	إذلال
wanker	anger	0.545	wanker
adversary	anger	0.545	الخصم
sting	anger	0.544	العقرب
entangled	anger	0.544	متشابكا
grumble	anger	0.544	تذمر
robbery	anger	0.544	سرقة
outcry	anger	0.544	صرخة
resistance	anger	0.543	مقاومة
irreconcilable	anger	0.543	لا يمكن التوفيق بينها
obstructive	anger	0.542	انسداد
dismay	anger	0.540	الفزع
mob	anger	0.538	تجمهر
juststop	anger	0.537	توقف
badness	anger	0.536	سوء
ridicule	anger	0.534	سخرية
incendiary	anger	0.533	حارق
flares	anger	0.532	مشاعل
twofaced	anger	0.531	وجهان
reckless	anger	0.531	متهور
communism	anger	0.531	شيوعية
allegation	anger	0.531	ادعاء
prejudicial	anger	0.531	ضار
whip	anger	0.531	سوط
unbridled	anger	0.531	جامح
degeneracy	anger	0.531	انحطاط
intruder	anger	0.531	دخيل
belittle	anger	0.531	استخفاف
confinement	anger	0.531	الحبس
dispute	anger	0.531	خلاف
exacerbation	anger	0.531	تفاقم
uprising	anger	0.531	الانتفاضة
unjust	anger	0.530	غير عادل
unjustifiable	anger	0.530	غير مبرر
perversion	anger	0.530	الانحراف
bigoted	anger	0.530	متعصب
fiesty	anger	0.530	احتفالي
offender	anger	0.530	الجاني
dictatorial	anger	0.530	دكتاتوري
hassle	anger	0.530	مشاحنة
dissonance	anger	0.530	التنافر
tackled	anger	0.530	معالجة
renegade	anger	0.529	المنشق
cantstandit	anger	0.529	كانت
trespass	anger	0.529	التعدي
hot	anger	0.529	الحار
prison	anger	0.529	السجن
suicide	anger	0.521	انتحار
annoy	anger	0.520	تزعج
leavemealone	anger	0.517	اتركني وحدي
cretins	anger	0.516	كريتينس
depravity	anger	0.516	الفساد
idiotic	anger	0.516	أحمق
dishonest	anger	0.516	غير شريفة
distrust	anger	0.516	عدم الثقة
broil	anger	0.516	شواء
grrr	anger	0.516	غرر
criticize	anger	0.516	ينتقد
inimical	anger	0.516	معاد
tortious	anger	0.516	معذب
prisoner	anger	0.516	أسير
treason	anger	0.516	خيانة
divorce	anger	0.516	الطلاق
venting	anger	0.516	التنفيس
duress	anger	0.516	إكراه
disrespectful	anger	0.516	عدم الاحترام
poaching	anger	0.515	الصيد الجائر
scold	anger	0.515	وبخ
poachers	anger	0.515	الصيادين
pow	anger	0.515	الأسرى
hangry	anger	0.515	جائع
argumentation	anger	0.515	الجدل
frustrating	anger	0.515	محبط
unkind	anger	0.515	غير لطيف
roar	anger	0.515	هدير
coercion	anger	0.515	إكراه
unforgiving	anger	0.515	لا ترحم
grump	anger	0.515	نكد
bile	anger	0.515	الصفراء
unleash	anger	0.515	إطلاق العنان - يحرر
chaos	anger	0.515	فوضى
victimized	anger	0.515	ضحية
jerks	anger	0.515	الحمقى
tussle	anger	0.514	صراع
bane	anger	0.511	لعنة
accusation	anger	0.510	الاتهام
enmity	anger	0.510	عداوة
repudiation	anger	0.510	طلاق
banish	anger	0.509	نفي
disfigured	anger	0.508	مشوه
storm	anger	0.507	عاصفه
crazy	anger	0.500	مجنون
hammering	anger	0.500	يدق
defy	anger	0.500	يعصي
antithesis	anger	0.500	نقيض
scoff	anger	0.500	يسخر
anguish	anger	0.500	معاناة
confined	anger	0.500	حبيس
fear	anger	0.500	يخاف
bout	anger	0.500	نوبة
unruly	anger	0.500	مزعج
delusional	anger	0.500	الوهمية
obstruct	anger	0.500	عرقلة
possessed	anger	0.500	ممسوس
injustice	anger	0.500	ظلم
fervor	anger	0.500	حماسة
spear	anger	0.500	رمح
derision	anger	0.500	السخرية
intractable	anger	0.500	مستعصية على الحل
reject	anger	0.500	رفض
dominate	anger	0.500	تسيطر
ordeal	anger	0.500	محنة
banished	anger	0.500	نفي
rejects	anger	0.500	يرفض
shun	anger	0.500	تجنب
brunt	anger	0.500	وطأة
derogation	anger	0.500	عدم التقيد
frenzied	anger	0.500	مسعور
animus	anger	0.500	انيموس
suppression	anger	0.500	إخماد
malpractice	anger	0.500	سوء التصرف
brazen	anger	0.500	وقح \ نحاسي
foaming	anger	0.500	الرغوة
disrupting	anger	0.500	وتعطيل
nobodycares	anger	0.500	لا أحد يهتم
patronising	anger	0.500	عاضد
getoveryourself	anger	0.495	تمالك نفسك
toughness	anger	0.492	صلابة
stupidpeople	anger	0.492	أيها الأغبياء
madness	anger	0.491	جنون
sinful	anger	0.491	شرير
avarice	anger	0.490	الجشع
oppress	anger	0.490	الظلم
cutting	anger	0.485	قطع
anathema	anger	0.485	لعنة
annoyed	anger	0.485	متضايق
dissident	anger	0.485	المنشق
demand	anger	0.485	الطلب
usurp	anger	0.485	انتزاع
claw	anger	0.485	مخلب
alienate	anger	0.485	ينفر
infraction	anger	0.485	مخالفة
avenger	anger	0.485	المنتقم
revoke	anger	0.485	سحب او إبطال
smuggler	anger	0.485	مهرب
abolish	anger	0.485	تلغي
fricking	anger	0.485	مزعج
stayaway	anger	0.485	ابق بعيدا
pervert	anger	0.485	منحرف
disservice	anger	0.485	ضرر
disobedient	anger	0.485	عاصي
incest	anger	0.485	سفاح القربى
complaint	anger	0.485	شكوى
disapproved	anger	0.485	مرفوض
inhuman	anger	0.485	غير إنساني
mocking	anger	0.484	السخرية
penalty	anger	0.484	ضربة جزاء
renounce	anger	0.484	تنازل
restrain	anger	0.484	كبح
upheaval	anger	0.484	فوضى
deceit	anger	0.484	خداع
obnoxious	anger	0.484	بغيض
imprisoned	anger	0.484	مسجون
strained	anger	0.484	تمزق
blame	anger	0.484	إلقاء اللوم على
oust	anger	0.484	طرد
litigious	anger	0.484	التقاضي
rivalry	anger	0.484	التنافس
sucker	anger	0.484	مصاصة
opposed	anger	0.484	يعارض
thresh	anger	0.484	عتبة
disgrace	anger	0.484	عار
suspicious	anger	0.484	مثير للشك
turbulence	anger	0.483	اضطراب
pound	anger	0.481	جنيه
coldness	anger	0.477	برودة
ungrateful	anger	0.472	جاحد
stoopid	anger	0.471	غاضب
battalion	anger	0.471	كتيبة
feudalism	anger	0.470	الإقطاع
hostage	anger	0.470	رهينة
annoying	anger	0.470	مزعج
dispossessed	anger	0.470	جرداء
subversion	anger	0.470	التخريب
friction	anger	0.470	احتكاك
jealous	anger	0.470	غيور
adversity	anger	0.470	محنة
infidel	anger	0.470	كافر
gall	anger	0.470	المرارة
accuser	anger	0.470	المتهم
ram	anger	0.470	الرامات  الذاكرة العشوائية في الهواتف والحواسيب
armament	anger	0.470	التسلح
thump	anger	0.469	رطم
dislike	anger	0.469	لم يعجبنى
steal	anger	0.469	سرقة
backoff	anger	0.469	تراجع
stifled	anger	0.469	خنق
incite	anger	0.469	يحرض
distress	anger	0.469	محنة
angermanagement	anger	0.469	السيطرة على الغضب
selfish	anger	0.469	أنانية
injury	anger	0.469	إصابة
exile	anger	0.469	منفى
insanity	anger	0.469	جنون
offense	anger	0.469	جريمة
objection	anger	0.469	اعتراض
smother	anger	0.469	خنق
