English Word	Emotion	Emotion-Intensity-Score	Malay Word
vendetta	anger	0.812	dendam
pissesmeoff	anger	0.812	membuatkan saya marah
pissedoff	anger	0.812	bengang
tyrant	anger	0.812	zalim
berserk	anger	0.812	mengamuk
fuming	anger	0.812	mengarut
anger	anger	0.811	kemarahan
pieceofshit	anger	0.810	pieceofshit
punched	anger	0.803	ditumbuk
punching	anger	0.803	menumbuk
slam	anger	0.803	slam
homicide	anger	0.803	pembunuhan
bitch	anger	0.803	jalang
fights	anger	0.803	pergaduhan
ruthless	anger	0.797	kejam
villainous	anger	0.797	jahat
destructive	anger	0.797	merosakkan
slap	anger	0.791	tampar
riot	anger	0.788	rusuhan
growthefuckup	anger	0.788	growthfuckup
punishing	anger	0.788	menghukum
slaughterhouse	anger	0.788	rumah penyembelihan
yelling	anger	0.788	menjerit
diabolical	anger	0.788	jahat
destroyed	anger	0.788	musnah
ragetweet	anger	0.788	ragetweet
retaliatory	anger	0.788	membalas dendam
manslaughter	anger	0.783	pembunuhan beramai-ramai
clash	anger	0.783	pertembungan
quarrel	anger	0.781	bergaduh
bloody	anger	0.781	berdarah
hellish	anger	0.781	jahat
sinister	anger	0.781	jahat
loath	anger	0.781	kebencian
detonation	anger	0.781	letupan
accusing	anger	0.779	menuduh
fumin	anger	0.779	fumin
hateeee	anger	0.779	benciee
treacherous	anger	0.779	khianat
madder	anger	0.773	lebih gila
horrific	anger	0.773	ngeri
revulsion	anger	0.773	rasa jijik
retaliate	anger	0.773	membalas dendam
scorn	anger	0.769	cemuhan
bomb	anger	0.766	bom
deplorable	anger	0.766	menyedihkan
devastation	anger	0.765	kemusnahan
anarchist	anger	0.765	anarkis
firestorm	anger	0.765	ribut api
resent	anger	0.765	geram
contemptible	anger	0.764	hina
shittest	anger	0.760	paling sial
rant	anger	0.758	mengarut
cruel	anger	0.758	kejam
deadly	anger	0.758	maut
smash	anger	0.758	menghancurkan
soangry	anger	0.758	sangat marah
outburst	anger	0.757	ledakan
snarl	anger	0.754	geram
profane	anger	0.750	tidak senonoh
revolting	anger	0.750	memberontak
aggravating	anger	0.750	memburukkan
horror	anger	0.750	seram
despise	anger	0.750	menghina
offend	anger	0.750	menyinggung perasaan
stfu	anger	0.750	stfu
vulgarity	anger	0.750	kekasaran
crazed	anger	0.750	gila
douchebags	anger	0.750	douchebags
growling	anger	0.750	geram
dontmesswithme	anger	0.750	jangan kacau saya
screaming	anger	0.742	menjerit
threat	anger	0.742	ancaman
erupt	anger	0.742	meletus
horrible	anger	0.742	ngeri
molestation	anger	0.742	pencabulan
fuckedoff	anger	0.742	fuckedoff
violence	anger	0.742	keganasan
bastards	anger	0.741	bangsat
revenge	anger	0.738	membalas dendam
menacing	anger	0.735	mengancam
crushing	anger	0.735	menghancurkan
damn	anger	0.735	sial
catastrophe	anger	0.735	malapetaka
demon	anger	0.735	syaitan
argue	anger	0.734	berhujah
persecute	anger	0.734	menganiaya
deplore	anger	0.734	kesal
flog	anger	0.734	sebat
fedup	anger	0.734	menyampah
riotous	anger	0.734	kecoh
vehement	anger	0.734	berapi-api
revolt	anger	0.734	memberontak
warfare	anger	0.734	peperangan
thrash	anger	0.734	sampah
altercation	anger	0.729	pertengkaran
warlike	anger	0.728	suka berperang
shitday	anger	0.727	shitday
mutiny	anger	0.727	pemberontakan
castrate	anger	0.727	kastrat
sabotage	anger	0.727	sabotaj
malevolent	anger	0.721	jahat
strike	anger	0.721	mogok
disaster	anger	0.721	bencana
disastrous	anger	0.720	malapetaka
bastarding	anger	0.719	bangsat
treachery	anger	0.719	khianat
arseholes	anger	0.719	arseholes
horseshit	anger	0.719	tadah kuda
slay	anger	0.719	membunuh
disdain	anger	0.719	penghinaan
aggravates	anger	0.719	memburukkan lagi
brutal	anger	0.719	kejam
scorching	anger	0.719	terik
devil	anger	0.719	syaitan
madden	anger	0.719	marah
spiteful	anger	0.719	dengki
scream	anger	0.719	menjerit
choke	anger	0.719	tercekik
vermin	anger	0.719	kutu
tumult	anger	0.719	kecoh
criminal	anger	0.714	penjenayah
mangle	anger	0.714	mangle
anarchism	anger	0.714	anarkisme
mutilation	anger	0.714	pencacatan
denunciation	anger	0.713	kecaman
punch	anger	0.713	menumbuk
virulence	anger	0.712	keganasan
fatal	anger	0.712	maut
hurting	anger	0.712	menyakitkan hati
crucifixion	anger	0.712	penyaliban
dontlikeyou	anger	0.712	tak suka awak
blasphemous	anger	0.712	menghujat
holocaust	anger	0.712	holocaust
dumbasses	anger	0.712	orang bodoh
battled	anger	0.712	bertempur
deranged	anger	0.706	gila
irritated	anger	0.706	jengkel
atrocious	anger	0.706	kejam
evil	anger	0.706	jahat
aggravated	anger	0.703	bertambah teruk
intimidation	anger	0.703	ugutan
dicks	anger	0.703	batang
assassin	anger	0.703	pembunuh upahan
scolding	anger	0.703	memarahi
persecution	anger	0.703	penganiayaan
slayer	anger	0.703	pembunuh
kidnap	anger	0.703	culik
aggression	anger	0.702	pencerobohan
armed	anger	0.700	bersenjata
battle	anger	0.697	pertempuran
poison	anger	0.697	racun
snarling	anger	0.697	geram
venom	anger	0.697	racun
disgruntled	anger	0.693	tak puas hati
resentment	anger	0.691	rasa dendam
assailant	anger	0.691	penyerang
insidious	anger	0.691	licik
contemptuous	anger	0.690	menghina
lynch	anger	0.690	lynch
temper	anger	0.688	perangai
terrible	anger	0.688	dahsyat
disparage	anger	0.688	memperlekehkan
lunatic	anger	0.688	gila
bully	anger	0.688	pembuli
mad	anger	0.688	gila
makesmemad	anger	0.688	makesmemad
infanticide	anger	0.688	pembunuhan bayi
domination	anger	0.688	penguasaan
peeved	anger	0.688	geram
imprisonment	anger	0.688	pemenjaraan
curse	anger	0.688	kutuk
volatility	anger	0.687	turun naik
eradication	anger	0.685	pembasmian
eradicate	anger	0.682	membasmi
tantrum	anger	0.682	tantrum
scoundrel	anger	0.682	bajingan
devastate	anger	0.682	memusnahkan
aggressively	anger	0.680	secara agresif
agitation	anger	0.680	pergolakan
dictatorship	anger	0.676	pemerintahan diktator
irritates	anger	0.676	merengsakan
profanity	anger	0.673	kata-kata kotor
shove	anger	0.672	tolak
nasty	anger	0.672	jahat
shot	anger	0.672	tembakan
cruelly	anger	0.672	dengan kejam
shoot	anger	0.672	tembak
condemnation	anger	0.672	kutukan
crushed	anger	0.672	hancur
aggravation	anger	0.672	keterukan
poisonous	anger	0.672	beracun
egregious	anger	0.672	teruk
crime	anger	0.672	jenayah
corrupting	anger	0.672	merosakkan
dastardly	anger	0.672	keji
contempt	anger	0.672	penghinaan
harmful	anger	0.672	memudaratkan
expletive	anger	0.672	mengumpat
wreak	anger	0.672	melanda
maniac	anger	0.670	gila
cutthroat	anger	0.667	kecut tekak
enemy	anger	0.667	musuh
hit	anger	0.667	pukul
hateeveryone	anger	0.667	benci semua orang
eruption	anger	0.667	letusan
irritable	anger	0.667	mudah marah
odious	anger	0.667	menjijikkan
shooting	anger	0.667	menembak
shout	anger	0.667	jerit
aggressive	anger	0.667	agresif
kick	anger	0.667	tendang
combat	anger	0.667	pertempuran
fight	anger	0.667	bergaduh
punished	anger	0.662	dihukum
yell	anger	0.661	jerit
ambush	anger	0.661	serang hendap
harass	anger	0.659	mengganggu
malignant	anger	0.656	malignan
aggressor	anger	0.656	penceroboh
gore	anger	0.656	gore
destruction	anger	0.656	kemusnahan
grudge	anger	0.656	dendam
antichrist	anger	0.656	dajjal
incense	anger	0.656	kemenyan
expel	anger	0.656	mengusir
cranky	anger	0.653	rewel
slave	anger	0.652	hamba
reprisal	anger	0.652	pembalasan
growl	anger	0.652	geram
animosity	anger	0.652	permusuhan
insurrection	anger	0.652	pemberontakan
clashing	anger	0.652	bertembung
denounce	anger	0.652	mengecam
offended	anger	0.652	tersinggung
spank	anger	0.652	merotan
insulting	anger	0.652	menghina
growls	anger	0.649	geram
executioner	anger	0.644	algojo
twat	anger	0.644	twat
doomsday	anger	0.643	hari kiamat
obscenity	anger	0.641	kelucahan
accused	anger	0.641	tertuduh
feud	anger	0.641	perselisihan
daemon	anger	0.641	daemon
havoc	anger	0.641	malapetaka
shackle	anger	0.641	belenggu
inexcusable	anger	0.641	tidak boleh dimaafkan
indignant	anger	0.641	geram
grr	anger	0.641	grr
expulsion	anger	0.641	pengusiran
bombard	anger	0.641	membombardir
spat	anger	0.641	meludah
arson	anger	0.641	pembakaran
reprimand	anger	0.641	teguran
somad	anger	0.637	sangat marah
frustrated	anger	0.636	kecewa
batter	anger	0.636	adunan
kicking	anger	0.636	menendang
anarchy	anger	0.636	anarki
spanking	anger	0.636	pukulan
glaring	anger	0.636	silau
suicidal	anger	0.636	membunuh diri
disgusting	anger	0.636	menjijikkan
wound	anger	0.636	luka
hanging	anger	0.636	tergantung
poisoned	anger	0.636	diracun
combatant	anger	0.636	pejuang
wrecked	anger	0.633	rosak
inflict	anger	0.633	menimpakan
grievous	anger	0.632	pedih
prosecute	anger	0.630	mendakwa
agitated	anger	0.630	gelisah
cheat	anger	0.630	menipu
swastika	anger	0.627	swastika
injure	anger	0.625	mencederakan
indict	anger	0.625	dakwa
scourge	anger	0.625	bencana
provocation	anger	0.625	provokasi
suffocation	anger	0.625	sesak nafas
strife	anger	0.625	perselisihan
raid	anger	0.625	serbuan
enslaved	anger	0.625	diperhambakan
cursing	anger	0.625	mengutuk
defamatory	anger	0.625	memfitnah
harassing	anger	0.625	mengganggu
thundering	anger	0.625	bergemuruh
betray	anger	0.625	mengkhianati
arsehole	anger	0.624	arsehole
theft	anger	0.621	kecurian
insane	anger	0.621	gila
retaliation	anger	0.621	pembalasan
irritate	anger	0.621	merengsakan
deprivation	anger	0.621	kekurangan
fiend	anger	0.621	iblis
jerk	anger	0.621	jerkah
convict	anger	0.621	sabit kesalahan
cussed	anger	0.619	memaki hamun
turmoil	anger	0.618	kegawatan
smack	anger	0.615	pukul
retribution	anger	0.614	pembalasan
rebellion	anger	0.609	pemberontakan
oppressor	anger	0.609	penindas
gang	anger	0.609	geng
slavery	anger	0.609	perhambaan
intolerable	anger	0.609	tak boleh tahan
adverse	anger	0.609	buruk
injurious	anger	0.609	mencederakan
twats	anger	0.609	twats
collision	anger	0.609	perlanggaran
battery	anger	0.609	bateri
bitterly	anger	0.609	dengan pahit
antagonism	anger	0.609	antagonisme
irritability	anger	0.609	mudah marah
disgraced	anger	0.608	terhina
diatribe	anger	0.606	keji
asshole	anger	0.606	bangang
blast	anger	0.606	letupan
bombardment	anger	0.606	pengeboman
irks	anger	0.606	kesal
ranting	anger	0.606	membebel
revolution	anger	0.606	revolusi
thug	anger	0.606	samseng
antagonistic	anger	0.606	antagonis
irritating	anger	0.606	menjengkelkan
sickening	anger	0.606	memuakkan
discrimination	anger	0.606	diskriminasi
frustrate	anger	0.604	mengecewakan
insult	anger	0.603	penghinaan
hurtful	anger	0.603	menyakitkan hati
oppression	anger	0.603	penindasan
manipulation	anger	0.603	manipulasi
tiredofit	anger	0.603	penat lelah
bigot	anger	0.603	taksub
tension	anger	0.603	ketegangan
disgust	anger	0.602	meluat
spite	anger	0.600	dendam
intrusive	anger	0.598	mengganggu
harshness	anger	0.597	kekasaran
slur	anger	0.596	cercaan
tempest	anger	0.594	ribut
assail	anger	0.594	menyerang
bitterness	anger	0.594	kepahitan
morbidity	anger	0.594	morbiditi
casualty	anger	0.594	korban
puncture	anger	0.594	tusukan
miserable	anger	0.594	sengsara
inferno	anger	0.594	neraka
invasion	anger	0.594	pencerobohan
storming	anger	0.594	ribut
wretch	anger	0.594	celaka
consternation	anger	0.592	kegusaran
raving	anger	0.591	meracau
forcibly	anger	0.591	secara paksa
guillotine	anger	0.591	guillotine
guilty	anger	0.591	bersalah
depraved	anger	0.591	rosak akhlak
immoral	anger	0.591	tidak bermoral
overpowering	anger	0.591	terlalu berkuasa
scare	anger	0.588	menakutkan
recalcitrant	anger	0.588	degil
screwed	anger	0.588	kacau
accursed	anger	0.588	terkutuk
soannoyed	anger	0.588	kesal
invader	anger	0.588	penceroboh
jealousy	anger	0.587	cemburu
indignation	anger	0.587	kemarahan
vexed	anger	0.586	geram
confront	anger	0.582	berhadapan
brute	anger	0.581	kejam
throttle	anger	0.579	pendikit
slut	anger	0.578	perempuan murahan
coup	anger	0.578	rampasan kuasa
blaze	anger	0.578	kebakaran
pillage	anger	0.578	rompakan
provoking	anger	0.578	memprovokasi
damage	anger	0.578	kerosakan
criminality	anger	0.578	jenayah
shutup	anger	0.578	diam
lash	anger	0.578	sebatan
conflict	anger	0.578	konflik
contentious	anger	0.578	perbalahan
shutit	anger	0.578	shutit
wreck	anger	0.578	bangkai kapal
defiant	anger	0.578	membangkang
butcher	anger	0.578	tukang sembelih
incarceration	anger	0.578	pemenjaraan
revolver	anger	0.578	revolver
bickering	anger	0.578	bergaduh
yousuck	anger	0.578	kau sial
cancer	anger	0.577	barah
discriminate	anger	0.576	mendiskriminasi
gun	anger	0.576	pistol
frustration	anger	0.576	kekecewaan
gory	anger	0.576	berdarah
pernicious	anger	0.576	merosakkan
dontmess	anger	0.576	jangan kacau
blasphemy	anger	0.576	menghujat
chaotic	anger	0.576	huru hara
grope	anger	0.576	meraba-raba
alienation	anger	0.576	pengasingan
disturbance	anger	0.576	gangguan
condescension	anger	0.576	merendahkan diri
standoff	anger	0.576	kebuntuan
discord	anger	0.576	perselisihan
friggen	anger	0.575	friggen
sneer	anger	0.574	mengejek
death	anger	0.574	kematian
lunacy	anger	0.574	kegilaan
scandalous	anger	0.574	skandal
oppressive	anger	0.574	menindas
jab	anger	0.574	jelingan
cursed	anger	0.574	sumpahan
monstrosity	anger	0.574	raksasa
shit	anger	0.573	sial
disparaging	anger	0.571	memperlekehkan
slash	anger	0.571	tetak
unfair	anger	0.571	tidak adil
gallows	anger	0.570	tali gantung
escalate	anger	0.569	meningkat
intolerant	anger	0.564	tidak bertoleransi
lawlessness	anger	0.563	kemungkaran
beast	anger	0.562	binatang
torpedo	anger	0.562	torpedo
malign	anger	0.562	jahat
traitor	anger	0.562	pengkhianat
frightful	anger	0.562	menakutkan
wrangling	anger	0.562	bergaduh
slander	anger	0.562	fitnah
bellows	anger	0.562	belos
retards	anger	0.562	melambatkan
grouchy	anger	0.562	geram
derogatory	anger	0.562	menghina
bearish	anger	0.562	menurun
invade	anger	0.562	menceroboh
perdition	anger	0.562	kebinasaan
arghh	anger	0.562	arghh
dreadful	anger	0.562	ngeri
bluddy	anger	0.562	bluddy
deceived	anger	0.562	tertipu
glare	anger	0.562	silau
taunt	anger	0.562	ejekan
dissension	anger	0.561	perselisihan faham
cross	anger	0.561	menyeberang
rave	anger	0.561	mengamuk
grating	anger	0.561	parut
devastating	anger	0.561	dahsyat
fits	anger	0.561	sesuai
jeopardize	anger	0.561	menjejaskan
shatter	anger	0.561	berkecai
idiots	anger	0.561	orang bodoh
hurt	anger	0.561	sakit hati
thief	anger	0.561	pencuri
uncontrollable	anger	0.561	tidak terkawal
conflagration	anger	0.561	kebakaran
betrayal	anger	0.561	pengkhianatan
banshee	anger	0.561	banshee
subjugation	anger	0.559	penaklukan
disturbed	anger	0.559	terganggu
stomped	anger	0.557	terpijak
grab	anger	0.557	merebut
grievance	anger	0.556	rungutan
ticked	anger	0.556	terdetik
masochism	anger	0.556	masokisme
defiance	anger	0.552	penentangan
blackmail	anger	0.550	memeras ugut
offensive	anger	0.549	menyinggung perasaan
decry	anger	0.548	mengutuk
frustrates	anger	0.547	mengecewakan
violation	anger	0.547	pelanggaran
confine	anger	0.547	mengurung
misery	anger	0.547	kesengsaraan
arghhhh	anger	0.547	arghhhh
disparity	anger	0.547	ketaksamaan
punishment	anger	0.547	hukuman
rebel	anger	0.547	memberontak
preposterous	anger	0.547	mengarut
disgraceful	anger	0.547	memalukan
ire	anger	0.547	kemarahan
deceive	anger	0.547	memperdaya
fustrated	anger	0.547	gusar
sin	anger	0.547	dosa
shrill	anger	0.547	nyaring
darkside	anger	0.547	sisi gelap
overbearing	anger	0.547	sombong
firearms	anger	0.547	senjata api
stolen	anger	0.546	dicuri
hadenough	anger	0.546	sudah cukup
prejudice	anger	0.545	prasangka
tackle	anger	0.545	tackle
resentful	anger	0.545	geram
heated	anger	0.545	dipanaskan
callous	anger	0.545	tidak berperasaan
conspirator	anger	0.545	konspirator
ruined	anger	0.545	hancur
antagonist	anger	0.545	antagonis
skirmish	anger	0.545	pergaduhan
menace	anger	0.545	ancaman
annoyin	anger	0.545	annoyin
foul	anger	0.545	busuk
argument	anger	0.545	hujah
humiliate	anger	0.545	mengaibkan
wanker	anger	0.545	wanker
adversary	anger	0.545	musuh
sting	anger	0.544	menyengat
entangled	anger	0.544	terjerat
grumble	anger	0.544	merungut
robbery	anger	0.544	rompakan
outcry	anger	0.544	bantahan
resistance	anger	0.543	rintangan
irreconcilable	anger	0.543	tidak dapat didamaikan
obstructive	anger	0.542	menghalang
dismay	anger	0.540	kecewa
mob	anger	0.538	perusuh
juststop	anger	0.537	berhenti sahaja
badness	anger	0.536	keburukan
ridicule	anger	0.534	ejekan
incendiary	anger	0.533	pembakar api
flares	anger	0.532	suar
twofaced	anger	0.531	Talam dua muka
reckless	anger	0.531	melulu
communism	anger	0.531	komunisme
allegation	anger	0.531	dakwaan
prejudicial	anger	0.531	prejudis
whip	anger	0.531	sebat
unbridled	anger	0.531	tidak terkawal
degeneracy	anger	0.531	degenerasi
intruder	anger	0.531	penceroboh
belittle	anger	0.531	memperkecilkan
confinement	anger	0.531	berpantang
dispute	anger	0.531	pertikaian
exacerbation	anger	0.531	keterukan
uprising	anger	0.531	pemberontakan
unjust	anger	0.530	tidak adil
unjustifiable	anger	0.530	tidak wajar
perversion	anger	0.530	penyelewengan
bigoted	anger	0.530	taksub
fiesty	anger	0.530	garang
offender	anger	0.530	pesalah
dictatorial	anger	0.530	diktator
hassle	anger	0.530	bersusah payah
dissonance	anger	0.530	disonansi
tackled	anger	0.530	ditangani
renegade	anger	0.529	pembelot
cantstandit	anger	0.529	tidak boleh tahan
trespass	anger	0.529	menceroboh
hot	anger	0.529	panas
prison	anger	0.529	penjara
suicide	anger	0.521	bunuh diri
annoy	anger	0.520	mengganggu
leavemealone	anger	0.517	leavemealone
cretins	anger	0.516	kretin
depravity	anger	0.516	kebejatan
idiotic	anger	0.516	bodoh
dishonest	anger	0.516	tidak jujur
distrust	anger	0.516	rasa tidak percaya
broil	anger	0.516	panggang
grrr	anger	0.516	grrr
criticize	anger	0.516	mengkritik
inimical	anger	0.516	bermusuhan
tortious	anger	0.516	berliku-liku
prisoner	anger	0.516	banduan
treason	anger	0.516	pengkhianatan
divorce	anger	0.516	penceraian
venting	anger	0.516	membuang angin
duress	anger	0.516	paksaan
disrespectful	anger	0.516	tidak hormat
poaching	anger	0.515	pemburuan haram
scold	anger	0.515	memarahi
poachers	anger	0.515	pemburu haram
pow	anger	0.515	pow
hangry	anger	0.515	mabuk
argumentation	anger	0.515	penghujahan
frustrating	anger	0.515	mengecewakan
unkind	anger	0.515	tidak baik hati
roar	anger	0.515	mengaum
coercion	anger	0.515	paksaan
unforgiving	anger	0.515	tidak memaafkan
grump	anger	0.515	menggerutu
bile	anger	0.515	hempedu
unleash	anger	0.515	lepaskan
chaos	anger	0.515	huru-hara
victimized	anger	0.515	menjadi mangsa
jerks	anger	0.515	tersentak
tussle	anger	0.514	perebutan
bane	anger	0.511	kutukan
accusation	anger	0.510	tuduhan
enmity	anger	0.510	permusuhan
repudiation	anger	0.510	penolakan
banish	anger	0.509	menghalau
disfigured	anger	0.508	cacat
storm	anger	0.507	ribut
crazy	anger	0.500	gila
hammering	anger	0.500	memalu
defy	anger	0.500	menentang
antithesis	anger	0.500	antitesis
scoff	anger	0.500	mengejek
anguish	anger	0.500	keperitan
confined	anger	0.500	terkurung
fear	anger	0.500	rasa takut
bout	anger	0.500	pertarungan
unruly	anger	0.500	tidak terkawal
delusional	anger	0.500	mengkhayalkan
obstruct	anger	0.500	menghalang
possessed	anger	0.500	dirasuk
injustice	anger	0.500	ketidakadilan
fervor	anger	0.500	semangat
spear	anger	0.500	lembing
derision	anger	0.500	cemuhan
intractable	anger	0.500	sukar dikawal
reject	anger	0.500	menolak
dominate	anger	0.500	menguasai
ordeal	anger	0.500	pahit getir
banished	anger	0.500	dibuang negeri
rejects	anger	0.500	menolak
shun	anger	0.500	menjauhi
brunt	anger	0.500	teruk
derogation	anger	0.500	merendahkan
frenzied	anger	0.500	menggila
animus	anger	0.500	animus
suppression	anger	0.500	penindasan
malpractice	anger	0.500	penyelewengan
brazen	anger	0.500	kurang ajar
foaming	anger	0.500	berbuih
disrupting	anger	0.500	menganggu
nobodycares	anger	0.500	tiada siapa kisah
patronising	anger	0.500	menaungi
getoveryourself	anger	0.495	pulihkan diri sendiri
toughness	anger	0.492	kekuatan
stupidpeople	anger	0.492	orang bodoh
madness	anger	0.491	kegilaan
sinful	anger	0.491	berdosa
avarice	anger	0.490	ketamakan
oppress	anger	0.490	menindas
cutting	anger	0.485	memotong
anathema	anger	0.485	laknat
annoyed	anger	0.485	geram
dissident	anger	0.485	penentang
demand	anger	0.485	permintaan
usurp	anger	0.485	perampasan
claw	anger	0.485	cakar
alienate	anger	0.485	mengasingkan diri
infraction	anger	0.485	pelanggaran
avenger	anger	0.485	pembalas dendam
revoke	anger	0.485	membatalkan
smuggler	anger	0.485	penyeludup
abolish	anger	0.485	mansuhkan
fricking	anger	0.485	menggesek
stayaway	anger	0.485	pergi jauh
pervert	anger	0.485	sesat
disservice	anger	0.485	merugikan
disobedient	anger	0.485	ingkar
incest	anger	0.485	sumbang mahram
complaint	anger	0.485	aduan
disapproved	anger	0.485	tidak diluluskan
inhuman	anger	0.485	tidak berperikemanusiaan
mocking	anger	0.484	mengejek
penalty	anger	0.484	penalti
renounce	anger	0.484	meninggalkan
restrain	anger	0.484	mengekang
upheaval	anger	0.484	pergolakan
deceit	anger	0.484	tipu
obnoxious	anger	0.484	menjengkelkan
imprisoned	anger	0.484	dipenjarakan
strained	anger	0.484	tegang
blame	anger	0.484	salahkan
oust	anger	0.484	mengusir
litigious	anger	0.484	berperkara
rivalry	anger	0.484	saingan
sucker	anger	0.484	mamat
opposed	anger	0.484	menentang
thresh	anger	0.484	mengirik
disgrace	anger	0.484	aib
suspicious	anger	0.484	mencurigakan
turbulence	anger	0.483	gelora
pound	anger	0.481	pon
coldness	anger	0.477	kesejukan
ungrateful	anger	0.472	tidak bersyukur
stoopid	anger	0.471	bongkok
battalion	anger	0.471	batalion
feudalism	anger	0.470	feudalisme
hostage	anger	0.470	tebusan
annoying	anger	0.470	menjengkelkan
dispossessed	anger	0.470	dirampas
subversion	anger	0.470	subversif
friction	anger	0.470	geseran
jealous	anger	0.470	cemburu
adversity	anger	0.470	kesusahan
infidel	anger	0.470	kafir
gall	anger	0.470	hempedu
accuser	anger	0.470	penuduh
ram	anger	0.470	Ram
armament	anger	0.470	persenjataan
thump	anger	0.469	berdebar
dislike	anger	0.469	tidak suka
steal	anger	0.469	mencuri
backoff	anger	0.469	berundur
stifled	anger	0.469	tersekat-sekat
incite	anger	0.469	menghasut
distress	anger	0.469	kesusahan
angermanagement	anger	0.469	pengurusan kemarahan
selfish	anger	0.469	mementingkan diri sendiri
injury	anger	0.469	kecederaan
exile	anger	0.469	buangan
insanity	anger	0.469	kegilaan
offense	anger	0.469	kesalahan
objection	anger	0.469	bantahan
smother	anger	0.469	menyesakkan
disruption	anger	0.469	gangguan
intolerance	anger	0.469	sikap tidak bertoleransi
