English Word	Emotion	Emotion-Intensity-Score	Thai Word
condemn	anger	0.825	ประณาม
riots	anger	0.824	จลาจล
demolish	anger	0.824	รื้อถอน
angry	anger	0.824	โกรธ
extermination	anger	0.824	การทำลายล้าง
dickhead	anger	0.824	ไอ้เหี้ย
livid	anger	0.821	สดใส
madman	anger	0.820	คนบ้า
vindictive	anger	0.819	พยาบาท
terrorist	anger	0.818	ผู้ก่อการร้าย
threaten	anger	0.818	ข่มขู่
venomous	anger	0.818	มีพิษ
hateyou	anger	0.818	เกลียดคุณ
ferocity	anger	0.818	ความดุร้าย
effyou	anger	0.818	เอฟเอฟยู
abhor	anger	0.816	เกลียดชัง
carnage	anger	0.814	สังหาร
savage	anger	0.814	ป่าเถื่อน
atrocity	anger	0.814	ความโหดร้าย
fucksake	anger	0.812	fucksake
abuse	anger	0.812	ใช้ในทางที่ผิด
fierce	anger	0.812	ดุร้าย
destroyer	anger	0.812	เรือพิฆาต
angrytweet	anger	0.812	โกรธ
barbaric	anger	0.812	ป่าเถื่อน
vendetta	anger	0.812	ความอาฆาต
pissesmeoff	anger	0.812	pissesmeoff
pissedoff	anger	0.812	หงุดหงิด
tyrant	anger	0.812	เผด็จการ
berserk	anger	0.812	บ้าบิ่น
fuming	anger	0.812	ควัน
anger	anger	0.811	ความโกรธ
pieceofshit	anger	0.810	ไอ้โง่
punched	anger	0.803	ต่อย
punching	anger	0.803	ต่อย
slam	anger	0.803	สแลม
homicide	anger	0.803	ฆาตกรรม
bitch	anger	0.803	ผู้หญิงเลว
fights	anger	0.803	ต่อสู้
ruthless	anger	0.797	โหดเหี้ยม
villainous	anger	0.797	วายร้าย
destructive	anger	0.797	ทำลายล้าง
slap	anger	0.791	ตบ
riot	anger	0.788	จลาจล
growthefuckup	anger	0.788	growthefuckup
punishing	anger	0.788	การลงโทษ
slaughterhouse	anger	0.788	โรงฆ่าสัตว์
yelling	anger	0.788	ตะโกน
diabolical	anger	0.788	โหดร้าย
destroyed	anger	0.788	ถูกทำลาย
ragetweet	anger	0.788	ragetweet
retaliatory	anger	0.788	ตอบโต้
manslaughter	anger	0.783	การฆ่าคนตาย
clash	anger	0.783	ปะทะ
quarrel	anger	0.781	ทะเลาะ
bloody	anger	0.781	เลือด
hellish	anger	0.781	นรก
sinister	anger	0.781	อุบาทว์
loath	anger	0.781	เกลียด
detonation	anger	0.781	ระเบิด
accusing	anger	0.779	กล่าวหา
fumin	anger	0.779	ฟูมิน
hateeee	anger	0.779	เกลียด
treacherous	anger	0.779	ทรยศ
madder	anger	0.773	แมดเดอร์
horrific	anger	0.773	น่ากลัว
revulsion	anger	0.773	ความรังเกียจ
retaliate	anger	0.773	ตอบโต้
scorn	anger	0.769	ดูถูก
bomb	anger	0.766	ระเบิด
deplorable	anger	0.766	น่าสงสาร
devastation	anger	0.765	ความหายนะ
anarchist	anger	0.765	อนาธิปไตย
firestorm	anger	0.765	พายุไฟ
resent	anger	0.765	ไม่พอใจ
contemptible	anger	0.764	ดูถูก
shittest	anger	0.760	shittest
rant	anger	0.758	พูดจาโผงผาง
cruel	anger	0.758	โหดร้าย
deadly	anger	0.758	ถึงตาย
smash	anger	0.758	ทุบ
soangry	anger	0.758	โกรธมาก
outburst	anger	0.757	ระเบิด
snarl	anger	0.754	คำราม
profane	anger	0.750	ดูหมิ่น
revolting	anger	0.750	น่ารังเกียจ
aggravating	anger	0.750	ทำให้รุนแรงขึ้น
horror	anger	0.750	สยองขวัญ
despise	anger	0.750	ชัง
offend	anger	0.750	ทำให้ขุ่นเคือง
stfu	anger	0.750	stfu
vulgarity	anger	0.750	ความหยาบคาย
crazed	anger	0.750	บ้า
douchebags	anger	0.750	douchebags
growling	anger	0.750	คำราม
dontmesswithme	anger	0.750	ไม่ยุ่งกับฉัน
screaming	anger	0.742	ร้องลั่น
threat	anger	0.742	ภัยคุกคาม
erupt	anger	0.742	ปะทุ
horrible	anger	0.742	น่ากลัว
molestation	anger	0.742	การลวนลาม
fuckedoff	anger	0.742	fuckedoff
violence	anger	0.742	ความรุนแรง
bastards	anger	0.741	ไอ้สารเลว
revenge	anger	0.738	แก้แค้น
menacing	anger	0.735	ข่มขู่
crushing	anger	0.735	บด
damn	anger	0.735	สาปแช่ง
catastrophe	anger	0.735	ภัยพิบัติ
demon	anger	0.735	ปีศาจ
argue	anger	0.734	โต้แย้ง
persecute	anger	0.734	ข่มเหง
deplore	anger	0.734	เสียใจ
flog	anger	0.734	เฆี่ยน
fedup	anger	0.734	เบื่อหน่าย
riotous	anger	0.734	วุ่นวาย
vehement	anger	0.734	รุนแรง
revolt	anger	0.734	กบฏ
warfare	anger	0.734	สงคราม
thrash	anger	0.734	ฟาด
altercation	anger	0.729	การทะเลาะวิวาท
warlike	anger	0.728	ชอบทำสงคราม
shitday	anger	0.727	shitday
mutiny	anger	0.727	กบฏ
castrate	anger	0.727	castrate
sabotage	anger	0.727	การก่อวินาศกรรม
malevolent	anger	0.721	ใจร้าย
strike	anger	0.721	โจมตี
disaster	anger	0.721	ภัยพิบัติ
disastrous	anger	0.720	หายนะ
bastarding	anger	0.719	ไอ้สารเลว
treachery	anger	0.719	ทรยศ
arseholes	anger	0.719	รูตูด
horseshit	anger	0.719	ขี้เกือก
slay	anger	0.719	ฆ่า
disdain	anger	0.719	ดูถูก
aggravates	anger	0.719	ทำให้รุนแรงขึ้น
brutal	anger	0.719	โหดร้าย
scorching	anger	0.719	แผดเผา
devil	anger	0.719	ปีศาจ
madden	anger	0.719	madden
spiteful	anger	0.719	อาฆาต
scream	anger	0.719	กรีดร้อง
choke	anger	0.719	สำลัก
vermin	anger	0.719	บุคคลที่น่ารังเกียจ
tumult	anger	0.719	ความโกลาหล
criminal	anger	0.714	อาชญากร
mangle	anger	0.714	mangle
anarchism	anger	0.714	อนาธิปไตย
mutilation	anger	0.714	การทำลายล้าง
denunciation	anger	0.713	การบอกเลิก
punch	anger	0.713	ต่อย
virulence	anger	0.712	ความรุนแรง
fatal	anger	0.712	ร้ายแรง
hurting	anger	0.712	เจ็บ
crucifixion	anger	0.712	การตรึงกางเขน
dontlikeyou	anger	0.712	ไม่ชอบคุณ
blasphemous	anger	0.712	ดูหมิ่น
holocaust	anger	0.712	ความหายนะ
dumbasses	anger	0.712	คนโง่
battled	anger	0.712	ต่อสู้
deranged	anger	0.706	บ้า
irritated	anger	0.706	หงุดหงิด
atrocious	anger	0.706	โหดร้าย
evil	anger	0.706	ความชั่วร้าย
aggravated	anger	0.703	กำเริบ
intimidation	anger	0.703	ข่มขู่
dicks	anger	0.703	ไอ้จ้อน
assassin	anger	0.703	ฆาตกร
scolding	anger	0.703	ดุ
persecution	anger	0.703	การประหัตประหาร
slayer	anger	0.703	เพชฌฆาต
kidnap	anger	0.703	ลักพาตัว
aggression	anger	0.702	ความก้าวร้าว
armed	anger	0.700	ติดอาวุธ
battle	anger	0.697	การต่อสู้
poison	anger	0.697	พิษ
snarling	anger	0.697	คำราม
venom	anger	0.697	พิษ
disgruntled	anger	0.693	ไม่พอใจ
resentment	anger	0.691	ความไม่พอใจ
assailant	anger	0.691	จู่โจม
insidious	anger	0.691	ร้ายกาจ
contemptuous	anger	0.690	ดูถูก
lynch	anger	0.690	ลินช์
temper	anger	0.688	อารมณ์โกรธ
terrible	anger	0.688	ย่ำแย่
disparage	anger	0.688	ดูหมิ่น
lunatic	anger	0.688	คนบ้า
bully	anger	0.688	ข่มเหงรังแก
mad	anger	0.688	โกรธ
makesmemad	anger	0.688	makememad
infanticide	anger	0.688	ยาฆ่าทารก
domination	anger	0.688	การปกครอง
peeved	anger	0.688	โกรธ
imprisonment	anger	0.688	จำคุก
curse	anger	0.688	คำสาป
volatility	anger	0.687	ความผันผวน
eradication	anger	0.685	การกำจัด
eradicate	anger	0.682	กำจัด
tantrum	anger	0.682	ความโกรธเคือง
scoundrel	anger	0.682	วายร้าย
devastate	anger	0.682	ทำลายล้าง
aggressively	anger	0.680	อุกอาจ
agitation	anger	0.680	ความปั่นป่วน
dictatorship	anger	0.676	เผด็จการ
irritates	anger	0.676	ระคายเคือง
profanity	anger	0.673	คำหยาบคาย
shove	anger	0.672	ผลัก
nasty	anger	0.672	น่ารังเกียจ
shot	anger	0.672	ยิง
cruelly	anger	0.672	โหดร้าย
shoot	anger	0.672	ยิง
condemnation	anger	0.672	ประณาม
crushed	anger	0.672	บดขยี้
aggravation	anger	0.672	การทำให้รุนแรงขึ้น
poisonous	anger	0.672	เป็นพิษ
egregious	anger	0.672	มหึมา
crime	anger	0.672	อาชญากรรม
corrupting	anger	0.672	ทุจริต
dastardly	anger	0.672	ขี้ขลาด
contempt	anger	0.672	ดูถูก
harmful	anger	0.672	เป็นอันตราย
expletive	anger	0.672	คำสบถ
wreak	anger	0.672	ระบาย
maniac	anger	0.670	คนบ้า
cutthroat	anger	0.667	ฆาตกร
enemy	anger	0.667	ศัตรู
hit	anger	0.667	ตี
hateeveryone	anger	0.667	เกลียดทุกคน
eruption	anger	0.667	การปะทุ
irritable	anger	0.667	หงุดหงิด
odious	anger	0.667	น่ารังเกียจ
shooting	anger	0.667	ยิงปืน
shout	anger	0.667	ตะโกน
aggressive	anger	0.667	ก้าวร้าว
kick	anger	0.667	เตะ
combat	anger	0.667	การต่อสู้
fight	anger	0.667	ต่อสู้
punished	anger	0.662	ลงโทษ
yell	anger	0.661	ตะโกน
ambush	anger	0.661	ซุ่มโจมตี
harass	anger	0.659	ก่อกวน
malignant	anger	0.656	ร้าย
aggressor	anger	0.656	ผู้รุกราน
gore	anger	0.656	เลือด
destruction	anger	0.656	การทำลาย
grudge	anger	0.656	ความแค้น
antichrist	anger	0.656	มาร
incense	anger	0.656	ธูป
expel	anger	0.656	ขับไล่
cranky	anger	0.653	บ้าๆบอๆ
slave	anger	0.652	ทาส
reprisal	anger	0.652	การแก้แค้น
growl	anger	0.652	คำราม
animosity	anger	0.652	ความเกลียดชัง
insurrection	anger	0.652	การจลาจล
clashing	anger	0.652	การปะทะกัน
denounce	anger	0.652	ประณาม
offended	anger	0.652	โกรธเคือง
spank	anger	0.652	ตีก้น
insulting	anger	0.652	ดูถูก
growls	anger	0.649	คำราม
executioner	anger	0.644	เพชฌฆาต
twat	anger	0.644	twat
doomsday	anger	0.643	วันโลกาวินาศ
obscenity	anger	0.641	ลามกอนาจาร
accused	anger	0.641	ผู้ถูกกล่าวหา
feud	anger	0.641	อาฆาต
daemon	anger	0.641	ภูต
havoc	anger	0.641	ความหายนะ
shackle	anger	0.641	กุญแจมือ
inexcusable	anger	0.641	อภัยไม่ได้
indignant	anger	0.641	ขุ่นเคือง
grr	anger	0.641	grr
expulsion	anger	0.641	การขับไล่
bombard	anger	0.641	ระเบิด
spat	anger	0.641	ทะเลาะวิวาท
arson	anger	0.641	การลอบวางเพลิง
reprimand	anger	0.641	ประณาม
somad	anger	0.637	โสมด
frustrated	anger	0.636	คับข้องใจ
batter	anger	0.636	ปะทะ
kicking	anger	0.636	เตะ
anarchy	anger	0.636	อนาธิปไตย
spanking	anger	0.636	ตบ
glaring	anger	0.636	จ้องมอง
suicidal	anger	0.636	ฆ่าตัวตาย
disgusting	anger	0.636	น่าขยะแขยง
wound	anger	0.636	แผล
hanging	anger	0.636	ห้อย
poisoned	anger	0.636	วางยาพิษ
combatant	anger	0.636	ผู้ทำการรบ
wrecked	anger	0.633	อับปาง
inflict	anger	0.633	ทำดาเมจ
grievous	anger	0.632	แย่มาก
prosecute	anger	0.630	ดำเนินคดี
agitated	anger	0.630	กระสับกระส่าย
cheat	anger	0.630	โกง
swastika	anger	0.627	สวัสติกะ
injure	anger	0.625	บาดเจ็บ
indict	anger	0.625	ข้อหา
scourge	anger	0.625	หายนะ
provocation	anger	0.625	การยั่วยุ
suffocation	anger	0.625	หายใจไม่ออก
strife	anger	0.625	ความขัดแย้ง
raid	anger	0.625	บุก
enslaved	anger	0.625	เป็นทาส
cursing	anger	0.625	สาปแช่ง
defamatory	anger	0.625	หมิ่นประมาท
harassing	anger	0.625	ก่อกวน
thundering	anger	0.625	ฟ้าร้อง
betray	anger	0.625	ทรยศ
arsehole	anger	0.624	รูตูด
theft	anger	0.621	ขโมย
insane	anger	0.621	บ้า
retaliation	anger	0.621	การตอบโต้
irritate	anger	0.621	ระคายเคือง
deprivation	anger	0.621	การกีดกัน
fiend	anger	0.621	อสูร
jerk	anger	0.621	ฉุด
convict	anger	0.621	นักโทษ
cussed	anger	0.619	สบถ
turmoil	anger	0.618	ความวุ่นวาย
smack	anger	0.615	ตี
retribution	anger	0.614	การลงโทษ
rebellion	anger	0.609	กบฏ
oppressor	anger	0.609	ผู้กดขี่
gang	anger	0.609	แก๊ง
slavery	anger	0.609	ความเป็นทาส
intolerable	anger	0.609	ทนไม่ได้
adverse	anger	0.609	เป็นผลร้าย
injurious	anger	0.609	ทำร้าย
twats	anger	0.609	twats
collision	anger	0.609	การชนกัน
battery	anger	0.609	แบตเตอรี่
bitterly	anger	0.609	ขมขื่น
antagonism	anger	0.609	ความเป็นปรปักษ์
irritability	anger	0.609	ความหงุดหงิด
disgraced	anger	0.608	อับอาย
diatribe	anger	0.606	diatribe
asshole	anger	0.606	ไอ้สารเลว
blast	anger	0.606	ระเบิด
bombardment	anger	0.606	การทิ้งระเบิด
irks	anger	0.606	irks
ranting	anger	0.606	พูดจาโผงผาง
revolution	anger	0.606	การปฎิวัติ
thug	anger	0.606	อันธพาล
antagonistic	anger	0.606	เป็นปฏิปักษ์
irritating	anger	0.606	ระคายเคือง
sickening	anger	0.606	น่าสะอิดสะเอียน
discrimination	anger	0.606	การเลือกปฏิบัติ
frustrate	anger	0.604	หงุดหงิด
insult	anger	0.603	สบประมาท
hurtful	anger	0.603	เจ็บปวด
oppression	anger	0.603	การกดขี่
manipulation	anger	0.603	การจัดการ
tiredofit	anger	0.603	เหนื่อย
bigot	anger	0.603	bigot
tension	anger	0.603	ความเครียด
disgust	anger	0.602	รังเกียจ
spite	anger	0.600	ทั้งๆ ที่
intrusive	anger	0.598	ล่วงล้ำ
harshness	anger	0.597	ความรุนแรง
slur	anger	0.596	slur
tempest	anger	0.594	พายุ
assail	anger	0.594	จู่โจม
bitterness	anger	0.594	ความขมขื่น
morbidity	anger	0.594	ความเจ็บป่วย
casualty	anger	0.594	ผู้บาดเจ็บ
puncture	anger	0.594	เจาะ
miserable	anger	0.594	น่าเวทนา
inferno	anger	0.594	นรก
invasion	anger	0.594	การบุกรุก
storming	anger	0.594	พายุ
wretch	anger	0.594	คนเลว
consternation	anger	0.592	ความตกตะลึง
raving	anger	0.591	เพ้อ
forcibly	anger	0.591	บังคับ
guillotine	anger	0.591	กิโยติน
guilty	anger	0.591	รู้สึกผิด
depraved	anger	0.591	เลวทราม
immoral	anger	0.591	ผิดศีลธรรม
overpowering	anger	0.591	เอาชนะ
scare	anger	0.588	กลัว
recalcitrant	anger	0.588	พยศ
screwed	anger	0.588	เมา
accursed	anger	0.588	ถูกสาป
soannoyed	anger	0.588	รำคาญ
invader	anger	0.588	ผู้รุกราน
jealousy	anger	0.587	ความหึงหวง
indignation	anger	0.587	ความขุ่นเคือง
vexed	anger	0.586	รำคาญ
confront	anger	0.582	เผชิญหน้า
brute	anger	0.581	เดรัจฉาน
throttle	anger	0.579	คันเร่ง
slut	anger	0.578	อีตัว
coup	anger	0.578	ทำรัฐประหาร
blaze	anger	0.578	เปลวไฟ
pillage	anger	0.578	การปล้นสะดม
provoking	anger	0.578	ยั่วยวน
damage	anger	0.578	ความเสียหาย
criminality	anger	0.578	ความผิดทางอาญา
shutup	anger	0.578	หุบปาก
lash	anger	0.578	ขนตา
conflict	anger	0.578	ขัดแย้ง
contentious	anger	0.578	โต้เถียง
shutit	anger	0.578	ปิดมัน
wreck	anger	0.578	ซาก
defiant	anger	0.578	ท้าทาย
butcher	anger	0.578	คนขายเนื้อ
incarceration	anger	0.578	การกักขัง
revolver	anger	0.578	ปืนพกลูกโม่
bickering	anger	0.578	การทะเลาะวิวาท
yousuck	anger	0.578	คุณห่วย
cancer	anger	0.577	โรคมะเร็ง
discriminate	anger	0.576	เห็นความแตกต่าง
gun	anger	0.576	ปืน
frustration	anger	0.576	แห้ว
gory	anger	0.576	gory
pernicious	anger	0.576	อันตราย
dontmess	anger	0.576	ไม่ยุ่ง
blasphemy	anger	0.576	ดูหมิ่น
chaotic	anger	0.576	วุ่นวาย
grope	anger	0.576	ควาน
alienation	anger	0.576	ความแปลกแยก
disturbance	anger	0.576	รบกวน
condescension	anger	0.576	การประนีประนอม
standoff	anger	0.576	ขัดแย้ง
discord	anger	0.576	ความไม่ลงรอยกัน
friggen	anger	0.575	ตู้เย็น
sneer	anger	0.574	เยาะเย้ย
death	anger	0.574	ความตาย
lunacy	anger	0.574	ความบ้าคลั่ง
scandalous	anger	0.574	อื้อฉาว
oppressive	anger	0.574	กดขี่
jab	anger	0.574	กระทุ้ง
cursed	anger	0.574	สาปแช่ง
monstrosity	anger	0.574	ความชั่วร้าย
shit	anger	0.573	อึ
disparaging	anger	0.571	ดูหมิ่น
slash	anger	0.571	เฉือน
unfair	anger	0.571	ไม่ยุติธรรม
gallows	anger	0.570	ตะแลงแกง
escalate	anger	0.569	บานปลาย
intolerant	anger	0.564	ไม่อดทน
lawlessness	anger	0.563	ความไร้ระเบียบ
beast	anger	0.562	สัตว์ร้าย
torpedo	anger	0.562	ตอร์ปิโด
malign	anger	0.562	ร้ายกาจ
traitor	anger	0.562	คนทรยศ
frightful	anger	0.562	น่ากลัว
wrangling	anger	0.562	ทะเลาะวิวาท
slander	anger	0.562	การพูดให้ร้าย
bellows	anger	0.562	สูบลม
retards	anger	0.562	ปัญญาอ่อน
grouchy	anger	0.562	อารมณ์เสีย
derogatory	anger	0.562	เสื่อมเสีย
bearish	anger	0.562	งุ่มง่าม
invade	anger	0.562	บุก
perdition	anger	0.562	หายนะ
arghh	anger	0.562	แย่จัง
dreadful	anger	0.562	น่ากลัว
bluddy	anger	0.562	บลัดดี้
deceived	anger	0.562	ถูกหลอก
glare	anger	0.562	แสงจ้า
taunt	anger	0.562	เหน็บแนม
dissension	anger	0.561	ความขัดแย้ง
cross	anger	0.561	ข้าม
rave	anger	0.561	คลั่ง
grating	anger	0.561	ตะแกรง
devastating	anger	0.561	ทำลายล้าง
fits	anger	0.561	พอดี
jeopardize	anger	0.561	เป็นภัยต่อ
shatter	anger	0.561	ป่นปี้
idiots	anger	0.561	งี่เง่า
hurt	anger	0.561	เจ็บ
thief	anger	0.561	ขโมย
uncontrollable	anger	0.561	ควบคุมไม่ได้
conflagration	anger	0.561	ไฟไหม้
betrayal	anger	0.561	การทรยศ
banshee	anger	0.561	แบนชี
subjugation	anger	0.559	การปราบปราม
disturbed	anger	0.559	รบกวน
stomped	anger	0.557	กระทืบ
grab	anger	0.557	คว้า
grievance	anger	0.556	ร้องทุกข์
ticked	anger	0.556	ถูกทำเครื่องหมาย
masochism	anger	0.556	มาโซคิสม์
defiance	anger	0.552	การต่อต้าน
blackmail	anger	0.550	แบล็กเมล์
offensive	anger	0.549	ก้าวร้าว
decry	anger	0.548	ประณาม
frustrates	anger	0.547	ผิดหวัง
violation	anger	0.547	การละเมิด
confine	anger	0.547	จำกัด
misery	anger	0.547	ความทุกข์ยาก
arghhhh	anger	0.547	อ๊ากกกกก
disparity	anger	0.547	ความเหลื่อมล้ำ
punishment	anger	0.547	การลงโทษ
rebel	anger	0.547	กบฏ
preposterous	anger	0.547	งี่เง่า
disgraceful	anger	0.547	น่าอับอาย
ire	anger	0.547	ไอรีน
deceive	anger	0.547	หลอกลวง
fustrated	anger	0.547	หงุดหงิด
sin	anger	0.547	บาป
shrill	anger	0.547	โหยหวน
darkside	anger	0.547	ด้านมืด
overbearing	anger	0.547	เอาแต่ใจ
firearms	anger	0.547	อาวุธปืน
stolen	anger	0.546	ถูกขโมย
hadenough	anger	0.546	มีมากพอ
prejudice	anger	0.545	อคติ
tackle	anger	0.545	แท็คเกิล
resentful	anger	0.545	ขุ่นเคือง
heated	anger	0.545	อุ่น
callous	anger	0.545	ใจแข็ง
conspirator	anger	0.545	ผู้สมรู้ร่วมคิด
ruined	anger	0.545	เจ๊ง
antagonist	anger	0.545	ศัตรู
skirmish	anger	0.545	ชุลมุน
menace	anger	0.545	อันตราย
annoyin	anger	0.545	รำคาญ
foul	anger	0.545	เหม็น
argument	anger	0.545	การโต้แย้ง
humiliate	anger	0.545	ฉีกหน้า
wanker	anger	0.545	คนเร่ร่อน
adversary	anger	0.545	ปฏิปักษ์
sting	anger	0.544	ต่อย
entangled	anger	0.544	พันกัน
grumble	anger	0.544	บ่น
robbery	anger	0.544	โจรกรรม
outcry	anger	0.544	โวยวาย
resistance	anger	0.543	ความต้านทาน
irreconcilable	anger	0.543	เข้ากันไม่ได้
obstructive	anger	0.542	สิ่งกีดขวาง
dismay	anger	0.540	ผิดหวัง
mob	anger	0.538	ม็อบ
juststop	anger	0.537	แค่หยุด
badness	anger	0.536	ความเลว
ridicule	anger	0.534	เยาะเย้ย
incendiary	anger	0.533	เพลิง
flares	anger	0.532	พลุ
twofaced	anger	0.531	สองหน้า
reckless	anger	0.531	ประมาท
communism	anger	0.531	คอมมิวนิสต์
allegation	anger	0.531	ข้อกล่าวหา
prejudicial	anger	0.531	มีอคติ
whip	anger	0.531	แส้
unbridled	anger	0.531	ดื้อด้าน
degeneracy	anger	0.531	ความเสื่อม
intruder	anger	0.531	ผู้บุกรุก
belittle	anger	0.531	ดูถูก
confinement	anger	0.531	การกักขัง
dispute	anger	0.531	ข้อพิพาท
exacerbation	anger	0.531	อาการกำเริบ
uprising	anger	0.531	การจลาจล
unjust	anger	0.530	ไม่ยุติธรรม
unjustifiable	anger	0.530	ไม่สมเหตุสมผล
perversion	anger	0.530	วิปริต
bigoted	anger	0.530	หัวโต
fiesty	anger	0.530	fiesty
offender	anger	0.530	ผู้กระทำความผิด
dictatorial	anger	0.530	เผด็จการ
hassle	anger	0.530	ยุ่งยาก
dissonance	anger	0.530	ความไม่ลงรอยกัน
tackled	anger	0.530	ต่อสู้
renegade	anger	0.529	คนทรยศ
cantstandit	anger	0.529	ทนไม่ได้
trespass	anger	0.529	บุกรุก
hot	anger	0.529	ร้อน
prison	anger	0.529	คุก
suicide	anger	0.521	ฆ่าตัวตาย
annoy	anger	0.520	รบกวน
leavemealone	anger	0.517	ทิ้งอาหารไว้
cretins	anger	0.516	cretins
depravity	anger	0.516	ความเลวทราม
idiotic	anger	0.516	งี่เง่า
dishonest	anger	0.516	ไม่ซื่อสัตย์
distrust	anger	0.516	ไม่ไว้วางใจ
broil	anger	0.516	ผิง
grrr	anger	0.516	grrr
criticize	anger	0.516	วิจารณ์
inimical	anger	0.516	ผิดกฏหมาย
tortious	anger	0.516	ทรมาน
prisoner	anger	0.516	นักโทษ
treason	anger	0.516	กบฏ
divorce	anger	0.516	หย่า
venting	anger	0.516	ระบายอากาศ
duress	anger	0.516	ข่มขู่
disrespectful	anger	0.516	ไม่สุภาพ
poaching	anger	0.515	การรุกล้ำ
scold	anger	0.515	ดุ
poachers	anger	0.515	ลอบล่าสัตว์
pow	anger	0.515	pow
hangry	anger	0.515	แฮงกรี้
argumentation	anger	0.515	ข้อโต้แย้ง
frustrating	anger	0.515	หงุดหงิด
unkind	anger	0.515	ใจร้าย
roar	anger	0.515	คำราม
coercion	anger	0.515	บังคับ
unforgiving	anger	0.515	ไม่ให้อภัย
grump	anger	0.515	ไม่พอใจ
bile	anger	0.515	น้ำดี
unleash	anger	0.515	ปลดปล่อย
chaos	anger	0.515	ความวุ่นวาย
victimized	anger	0.515	ตกเป็นเหยื่อ
