English Word	Emotion	Emotion-Intensity-Score	Sindhi Word
pissoff	anger	0.875	مٽيس
fighting	anger	0.868	وڙهڻ
attacking	anger	0.865	حملو ڪرڻ
annihilated	anger	0.865	نابود
angriest	anger	0.864	ڪاوڙيل
bloodshed	anger	0.864	خونريزي
smite	anger	0.862	مارڻ
brawl	anger	0.861	جهيڙو
malicious	anger	0.859	خراب
assassination	anger	0.859	قتل
strangle	anger	0.859	گلا ڪرڻ
hostility	anger	0.859	دشمني
assault	anger	0.859	حملو
explode	anger	0.859	ڌماڪو ڪرڻ
tirade	anger	0.859	ٽائريڊ
loathsome	anger	0.857	نفرت انگيز
hell	anger	0.853	جهنم
murderous	anger	0.853	قاتل
attack	anger	0.853	حملو
malice	anger	0.852	بدگماني
terrorism	anger	0.851	دهشتگردي
beating	anger	0.849	مارڻ
outrage	anger	0.848	ڪاوڙ
desecration	anger	0.848	بي حرمتي
pissingmeoff	anger	0.848	پيشاب ڪرڻ
destroying	anger	0.844	تباهه ڪرڻ
slaughter	anger	0.844	ذبح ڪرڻ
irate	anger	0.844	ڪاوڙيل
violent	anger	0.844	تشدد ڪندڙ
stab	anger	0.844	ڇڪڻ
abomination	anger	0.844	نفرت
tumultuous	anger	0.844	ڇڪتاڻ وارو
infuriate	anger	0.844	ناراض ڪرڻ
obliterate	anger	0.843	ختم ڪرڻ
belligerent	anger	0.841	جنگجو
dumbbitch	anger	0.841	گونگا
detest	anger	0.838	نفرت ڪرڻ
hostilities	anger	0.837	دشمني
prick	anger	0.835	ڇڪڻ
rampage	anger	0.833	هڙتال
horrid	anger	0.833	خوفناڪ
cruelty	anger	0.833	ظلم
torture	anger	0.833	تشدد
rabid	anger	0.833	چريو
despicable	anger	0.828	نفرت جوڳو
tyrannical	anger	0.828	ظالم
demonic	anger	0.828	شيطاني
satanic	anger	0.828	شيطاني
hate	anger	0.828	نفرت
ragemode	anger	0.828	ريج موڊ
hating	anger	0.828	نفرت ڪرڻ
ruinous	anger	0.825	تباهه ڪندڙ
condemn	anger	0.825	مذمت ڪرڻ
riots	anger	0.824	فساد
demolish	anger	0.824	ڊاهڻ
angry	anger	0.824	ناراض
extermination	anger	0.824	تباهي
dickhead	anger	0.824	ڊڪ هيڊ
livid	anger	0.821	بيزار
madman	anger	0.820	چريو
vindictive	anger	0.819	انتقامي
terrorist	anger	0.818	دهشتگرد
threaten	anger	0.818	ڌمڪيون ڏيڻ
venomous	anger	0.818	زهريلو
hateyou	anger	0.818	توکان نفرت
ferocity	anger	0.818	وحشت
effyou	anger	0.818	effyou
abhor	anger	0.816	نفرت ڪرڻ
carnage	anger	0.814	قتل عام
savage	anger	0.814	وحشي
atrocity	anger	0.814	ظلم
fucksake	anger	0.812	بدمعاش
abuse	anger	0.812	بدسلوڪي
fierce	anger	0.812	سخت
destroyer	anger	0.812	تباهه ڪندڙ
angrytweet	anger	0.812	ناراض ٽوئيٽ
barbaric	anger	0.812	وحشي
vendetta	anger	0.812	انتقام
pissesmeoff	anger	0.812	مايوسي
pissedoff	anger	0.812	ناراضگي
tyrant	anger	0.812	ظالم
berserk	anger	0.812	بيدار
fuming	anger	0.812	ڀڄڻ
anger	anger	0.811	ڪاوڙ
pieceofshit	anger	0.810	ڪڪڙ جو ٽڪرو
punched	anger	0.803	ڇڪيل
punching	anger	0.803	ڇڪڻ
slam	anger	0.803	سلم
homicide	anger	0.803	قتل
bitch	anger	0.803	ڪچي
fights	anger	0.803	وڙهڻ
ruthless	anger	0.797	بي رحم
villainous	anger	0.797	بدمعاش
destructive	anger	0.797	تباهه ڪندڙ
slap	anger	0.791	چماٽ
riot	anger	0.788	فساد
growthefuckup	anger	0.788	واڌارو
punishing	anger	0.788	سزا ڏيڻ
slaughterhouse	anger	0.788	ذبح خانو
yelling	anger	0.788	رڙ ڪرڻ
diabolical	anger	0.788	شيطاني
destroyed	anger	0.788	تباهه
ragetweet	anger	0.788	ragetweet
retaliatory	anger	0.788	انتقامي
manslaughter	anger	0.783	قتل عام
clash	anger	0.783	ٽڪراءُ
quarrel	anger	0.781	جهيڙو
bloody	anger	0.781	خوني
hellish	anger	0.781	جهنگلي
sinister	anger	0.781	خطرناڪ
loath	anger	0.781	نفرت
detonation	anger	0.781	ڌماڪو
accusing	anger	0.779	الزام لڳائڻ
fumin	anger	0.779	فومين
hateeee	anger	0.779	نفرت
treacherous	anger	0.779	غدار
madder	anger	0.773	چريو
horrific	anger	0.773	خوفناڪ
revulsion	anger	0.773	بغاوت
retaliate	anger	0.773	بدلو وٺڻ
scorn	anger	0.769	طعنو
bomb	anger	0.766	بم
deplorable	anger	0.766	افسوسناڪ
devastation	anger	0.765	تباهي
anarchist	anger	0.765	انارڪيسٽ
firestorm	anger	0.765	باهه جو طوفان
resent	anger	0.765	ناراضگي
contemptible	anger	0.764	حقير
shittest	anger	0.760	سڀ کان وڏو
rant	anger	0.758	رڙ
cruel	anger	0.758	ظالم
deadly	anger	0.758	موتمار
smash	anger	0.758	ٽوڙڻ
soangry	anger	0.758	گندو
outburst	anger	0.757	ڦوٽو
snarl	anger	0.754	ڇڪڻ
profane	anger	0.750	ناپاڪ
revolting	anger	0.750	بغاوت ڪرڻ
aggravating	anger	0.750	بگاڙيندڙ
horror	anger	0.750	وحشت
despise	anger	0.750	نفرت ڪرڻ
offend	anger	0.750	بدنام ڪرڻ
stfu	anger	0.750	stfu
vulgarity	anger	0.750	بي حيائي
crazed	anger	0.750	چريو
douchebags	anger	0.750	ڊچ بيگ
growling	anger	0.750	گوڙ ڪرڻ
dontmesswithme	anger	0.750	مون سان گڏ نه
screaming	anger	0.742	رڙيون ڪرڻ
threat	anger	0.742	خطرو
erupt	anger	0.742	ڀڄڻ
horrible	anger	0.742	خوفناڪ
molestation	anger	0.742	زيادتي
fuckedoff	anger	0.742	ڀڄڻ
violence	anger	0.742	تشدد
bastards	anger	0.741	بدمعاش
revenge	anger	0.738	بدلو
menacing	anger	0.735	خطرناڪ
crushing	anger	0.735	ڪٽڻ
damn	anger	0.735	لعنت
catastrophe	anger	0.735	تباهي
demon	anger	0.735	شيطان
argue	anger	0.734	بحث ڪرڻ
persecute	anger	0.734	ايذائڻ
deplore	anger	0.734	افسوس ڪرڻ
flog	anger	0.734	ڪوڏر
fedup	anger	0.734	تنگ اچڻ
riotous	anger	0.734	فسادي
vehement	anger	0.734	سخت
revolt	anger	0.734	بغاوت
warfare	anger	0.734	جنگ
thrash	anger	0.734	ڇڪڻ
altercation	anger	0.729	تڪرار
warlike	anger	0.728	جنگجو
shitday	anger	0.727	ڏينهن
mutiny	anger	0.727	بغاوت
castrate	anger	0.727	castrate
sabotage	anger	0.727	تخريب
malevolent	anger	0.721	بدڪار
strike	anger	0.721	هڙتال
disaster	anger	0.721	آفت
disastrous	anger	0.720	تباهه ڪندڙ
bastarding	anger	0.719	بدمعاش
treachery	anger	0.719	غداري
arseholes	anger	0.719	سوراخ
horseshit	anger	0.719	گھوڙا
slay	anger	0.719	مارڻ
disdain	anger	0.719	بي عزتي ڪرڻ
aggravates	anger	0.719	وڌي ٿو
brutal	anger	0.719	وحشي
scorching	anger	0.719	ٻرندڙ
devil	anger	0.719	شيطان
madden	anger	0.719	چريو
spiteful	anger	0.719	ڪاوڙيل
scream	anger	0.719	رڙ
choke	anger	0.719	دٻائڻ
vermin	anger	0.719	ڪيڙا
tumult	anger	0.719	گوڙ
criminal	anger	0.714	مجرم
mangle	anger	0.714	ملنگ
anarchism	anger	0.714	انارڪيزم
mutilation	anger	0.714	ميٽيليشن
denunciation	anger	0.713	مذمت
punch	anger	0.713	ڇڪڻ
virulence	anger	0.712	وائرس
fatal	anger	0.712	موتمار
hurting	anger	0.712	تڪليف ڏيڻ
crucifixion	anger	0.712	صليب تي چڙهڻ
dontlikeyou	anger	0.712	توهان کي پسند ناهي
blasphemous	anger	0.712	توهين آميز
holocaust	anger	0.712	هولوڪاسٽ
dumbasses	anger	0.712	گونگا
battled	anger	0.712	جنگ ڪئي
deranged	anger	0.706	مايوس
irritated	anger	0.706	ڪاوڙيل
atrocious	anger	0.706	وحشي
evil	anger	0.706	بڇڙو
aggravated	anger	0.703	وڌيل
intimidation	anger	0.703	ڌمڪائڻ
dicks	anger	0.703	ڪڪڙ
assassin	anger	0.703	قاتل
scolding	anger	0.703	گاريون ڏيڻ
persecution	anger	0.703	ظلم
slayer	anger	0.703	قتل ڪندڙ
kidnap	anger	0.703	اغوا ڪرڻ
aggression	anger	0.702	جارحيت
armed	anger	0.700	هٿياربند
battle	anger	0.697	جنگ
poison	anger	0.697	زهر
snarling	anger	0.697	ڇڪڻ
venom	anger	0.697	زهر
disgruntled	anger	0.693	مايوس
resentment	anger	0.691	ناراضگي
assailant	anger	0.691	حملو ڪندڙ
insidious	anger	0.691	ڪوڙو
contemptuous	anger	0.690	توهين ڪندڙ
lynch	anger	0.690	لنچ
temper	anger	0.688	مزاج
terrible	anger	0.688	خوفناڪ
disparage	anger	0.688	بي عزتي ڪرڻ
lunatic	anger	0.688	چريو
bully	anger	0.688	بدمعاش
mad	anger	0.688	چريو
makesmemad	anger	0.688	ٺاهيندو آهي
infanticide	anger	0.688	ٻار جو قتل
domination	anger	0.688	تسلط
peeved	anger	0.688	ڪاوڙيل
imprisonment	anger	0.688	قيد
curse	anger	0.688	لعنت
volatility	anger	0.687	عدم استحڪام
eradication	anger	0.685	خاتمو
eradicate	anger	0.682	ختم ڪرڻ
tantrum	anger	0.682	ڪاوڙ
scoundrel	anger	0.682	بدمعاش
devastate	anger	0.682	تباهه ڪرڻ
aggressively	anger	0.680	جارحيت سان
agitation	anger	0.680	تحريڪ
dictatorship	anger	0.676	آمريت
irritates	anger	0.676	ناراض ڪري ٿو
profanity	anger	0.673	گستاخي
shove	anger	0.672	ڌڪ هڻڻ
nasty	anger	0.672	گندو
shot	anger	0.672	شاٽ
cruelly	anger	0.672	بي رحمي سان
shoot	anger	0.672	شوٽ ڪرڻ
condemnation	anger	0.672	مذمت
crushed	anger	0.672	چِٽِيل
aggravation	anger	0.672	بگاڙ
poisonous	anger	0.672	زهريلو
egregious	anger	0.672	زبردست
crime	anger	0.672	جرم
corrupting	anger	0.672	خراب ڪرڻ
dastardly	anger	0.672	بزدليءَ سان
contempt	anger	0.672	توهين
harmful	anger	0.672	نقصانڪار
expletive	anger	0.672	حيرت انگيز
wreak	anger	0.672	خراب ڪرڻ
maniac	anger	0.670	جنوني
cutthroat	anger	0.667	ڪٽڻ
enemy	anger	0.667	دشمن
hit	anger	0.667	مارڻ
hateeveryone	anger	0.667	هر ڪنهن کان نفرت
eruption	anger	0.667	ڦاٽڻ
irritable	anger	0.667	چڙهائي
odious	anger	0.667	گندو
shooting	anger	0.667	شوٽنگ
shout	anger	0.667	رڙ ڪرڻ
aggressive	anger	0.667	جارحاڻي
kick	anger	0.667	لات مارڻ
combat	anger	0.667	جنگ
fight	anger	0.667	وڙهڻ
punished	anger	0.662	سزا ڏني
yell	anger	0.661	رڙ
ambush	anger	0.661	گھات
harass	anger	0.659	ايذاءُ ڏيڻ
malignant	anger	0.656	خراب ڪندڙ
aggressor	anger	0.656	حملو ڪندڙ
gore	anger	0.656	گور
destruction	anger	0.656	تباهي
grudge	anger	0.656	ڪاوڙ
antichrist	anger	0.656	مخالف
incense	anger	0.656	بخور
expel	anger	0.656	خارج ڪرڻ
cranky	anger	0.653	خبطي
slave	anger	0.652	غلام
reprisal	anger	0.652	انتقام
growl	anger	0.652	گوڙ
animosity	anger	0.652	دشمني
insurrection	anger	0.652	بغاوت
clashing	anger	0.652	ٽڪراءُ
denounce	anger	0.652	مذمت ڪرڻ
offended	anger	0.652	ناراض
spank	anger	0.652	ڌڪ
insulting	anger	0.652	بي عزتي ڪرڻ
growls	anger	0.649	گوڙ
executioner	anger	0.644	سزا ڏيڻ وارو
twat	anger	0.644	twat
doomsday	anger	0.643	قيامت
obscenity	anger	0.641	فحش
accused	anger	0.641	الزام
feud	anger	0.641	دشمني
daemon	anger	0.641	ڊيمون
havoc	anger	0.641	تباهي
shackle	anger	0.641	زنجير
inexcusable	anger	0.641	ناقابل معافي
indignant	anger	0.641	ناراض
grr	anger	0.641	grr
expulsion	anger	0.641	نيڪالي
bombard	anger	0.641	بمباري
spat	anger	0.641	ٿڪ
arson	anger	0.641	باهه ڏيڻ
reprimand	anger	0.641	ملامت ڪرڻ
somad	anger	0.637	سومد
frustrated	anger	0.636	مايوس
batter	anger	0.636	بيٽر
kicking	anger	0.636	لات مارڻ
anarchy	anger	0.636	انارڪي
spanking	anger	0.636	ڇڪڻ
glaring	anger	0.636	چمڪندڙ
suicidal	anger	0.636	خودڪشي ڪندڙ
disgusting	anger	0.636	نفرت آميز
wound	anger	0.636	زخم
hanging	anger	0.636	لٽڪڻ
poisoned	anger	0.636	زهر ٿيل
combatant	anger	0.636	جنگي
wrecked	anger	0.633	تباهه ٿيل
inflict	anger	0.633	پھچائڻ
grievous	anger	0.632	ڏکوئيندڙ
prosecute	anger	0.630	مقدمو هلائڻ
agitated	anger	0.630	مشتعل
cheat	anger	0.630	ٺڳي
swastika	anger	0.627	سواستيڪا
injure	anger	0.625	زخمي
indict	anger	0.625	فرد جرم
scourge	anger	0.625	لعنت
provocation	anger	0.625	اشتعال
suffocation	anger	0.625	دم گهڙڻ
strife	anger	0.625	تڪرار
raid	anger	0.625	حملو
enslaved	anger	0.625	غلامي
cursing	anger	0.625	لعنت ڪرڻ
defamatory	anger	0.625	بدنام ڪندڙ
harassing	anger	0.625	ايذاءُ ڏيڻ
thundering	anger	0.625	گجگوڙ
betray	anger	0.625	خيانت ڪرڻ
arsehole	anger	0.624	گدڙ
theft	anger	0.621	چوري
insane	anger	0.621	چريو
retaliation	anger	0.621	انتقام
irritate	anger	0.621	ناراض ڪرڻ
deprivation	anger	0.621	محرومي
fiend	anger	0.621	شيطان
jerk	anger	0.621	جھٽڪو
convict	anger	0.621	سزا ڏيندڙ
cussed	anger	0.619	ڪاوڙيل
turmoil	anger	0.618	انتشار
smack	anger	0.615	ڌڪ
retribution	anger	0.614	بدلو
rebellion	anger	0.609	بغاوت
oppressor	anger	0.609	ظالم
gang	anger	0.609	گروهه
slavery	anger	0.609	غلامي
intolerable	anger	0.609	ناقابل برداشت
adverse	anger	0.609	ناڪاري
injurious	anger	0.609	نقصانڪار
twats	anger	0.609	twats
collision	anger	0.609	ٽڪر
battery	anger	0.609	بيٽري
bitterly	anger	0.609	تلخيءَ سان
antagonism	anger	0.609	دشمني
irritability	anger	0.609	چڙهڻ
disgraced	anger	0.608	بي عزتي
diatribe	anger	0.606	diatribe
asshole	anger	0.606	گدا
blast	anger	0.606	ڌماڪو
bombardment	anger	0.606	بمباري
irks	anger	0.606	irks
ranting	anger	0.606	رڙ ڪرڻ
revolution	anger	0.606	انقلاب
thug	anger	0.606	ٺڳ
antagonistic	anger	0.606	مخالف
irritating	anger	0.606	چڙهڻ
sickening	anger	0.606	بيمار ڪرڻ
discrimination	anger	0.606	تعصب
frustrate	anger	0.604	مايوس ڪرڻ
insult	anger	0.603	بي عزتي
hurtful	anger	0.603	ڏکوئيندڙ
oppression	anger	0.603	ظلم
manipulation	anger	0.603	هٿرادو
tiredofit	anger	0.603	ٿڪائيندڙ
bigot	anger	0.603	وڏائي
tension	anger	0.603	ڇڪتاڻ
disgust	anger	0.602	نفرت
spite	anger	0.600	باوجود
intrusive	anger	0.598	مداخلت ڪندڙ
harshness	anger	0.597	سختي
slur	anger	0.596	گندگي
tempest	anger	0.594	طوفان
assail	anger	0.594	حملو ڪرڻ
bitterness	anger	0.594	تلخي
morbidity	anger	0.594	بيماري
casualty	anger	0.594	زخمي
puncture	anger	0.594	پنڪچر
miserable	anger	0.594	ڏکوئيندڙ
inferno	anger	0.594	جهنم
invasion	anger	0.594	حملو
storming	anger	0.594	طوفان
wretch	anger	0.594	خراب
consternation	anger	0.592	پريشاني
raving	anger	0.591	روئڻ
forcibly	anger	0.591	زبردستي
guillotine	anger	0.591	گليلوٽين
guilty	anger	0.591	ڏوهي
depraved	anger	0.591	خراب ٿيل
immoral	anger	0.591	غير اخلاقي
overpowering	anger	0.591	زبردست
scare	anger	0.588	ڊڄڻ
recalcitrant	anger	0.588	رعايت ڪندڙ
screwed	anger	0.588	خراب ٿيل
accursed	anger	0.588	ملعون
soannoyed	anger	0.588	ڪاوڙيل
invader	anger	0.588	حملو ڪندڙ
jealousy	anger	0.587	حسد
indignation	anger	0.587	ڪاوڙ
vexed	anger	0.586	ڪاوڙيل
confront	anger	0.582	منهن ڏيڻ
brute	anger	0.581	وحشي
throttle	anger	0.579	گلا ڪرڻ
slut	anger	0.578	ٻلي
coup	anger	0.578	بغاوت
blaze	anger	0.578	ٻرڻ
pillage	anger	0.578	ڦرلٽ
provoking	anger	0.578	ڀڙڪائڻ
damage	anger	0.578	نقصان
criminality	anger	0.578	ڏوهه
shutup	anger	0.578	بڪواس بند ڪر
lash	anger	0.578	ڌڪ
conflict	anger	0.578	تڪرار
contentious	anger	0.578	تڪراري
shutit	anger	0.578	بند ڪرڻ
wreck	anger	0.578	تباهي
defiant	anger	0.578	ضد ڪندڙ
butcher	anger	0.578	ڪاسائي
incarceration	anger	0.578	قيد
revolver	anger	0.578	ريوالور
bickering	anger	0.578	جهيڙو ڪرڻ
yousuck	anger	0.578	توهان فضول ماڻهو آهيو
cancer	anger	0.577	ڪينسر
discriminate	anger	0.576	تعصب ڪرڻ
gun	anger	0.576	بندوق
frustration	anger	0.576	مايوسي
gory	anger	0.576	گوري
pernicious	anger	0.576	نقصانڪار
dontmess	anger	0.576	مسڪين
blasphemy	anger	0.576	توهين
chaotic	anger	0.576	افراتفري
grope	anger	0.576	ڇڪڻ
alienation	anger	0.576	اجنبي
disturbance	anger	0.576	خلل
condescension	anger	0.576	تعزيت
standoff	anger	0.576	اسٽينڊ آف
discord	anger	0.576	تڪرار
friggen	anger	0.575	friggen
sneer	anger	0.574	مسخري
death	anger	0.574	موت
lunacy	anger	0.574	چريو
scandalous	anger	0.574	بدمعاش
oppressive	anger	0.574	جابر
jab	anger	0.574	جيب
cursed	anger	0.574	لعنت ڪئي وئي
monstrosity	anger	0.574	وحشيت
shit	anger	0.573	گندو
disparaging	anger	0.571	بي عزتي ڪرڻ
slash	anger	0.571	سليش
unfair	anger	0.571	غير منصفانه
gallows	anger	0.570	ڦاسي
escalate	anger	0.569	وڌائڻ
intolerant	anger	0.564	عدم برداشت
lawlessness	anger	0.563	لاقانونيت
beast	anger	0.562	جانور
torpedo	anger	0.562	تارپيڊو
malign	anger	0.562	خراب ڪرڻ
traitor	anger	0.562	غدار
frightful	anger	0.562	خوفناڪ
wrangling	anger	0.562	جهيڙو ڪرڻ
slander	anger	0.562	بدگماني
bellows	anger	0.562	ڌڙڪڻ
retards	anger	0.562	روڪي ٿو
grouchy	anger	0.562	ڪاوڙيل
derogatory	anger	0.562	توهين آميز
bearish	anger	0.562	بيئرش
invade	anger	0.562	حملو ڪرڻ
perdition	anger	0.562	تباهي
arghh	anger	0.562	ارھ
dreadful	anger	0.562	خوفناڪ
bluddy	anger	0.562	بي رحم
deceived	anger	0.562	ٺڳي
glare	anger	0.562	چمڪ
taunt	anger	0.562	طعنو ڏيڻ
dissension	anger	0.561	تڪرار
cross	anger	0.561	پار
rave	anger	0.561	روئڻ
grating	anger	0.561	ڇڪڻ
devastating	anger	0.561	تباهه ڪندڙ
fits	anger	0.561	مناسب
jeopardize	anger	0.561	خطري ۾ وجهڻ
shatter	anger	0.561	ٽٽڻ
idiots	anger	0.561	بيوقوف
hurt	anger	0.561	ڏک
thief	anger	0.561	چور
uncontrollable	anger	0.561	بي قابو
conflagration	anger	0.561	ڀڙڪائڻ
betrayal	anger	0.561	خيانت
banshee	anger	0.561	بنشي
subjugation	anger	0.559	تابع ڪرڻ
disturbed	anger	0.559	پريشان
stomped	anger	0.557	ڇڪايو
grab	anger	0.557	پڪڙڻ
grievance	anger	0.556	شڪايت
ticked	anger	0.556	نشان لڳل
masochism	anger	0.556	masochism
defiance	anger	0.552	مخالفت
blackmail	anger	0.550	بليڪ ميل ڪرڻ
offensive	anger	0.549	جارحاڻي
decry	anger	0.548	رد ڪرڻ
frustrates	anger	0.547	مايوس ڪري ٿو
violation	anger	0.547	خلاف ورزي
confine	anger	0.547	محدود ڪرڻ
misery	anger	0.547	مصيبت
arghhhh	anger	0.547	ارهه
disparity	anger	0.547	تفاوت
punishment	anger	0.547	سزا
rebel	anger	0.547	باغي
preposterous	anger	0.547	ضدي
disgraceful	anger	0.547	بي عزتي ڪندڙ
ire	anger	0.547	ڪاوڙ
deceive	anger	0.547	ٺڳي ڪرڻ
fustrated	anger	0.547	مايوس
sin	anger	0.547	گناهه
shrill	anger	0.547	ڇرڪي
darkside	anger	0.547	اونداھون رخ
overbearing	anger	0.547	دبنگ
firearms	anger	0.547	هٿيار
stolen	anger	0.546	چوري
hadenough	anger	0.546	ڪافي
prejudice	anger	0.545	تعصب
tackle	anger	0.545	حل ڪرڻ
resentful	anger	0.545	ناراضگي وارو
heated	anger	0.545	گرم ٿيل
callous	anger	0.545	سخت
conspirator	anger	0.545	سازش ڪندڙ
ruined	anger	0.545	برباد
antagonist	anger	0.545	مخالف
skirmish	anger	0.545	لڙائي
menace	anger	0.545	خطرو
annoyin	anger	0.545	پريشان ڪندڙ
foul	anger	0.545	گندو
argument	anger	0.545	دليل
humiliate	anger	0.545	خوار ڪرڻ
wanker	anger	0.545	ڀڄڻ وارو
adversary	anger	0.545	مخالف
sting	anger	0.544	ڏنگ
entangled	anger	0.544	الجھيل
grumble	anger	0.544	گوڙ ڪرڻ
robbery	anger	0.544	ڦرلٽ
outcry	anger	0.544	رڙ
resistance	anger	0.543	مزاحمت
irreconcilable	anger	0.543	ناقابل مصالحت
obstructive	anger	0.542	رڪاوٽ ڪندڙ
dismay	anger	0.540	مايوسي
mob	anger	0.538	ميڙ
juststop	anger	0.537	بس روڪي
badness	anger	0.536	خرابي
ridicule	anger	0.534	طنز ڪرڻ
incendiary	anger	0.533	باهه ڏيڻ وارو
flares	anger	0.532	شعلا
twofaced	anger	0.531	ٻه منهن
reckless	anger	0.531	بي پرواهه
communism	anger	0.531	ڪميونزم
allegation	anger	0.531	الزام
prejudicial	anger	0.531	تعصبي
whip	anger	0.531	چابڪ
unbridled	anger	0.531	بي لگام
degeneracy	anger	0.531	زوال
intruder	anger	0.531	مداخلت ڪندڙ
belittle	anger	0.531	گھٽ ڪرڻ
confinement	anger	0.531	قيد
dispute	anger	0.531	تڪرار
exacerbation	anger	0.531	وڌاءُ
uprising	anger	0.531	بغاوت
unjust	anger	0.530	ناانصافي
unjustifiable	anger	0.530	ناقابل جواز
perversion	anger	0.530	بگاڙ
bigoted	anger	0.530	متعصب
fiesty	anger	0.530	تيز
offender	anger	0.530	مجرم
dictatorial	anger	0.530	آمريتي
hassle	anger	0.530	پريشاني
dissonance	anger	0.530	اختلاف
tackled	anger	0.530	ڇڪايو ويو
renegade	anger	0.529	بغاوت ڪرڻ
cantstandit	anger	0.529	نه ٿي سگهي
trespass	anger	0.529	غلطي
hot	anger	0.529	گرم
prison	anger	0.529	جيل
suicide	anger	0.521	خودڪشي
annoy	anger	0.520	ناراض ڪرڻ
leavemealone	anger	0.517	مون کي اڪيلو ڇڏيو
cretins	anger	0.516	ڪريٽين
depravity	anger	0.516	بدحالي
idiotic	anger	0.516	بيوقوف
dishonest	anger	0.516	بي ايمان
distrust	anger	0.516	بي اعتمادي
broil	anger	0.516	برائل
grrr	anger	0.516	گرر
criticize	anger	0.516	تنقيد ڪرڻ
inimical	anger	0.516	دشمني وارو
tortious	anger	0.516	ڏکوئيندڙ
prisoner	anger	0.516	قيدي
treason	anger	0.516	غداري
divorce	anger	0.516	طلاق
venting	anger	0.516	ويهڻ
duress	anger	0.516	جبر
disrespectful	anger	0.516	بي عزتي ڪندڙ
poaching	anger	0.515	شڪار ڪرڻ
scold	anger	0.515	گاريون ڏيڻ
poachers	anger	0.515	شڪار ڪندڙ
pow	anger	0.515	پائو
hangry	anger	0.515	هينگري
argumentation	anger	0.515	استدلال
frustrating	anger	0.515	مايوس ڪندڙ
unkind	anger	0.515	بي رحم
roar	anger	0.515	گوڙ
coercion	anger	0.515	جبر
unforgiving	anger	0.515	ناقابل معافي
grump	anger	0.515	بدمعاش
bile	anger	0.515	بائل
unleash	anger	0.515	ڇڏڻ
chaos	anger	0.515	افراتفري
victimized	anger	0.515	شڪار ٿيل
jerks	anger	0.515	ڌڪ
tussle	anger	0.514	تڪرار
bane	anger	0.511	نقصان
accusation	anger	0.510	الزام
enmity	anger	0.510	دشمني
repudiation	anger	0.510	انڪار
banish	anger	0.509	ٻاھر ڪڍڻ
disfigured	anger	0.508	بگاڙيل
storm	anger	0.507	طوفان
crazy	anger	0.500	چريو
hammering	anger	0.500	ڌڪ هڻڻ
defy	anger	0.500	انڪار ڪرڻ
antithesis	anger	0.500	ضد
scoff	anger	0.500	ٺٺولي ڪرڻ
anguish	anger	0.500	ڏک
confined	anger	0.500	محدود
fear	anger	0.500	خوف
bout	anger	0.500	مقابلو
unruly	anger	0.500	بي ترتيب
delusional	anger	0.500	فريب وارو
obstruct	anger	0.500	رڪاوٽ ڪرڻ
possessed	anger	0.500	قبضو ڪيل
injustice	anger	0.500	ناانصافي
fervor	anger	0.500	جوش
spear	anger	0.500	ٻاجهه
derision	anger	0.500	طنز
intractable	anger	0.500	ناقابل برداشت
reject	anger	0.500	رد ڪرڻ
dominate	anger	0.500	غلبو
ordeal	anger	0.500	آزمائش
banished	anger	0.500	خارج ڪيو ويو
rejects	anger	0.500	رد ڪري ٿو
shun	anger	0.500	پري ڪرڻ
