English Word	Emotion	Emotion-Intensity-Score	Indonesian Word
desecration	anger	0.848	penodaan
pissingmeoff	anger	0.848	membuatku kesal
destroying	anger	0.844	menghancurkan
slaughter	anger	0.844	pembantaian
irate	anger	0.844	marah
violent	anger	0.844	brutal
stab	anger	0.844	menusuk
abomination	anger	0.844	kekejian
tumultuous	anger	0.844	rusuh
infuriate	anger	0.844	memanaskan
obliterate	anger	0.843	melenyapkan
belligerent	anger	0.841	berperang
dumbbitch	anger	0.841	bodoh
detest	anger	0.838	benci
hostilities	anger	0.837	pertempuran
prick	anger	0.835	tusukan
rampage	anger	0.833	mengamuk
horrid	anger	0.833	mengerikan
cruelty	anger	0.833	kekejaman
torture	anger	0.833	menyiksa
rabid	anger	0.833	fanatik
despicable	anger	0.828	tercela
tyrannical	anger	0.828	kejam
demonic	anger	0.828	jahat
satanic	anger	0.828	setan
hate	anger	0.828	membenci
ragemode	anger	0.828	mode kemarahan
hating	anger	0.828	membenci
ruinous	anger	0.825	merusak
condemn	anger	0.825	memvonis
riots	anger	0.824	kerusuhan
demolish	anger	0.824	menghancurkan
angry	anger	0.824	marah
extermination	anger	0.824	pemusnahan
dickhead	anger	0.824	brengsek
livid	anger	0.821	marah
madman	anger	0.820	orang gila
vindictive	anger	0.819	pendendam
terrorist	anger	0.818	teroris
threaten	anger	0.818	mengancam
venomous	anger	0.818	berbisa
hateyou	anger	0.818	benci kamu
ferocity	anger	0.818	keganasan
effyou	anger	0.818	effyou
abhor	anger	0.816	benci
carnage	anger	0.814	pembantaian
savage	anger	0.814	Kejam
atrocity	anger	0.814	kekejaman
fucksake	anger	0.812	sialan
abuse	anger	0.812	melecehkan
fierce	anger	0.812	garang
destroyer	anger	0.812	perusak
angrytweet	anger	0.812	marahtweet
barbaric	anger	0.812	biadab
vendetta	anger	0.812	dendam
pissesmeoff	anger	0.812	bikin kesal
pissedoff	anger	0.812	kesal
tyrant	anger	0.812	tiran
berserk	anger	0.812	mengamuk
fuming	anger	0.812	marah
anger	anger	0.811	amarah
pieceofshit	anger	0.810	omong kosong
punched	anger	0.803	ditinju
punching	anger	0.803	meninju
slam	anger	0.803	membanting
homicide	anger	0.803	pembunuhan
bitch	anger	0.803	jalang
fights	anger	0.803	perkelahian
ruthless	anger	0.797	kejam
villainous	anger	0.797	jahat
destructive	anger	0.797	destruktif
slap	anger	0.791	tamparan
riot	anger	0.788	kerusuhan
growthefuckup	anger	0.788	sial
punishing	anger	0.788	menghukum
slaughterhouse	anger	0.788	rumah jagal
yelling	anger	0.788	berteriak
diabolical	anger	0.788	kejam
destroyed	anger	0.788	hancur
ragetweet	anger	0.788	marah-marah
retaliatory	anger	0.788	pembalasan
manslaughter	anger	0.783	pembunuhan
clash	anger	0.783	bentrokan
quarrel	anger	0.781	pertengkaran
bloody	anger	0.781	berdarah
hellish	anger	0.781	jahat
sinister	anger	0.781	jahat
loath	anger	0.781	segan
detonation	anger	0.781	ledakan
accusing	anger	0.779	menuduh
fumin	anger	0.779	asap
hateeee	anger	0.779	bencieeee
treacherous	anger	0.779	berbahaya
madder	anger	0.773	lebih gila
horrific	anger	0.773	mengerikan
revulsion	anger	0.773	perubahan
retaliate	anger	0.773	membalas
scorn	anger	0.769	cemooh
bomb	anger	0.766	bom
deplorable	anger	0.766	tercela
devastation	anger	0.765	penghancuran
anarchist	anger	0.765	anarkis
firestorm	anger	0.765	badai api
resent	anger	0.765	membenci
contemptible	anger	0.764	hina
shittest	anger	0.760	paling jelek
rant	anger	0.758	mengoceh
cruel	anger	0.758	kejam
deadly	anger	0.758	mematikan
smash	anger	0.758	menghancurkan
soangry	anger	0.758	sangat marah
outburst	anger	0.757	ledakan
snarl	anger	0.754	menggeram
profane	anger	0.750	duniawi
revolting	anger	0.750	menjijikkan
aggravating	anger	0.750	memberatkan
horror	anger	0.750	kengerian
despise	anger	0.750	membenci
offend	anger	0.750	menyinggung
stfu	anger	0.750	stfu
vulgarity	anger	0.750	kekasaran
crazed	anger	0.750	gila
douchebags	anger	0.750	douchebags
growling	anger	0.750	menggeram
dontmesswithme	anger	0.750	jangan main-main denganku
screaming	anger	0.742	teriakan
threat	anger	0.742	ancaman
erupt	anger	0.742	meletus
horrible	anger	0.742	mengerikan
molestation	anger	0.742	penganiayaan
fuckedoff	anger	0.742	kacau
violence	anger	0.742	kekerasan
bastards	anger	0.741	bajingan
revenge	anger	0.738	pembalasan dendam
menacing	anger	0.735	mengancam
crushing	anger	0.735	penumpasan
damn	anger	0.735	Sial
catastrophe	anger	0.735	malapetaka
demon	anger	0.735	setan
argue	anger	0.734	membantah
persecute	anger	0.734	menganiaya
deplore	anger	0.734	menyayangkan
flog	anger	0.734	mencambuk
fedup	anger	0.734	kesal
riotous	anger	0.734	liar
vehement	anger	0.734	keras
revolt	anger	0.734	memberontak
warfare	anger	0.734	perang
thrash	anger	0.734	menggasak
altercation	anger	0.729	pertengkaran
warlike	anger	0.728	berkenaan dengan perang
shitday	anger	0.727	hari sial
mutiny	anger	0.727	pemberontakan
castrate	anger	0.727	mengebiri
sabotage	anger	0.727	sabotase
malevolent	anger	0.721	jahat
strike	anger	0.721	memukul
disaster	anger	0.721	bencana
disastrous	anger	0.720	bencana
bastarding	anger	0.719	bajingan
treachery	anger	0.719	pengkhianatan
arseholes	anger	0.719	bajingan
horseshit	anger	0.719	Tai kuda
slay	anger	0.719	membunuh
disdain	anger	0.719	penghinaan
aggravates	anger	0.719	memperburuk
brutal	anger	0.719	brutal
scorching	anger	0.719	terik
devil	anger	0.719	setan
madden	anger	0.719	menjengkelkan
spiteful	anger	0.719	pendendam
scream	anger	0.719	berteriak
choke	anger	0.719	tersedak
vermin	anger	0.719	hama
tumult	anger	0.719	keributan
criminal	anger	0.714	pidana
mangle	anger	0.714	mengoyakkan
anarchism	anger	0.714	anarkisme
mutilation	anger	0.714	mutilasi
denunciation	anger	0.713	pengaduan
punch	anger	0.713	memukul
virulence	anger	0.712	keracunan
fatal	anger	0.712	fatal
hurting	anger	0.712	menyakiti
crucifixion	anger	0.712	penyaliban
dontlikeyou	anger	0.712	tidak suka kamu
blasphemous	anger	0.712	menghujat
holocaust	anger	0.712	bencana
dumbasses	anger	0.712	bodoh
battled	anger	0.712	berjuang
deranged	anger	0.706	gila
irritated	anger	0.706	kesal
atrocious	anger	0.706	mengerikan
evil	anger	0.706	kejahatan
aggravated	anger	0.703	diperparah
intimidation	anger	0.703	intimidasi
dicks	anger	0.703	penis
assassin	anger	0.703	pembunuh
scolding	anger	0.703	omelan
persecution	anger	0.703	penganiayaan
slayer	anger	0.703	pembunuh
kidnap	anger	0.703	menculik
aggression	anger	0.702	agresi
armed	anger	0.700	bersenjata
battle	anger	0.697	pertarungan
poison	anger	0.697	racun
snarling	anger	0.697	gertakan
venom	anger	0.697	bisa ular
disgruntled	anger	0.693	tdk puas
resentment	anger	0.691	kebencian
assailant	anger	0.691	penyerang
insidious	anger	0.691	berbahaya
contemptuous	anger	0.690	menghina
lynch	anger	0.690	lynch
temper	anger	0.688	melunakkan
terrible	anger	0.688	mengerikan
disparage	anger	0.688	meremehkan
lunatic	anger	0.688	gila
bully	anger	0.688	menggertak
mad	anger	0.688	gila
makesmemad	anger	0.688	membuatku marah
infanticide	anger	0.688	pembunuhan anak
domination	anger	0.688	dominasi
peeved	anger	0.688	kesal
imprisonment	anger	0.688	hukuman penjara
curse	anger	0.688	menyumpahi
volatility	anger	0.687	keriangan
eradication	anger	0.685	pemberantasan
eradicate	anger	0.682	membasmi
tantrum	anger	0.682	mengamuk
scoundrel	anger	0.682	bajingan
devastate	anger	0.682	menghancurkan
aggressively	anger	0.680	secara agresif
agitation	anger	0.680	agitasi
dictatorship	anger	0.676	kediktatoran
irritates	anger	0.676	menjengkelkan
profanity	anger	0.673	kata-kata kotor
shove	anger	0.672	mendorong
nasty	anger	0.672	menjijikan
shot	anger	0.672	tembakan
cruelly	anger	0.672	dengan kejam
shoot	anger	0.672	menembak
condemnation	anger	0.672	penghukuman
crushed	anger	0.672	hancur
aggravation	anger	0.672	kejengkelan
poisonous	anger	0.672	beracun
egregious	anger	0.672	mengerikan
crime	anger	0.672	kejahatan
corrupting	anger	0.672	merusak
dastardly	anger	0.672	pengecut
contempt	anger	0.672	penghinaan
harmful	anger	0.672	berbahaya
expletive	anger	0.672	kata lontaran
wreak	anger	0.672	melampiaskan
maniac	anger	0.670	Gila
cutthroat	anger	0.667	kejam
enemy	anger	0.667	musuh
hit	anger	0.667	memukul
hateeveryone	anger	0.667	benci semua orang
eruption	anger	0.667	letusan
irritable	anger	0.667	rongseng
odious	anger	0.667	menjijikkan
shooting	anger	0.667	penembakan
shout	anger	0.667	berteriak
aggressive	anger	0.667	agresif
kick	anger	0.667	tendangan
combat	anger	0.667	tempur
fight	anger	0.667	bertarung
punished	anger	0.662	dihukum
yell	anger	0.661	berteriak
ambush	anger	0.661	penyergapan
harass	anger	0.659	mengganggu
malignant	anger	0.656	ganas
aggressor	anger	0.656	agresor
gore	anger	0.656	menanduk
destruction	anger	0.656	penghancuran
grudge	anger	0.656	sakit hati
antichrist	anger	0.656	antikristus
incense	anger	0.656	dupa
expel	anger	0.656	mengeluarkan
cranky	anger	0.653	mudah marah
slave	anger	0.652	budak
reprisal	anger	0.652	pembalasan
growl	anger	0.652	menggeram
animosity	anger	0.652	kebencian
insurrection	anger	0.652	pemberontakan
clashing	anger	0.652	bentrok
denounce	anger	0.652	mencela
offended	anger	0.652	tersinggung
spank	anger	0.652	tamparan
insulting	anger	0.652	menghina
growls	anger	0.649	menggeram
executioner	anger	0.644	algojo
twat	anger	0.644	twat
doomsday	anger	0.643	kiamat
obscenity	anger	0.641	kecabulan
accused	anger	0.641	dituduh
feud	anger	0.641	bermusuhan
daemon	anger	0.641	daemon
havoc	anger	0.641	malapetaka
shackle	anger	0.641	belenggu
inexcusable	anger	0.641	tidak bisa dimaafkan
indignant	anger	0.641	marah
grr	anger	0.641	grr
expulsion	anger	0.641	pengusiran
bombard	anger	0.641	membombardir
spat	anger	0.641	bertengkar
arson	anger	0.641	pembakaran
reprimand	anger	0.641	teguran
somad	anger	0.637	Sangat marah
frustrated	anger	0.636	frustrasi
batter	anger	0.636	adonan
kicking	anger	0.636	sepakan
anarchy	anger	0.636	anarki
spanking	anger	0.636	tamparan
glaring	anger	0.636	menyolok
suicidal	anger	0.636	kecenderungan bunuh diri
disgusting	anger	0.636	menjijikkan
wound	anger	0.636	luka
hanging	anger	0.636	gantung
poisoned	anger	0.636	keracunan
combatant	anger	0.636	pejuang
wrecked	anger	0.633	hancur
inflict	anger	0.633	menimbulkan
grievous	anger	0.632	menyedihkan
prosecute	anger	0.630	menuntut
agitated	anger	0.630	gelisah
cheat	anger	0.630	mencurangi
swastika	anger	0.627	tanda Nazi
injure	anger	0.625	melukai
indict	anger	0.625	mendakwa
scourge	anger	0.625	momok
provocation	anger	0.625	provokasi
suffocation	anger	0.625	mati lemas
strife	anger	0.625	perselisihan
raid	anger	0.625	serangan
enslaved	anger	0.625	diperbudak
cursing	anger	0.625	kutuk
defamatory	anger	0.625	memfitnah
harassing	anger	0.625	melecehkan
thundering	anger	0.625	gemuruh
betray	anger	0.625	mengkhianati
arsehole	anger	0.624	bajingan
theft	anger	0.621	pencurian
insane	anger	0.621	gila
retaliation	anger	0.621	pembalasan
irritate	anger	0.621	mengganggu
deprivation	anger	0.621	perampasan
fiend	anger	0.621	iblis
jerk	anger	0.621	berengsek
convict	anger	0.621	menghukum
cussed	anger	0.619	degil
turmoil	anger	0.618	kekacauan
smack	anger	0.615	memukul
retribution	anger	0.614	retribusi
rebellion	anger	0.609	pemberontakan
oppressor	anger	0.609	penindas
gang	anger	0.609	gang
slavery	anger	0.609	perbudakan
intolerable	anger	0.609	tak tertahankan
adverse	anger	0.609	merugikan
injurious	anger	0.609	berbahaya
twats	anger	0.609	twats
collision	anger	0.609	tabrakan
battery	anger	0.609	baterai
bitterly	anger	0.609	dengan pahit
antagonism	anger	0.609	antagonisme
irritability	anger	0.609	sifat lekas marah
disgraced	anger	0.608	ternoda
diatribe	anger	0.606	cacian
asshole	anger	0.606	bajingan
blast	anger	0.606	ledakan
bombardment	anger	0.606	pengeboman
irks	anger	0.606	kesal
ranting	anger	0.606	mengomel
revolution	anger	0.606	revolusi
thug	anger	0.606	penjahat
antagonistic	anger	0.606	bermusuhan
irritating	anger	0.606	menjengkelkan
sickening	anger	0.606	memuakkan
discrimination	anger	0.606	diskriminasi
frustrate	anger	0.604	menggagalkan
insult	anger	0.603	menyinggung
hurtful	anger	0.603	menyakitkan
oppression	anger	0.603	penindasan
manipulation	anger	0.603	manipulasi
tiredofit	anger	0.603	lelah
bigot	anger	0.603	fanatik
tension	anger	0.603	ketegangan
disgust	anger	0.602	menjijikkan
spite	anger	0.600	meskipun
intrusive	anger	0.598	mengganggu
harshness	anger	0.597	kekerasan
slur	anger	0.596	cercaan
tempest	anger	0.594	badai
assail	anger	0.594	menyerang
bitterness	anger	0.594	kepahitan
morbidity	anger	0.594	morbiditas
casualty	anger	0.594	korban
puncture	anger	0.594	tusukan
miserable	anger	0.594	menderita
inferno	anger	0.594	neraka
invasion	anger	0.594	invasi
storming	anger	0.594	menyerbu
wretch	anger	0.594	orang celaka
consternation	anger	0.592	kekuatiran
raving	anger	0.591	ocehan
forcibly	anger	0.591	secara paksa
guillotine	anger	0.591	guillotine
guilty	anger	0.591	bersalah
depraved	anger	0.591	bejat
immoral	anger	0.591	asusila
overpowering	anger	0.591	sangat kuat
scare	anger	0.588	ketakutan
recalcitrant	anger	0.588	bandel
screwed	anger	0.588	kacau
accursed	anger	0.588	terkutuk
soannoyed	anger	0.588	kesal
invader	anger	0.588	penyerbu
jealousy	anger	0.587	kecemburuan
indignation	anger	0.587	kemarahan
vexed	anger	0.586	jengkel
confront	anger	0.582	mengonfrontasi
brute	anger	0.581	kasar
throttle	anger	0.579	mencekik
slut	anger	0.578	pelacur
coup	anger	0.578	kup
blaze	anger	0.578	api
pillage	anger	0.578	menjarah
provoking	anger	0.578	memprovokasi
damage	anger	0.578	kerusakan
criminality	anger	0.578	kriminalitas
shutup	anger	0.578	diam
lash	anger	0.578	bulu mata
conflict	anger	0.578	konflik
contentious	anger	0.578	kontensius
shutit	anger	0.578	tutup
wreck	anger	0.578	kecelakaan
defiant	anger	0.578	menentang
butcher	anger	0.578	tukang daging
incarceration	anger	0.578	penahanan
revolver	anger	0.578	pistol
bickering	anger	0.578	pertengkaran
yousuck	anger	0.578	kamu Payah
cancer	anger	0.577	kanker
discriminate	anger	0.576	membedakan
gun	anger	0.576	senjata
frustration	anger	0.576	frustrasi
gory	anger	0.576	berdarah
pernicious	anger	0.576	jahat
dontmess	anger	0.576	jangan berantakan
blasphemy	anger	0.576	penistaan
chaotic	anger	0.576	kacau
grope	anger	0.576	merogoh
alienation	anger	0.576	pengasingan
disturbance	anger	0.576	gangguan
condescension	anger	0.576	merendahkan
standoff	anger	0.576	kebuntuan
discord	anger	0.576	perselisihan
friggen	anger	0.575	dingin
sneer	anger	0.574	mengejek
death	anger	0.574	kematian
lunacy	anger	0.574	kegilaan
scandalous	anger	0.574	memalukan
oppressive	anger	0.574	menindas
jab	anger	0.574	tusukan
cursed	anger	0.574	dikutuk
monstrosity	anger	0.574	keburukan
shit	anger	0.573	kotoran
disparaging	anger	0.571	meremehkan
slash	anger	0.571	memotong
unfair	anger	0.571	tidak adil
gallows	anger	0.570	tiang gantungan
escalate	anger	0.569	meningkatkan
intolerant	anger	0.564	intoleran
lawlessness	anger	0.563	pelanggaran hukum
beast	anger	0.562	binatang buas
torpedo	anger	0.562	torpedo
malign	anger	0.562	memfitnah
traitor	anger	0.562	pengkhianat
frightful	anger	0.562	mengerikan
wrangling	anger	0.562	pertengkaran
slander	anger	0.562	fitnah
bellows	anger	0.562	puputan
retards	anger	0.562	menghambat
grouchy	anger	0.562	kesal
derogatory	anger	0.562	menghina
bearish	anger	0.562	kasar
invade	anger	0.562	menyerbu
perdition	anger	0.562	kebinasaan
arghh	anger	0.562	arghh
dreadful	anger	0.562	mengerikan
bluddy	anger	0.562	kemerah-merahan
deceived	anger	0.562	ditipu
glare	anger	0.562	silau
taunt	anger	0.562	mengejek
dissension	anger	0.561	pertikaian
cross	anger	0.561	menyeberang
rave	anger	0.561	sambutan hangat
grating	anger	0.561	kisi
devastating	anger	0.561	merusak
fits	anger	0.561	cocok
jeopardize	anger	0.561	membahayakan
shatter	anger	0.561	pecah
idiots	anger	0.561	idiot
hurt	anger	0.561	terluka
thief	anger	0.561	maling
uncontrollable	anger	0.561	tak terkendali
conflagration	anger	0.561	kebakaran besar
betrayal	anger	0.561	pengkhianatan
banshee	anger	0.561	banshee
subjugation	anger	0.559	penaklukan
disturbed	anger	0.559	terganggu
stomped	anger	0.557	menginjak-injak
grab	anger	0.557	merebut
grievance	anger	0.556	keluhan
ticked	anger	0.556	dicentang
masochism	anger	0.556	kesenangan karena menderita
defiance	anger	0.552	tantangan
blackmail	anger	0.550	pemerasan
offensive	anger	0.549	menyinggung
decry	anger	0.548	mengutuk
frustrates	anger	0.547	membuat frustrasi
violation	anger	0.547	pelanggaran
confine	anger	0.547	membatasi
misery	anger	0.547	penderitaan
arghhhh	anger	0.547	arghhhh
disparity	anger	0.547	perbedaan
punishment	anger	0.547	hukuman
rebel	anger	0.547	pemberontak
preposterous	anger	0.547	tidak masuk akal
disgraceful	anger	0.547	memalukan
ire	anger	0.547	kemarahan
deceive	anger	0.547	menipu
fustrated	anger	0.547	fustrated
sin	anger	0.547	dosa
shrill	anger	0.547	melengking
darkside	anger	0.547	sisi gelap
overbearing	anger	0.547	sombong
firearms	anger	0.547	senjata api
stolen	anger	0.546	dicuri
hadenough	anger	0.546	cukup
prejudice	anger	0.545	prasangka
tackle	anger	0.545	mengatasi
resentful	anger	0.545	marah
heated	anger	0.545	dipanaskan
callous	anger	0.545	tidak berperasaan
conspirator	anger	0.545	konspirator
ruined	anger	0.545	hancur
antagonist	anger	0.545	antagonis
skirmish	anger	0.545	pertempuran kecil
menace	anger	0.545	ancaman
annoyin	anger	0.545	mengganggu
foul	anger	0.545	busuk
argument	anger	0.545	argumen
humiliate	anger	0.545	menghina
wanker	anger	0.545	pengecut
adversary	anger	0.545	musuh
sting	anger	0.544	menyengat
entangled	anger	0.544	terjerat
grumble	anger	0.544	ngomel
robbery	anger	0.544	perampokan
outcry	anger	0.544	teriakan
resistance	anger	0.543	perlawanan
irreconcilable	anger	0.543	tidak dapat didamaikan
obstructive	anger	0.542	obstruktif
dismay	anger	0.540	kecemasan
mob	anger	0.538	massa
juststop	anger	0.537	berhenti saja
badness	anger	0.536	kejahatan
ridicule	anger	0.534	ejekan
incendiary	anger	0.533	pembakar
flares	anger	0.532	suar
twofaced	anger	0.531	bermuka dua
reckless	anger	0.531	ceroboh
communism	anger	0.531	komunisme
allegation	anger	0.531	tuduhan
prejudicial	anger	0.531	merugikan
whip	anger	0.531	cambuk
unbridled	anger	0.531	tak terkekang
degeneracy	anger	0.531	kemerosotan
intruder	anger	0.531	pengacau
belittle	anger	0.531	meremehkan
confinement	anger	0.531	kurungan
dispute	anger	0.531	perselisihan
exacerbation	anger	0.531	eksaserbasi
uprising	anger	0.531	pemberontakan
unjust	anger	0.530	tidak adil
unjustifiable	anger	0.530	tidak dapat dibenarkan
perversion	anger	0.530	pemutarbalikan
bigoted	anger	0.530	fanatik
fiesty	anger	0.530	bersemangat
offender	anger	0.530	pelanggar
dictatorial	anger	0.530	diktatoris
hassle	anger	0.530	kerepotan
dissonance	anger	0.530	disonansi
tackled	anger	0.530	ditangani
renegade	anger	0.529	pengkhianat
cantstandit	anger	0.529	tidak tahan
trespass	anger	0.529	pelanggaran
hot	anger	0.529	panas
prison	anger	0.529	penjara
suicide	anger	0.521	bunuh diri
annoy	anger	0.520	mengganggu
leavemealone	anger	0.517	tinggalkan aku sendiri
cretins	anger	0.516	kretin
depravity	anger	0.516	kebejatan
idiotic	anger	0.516	bodoh
dishonest	anger	0.516	tidak jujur
distrust	anger	0.516	ketidakpercayaan
broil	anger	0.516	memanggang
grrr	anger	0.516	grrr
criticize	anger	0.516	mengkritik
inimical	anger	0.516	bermusuhan
tortious	anger	0.516	menyiksa
prisoner	anger	0.516	tawanan
treason	anger	0.516	pengkhianatan
divorce	anger	0.516	perceraian
venting	anger	0.516	ventilasi
duress	anger	0.516	paksaan
disrespectful	anger	0.516	tidak sopan
poaching	anger	0.515	perburuan
scold	anger	0.515	memarahi
poachers	anger	0.515	pemburu liar
pow	anger	0.515	pow
hangry	anger	0.515	mabuk
argumentation	anger	0.515	argumentasi
frustrating	anger	0.515	membuat frustrasi
unkind	anger	0.515	kasar
roar	anger	0.515	mengaum
coercion	anger	0.515	paksaan
unforgiving	anger	0.515	tak kenal ampun
grump	anger	0.515	pemarah
bile	anger	0.515	empedu
unleash	anger	0.515	melancarkan
chaos	anger	0.515	kekacauan
victimized	anger	0.515	menjadi korban
jerks	anger	0.515	brengsek
tussle	anger	0.514	pergumulan
bane	anger	0.511	kutukan
accusation	anger	0.510	tuduhan
enmity	anger	0.510	permusuhan
repudiation	anger	0.510	penolakan
banish	anger	0.509	membuang
disfigured	anger	0.508	cacat
storm	anger	0.507	badai
crazy	anger	0.500	gila
hammering	anger	0.500	tempa
defy	anger	0.500	menentang
antithesis	anger	0.500	antitesis
scoff	anger	0.500	mencemoohkan
anguish	anger	0.500	derita
confined	anger	0.500	terbatas
fear	anger	0.500	takut
bout	anger	0.500	pertandingan
unruly	anger	0.500	tegar
delusional	anger	0.500	berkhayal
obstruct	anger	0.500	menghalangi
possessed	anger	0.500	kerasukan
injustice	anger	0.500	ketidakadilan
fervor	anger	0.500	semangat
spear	anger	0.500	tombak
derision	anger	0.500	ejekan
intractable	anger	0.500	keras kepala
reject	anger	0.500	menolak
dominate	anger	0.500	mendominasi
ordeal	anger	0.500	siksaan
banished	anger	0.500	dibuang
rejects	anger	0.500	menolak
shun	anger	0.500	menghindari
brunt	anger	0.500	terberat
derogation	anger	0.500	penghinaan
frenzied	anger	0.500	hiruk pikuk
animus	anger	0.500	kebencian
suppression	anger	0.500	penekanan
malpractice	anger	0.500	malpraktik
brazen	anger	0.500	kurang ajar
foaming	anger	0.500	berbusa
disrupting	anger	0.500	mengganggu
nobodycares	anger	0.500	tidak ada yang peduli
patronising	anger	0.500	berlangganan
getoveryourself	anger	0.495	lupakan dirimu sendiri
toughness	anger	0.492	kekerasan
stupidpeople	anger	0.492	orang bodoh
madness	anger	0.491	kegilaan
sinful	anger	0.491	penuh dosa
avarice	anger	0.490	ketamakan
oppress	anger	0.490	menindas
cutting	anger	0.485	pemotongan
anathema	anger	0.485	laknat
annoyed	anger	0.485	terganggu
dissident	anger	0.485	pembangkang
demand	anger	0.485	tuntutan
usurp	anger	0.485	merebut
claw	anger	0.485	cakar
alienate	anger	0.485	menjauhkan
infraction	anger	0.485	pelanggaran
avenger	anger	0.485	pembalas
revoke	anger	0.485	menarik kembali
smuggler	anger	0.485	penyelundup
abolish	anger	0.485	menghapuskan
fricking	anger	0.485	mencoret-coret
stayaway	anger	0.485	menjauh
pervert	anger	0.485	orang cabul
disservice	anger	0.485	tindakan merugikan
disobedient	anger	0.485	tidak patuh
incest	anger	0.485	inses
complaint	anger	0.485	keluhan
disapproved	anger	0.485	tidak disetujui
inhuman	anger	0.485	tidak manusiawi
mocking	anger	0.484	mengejek
penalty	anger	0.484	penalti
renounce	anger	0.484	meninggalkan
restrain	anger	0.484	menahan
upheaval	anger	0.484	pergolakan
deceit	anger	0.484	penipuan
obnoxious	anger	0.484	menjengkelkan
imprisoned	anger	0.484	dipenjara
strained	anger	0.484	tegang
blame	anger	0.484	menyalahkan
oust	anger	0.484	mengusir
litigious	anger	0.484	suka beperkara
rivalry	anger	0.484	persaingan
sucker	anger	0.484	memperdaya
opposed	anger	0.484	menentang
thresh	anger	0.484	mengirik
disgrace	anger	0.484	aib
suspicious	anger	0.484	mencurigakan
turbulence	anger	0.483	pergolakan
pound	anger	0.481	pound
coldness	anger	0.477	kedinginan
ungrateful	anger	0.472	tidak tahu berterima kasih
stoopid	anger	0.471	bodoh
battalion	anger	0.471	batalyon
feudalism	anger	0.470	feodalisme
hostage	anger	0.470	sandera
annoying	anger	0.470	mengganggu
dispossessed	anger	0.470	direbut
subversion	anger	0.470	subversi
friction	anger	0.470	gesekan
jealous	anger	0.470	cemburu
adversity	anger	0.470	kesulitan
infidel	anger	0.470	kafir
gall	anger	0.470	empedu
accuser	anger	0.470	penuduh
ram	anger	0.470	ram
armament	anger	0.470	persenjataan
thump	anger	0.469	berdebar
dislike	anger	0.469	benci
steal	anger	0.469	mencuri
backoff	anger	0.469	mundur
stifled	anger	0.469	tertahan
incite	anger	0.469	menghasut
distress	anger	0.469	kesulitan
angermanagement	anger	0.469	manajemen kemarahan
selfish	anger	0.469	egois
injury	anger	0.469	cedera
exile	anger	0.469	mengasingkan
insanity	anger	0.469	penyakit jiwa
offense	anger	0.469	pelanggaran
objection	anger	0.469	keberatan
smother	anger	0.469	melimpahi
disruption	anger	0.469	gangguan
intolerance	anger	0.469	intoleransi
disobey	anger	0.469	tidak mematuhi
