English Word	Emotion	Emotion-Intensity-Score	Ukrainian Word
dastardly	anger	0.672	підло
contempt	anger	0.672	презирство
harmful	anger	0.672	шкідливий
expletive	anger	0.672	лайка
wreak	anger	0.672	сіяти
maniac	anger	0.670	маніяк
cutthroat	anger	0.667	головоріз
enemy	anger	0.667	ворог
hit	anger	0.667	удар
hateeveryone	anger	0.667	ненавидіти всіх
eruption	anger	0.667	виверження
irritable	anger	0.667	дратівливий
odious	anger	0.667	одіозний
shooting	anger	0.667	стрілянина
shout	anger	0.667	кричати
aggressive	anger	0.667	агресивний
kick	anger	0.667	удар ногою
combat	anger	0.667	бойовий
fight	anger	0.667	боротися
punished	anger	0.662	покараний
yell	anger	0.661	кричати
ambush	anger	0.661	засідка
harass	anger	0.659	переслідувати
malignant	anger	0.656	злоякісний
aggressor	anger	0.656	агресор
gore	anger	0.656	кров
destruction	anger	0.656	руйнування
grudge	anger	0.656	образа
antichrist	anger	0.656	антихрист
incense	anger	0.656	ладан
expel	anger	0.656	виганяти
cranky	anger	0.653	вередливий
slave	anger	0.652	раб
reprisal	anger	0.652	репресії
growl	anger	0.652	гарчати
animosity	anger	0.652	ворожість
insurrection	anger	0.652	повстання
clashing	anger	0.652	зіткнення
denounce	anger	0.652	викривати
offended	anger	0.652	ображений
spank	anger	0.652	шльопати
insulting	anger	0.652	образливий
growls	anger	0.649	гарчить
executioner	anger	0.644	кат
twat	anger	0.644	пизда
doomsday	anger	0.643	судний день
obscenity	anger	0.641	непристойність
accused	anger	0.641	обвинувачений
feud	anger	0.641	ворожнеча
daemon	anger	0.641	демон
havoc	anger	0.641	хаос
shackle	anger	0.641	кайдани
inexcusable	anger	0.641	непробачний
indignant	anger	0.641	обурений
grr	anger	0.641	гр
expulsion	anger	0.641	вигнання
bombard	anger	0.641	бомбардувати
spat	anger	0.641	плюнув
arson	anger	0.641	підпал
reprimand	anger	0.641	догана
somad	anger	0.637	сомад
frustrated	anger	0.636	розчарований
batter	anger	0.636	тісто
kicking	anger	0.636	ногами
anarchy	anger	0.636	анархія
spanking	anger	0.636	шльопання
glaring	anger	0.636	кричущий
suicidal	anger	0.636	суїцидальні
disgusting	anger	0.636	огидний
wound	anger	0.636	рана
hanging	anger	0.636	висить
poisoned	anger	0.636	отруєний
combatant	anger	0.636	учасник бойових дій
wrecked	anger	0.633	розбитий
inflict	anger	0.633	наносити
grievous	anger	0.632	тяжкий
prosecute	anger	0.630	переслідувати
agitated	anger	0.630	схвильований
cheat	anger	0.630	обманювати
swastika	anger	0.627	свастика
injure	anger	0.625	поранити
indict	anger	0.625	обвинувачений
scourge	anger	0.625	бич
provocation	anger	0.625	провокація
suffocation	anger	0.625	задуха
strife	anger	0.625	чвари
raid	anger	0.625	рейд
enslaved	anger	0.625	поневолений
cursing	anger	0.625	лайка
defamatory	anger	0.625	наклепницький
harassing	anger	0.625	переслідування
thundering	anger	0.625	гримить
betray	anger	0.625	зрадити
arsehole	anger	0.624	мудак
theft	anger	0.621	крадіжки
insane	anger	0.621	божевільний
retaliation	anger	0.621	відплата
irritate	anger	0.621	дратувати
deprivation	anger	0.621	позбавлення
fiend	anger	0.621	нечисть
jerk	anger	0.621	ривок
convict	anger	0.621	засуджений
cussed	anger	0.619	лаявся
turmoil	anger	0.618	смута
smack	anger	0.615	присмак
retribution	anger	0.614	відплата
rebellion	anger	0.609	повстання
oppressor	anger	0.609	гнобитель
gang	anger	0.609	банда
slavery	anger	0.609	рабство
intolerable	anger	0.609	нестерпний
adverse	anger	0.609	несприятливий
injurious	anger	0.609	травмуючий
twats	anger	0.609	пиздки
collision	anger	0.609	зіткнення
battery	anger	0.609	акумулятор
bitterly	anger	0.609	гірко
antagonism	anger	0.609	антагонізм
irritability	anger	0.609	дратівливість
disgraced	anger	0.608	зганьблений
diatribe	anger	0.606	діатриба
asshole	anger	0.606	мудак
blast	anger	0.606	вибух
bombardment	anger	0.606	бомбардування
irks	anger	0.606	дратує
ranting	anger	0.606	розгукувати
revolution	anger	0.606	революція
thug	anger	0.606	бандит
antagonistic	anger	0.606	антагоністичний
irritating	anger	0.606	дратує
sickening	anger	0.606	нудотно
discrimination	anger	0.606	дискримінація
frustrate	anger	0.604	розчарувати
insult	anger	0.603	образа
hurtful	anger	0.603	боляче
oppression	anger	0.603	гноблення
manipulation	anger	0.603	маніпуляції
tiredofit	anger	0.603	тиредофіт
bigot	anger	0.603	фанатик
tension	anger	0.603	напруга
disgust	anger	0.602	огида
spite	anger	0.600	на зло
intrusive	anger	0.598	настирливий
harshness	anger	0.597	суворість
slur	anger	0.596	немовля
tempest	anger	0.594	буря
assail	anger	0.594	нападати
bitterness	anger	0.594	гіркота
morbidity	anger	0.594	хворобливість
casualty	anger	0.594	поранений
puncture	anger	0.594	прокол
miserable	anger	0.594	жалюгідний
inferno	anger	0.594	пекло
invasion	anger	0.594	вторгнення
storming	anger	0.594	штурмуючи
wretch	anger	0.594	негідник
consternation	anger	0.592	жах
raving	anger	0.591	марення
forcibly	anger	0.591	примусово
guillotine	anger	0.591	гільйотина
guilty	anger	0.591	винним
depraved	anger	0.591	розбещений
immoral	anger	0.591	аморальний
overpowering	anger	0.591	непереборний
scare	anger	0.588	налякати
recalcitrant	anger	0.588	непокірний
screwed	anger	0.588	прикручений
accursed	anger	0.588	проклятий
soannoyed	anger	0.588	так роздратовано
invader	anger	0.588	загарбник
jealousy	anger	0.587	ревнощі
indignation	anger	0.587	обурення
vexed	anger	0.586	роздратований
confront	anger	0.582	протистояти
brute	anger	0.581	брутальний
throttle	anger	0.579	дросель
slut	anger	0.578	повія
coup	anger	0.578	переворот
blaze	anger	0.578	полум'я
pillage	anger	0.578	грабіж
provoking	anger	0.578	провокуючий
damage	anger	0.578	пошкодження
criminality	anger	0.578	злочинність
shutup	anger	0.578	замовкни
lash	anger	0.578	батій
conflict	anger	0.578	конфлікт
contentious	anger	0.578	спірний
shutit	anger	0.578	закрий це
wreck	anger	0.578	крах
defiant	anger	0.578	зухвалий
butcher	anger	0.578	м'ясник
incarceration	anger	0.578	позбавлення волі
revolver	anger	0.578	револьвер
bickering	anger	0.578	сварка
yousuck	anger	0.578	ти смокчеш
cancer	anger	0.577	рак
discriminate	anger	0.576	дискримінувати
gun	anger	0.576	пістолет
frustration	anger	0.576	розчарування
gory	anger	0.576	кривавий
pernicious	anger	0.576	згубний
dontmess	anger	0.576	не безлад
blasphemy	anger	0.576	богохульство
chaotic	anger	0.576	хаотичний
grope	anger	0.576	намацати
alienation	anger	0.576	відчуження
disturbance	anger	0.576	порушення
condescension	anger	0.576	поблажливість
standoff	anger	0.576	протистояння
discord	anger	0.576	розбрат
friggen	anger	0.575	friggen
sneer	anger	0.574	насмішка
death	anger	0.574	смерть
lunacy	anger	0.574	божевілля
scandalous	anger	0.574	скандально
oppressive	anger	0.574	гнітючий
jab	anger	0.574	удар
cursed	anger	0.574	проклятий
monstrosity	anger	0.574	потворність
shit	anger	0.573	лайно
disparaging	anger	0.571	зневажливий
slash	anger	0.571	коса лінія
unfair	anger	0.571	несправедливо
gallows	anger	0.570	шибениця
escalate	anger	0.569	ескалувати
intolerant	anger	0.564	нетерпимий
lawlessness	anger	0.563	беззаконня
beast	anger	0.562	звір
torpedo	anger	0.562	торпеда
malign	anger	0.562	злоякісний
traitor	anger	0.562	зрадник
frightful	anger	0.562	страшний
wrangling	anger	0.562	суперечка
slander	anger	0.562	наклепи
bellows	anger	0.562	міхи
retards	anger	0.562	відсталі
grouchy	anger	0.562	буркотливий
derogatory	anger	0.562	принизливий
bearish	anger	0.562	ведмежий
invade	anger	0.562	вторгнутися
perdition	anger	0.562	загибель
arghh	anger	0.562	arghh
dreadful	anger	0.562	жахливий
bluddy	anger	0.562	тупий
deceived	anger	0.562	обдурили
glare	anger	0.562	відблиски
taunt	anger	0.562	кепкування
dissension	anger	0.561	розбрат
cross	anger	0.561	хрестик
rave	anger	0.561	марити
grating	anger	0.561	решітка
devastating	anger	0.561	руйнівний
fits	anger	0.561	підходить
jeopardize	anger	0.561	поставити під загрозу
shatter	anger	0.561	розбити
idiots	anger	0.561	ідіоти
hurt	anger	0.561	боляче
thief	anger	0.561	злодій
uncontrollable	anger	0.561	неконтрольований
conflagration	anger	0.561	пожежа
betrayal	anger	0.561	зрада
banshee	anger	0.561	банши
subjugation	anger	0.559	підкорення
disturbed	anger	0.559	порушений
stomped	anger	0.557	потоптаний
grab	anger	0.557	схопити
grievance	anger	0.556	скарга
ticked	anger	0.556	галочкою
masochism	anger	0.556	мазохізм
defiance	anger	0.552	непокора
blackmail	anger	0.550	шантаж
offensive	anger	0.549	образливий
decry	anger	0.548	засуджувати
frustrates	anger	0.547	розчаровує
violation	anger	0.547	порушення
confine	anger	0.547	обмежувати
misery	anger	0.547	нещастя
arghhhh	anger	0.547	агхххх
disparity	anger	0.547	диспропорція
punishment	anger	0.547	покарання
rebel	anger	0.547	повстанець
preposterous	anger	0.547	безглуздо
disgraceful	anger	0.547	ганебний
ire	anger	0.547	гнів
deceive	anger	0.547	обманювати
fustrated	anger	0.547	розчарований
sin	anger	0.547	гріх
shrill	anger	0.547	пронизливий
darkside	anger	0.547	темна сторона
overbearing	anger	0.547	владний
firearms	anger	0.547	вогнепальна зброя
stolen	anger	0.546	вкрадені
hadenough	anger	0.546	мав достатньо
prejudice	anger	0.545	упередження
tackle	anger	0.545	снасті
resentful	anger	0.545	обурений
heated	anger	0.545	нагрівається
callous	anger	0.545	черствий
conspirator	anger	0.545	змовник
ruined	anger	0.545	розорений
antagonist	anger	0.545	антагоніст
skirmish	anger	0.545	сутичка
menace	anger	0.545	загроза
annoyin	anger	0.545	дратує
foul	anger	0.545	фол
argument	anger	0.545	аргумент
humiliate	anger	0.545	принижувати
wanker	anger	0.545	дрочити
adversary	anger	0.545	супротивник
sting	anger	0.544	жало
entangled	anger	0.544	заплутаний
grumble	anger	0.544	бурчати
robbery	anger	0.544	пограбування
outcry	anger	0.544	обурення
resistance	anger	0.543	опір
irreconcilable	anger	0.543	непримиренні
obstructive	anger	0.542	обструктивний
dismay	anger	0.540	розчарування
mob	anger	0.538	моб
juststop	anger	0.537	просто перестань
badness	anger	0.536	поганість
ridicule	anger	0.534	глузування
incendiary	anger	0.533	запальний
flares	anger	0.532	факели
twofaced	anger	0.531	дволикий
reckless	anger	0.531	безрозсудний
communism	anger	0.531	комунізм
allegation	anger	0.531	звинувачення
prejudicial	anger	0.531	упереджений
whip	anger	0.531	батогом
unbridled	anger	0.531	неприборканий
degeneracy	anger	0.531	виродження
intruder	anger	0.531	порушник
belittle	anger	0.531	применшувати
confinement	anger	0.531	ув'язнення
dispute	anger	0.531	суперечка
exacerbation	anger	0.531	загострення
uprising	anger	0.531	повстання
unjust	anger	0.530	несправедливий
unjustifiable	anger	0.530	невиправданий
perversion	anger	0.530	збочення
bigoted	anger	0.530	фанатичний
fiesty	anger	0.530	запеклий
offender	anger	0.530	правопорушник
dictatorial	anger	0.530	диктаторський
hassle	anger	0.530	клопоту
dissonance	anger	0.530	дисонанс
tackled	anger	0.530	взявся за справу
renegade	anger	0.529	ренегат
cantstandit	anger	0.529	cantstandit
trespass	anger	0.529	посягання
hot	anger	0.529	гарячий
prison	anger	0.529	в'язниця
suicide	anger	0.521	самогубство
annoy	anger	0.520	дратувати
leavemealone	anger	0.517	залишити мене в спокої
cretins	anger	0.516	кретини
depravity	anger	0.516	розбещеність
idiotic	anger	0.516	ідіотський
dishonest	anger	0.516	нечесний
distrust	anger	0.516	недовіра
broil	anger	0.516	смажити
grrr	anger	0.516	grrr
criticize	anger	0.516	критикувати
inimical	anger	0.516	ворожий
tortious	anger	0.516	деліктний
prisoner	anger	0.516	в'язень
treason	anger	0.516	державна зрада
divorce	anger	0.516	розлучення
venting	anger	0.516	вентиляція
duress	anger	0.516	примус
disrespectful	anger	0.516	нешанобливий
poaching	anger	0.515	браконьєрство
scold	anger	0.515	лаяти
poachers	anger	0.515	браконьєри
pow	anger	0.515	pow
hangry	anger	0.515	голодний
argumentation	anger	0.515	аргументація
frustrating	anger	0.515	розчарування
unkind	anger	0.515	недобрий
roar	anger	0.515	рев
coercion	anger	0.515	примус
unforgiving	anger	0.515	невблаганний
grump	anger	0.515	буркотливий
bile	anger	0.515	жовч
unleash	anger	0.515	розв'язати
chaos	anger	0.515	хаос
victimized	anger	0.515	жертвами
jerks	anger	0.515	ривки
tussle	anger	0.514	сваритися
bane	anger	0.511	прокляття
accusation	anger	0.510	звинувачення
enmity	anger	0.510	ворожнечу
repudiation	anger	0.510	відмова
banish	anger	0.509	вигнати
disfigured	anger	0.508	знівечений
storm	anger	0.507	шторм
crazy	anger	0.500	божевільний
hammering	anger	0.500	забивання молотком
defy	anger	0.500	кинути виклик
antithesis	anger	0.500	антитеза
scoff	anger	0.500	глузувати
anguish	anger	0.500	туга
confined	anger	0.500	обмежений
fear	anger	0.500	страх
bout	anger	0.500	бій
unruly	anger	0.500	некерований
delusional	anger	0.500	маревний
obstruct	anger	0.500	заважати
possessed	anger	0.500	одержимий
injustice	anger	0.500	несправедливість
fervor	anger	0.500	запал
spear	anger	0.500	спис
derision	anger	0.500	глузування
intractable	anger	0.500	важкорозв'язний
reject	anger	0.500	відхилити
dominate	anger	0.500	домінувати
ordeal	anger	0.500	випробування
banished	anger	0.500	вигнаний
rejects	anger	0.500	відхиляє
shun	anger	0.500	уникати
brunt	anger	0.500	основний удар
derogation	anger	0.500	відступ
frenzied	anger	0.500	шалений
animus	anger	0.500	анімус
suppression	anger	0.500	придушення
malpractice	anger	0.500	зловживання службовим становищем
brazen	anger	0.500	нахабний
foaming	anger	0.500	піноутворення
disrupting	anger	0.500	порушуючи
nobodycares	anger	0.500	всім все одно
patronising	anger	0.500	заступницький
getoveryourself	anger	0.495	подолати себе
toughness	anger	0.492	міцність
stupidpeople	anger	0.492	дурні люди
madness	anger	0.491	божевілля
sinful	anger	0.491	грішний
avarice	anger	0.490	скупість
oppress	anger	0.490	пригнічувати
cutting	anger	0.485	різання
anathema	anger	0.485	анафема
annoyed	anger	0.485	роздратований
dissident	anger	0.485	дисидент
demand	anger	0.485	попит
usurp	anger	0.485	узурпувати
claw	anger	0.485	кіготь
alienate	anger	0.485	відчужувати
infraction	anger	0.485	порушення
avenger	anger	0.485	месник
revoke	anger	0.485	відкликати
smuggler	anger	0.485	контрабандист
abolish	anger	0.485	скасувати
fricking	anger	0.485	чортів
stayaway	anger	0.485	тримайся подалі
pervert	anger	0.485	збоченець
disservice	anger	0.485	ведмежа послуга
disobedient	anger	0.485	неслухняний
incest	anger	0.485	інцест
complaint	anger	0.485	скарга
disapproved	anger	0.485	відхилено
inhuman	anger	0.485	нелюдський
mocking	anger	0.484	насмішкуватий
penalty	anger	0.484	пенальті
renounce	anger	0.484	відмовлятися
restrain	anger	0.484	стримувати
upheaval	anger	0.484	потрясіння
deceit	anger	0.484	обман
obnoxious	anger	0.484	огидний
imprisoned	anger	0.484	ув'язнений
strained	anger	0.484	напружений
blame	anger	0.484	звинувачувати
oust	anger	0.484	витісняти
litigious	anger	0.484	судовий
rivalry	anger	0.484	суперництво
sucker	anger	0.484	присоска
opposed	anger	0.484	виступив проти
thresh	anger	0.484	молотити
disgrace	anger	0.484	ганьба
suspicious	anger	0.484	підозрілий
turbulence	anger	0.483	турбулентність
pound	anger	0.481	фунт
coldness	anger	0.477	холодність
ungrateful	anger	0.472	невдячний
stoopid	anger	0.471	сутулий
battalion	anger	0.471	батальйон
feudalism	anger	0.470	феодалізм
hostage	anger	0.470	заручник
annoying	anger	0.470	дратує
dispossessed	anger	0.470	розкуркулений
subversion	anger	0.470	диверсія
friction	anger	0.470	тертя
jealous	anger	0.470	ревнивий
adversity	anger	0.470	нещастя
infidel	anger	0.470	невірний
gall	anger	0.470	жовчний
accuser	anger	0.470	обвинувач
ram	anger	0.470	ОЗП
armament	anger	0.470	озброєння
thump	anger	0.469	стукіт
dislike	anger	0.469	неприязнь
steal	anger	0.469	красти
backoff	anger	0.469	відступаємо
stifled	anger	0.469	задушений
incite	anger	0.469	підбурювати
distress	anger	0.469	лихо
angermanagement	anger	0.469	управління гнівом
selfish	anger	0.469	егоїстичний
injury	anger	0.469	травма
exile	anger	0.469	вигнання
insanity	anger	0.469	божевілля
offense	anger	0.469	правопорушення
objection	anger	0.469	заперечення
smother	anger	0.469	задушити
disruption	anger	0.469	зрив
intolerance	anger	0.469	нетерпимість
disobey	anger	0.469	не слухатися
selfishness	anger	0.469	егоїзм
recidivism	anger	0.469	рецидивної злочинності
subversive	anger	0.469	підривний
huff	anger	0.469	обурення
plunder	anger	0.469	грабувати
opposition	anger	0.469	опозиція
complain	anger	0.469	скаржитися
perpetrator	anger	0.469	злочинець
simmer	anger	0.469	тушкувати
areyoukidding	anger	0.468	ти жартуєш?
mug	anger	0.467	гуртка
agony	anger	0.465	агонія
arrogant	anger	0.461	зарозумілий
sux	anger	0.456	sux
vent	anger	0.456	вентиляційний отвір
elimination	anger	0.456	усунення
picketing	anger	0.456	пікетування
haughty	anger	0.456	пихатий
grated	anger	0.455	тертий
flagrant	anger	0.455	кричущий
busted	anger	0.455	розбитий
crabby	anger	0.455	роздратований
dying	anger	0.455	вмираючий
idiocy	anger	0.455	ідіотизм
impermeable	anger	0.455	непроникний
stubbed	anger	0.455	заглушений
illegality	anger	0.455	незаконність
veto	anger	0.455	вето
