English Word	Emotion	Emotion-Intensity-Score	Khmer Word
contemptible	anger	0.764	ដែលមើលងាយ
shittest	anger	0.760	អាក្រក់បំផុត។
rant	anger	0.758	រអ៊ូរទាំ
cruel	anger	0.758	ឃោរឃៅ
deadly	anger	0.758	ស្លាប់
smash	anger	0.758	កម្ទេច
soangry	anger	0.758	ខឹង​ខ្លាំង
outburst	anger	0.757	ការផ្ទុះឡើង
snarl	anger	0.754	ស្រក់ទឹកភ្នែក
profane	anger	0.750	អាសអាភាស
revolting	anger	0.750	បះបោរ
aggravating	anger	0.750	កាន់តែធ្ងន់ធ្ងរ
horror	anger	0.750	ភ័យរន្ធត់
despise	anger	0.750	មើលងាយ
offend	anger	0.750	ធ្វើបាប
stfu	anger	0.750	stfu
vulgarity	anger	0.750	ភាពមិនសមរម្យ
crazed	anger	0.750	ឆ្កួត
douchebags	anger	0.750	douchebags
growling	anger	0.750	ស្រែក
dontmesswithme	anger	0.750	កុំរវល់ជាមួយខ្ញុំ
screaming	anger	0.742	ស្រែក
threat	anger	0.742	ការគំរាមកំហែង
erupt	anger	0.742	ផ្ទុះ
horrible	anger	0.742	ដ៏អាក្រក់
molestation	anger	0.742	ការរំលោភបំពាន
fuckedoff	anger	0.742	fuckedoff
violence	anger	0.742	អំពើហឹង្សា
bastards	anger	0.741	សត្វតិរច្ឆាន
revenge	anger	0.738	សងសឹក
menacing	anger	0.735	ការគំរាមកំហែង
crushing	anger	0.735	កំទេច
damn	anger	0.735	damn
catastrophe	anger	0.735	គ្រោះមហន្តរាយ
demon	anger	0.735	បិសាច
argue	anger	0.734	ប្រកែក
persecute	anger	0.734	បៀតបៀន
deplore	anger	0.734	សរសើរ
flog	anger	0.734	ផ្លុំ
fedup	anger	0.734	ធុញទ្រាន់
riotous	anger	0.734	កុបកម្ម
vehement	anger	0.734	ភាពសាហាវ
revolt	anger	0.734	ការបះបោរ
warfare	anger	0.734	សង្គ្រាម
thrash	anger	0.734	ជះ
altercation	anger	0.729	ជម្លោះ
warlike	anger	0.728	ដូចសង្រ្គាម
shitday	anger	0.727	ថ្ងៃអាក្រក់
mutiny	anger	0.727	ការបះបោរ
castrate	anger	0.727	ដេញ
sabotage	anger	0.727	ការបំផ្លិចបំផ្លាញ
malevolent	anger	0.721	ទុច្ចរិត
strike	anger	0.721	កូដកម្ម
disaster	anger	0.721	គ្រោះមហន្តរាយ
disastrous	anger	0.720	មហន្តរាយ
bastarding	anger	0.719	តិរច្ឆាន
treachery	anger	0.719	ការក្បត់ជាតិ
arseholes	anger	0.719	អណ្តូងរ៉ែ
horseshit	anger	0.719	horseshit
slay	anger	0.719	សម្លាប់
disdain	anger	0.719	មើលងាយ
aggravates	anger	0.719	កាន់តែធ្ងន់ធ្ងរ
brutal	anger	0.719	ឃោរឃៅ
scorching	anger	0.719	ឆេះ
devil	anger	0.719	អារក្ស
madden	anger	0.719	ឆ្កួត
spiteful	anger	0.719	ខឹងសម្បារ
scream	anger	0.719	ស្រែក
choke	anger	0.719	ញាក់
vermin	anger	0.719	vermin
tumult	anger	0.719	ចលាចល។
criminal	anger	0.714	ឧក្រិដ្ឋជន
mangle	anger	0.714	ច្របូកច្របល់
anarchism	anger	0.714	ភាពអនាធិបតេយ្យ
mutilation	anger	0.714	ការបំផ្លិចបំផ្លាញ
denunciation	anger	0.713	ការ​បរិហារ
punch	anger	0.713	កណ្តាប់ដៃ
virulence	anger	0.712	មេរោគ
fatal	anger	0.712	ស្លាប់
hurting	anger	0.712	ឈឺចាប់
crucifixion	anger	0.712	ការឆ្កាង
dontlikeyou	anger	0.712	មិនចូលចិត្តអ្នក។
blasphemous	anger	0.712	ប្រមាថ
holocaust	anger	0.712	វិនាសកម្ម
dumbasses	anger	0.712	ល្ងង់ខ្លៅ
battled	anger	0.712	បានប្រយុទ្ធ
deranged	anger	0.706	វង្វេង
irritated	anger	0.706	ខឹង
atrocious	anger	0.706	ឃោរឃៅ
evil	anger	0.706	អាក្រក់
aggravated	anger	0.703	កាន់តែធ្ងន់ធ្ងរ
intimidation	anger	0.703	ការគំរាមកំហែង
dicks	anger	0.703	ឌីក
assassin	anger	0.703	ឃាតក
scolding	anger	0.703	ការស្តីបន្ទោស
persecution	anger	0.703	ការបៀតបៀន
slayer	anger	0.703	ឃាតករ
kidnap	anger	0.703	ចាប់ជំរិត
aggression	anger	0.702	ការឈ្លានពាន
armed	anger	0.700	ប្រដាប់អាវុធ
battle	anger	0.697	ការប្រយុទ្ធ
poison	anger	0.697	ពុល
snarling	anger	0.697	snarling
venom	anger	0.697	ពិស
disgruntled	anger	0.693	មិនសប្បាយចិត្ត
resentment	anger	0.691	ការអាក់អន់ចិត្ត
assailant	anger	0.691	អ្នក​វាយ​ប្រហារ
insidious	anger	0.691	insidious
contemptuous	anger	0.690	មើលងាយ
lynch	anger	0.690	lynch
temper	anger	0.688	កំហឹង
terrible	anger	0.688	ដ៏គួរឱ្យភ័យខ្លាច
disparage	anger	0.688	ការប្រមាថ
lunatic	anger	0.688	ឆ្កួត
bully	anger	0.688	សម្លុត
mad	anger	0.688	ឆ្កួត
makesmemad	anger	0.688	គ្រឿងសម្អាង
infanticide	anger	0.688	ថ្នាំសំលាប់ទារក
domination	anger	0.688	ការត្រួតត្រា
peeved	anger	0.688	ខឹង
imprisonment	anger	0.688	ការជាប់ពន្ធនាគារ
curse	anger	0.688	បណ្តាសា
volatility	anger	0.687	ភាពប្រែប្រួល
eradication	anger	0.685	ការលុបបំបាត់
eradicate	anger	0.682	លុបបំបាត់
tantrum	anger	0.682	តានតឹង
scoundrel	anger	0.682	មនុស្សល្ងង់
devastate	anger	0.682	បំផ្លិចបំផ្លាញ
aggressively	anger	0.680	យ៉ាង​ខ្លាំង
agitation	anger	0.680	ការ​រំជើបរំជួល
dictatorship	anger	0.676	របបផ្តាច់ការ
irritates	anger	0.676	រលាក
profanity	anger	0.673	ពាក្យប្រមាថ
shove	anger	0.672	រុញ
nasty	anger	0.672	អាក្រក់
shot	anger	0.672	បាញ់
cruelly	anger	0.672	ឃោរឃៅ
shoot	anger	0.672	បាញ់
condemnation	anger	0.672	ការថ្កោលទោស
crushed	anger	0.672	កំទេច
aggravation	anger	0.672	ភាពធ្ងន់ធ្ងរ
poisonous	anger	0.672	ពុល
egregious	anger	0.672	ធ្ងន់ធ្ងរ
crime	anger	0.672	ឧក្រិដ្ឋកម្ម
corrupting	anger	0.672	ពុករលួយ
dastardly	anger	0.672	ហួសចិត្ត
contempt	anger	0.672	ការមើលងាយ
harmful	anger	0.672	គ្រោះថ្នាក់
expletive	anger	0.672	ពន្យល់
wreak	anger	0.672	ខូច
maniac	anger	0.670	maniac
cutthroat	anger	0.667	កាត់បំពង់ក
enemy	anger	0.667	សត្រូវ
hit	anger	0.667	បុក
hateeveryone	anger	0.667	ស្អប់គ្រប់គ្នា
eruption	anger	0.667	ការផ្ទុះ
irritable	anger	0.667	ឆាប់ខឹង
odious	anger	0.667	អាក្រក់
shooting	anger	0.667	ការបាញ់ប្រហារ
shout	anger	0.667	ស្រែក
aggressive	anger	0.667	ឈ្លានពាន
kick	anger	0.667	ទាត់
combat	anger	0.667	ការប្រយុទ្ធ
fight	anger	0.667	ប្រយុទ្ធ
punished	anger	0.662	ពិន័យ
yell	anger	0.661	ស្រែក
ambush	anger	0.661	ការ​វាយឆ្មក់
harass	anger	0.659	បៀតបៀន
malignant	anger	0.656	សាហាវ
aggressor	anger	0.656	អ្នកឈ្លានពាន
gore	anger	0.656	gore
destruction	anger	0.656	ការបំផ្លិចបំផ្លាញ
grudge	anger	0.656	កំហឹង
antichrist	anger	0.656	មេប្រឆាំងព្រះគ្រិស្ដ
incense	anger	0.656	គ្រឿងក្រអូប
expel	anger	0.656	បណ្តេញចេញ
cranky	anger	0.653	ឆ្កួត
slave	anger	0.652	ទាសករ
reprisal	anger	0.652	ការសងសឹក
growl	anger	0.652	ស្រែក
animosity	anger	0.652	ភាពច្របូកច្របល់
insurrection	anger	0.652	ការបះបោរ
clashing	anger	0.652	ការប៉ះទង្គិច
denounce	anger	0.652	បរិហារ
offended	anger	0.652	អាក់អន់ចិត្ត
spank	anger	0.652	ទះកំផ្លៀង
insulting	anger	0.652	ប្រមាថ
growls	anger	0.649	ស្រែក
executioner	anger	0.644	ពេជ្ឈឃាត
twat	anger	0.644	twat
doomsday	anger	0.643	ថ្ងៃវិនាស
obscenity	anger	0.641	អាសអាភាស
accused	anger	0.641	ជនជាប់ចោទ
feud	anger	0.641	ជម្លោះ
daemon	anger	0.641	ដេមិន
havoc	anger	0.641	គ្រោះមហន្តរាយ
shackle	anger	0.641	អង្រឹង
inexcusable	anger	0.641	មិនអាចប្រកែកបាន។
indignant	anger	0.641	ខឹងសម្បារ
grr	anger	0.641	grr
expulsion	anger	0.641	ការបណ្តេញចេញ
bombard	anger	0.641	ការទម្លាក់គ្រាប់បែក
spat	anger	0.641	ស្ដោះទឹកមាត់
arson	anger	0.641	ការដុត
reprimand	anger	0.641	ស្តីបន្ទោស
somad	anger	0.637	សោម
frustrated	anger	0.636	ខកចិត្ត
batter	anger	0.636	ម្សៅ
kicking	anger	0.636	ទាត់
anarchy	anger	0.636	ភាពអនាធិបតេយ្យ
spanking	anger	0.636	ការវាយតប់
glaring	anger	0.636	ចាំង
suicidal	anger	0.636	ការធ្វើអត្តឃាត
disgusting	anger	0.636	គួរ​ឲ្យ​ស្អប់​ខ្ពើម
wound	anger	0.636	របួស
hanging	anger	0.636	ព្យួរ
poisoned	anger	0.636	ពុល
combatant	anger	0.636	អ្នកប្រយុទ្ធ
wrecked	anger	0.633	ខូច
inflict	anger	0.633	ធ្វើបាប
grievous	anger	0.632	សោកសៅ
prosecute	anger	0.630	កាត់ទោស
agitated	anger	0.630	រំភើប
cheat	anger	0.630	បន្លំ
swastika	anger	0.627	swastika
injure	anger	0.625	របួស
indict	anger	0.625	ចោទប្រកាន់
scourge	anger	0.625	គ្រោះកាច
provocation	anger	0.625	ការបង្កហេតុ
suffocation	anger	0.625	ការថប់ដង្ហើម
strife	anger	0.625	ជម្លោះ
raid	anger	0.625	ការវាយឆ្មក់
enslaved	anger	0.625	ធ្វើជាទាសករ
cursing	anger	0.625	បណ្តាសា
defamatory	anger	0.625	បង្ខូចកេរ្តិ៍ឈ្មោះ
harassing	anger	0.625	បៀតបៀន
thundering	anger	0.625	ផ្គរលាន់
betray	anger	0.625	ក្បត់
arsehole	anger	0.624	ឃ្លាំង
theft	anger	0.621	ចោរកម្ម
insane	anger	0.621	ឆ្កួត
retaliation	anger	0.621	ការសងសឹក
irritate	anger	0.621	ឆាប់ខឹង
deprivation	anger	0.621	ការដកហូត
fiend	anger	0.621	សត្រូវ
jerk	anger	0.621	កន្ត្រាក់
convict	anger	0.621	ទណ្ឌិត
cussed	anger	0.619	រងការរិះគន់
turmoil	anger	0.618	ភាពចលាចល។
smack	anger	0.615	ការវាយដំ
retribution	anger	0.614	ការសងសឹក
rebellion	anger	0.609	ការបះបោរ
oppressor	anger	0.609	អ្នកជិះជាន់
gang	anger	0.609	ក្រុម
slavery	anger	0.609	ទាសភាព
intolerable	anger	0.609	មិនអាចអត់ឱនបាន។
adverse	anger	0.609	អវិជ្ជមាន
injurious	anger	0.609	របួស
twats	anger	0.609	twats
collision	anger	0.609	ការប៉ះទង្គិច
battery	anger	0.609	ថ្ម
bitterly	anger	0.609	ជូរចត់
antagonism	anger	0.609	ការប្រឆាំង
irritability	anger	0.609	ឆាប់ខឹង
disgraced	anger	0.608	អាម៉ាស់
diatribe	anger	0.606	ជំងឺទឹកនោមផ្អែម
asshole	anger	0.606	asshole
blast	anger	0.606	ផ្ទុះ
bombardment	anger	0.606	ការទម្លាក់គ្រាប់បែក
irks	anger	0.606	irks
ranting	anger	0.606	ជេរប្រមាថ
revolution	anger	0.606	បដិវត្តន៍
thug	anger	0.606	ចោរ
antagonistic	anger	0.606	ប្រឆាំង
irritating	anger	0.606	ឆាប់ខឹង
sickening	anger	0.606	ឈឺ
discrimination	anger	0.606	ការរើសអើង
frustrate	anger	0.604	ខកចិត្ត
insult	anger	0.603	ការប្រមាថ
hurtful	anger	0.603	ឈឺចាប់
oppression	anger	0.603	ការគៀបសង្កត់
manipulation	anger	0.603	ឧបាយកល
tiredofit	anger	0.603	អស់កម្លាំង
bigot	anger	0.603	មនុស្សធំ
tension	anger	0.603	ភាពតានតឹង
disgust	anger	0.602	ស្អប់ខ្ពើម
spite	anger	0.600	ថ្វីបើ
intrusive	anger	0.598	រំខាន
harshness	anger	0.597	ភាពឃោរឃៅ
slur	anger	0.596	ស្លរ
tempest	anger	0.594	ខ្យល់ព្យុះ
assail	anger	0.594	វាយលុក
bitterness	anger	0.594	ភាពជូរចត់
morbidity	anger	0.594	ជំងឺ
casualty	anger	0.594	ជនរងគ្រោះ
puncture	anger	0.594	ការវាយដំ
miserable	anger	0.594	វេទនា
inferno	anger	0.594	inferno
invasion	anger	0.594	ការលុកលុយ
storming	anger	0.594	ព្យុះ
wretch	anger	0.594	អាក្រក់
consternation	anger	0.592	ការថប់បារម្ភ
raving	anger	0.591	ច្រណែន
forcibly	anger	0.591	ដោយបង្ខំ
guillotine	anger	0.591	ហ្គីឡូទីន
guilty	anger	0.591	មានទោស
depraved	anger	0.591	ថោកទាប
immoral	anger	0.591	អសីលធម៌
overpowering	anger	0.591	លើស​កម្លាំង
scare	anger	0.588	បន្លាច
recalcitrant	anger	0.588	អ្នក​ដែល​កើត​ឡើង​វិញ។
screwed	anger	0.588	វីស
accursed	anger	0.588	បណ្តាសា
soannoyed	anger	0.588	រំខាន
invader	anger	0.588	អ្នកឈ្លានពាន
jealousy	anger	0.587	ការច្រណែន
indignation	anger	0.587	កំហឹង
vexed	anger	0.586	ខឹង
confront	anger	0.582	ប្រឈមមុខ
brute	anger	0.581	សត្វសាហាវ
throttle	anger	0.579	បិទបើក
slut	anger	0.578	ស្លុត
coup	anger	0.578	រដ្ឋប្រហារ
blaze	anger	0.578	ឆេះ
pillage	anger	0.578	ការប្លន់
provoking	anger	0.578	បង្កហេតុ
damage	anger	0.578	ការខូចខាត
criminality	anger	0.578	ឧក្រិដ្ឋកម្ម
shutup	anger	0.578	ឈប់​និយាយ
lash	anger	0.578	រោមភ្នែក
conflict	anger	0.578	ជម្លោះ
contentious	anger	0.578	ឈ្លោះគ្នា។
shutit	anger	0.578	បិទ​វា​ទៅ
wreck	anger	0.578	ខូច
defiant	anger	0.578	ប្រឆាំង
butcher	anger	0.578	អ្នកកាប់សាច់
incarceration	anger	0.578	ការជាប់ឃុំឃាំង
revolver	anger	0.578	កាំភ្លើងវែង
bickering	anger	0.578	ការឈ្លោះប្រកែកគ្នា។
yousuck	anger	0.578	ស្កូវ
cancer	anger	0.577	មហារីក
discriminate	anger	0.576	រើសអើង
gun	anger	0.576	កាំភ្លើង
frustration	anger	0.576	ការខកចិត្ត
gory	anger	0.576	ហ្គោរី
pernicious	anger	0.576	គ្រោះថ្នាក់
dontmess	anger	0.576	dontmes
blasphemy	anger	0.576	ការប្រមាថ
chaotic	anger	0.576	វឹកវរ
grope	anger	0.576	grope
alienation	anger	0.576	ការផ្តាច់ខ្លួន
disturbance	anger	0.576	ការ​រំខាន
condescension	anger	0.576	ការអនុគ្រោះ
standoff	anger	0.576	ការប្រឈមមុខដាក់គ្នា។
discord	anger	0.576	ការមិនចុះសម្រុងគ្នា។
friggen	anger	0.575	ក្លាសេ
sneer	anger	0.574	សើច
death	anger	0.574	ការស្លាប់
lunacy	anger	0.574	ភាពល្ងង់ខ្លៅ
scandalous	anger	0.574	រឿងអាស្រូវ
oppressive	anger	0.574	សង្កត់សង្កិន
jab	anger	0.574	ចាប
cursed	anger	0.574	បណ្តាសា
monstrosity	anger	0.574	ភាពសាហាវឃោរឃៅ
shit	anger	0.573	លាមក
disparaging	anger	0.571	ការប្រមាថ
slash	anger	0.571	កាត់
unfair	anger	0.571	អយុត្តិធម៌
gallows	anger	0.570	ប្រឡាយ
escalate	anger	0.569	កើនឡើង
intolerant	anger	0.564	មិនអត់ឱន
lawlessness	anger	0.563	ភាពគ្មានច្បាប់
beast	anger	0.562	សត្វ
torpedo	anger	0.562	torpedo
malign	anger	0.562	សាហាវ
traitor	anger	0.562	ជនក្បត់
frightful	anger	0.562	គួរឱ្យភ័យខ្លាច
wrangling	anger	0.562	ជម្លោះ
slander	anger	0.562	ការបង្កាច់បង្ខូច
bellows	anger	0.562	កណ្តឹង
retards	anger	0.562	ថយក្រោយ
grouchy	anger	0.562	ក្រហាយ
derogatory	anger	0.562	ប្រមាថ
bearish	anger	0.562	ធ្លាក់ចុះ
invade	anger	0.562	ឈ្លានពាន
perdition	anger	0.562	វិនាស
arghh	anger	0.562	អាហ្កា
dreadful	anger	0.562	គួរឱ្យខ្លាច
bluddy	anger	0.562	ឆ្កួត
deceived	anger	0.562	បោកប្រាស់
glare	anger	0.562	ចាំង
taunt	anger	0.562	តិះដៀល
dissension	anger	0.561	ការ​បែក​បាក់
cross	anger	0.561	ឈើឆ្កាង
rave	anger	0.561	ឆ្កួត
grating	anger	0.561	grating
devastating	anger	0.561	បំផ្លិចបំផ្លាញ
fits	anger	0.561	សម
jeopardize	anger	0.561	គ្រោះថ្នាក់
shatter	anger	0.561	បំបែក
idiots	anger	0.561	មនុស្សល្ងង់
hurt	anger	0.561	ឈឺចាប់
thief	anger	0.561	ចោរ
uncontrollable	anger	0.561	មិនអាចគ្រប់គ្រងបាន។
conflagration	anger	0.561	ការផ្ទុះឡើង
betrayal	anger	0.561	ការក្បត់ជាតិ
banshee	anger	0.561	banshee
subjugation	anger	0.559	subjugation
disturbed	anger	0.559	រំខាន
stomped	anger	0.557	ជាន់ឈ្លី
grab	anger	0.557	ចាប់
grievance	anger	0.556	ទុក្ខព្រួយ
ticked	anger	0.556	ធីក
masochism	anger	0.556	masochism
defiance	anger	0.552	ការប្រឆាំង
blackmail	anger	0.550	blackmail
offensive	anger	0.549	វាយលុក
decry	anger	0.548	ការបដិសេធ
frustrates	anger	0.547	ខកចិត្ត
violation	anger	0.547	ការបំពាន
confine	anger	0.547	បង្ខាំង
misery	anger	0.547	ទុក្ខវេទនា
arghhhh	anger	0.547	អើក
disparity	anger	0.547	ភាពមិនស្មើគ្នា
punishment	anger	0.547	ការផ្តន្ទាទោស
rebel	anger	0.547	ឧទ្ទាម
preposterous	anger	0.547	preposterous
disgraceful	anger	0.547	អាម៉ាស់
ire	anger	0.547	អ៊ី
deceive	anger	0.547	បញ្ឆោត
fustrated	anger	0.547	ខឹងសម្បារ
sin	anger	0.547	អំពើបាប
shrill	anger	0.547	ស្រែកយំ
darkside	anger	0.547	ផ្នែក​ដែល​ងងឹត
overbearing	anger	0.547	ហួសចិត្ត
firearms	anger	0.547	អាវុធ
stolen	anger	0.546	លួច
hadenough	anger	0.546	គ្រប់គ្រាន់
prejudice	anger	0.545	ការរើសអើង
tackle	anger	0.545	ដោះស្រាយ
resentful	anger	0.545	អន់ចិត្ត
heated	anger	0.545	កំដៅ
callous	anger	0.545	កាច
conspirator	anger	0.545	អ្នកសមគំនិត
ruined	anger	0.545	ខូច
antagonist	anger	0.545	អ្នកប្រឆាំង
skirmish	anger	0.545	ការប៉ះទង្គិចគ្នា។
menace	anger	0.545	ការគំរាមកំហែង
annoyin	anger	0.545	រំខាន
foul	anger	0.545	ខុស
argument	anger	0.545	អាគុយម៉ង់
humiliate	anger	0.545	អាម៉ាស់
wanker	anger	0.545	wanker
adversary	anger	0.545	សត្រូវ
sting	anger	0.544	ខាំ
entangled	anger	0.544	ជាប់គាំង
grumble	anger	0.544	រអ៊ូរទាំ
robbery	anger	0.544	ប្លន់
outcry	anger	0.544	ស្រែក
resistance	anger	0.543	ការតស៊ូ
irreconcilable	anger	0.543	មិនអាចផ្សះផ្សាបាន។
obstructive	anger	0.542	ស្ទះ
dismay	anger	0.540	រន្ធត់
mob	anger	0.538	ហ្វូង
juststop	anger	0.537	គ្រាន់​តែ​ឈប់
