Online Post ID,Twitter ID,Related Online Post ID,Source ID,Online Post Text,Subjectivity,Sentiment Polarity,Emotion,Sarcasm,Irony,Negation,Off-topic,Language
20180018,,20180017,N-1-2018,Is this what you used to write when PN was in government and increased cigarette prices?,1,negative,disgust,0,1,0,1,0
20180019,,20180011,N-1-2018,"This is not correct. High taxes/prices has reduced the percentage of people smoking in Australia, drastically. In fact, price is the biggest determinant, even more effective than education campaigns.",1,positive,anticipation,0,0,1,1,0
20180020,,20180019,N-1-2018,"higher prices encourage contraband, not discourage smokers!",1,negative,anticipation,0,0,1,1,0
20180021,,20180020,N-1-2018,You need to do some research. WRONG.,1,negative,anger,0,0,0,1,0
20180022,,20180021,N-1-2018,You will never anticipate what an addict will do to accomodate his adiction,1,neutral,anticipation,0,0,1,1,0
20180023,,20180019,N-1-2018,"Yes, it has and the illegal tobacco trade has increased ten fold. In fact customers can into shops and ask for the contraband smokes and if the shop doesn't have them then the customer looks else where.",1,negative,anticipation,0,0,1,1,0
20180024,,20180023,N-1-2018,The most important thing is the decrease in smokers as a percentage of the population. High tobacco taxes are successful and contribute to the high costs of health care that are increaed by smokers.,1,positive,anticipation,0,0,0,1,0
20180025,,20180024,N-1-2018,"Yes, They are very successful are boosting the free black market. I'm from Australia I've seen with my own eyes high tobacco prices do. By that rationale then smokers should be at the front of the cue for surgery over non smokers because the payed more into the system then non smokers? If you are concerned with the cost of health case get rid of public health care, allow anyone in the industry to compete in the free private market place, pass the tax savings on via tax cuts and let everyone take care of themselves. A person's body is their property, just because the state forces people to pay for a service they had no choice in paying for that does not mean the individual becomes the property of the state with the state dictating what then can do to their own bodies.",1,negative,fear,0,0,1,1,0
20180026,,20180002,N-1-2018,"You can't explain anything to a red blinker. Even if taxes have been increased, people like him will be in full praise.",1,negative,disgust,0,0,1,1,0
20180028,,,N-1-2018,clueless.,1,negative,disgust,0,0,0,1,0
20180029,,20180002,N-1-2018,"Having quit myself, I honestly think it's a no brainer for those who need and choose to quit, but it can be quite painful on those who are forced due to financial reasons - at some point heavily taxing might make sense, but to just outright do so would be a bad idea. However I agree that something along the lines of assistance should be encouraged.",1,positive,trust,0,0,0,0,0
20180030,,20180002,N-1-2018,Because by taxing you do not achieve anything! It is just an excuse for government to profit from it. In fact it is governement that makes the money from cigarettes not the manufacturer or the importer!,1,negative,anger,0,0,1,0,0
20180031,,20180002,N-1-2018,You can't keep rising prices of cigarettes ad infinitum. People who are determined to keep smoking will keep smoking even if this lessens their income. And increases in price beyond a certain point only increases contraband of such goods from unscrupulous merchants who see an opportunity for big untaxed profits.,1,neutral,anticipation,0,0,1,1,0
20180032,,20180002,N-1-2018,There are free programs to give up smoking,1,neutral,anticipation,0,0,0,1,0
20180033,,20180001,N-1-2018,"How about building a school a year, and improving state of roads NOW not in seven years.",1,negative,anger,0,0,1,0,0
20180034,,20180033,N-1-2018,4 new schools will be built in 2 years.,1,positive,anticipation,0,0,0,0,0
20180035,,20180034,N-1-2018,"I'll believe it when I see it, after all NOTHING HAS HAPPENED WITH EDUCATION IN 5 YEARS.",1,negative,disgust,0,0,0,0,0
20180036,,20180034,N-1-2018,Will they be filled with ghost teachers or will we import some from third world countries?,1,negative,disgust,0,1,0,1,0
20180037,,20180036,N-1-2018,What's wrong with teachers from third world countries?,1,neutral,surprise,0,0,0,1,0
20180038,,20180034,N-1-2018,And teachers????,1,negative,anger,0,0,0,0,0
20180039,,20180033,N-1-2018,"Differentiate,The minister said ""No new taxes"" meaning that cigarrettes will possibly be touched.",1,neutral,anticipation,0,0,1,0,0
20180040,,20180033,N-1-2018,Is there a real need for 5 more new schools on this island? What do we do with the old ones? Would we want rather to end up with ghost buildings like we did with St. Luke's. I would choose refurbishment and modernising the old ones. New schools will take huge areas which we do not have. The state of the roads cannot ever be fix now. Also the money has to be made. To find a 100 million euros a year just for roads alone is no easy task.,1,neutral,anticipation,0,0,1,0,0
20180041,,20180033,N-1-2018,The state of the roads is improving literally on a daily basis!,1,positive,joy,0,0,0,0,0
20180042,,20180041,N-1-2018,"Yes, improving in increased traffic jams.",1,negative,disgust,0,1,0,0,0
20180043,,20180042,N-1-2018,"There are long-term and short-term solutions to every problem. For years we've been taking the short-term solutions and suffering the repercussions a few years later. So I'm glad that for once we're approaching the traffic situation by taking into consideration the long-term effects and I understand that for this to happen, we have to go through a tough phase.",1,positive,joy,0,0,0,0,0
20180044,,20180043,N-1-2018,"You're so optimistic about the traffic problem, but the main problem is that we are over-populated for the present transport infrastructure. I for one can't see any solution to this problem, since the travelling distances are so short. We only use them if we have an underground station in every town or village, complimented with buses going around each station. But remember to construct such a network costs billions upon billions, and takes decades to be constructed, apart from the fact that the cost will never make up for the return on investment.",1,neutral,anticipation,0,0,1,1,0
20180045,,20180044,N-1-2018,"Yes, and I agree with you all the way. However, I believe that once the roads are at the desired standard and the public transport service is improved, people would have no issue in paying higher road licences or else use public transport. The only viable alternative I can imagine right now to what I believe is the right way is raising the road license immediately, and that would cause a nationwide outrage. The only viable alternative I can imagine right now to what I believe is the right way is raising the road license immediately, and that would cause a nationwide outrage. ",1,negative,anticipation,0,0,1,1,0
20180046,,20180045,N-1-2018,"People will still use their car at any cost, irrespective of the price of the road license, even if they stay hungry.",1,neutral,anticipation,0,0,0,0,0
20180047,,20180033,N-1-2018,"Why build new schools though? If I'm not mistaken, population growth has slowed down drastically and we have an ageing population. It makes more sense to modernise and embellish existing schools and utilise existing resources instead of wasting more land to build new ones",1,negative,anticipation,0,0,1,0,0
20180048,,20180047,N-1-2018,"I think we are living on different planets, as the population has nearly doubled in my lifetime.",1,neutral,surprise,0,1,0,1,0
20180049,,20180048,N-1-2018,Ps you have to take into consideration the fact that people are living much longer overall (increased life expectancy). Hence I said ageing population...,1,neutral,anticipation,0,0,0,1,0
20180050,,20180033,N-1-2018,Amadeo those are difficult goals to reach and only a PN government can reach them.,1,negative,disgust,0,1,0,0,0
20180051,,20180033,N-1-2018,Issa nhabbtu il-bakketta magika u t-toroq kollha jsiru issa! Veru ma tistghux issibu x'tikkritikaw.,1,neutral,disgust,0,1,1,0,1
20180052,,20180051,N-1-2018,Wara hames snin ghadkhom ma ghamiltux Triq wahda jew skola.,1,negative,disgust,0,0,1,0,1
20180053,,20180052,N-1-2018,Mela veru ghandek ghamad quddiem ghajnejk. Kappara junction u t-triq tal-kosta x'inhuma mela? Biex ma nsemmux hafna toroq li qed jigu rrangati mill-babilonji li hallejtuhom fihom.,1,positive,anger,0,0,1,0,2
20180054,,20180053,N-1-2018,Kemm ma tafhomx laffarjiet. Il pn gab il fondi ghall coast road u il kappara. Inthom ma gibtu XEJN.,1,negative,anger,0,0,0,1,2
20180055,,20180054,N-1-2018,Ilkom hames snin. L-anqas skola wahda. Morru organizzaw it taffiku u serhu il fqir ja korrotti.,1,negative,disgust,0,0,0,0,1
20180056,,20180001,N-1-2018,"Accounts? The term is mainly used for O Levels. Bet you are refering to the accounts of remote Club in the middle of a desert? After all you are right, a Budget having no long-term planning or measures. Just 'ftit cejca' biex jifirhu s-segwaci Laburisti.",1,negative,disgust,1,0,1,1,2
20180057,,20180056,N-1-2018,"ta 1.75 ewro zieda u mil-llum tibda tara l-prezzijiet ta l-ikel jgholew bhas-soltu. So, min ma jistax ilahhaq sa l-ahhar tax-xahar baqa fejn kien. inutli naghtu z-zieda u naghmlux kontrol fuq iz-zieda tal-prezzijiet.",1,negative,sadness,0,0,1,0,2
20180058,,20180055,N-1-2018,"kontrol fuq kollox hemm bzonn jsir,hobza ta 400 grms,suppost tizhen 800 grms w tiswa listess daqs ta 800 grms,wahda mil hafna affarijiet li hemm bzonn jorhsu",1,neutral,sadness,0,0,0,1,2
20180059,,20180056,N-1-2018,Mela s-sinjuri ħa jifirħu b'xi budget? X'differenza reali ħa jagħmilhom f'ħajjithom? Issa li tnaqqsitilhom it-taxxa drastikament mhux ħa jinteressahom iktar!,1,negative,sadness,0,0,1,0,2
20180060,,20180056,N-1-2018,Ahna nifirhu waqt li int tibqa indannat.,1,negative,anger,0,0,0,1,1
20180061,,20180060,N-1-2018,Ifrah bic-cejca mela.,1,negative,disgust,0,0,0,1,1
20180062,,20180001,N-1-2018,"He didn't touch much of anything really, either good or bad, if you ask me.",1,neutral,surprise,0,0,1,0,0
20180063,,20180062,N-1-2018,"Well if it didn't touch anything then really you have absolutely nothing to complain about. You have a government that has a social soul under which guidance the economy flourished. What sorrows me is the fact that us ex-pats spend the absolute majority of our pension in Malta and yet we are rarely if ever catered for in your government's budget announcements. We contribute just as you contribute, and yet we are invisible for the government.",1,negative,sadness,0,0,0,0,0
20180064,,20180063,N-1-2018,There were things that needed to be touched or touched with a greater force,1,neutral,anticipation,0,0,0,0,0
20180065,,20180001,N-1-2018,It is a great budget for the Maltese. How is it that ex-pats who spend their pension here in Malta are never cared for in a budget?,1,positive,sadness,0,0,1,0,0
20180066,,20180001,N-1-2018,"Can you explain how 1.75 euro , 2 euro or 3 euro a week will alleviate those 84000 in the poverty bracket? I agree that the Minister is an expert in playing around with statistics. I shall try to pay my bills with printed graphs",1,negative,disgust,0,1,0,0,0
20180067,,20180066,N-1-2018,3.8c an hour don't spend it all at once.,1,negative,anger,0,1,1,0,0
20180068,,20180066,N-1-2018,Paul you may draw the attention of the EU and Foreign Creditors,1,neutral,anticipation,0,1,0,1,0
20180069,,20180001,N-1-2018,"Cigarettes, petrol/diesel, gas.... those will be touched after the budget. We know the pattern now. It is called 'adjustment'.",1,negative,anticipation,0,0,0,0,0
20180070,,20180069,N-1-2018,That was the custom under a PN administration.,1,neutral,anger,0,0,0,1,0
20180071,,20180001,N-1-2018,"Ron, minghajr taxxi tghid int. Fil- fuel il -gvern ghadu jislohna bil kbir u mhux kif qalet tal ONE lil Delia l-bierah........... € 1.20 % 0.84 The average price in Europe on Super95 for the past two weeks has increased at € 0.01 and now is € 1.20. Malta il petrol qieghed 1.31 il litru.",1,negative,anger,0,0,1,0,2
20180072,,20180001,N-1-2018,What’s great about it??? Soon we will start hearing of price fixing for tuna cans!!! Where are the projects that will create jobs? Not increasing the price of cigarettes will do this??? What a petty mind!!,1,negative,disgust,0,0,1,0,0
20180073,,20180001,N-1-2018,"In account nghidu mhux on accounts. Great budget. It taxxi habbarhom gurnata qabel Ron, ( PLASTIC ) u ghad ghandna l-ghola taxxa mil pajjizi kollha fl-EU fuq il fuel. It tielet l-ghola fl-Ewropa....... Mela hemm taxxi kbar fil budget Ron.",1,positive,trust,0,0,0,0,2
20180074,,20180001,N-1-2018,"So very true, Prof Scicluna is a great accountant, possibly very creative too.",1,positive,trust,0,0,0,1,0
20180075,,20180074,N-1-2018,"He is genius . He, is calm and keeps his feet to the ground, does not see others flies .",1,positive,trust,0,0,1,1,0
20180076,,20180075,N-1-2018,"Genius. That's why despite the surpluses, we got less than the price of a box of panadol a week. Well done genius. U halluna.",1,negative,anger,1,0,0,0,2
20180077,,20180001,N-1-2018,I think you meant economics rather than accounts,1,neutral,surprise,0,0,0,1,0
20180078,,20180077,N-1-2018,Both .,1,neutral,anticipation,0,0,0,1,0
20180079,,20180001,N-1-2018,"The worst thing that could have been done. Not touching cigarettes. Otherwise I just don't care, as every administration never gives you anything from their pockets. That's why it is so called. They just administer.",1,negative,disgust,0,0,1,0,0
20180080,,20180001,N-1-2018,Ragunar BAZWI,1,negative,disgust,0,0,0,1,1
20180081,,20180080,N-1-2018,Mhux hekk !,1,negative,anger,0,1,0,1,1
20180082,,,N-1-2018,"More focus should be funneled towards motorcycles and bicycles. Malta is a tiny island with every destination reachable in minutes, which is its greatest advantage as it makes biking alot more convenient. If the incentives are strong enough to convinve people to use bicycles/motorbikes, traffic problem will be resolved.",1,neutral,anticipation,0,0,0,0,0
20180083,,,N-1-2018,"They should not touch the rental market, this white paper sounds like bad news!",1,negative,sadness,0,0,1,0,0
20180084,,20180083,N-1-2018,What is the problem with requiring all rental contracts to be registered? are you concerned that landlords might have to pay tax? I think the government should plan to build more social housing as well,1,neutral,anticipation,0,0,0,0,0
20180085,,20180083,N-1-2018,The rent market SHOULD be regulated and how! It’s obvious you’re a landowner.,1,negative,disgust,0,0,0,0,0
20180086,,20180085,N-1-2018,It is obvious you are not.,1,neutral,anger,0,0,1,1,0
20180087,,,N-1-2018,"The Budgets in Mintoff's days used to give out a little to the Maltese in some form or another. It was a time when the country couldn't afford so much as the economy was in its infancy. But today, Muscat's Labour boasts of surpluses and a super hyper economy yet they distribute so little to Maltese people. No social conscience whatsoever. I wonder why?",1,negative,disgust,0,0,1,0,0
20180088,,20180087,N-1-2018,This is the FIRST surplus after the PN’s mess.,1,neutral,anger,0,0,0,0,0
20180089,,20180088,N-1-2018,What surplus my dear? Certainly I see no surplus in my pockets. I believe the same goes for you.,1,negative,disgust,0,1,1,0,0
20180090,,,N-1-2018,"A lousy Budget from a lousy Labour Government as usual!!! Where did the much-mentioned surplus from the so-called 'good economy'go?!!... I do not believe that the surplus has all gone in the empty pockets of the ordinary people in the streets....far from this! I did pretend that this Budget was going to be a super budget I ever heard of in my entire life after so much much ado in the daily news of a surplus against surplus and a good economy and so on!!...Nothing prevailed nonetheless! The Budget,year after year, is all gimmick and great joke imposed on the ordinary people who once a year do expect some adequate financial aid increase in their salaries or pensions from the government of the day! GRANPINTO Hamrun",1,negative,anger,0,0,0,0,0
20180091,,20180090,N-1-2018,Mark How I miss PN budgets . Dawk kien jkunu bagits classici mhux bhal tal Labour.,1,negative,disgust,0,1,1,0,2
20180092,,,N-1-2018,"I'm pleasantly surprised but rather than dishing out insignificant amounts to the general public, it would have been positive to present new options and opportunities to those who actually have some ambition to improve their way of life.",1,negative,surprise,0,0,0,0,0
20180093,,20180092,N-1-2018,What is insignificant to you?,1,neutral,surprise,0,0,0,0,0
20180094,,,N-1-2018,"Tax refund of 40 to 64 Euro with no change in tax brackets. So part of it is return to sender. Pensioners' tax ceiling rising from 13,000 to 13,2000 with an increase of 2 Euro weekly. A rise of 104 Euro in pensioners' income with a 200 Euro ceiling rise. Am I right?",1,neutral,anticipation,0,0,0,0,0
20180095,,20180094,N-1-2018,The rise is €2.00 PLUS €1.75 = €3.75. €3.75 x 52 = €195. Capito?,1,neutral,joy,0,0,0,0,3
20180096,,20180095,N-1-2018,Le ghandek zball ENORMI. 2 euros biss u xejn aktar. Iccekkja sew u tingannax,1,negative,anger,0,0,0,0,2
20180097,,20180096,N-1-2018,"Inkella la nircievi c-cekk jien Jannar 2018, jekk ma niehux 2 plus 1.75, nigi ghandek ha ttiholmli int jekk int ragel Brincat.",1,negative,anger,0,1,0,1,2
20180098,,20180095,N-1-2018,Capito xejn. Euro 1.75 lill- Haddiem. Euro 2.00 lill Pensjonant.,1,neutral,anger,0,0,0,0,3
20180099,,20180095,N-1-2018,Ma hemm imkien imsemmi li Euro 2.00 lill Pensjonant hija over and above Euro 1.75.,1,negative,anger,0,0,0,0,2
20180100,,20180095,N-1-2018,"I need a full time accountant with PhD to work on a full time basis, that can at least understand good English.",1,negative,disgust,0,1,0,0,0
20180101,,20180095,N-1-2018,Tghidx hmerijiet Brincat. Taghtix ahbarijiet foloz. Inkunu rgiel. Zewg euros hemm ghal pensjonanti u mhux 2 u wiehed u 3 kwarti. Ma ningannawx lin nies.,1,negative,disgust,0,0,0,0,2
20180102,,20180094,N-1-2018,"and can you tell me how many maltese pensioners reach that figure( 13.200 a year ) ? so they can be taxable? who do you think ,or the minister is fooling for that matter",1,neutral,anger,1,0,0,0,0
20180103,,,N-1-2018,Same old rubbish,1,negative,disgust,0,0,0,0,0
20180104,,20180103,N-1-2018,"Yeah, you would prefer a hike in taxes rather than this budget, right? You don't realize (or, better, you do not care to realize) how lucky you are for having a government that cares. Pity is that nothing ever is mentioned to ease the life of ex-pats in Malta, ex-pats that are spending their pension here in Malta! What a pity!",1,positive,anger,0,0,1,0,0
20180105,,20180104,N-1-2018,Stop talking nonsense.,1,negative,anger,0,0,0,1,0
20180106,,20180105,N-1-2018,I'll stop when you stop.,1,neutral,anger,0,0,0,1,0
20180107,,20180104,N-1-2018,"Mr. White, did you come to Malta (or any other country for that matter) without first checking what the conditions are?",1,neutral,surprise,0,0,0,1,0
20180108,,20180107,N-1-2018,"I came to Gozo to retire. I lived in several other countries throughout my life out of work exigencies. But chose Gozo to retire here. I see something special about the island, its climate, its people, even bought a place here as well. I am satisfied with life here. However, would be nice if us ex-pats are recognized by the government in financial issues. You have to know that we are not just sitting ducks here. Apart from spending our pension here we participate in organizations such as the Gozo SPCA which is made up of mostly foreigners. So yes, I think we should be given some assistance when necessary.",1,neutral,anticipation,0,0,0,0,0
20180109,,20180108,N-1-2018,"Don't get me wrong, one ought to get what is due to him and you are more than welcome here and not just because you spend your pension in Malta (at least as far as I am concerned); but their lies the issue; does a person know what he's getting himself into when he decides to live in another country?",1,neutral,anticipation,0,0,0,1,0
20180110,,20180109,N-1-2018,"Oh yes I do know where I was going to live. Life is great here in Gozo, especially when comparing with the other countries I lived in throughout my life. What I am suggesting is, as I didn't make myself clear, that Brexit and the fall of the pound are going to have a heavy impact on ex-pats in Malta, thus leading to some to head back to the UK, thus leading to loss of income especially in Gozo. If incentives are offered by your government (which please let me say that you are lucky to have such a government that cares about its people), then these might decrease the outflow. It's a win-win situation for everyone concerned. Malta, most notably the quietness of Gozo, would shine as a perfect place for retirees, especially us Brits :)",1,positive,trust,0,0,0,0,0
20180111,,20180104,N-1-2018,a goverment who cares? what planet are you living mate?,1,negative,disgust,1,0,0,0,0
20180112,,20180111,N-1-2018,Yeah keep complaining...which years do you prefer? The ones under Mintoff? or under Fenech Adami? These are the best years whether you agree or not...of course you don't admit it because you see blue only...but you know well enough that these are the best times for the people!,1,positive,trust,0,0,1,1,0
20180113,,,N-1-2018,"Can't complain on the whole personally, it's a good budget. But the next one needs to tackle some of Malta's long standing problems such as traffic. The bus service is back to being a shambles.",1,positive,trust,0,0,0,0,0
20180114,,20180113,N-1-2018,you must be well off then that you are not complaining,1,negative,disgust,0,1,1,1,0
20180115,,,N-1-2018,All the hype about surplus to be passed on to the people. €1.75 here €2 there €3 anywhere and no practical decent project to tackle problems which are effecting everybody.,1,negative,anger,0,0,1,0,0
20180116,,,N-1-2018,"Pensioners take heart..it's .285714285 cents a day increase ! Wow, Minister you made my day.",1,negative,disgust,0,1,0,0,0
20180117,,,N-1-2018,"""non-taxable tax ceiling rising to €13,200"" is this figure for a couple who have two pensions, a pension each? What about those couples who have only one pension because one of them was never in employment? And what about single pensioners who never married or who are widowed?",1,negative,anticipation,0,0,0,0,0
20180118,,20180117,N-1-2018,It applies to ALL i.e. households with ONE pension.,1,neutral,anticipation,0,0,0,0,0
20180119,,20180118,N-1-2018,"Are you sure? At the Social Services office I have been told that ceiling for single pensioners is €10,000! Do you know more than them? Till today I have always believed whatever you write but from today I am assuming that you want to take people for a ride because what matters to you seems to be the lace and frills to whatever the Government does and not what is the real truth! Whenever I ask for some info, what I would want is the real truth....",1,negative,anger,0,0,1,0,0
20180120,,,N-1-2018,€1.75 a week for the worker and nearly €1000.00 a week for Deborah Schembri. Great distribution of the surplus.,1,negative,disgust,1,0,0,0,0
20180121,,,N-1-2018,"Quite disappointing for pensioners as it was said that public transport will become free next year - apart from this the tax brackets are grossly unfair and they are not going to be changed - I am paying 25% tax as a pensioner - as much as a persons who earns 60,000 a year!!!!!",1,negative,anger,0,0,1,0,0
20180122,,20180121,N-1-2018,"IF you are really ""paying 25% tax as a pensioner"" it only means that either your pension is very high or that you have another income. Tax is applied on the TOTAL taxable income; the fact that you are a pensioner - as I am - does not exempt you from paying any tax but it provides you with a ceiling of EUR 13200 of non-taxable pension. P.S. If a person earns EUR 60,000 a year his tax would be 60,000 x 0.25 - 2,725 = 13,275... which amounts to 22% and NOT 25% as you claim.",1,neutral,surprise,0,0,1,0,0
20180123,,,N-1-2018,"1.75c ghal haddiem, zewg euros ghal fqir u 3 jobs ghal tal qalba, DEBORAH SCHEMBRI, wiehed minnhom ta 42,000 Euro. Dik gustizzja socjali Guz? Gvern tal haddiem li jqassam il cake gustament. Surplus. Anqas flat u skola wahda f-5 snin. Il poplu jittewweb, il faqar jizdied, surplus ghal tal qalba.",1,negative,disgust,0,0,0,0,2
20180124,,,N-1-2018,Minimum wage earners sure did not improve much,1,negative,sadness,0,0,1,0,0
20180125,,20180124,N-1-2018,€4.75 weekly. That's after 25 years of stagnation,1,positive,joy,0,0,0,0,0
20180126,,,N-1-2018,budget tac ciccri!! Laqas il wedgha tal granet festivi ma zam!,1,negative,disgust,0,0,0,0,2
20180127,,,N-1-2018,"Malta needs dedicated professional educators not more and larger schools. In present circumstances, we are putting the cart before the horse.",1,negative,anger,0,0,1,0,0
20180128,,,N-1-2018,"Workers to get wage increase of €1.75 pensioners to get €2 per week rise. So will pensioners get € 3.75 or just the €2 per week.? The wording is different this year COLA was cost of living increase this year the words used ae "" wage increase "".",1,neutral,anticipation,0,0,0,0,0
20180129,,,N-1-2018,I would have expected that pensioners above 65 would also have been given a free tal-linja card the same as students.,1,negative,surprise,0,0,0,0,2
20180130,,,N-1-2018,The part of the budget speech that was significant to me is that the benefits handed out are affordable.,1,positive,joy,0,0,0,0,0
20180131,,,N-1-2018,"The best measures that will really impact long term health and wellbeing are ""Free one-year bus pass for all those aged between 16 and 20"" and ""Free school transport for all school children to be introduced from next scholastic year"". StilI, I wish the government would go further and introduce totally free public transport for all people under 30 years of age BUT forbid every body from driving private cars till at least age 25. Moreover, cigarettes, vodka and high alcohol content drinks should be HEAVILY taxed and the tax money thus collected put towards constructing spacious, secure, clean, monitored and functional bus stop shelters and sheltered pedestrian ",1,positive,anticipation,0,0,0,0,0
20180132,,20180131,N-1-2018,At last one sensible comment.,1,positive,joy,0,0,0,0,0
20180133,,20180132,N-1-2018,Sensible comment depriving anyone up to the age of 25 the use of a private car ?,1,negative,anger,0,0,0,0,0
20180134,,20180133,N-1-2018,"Sorry for my comment, overriding your point. Sensible comment except for that you have mentioned.",1,positive,surprise,0,0,0,0,0
20180135,,,N-1-2018,"I think its about time to raise the top tax rate to 40% for earnings over 100k per annum. We need this to fund more infrastructure projects. The rich have had it to easy for too long they need to pay a bit more. Also the the 80% refund tax loop whole has to be amended to be maybe a 50% refund. Its important to stay competitive but its also important to raise the funs needed to build the infrastructure that Malta dearly needs, such as tunnels, underground and better roads.",1,neutral,anticipation,0,0,0,0,0
20180136,,20180135,N-1-2018,WoW look who`s talking about rising Tax holding a Pint of beer. We are the ones that Employ you so you can drink more pint`s of beer You`r lucky you have crazy us to Gamble and invest our Money to create jobs For you. Don`t talk Nonsense.???,1,negative,disgust,1,0,1,1,0
20180137,,,N-1-2018,"Workers wages will increase by €1.75 per week less than the price of a cup of coffee. Wow, that is a real award, I think not.",1,negative,anger,0,0,1,0,0
20180138,,20180137,N-1-2018,Pensioners are getting €2 they can get their coffee .. maybe on a Sunday to celebrate !,1,negative,anger,0,1,0,0,0
20180139,,,N-1-2018,Another broken promise by our PM. What about the €8 a week increase for us pensioners as promised by JM before the election.,1,negative,anger,0,0,0,0,0
20180140,,,N-1-2018,"What about the civil service/armed forces and others having private pensions? are they going to endure another year, without any compensation for the past theft initiated by the labour and carried on, by all successive governments. For them, justice is denied? No wonder the opposition remained silent, because they shoulder part of the blame.",1,negative,disgust,0,0,0,0,0
20180141,,,N-1-2018,for those who live in coockoo land https://autotraveler.ru/en/spravka/fuel-price-in-europe.html#.Wdy6YVuCy7Q,1,neutral,disgust,0,1,0,0,0
20180142,,,N-1-2018,"I am very sorry but this budget did not focus on the main great problem this country is being hit with, that is T R A F F I C !! So for me the big problem remains and no one even bothered to try and come up with at least a realistic solution.",1,negative,sadness,0,0,1,0,0
20180143,,,N-1-2018,Encouraging more motorbikes? In Malta? Its like encouraging more accidents..,1,negative,anger,0,0,0,0,0
20180144,,,N-2-2018,What Cettina forgot is il-bullubeef u t-tonn ta'zejt.,1,neutral,disgust,0,1,0,1,2
20180145,,20180144,N-2-2018,"What you intentionally forgot to mention is the word DEFICIT. Probably if you go back to the last Nationalist budget that of 2012 you will find out that the word DEFICIT meant 300,000 million euro. What a difference!!!!!",1,negative,surprise,0,0,0,0,0
20180146,,20180145,N-2-2018,"Sur Cutajar, bid-deficit u mhux, id-differenza hawn qedgha:

Data Effettiva Zieda fil-gimgha
1/1/2017 €1.75
1/1/2016 €1.75
1/1/2015 €0.58
1/1/2014 €3.49
1/1/2013 €4.08
1/1/2012 €4.66
1/1/2011 €1.16
1/1/2010 €5.82
1/1/2009 €4.08
1/1/2008 €3.49
1/1/2007 €4.08
1/1/2006 €5.24",1,neutral,disgust,0,0,0,0,1
20180147,,20180146,N-2-2018,"Zieda effettiva fil gimgha ta vera kienet is €600s li hadu bil mohbi ta kullhadd.
Il 25 % rohs fil kont tad dawl hu ilma,",1,negative,disgust,0,1,0,1,1
20180148,,20180147,N-2-2018,"The P.N. was a disgrace when Lawrence Gonzi promoted themselves with €600 a week rise which their supporters are ASHAMED to mention,and weak minded to support the P.N.from now on they can only stand on ONE FOOT.and take the phrase from dads army WE ARE DOOMED!",1,negative,disgust,0,0,0,1,0
